start	end	duration	text
5170	7000	1830	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8000	10840	2840	Die 1. Umfrage des Forschungs- instituts GFS Bern im Auftrag der SR
11090	17440	6350	zeigte vor 3 Wochen: Zum Jahres- wechsel hätten nur 37 % bestimmt
18470	20320	1850	Die Befürworter der Masseneinwanderungsinitiative
20480	24480	4000	legen im Schlussspurt zu.
28130	31440	3310	Wer glaubt in den USA noch an den American Dream?
35570	40680	5110	Patienten hoffen auf den Durchbruch, Anti-Doping-Experten fürchten ihn.
42950	45310	2360	Schachweltmeister Magnus Carlson
45470	48390	2920	tritt gegen seine härtesten Konkurrenten an.
48530	54270	5740	1:1-Untertitelung. Livepassagen können Fehler enthalten.
56400	61030	4630	Die 1. Umfrage des Forschungs- instituts GFS Bern im Auftrag der SR
61150	65110	3960	zeigte vor 3 Wochen: Zum Jahres- wechsel hätten nur 37 % bestimmt
65209.99999999999	69789.99999999999	4580	oder eher Ja gesagt zur Massen- einwanderungsinitiative der SVP.
70000	72750	2750	Die Gegner hatten noch eine komfortable Mehrheit.
72910	76760	3850	Das hat sich geändert. Vom 20. bis 25. Januar
76960.00000000001	81520	4560	hat das Forschungsinstitut GFS Bern eine 2. Trendumfrage durchgeführt.
81640	83480	1840	Und diese zeigt heute:
83640	85680	2040	Die Initianten haben viel Boden gutgemacht.
87210.00000000001	91160	3950	Derzeit sind 43 % der Befragten bestimmt oder eher
91280	93400	2120	für die SVP-Initiative.
93530	97000	3470	Zu Beginn des Monats lag die Zustimmung bei 37 %.
97130	100720	3590	50 % der Befragten würden heute bestimmt oder eher gegen
100880	103680	2800	die Masseneinwanderungsinitiative stimmen.
103920	107240.00000000001	3320	Vor 3 Wochen lag der Neinanteil bei 55 %.
107390	110360	2970	7 % sind noch unentschlossen, im Vergleich zu 8 %
110400	113080	2680	zu Beginn des Monats.
113320	118320	5000	Gegner und Befürworter der Initiativ reagieren überrascht.
118550	121160	2610	Es geht völlig gegen den Trend, wie es üblicherweise
121290	124320	3030	bei Volksabstimmungen läuft, v.a. bei Volksinitiativen,
124400	127960	3560	die meistens gegen Schluss einer Kampagne einbrechen.
128130	131160	3030	Bei der Massenzuwanderung nimmt die befürwortende Seite noch zu.
131220	133720	2500	Das hängt damit zusammen, dass die Leute einsehen:
133810	137290	3480	Man will in Zukunft die Zuwanderung wieder selbst steuern.
137440	140170.00000000003	2730	Über 80'000 pro Jahr, das geht nicht.
140240	143890	3650	Das ist sicher eine Motivation, um bis zum Schluss zu mobilisieren.
143970	148570	4600	Wir müssen einfach vermehrt kämpfen und argumentieren,
148690	150970	2280	weil der bilaterale Weg dadurch gefährdet wird.
151200	154930	3730	1/3 aller Arbeitsplätze in der Schweiz
155050	158290	3240	ist direkt davon abhängig.
158470	161490	3020	Und wir sind einfach in der Situation,
161760	163570	1810	in der diese Kontingentierung neue Probleme schafft,
163680	165850	2170	aber absolut keine löst.
167610	169850	2240	Befragt wurden 1'420 stimmberechtigte Personen
169960	171770	1810	in allen Landesteilen.
171970	173810	1840	Bei mir im Studio begrüsse ich Claude Longchamp vom
173960	176290	2330	Forschungsinstitut GFS Bern, Guten Abend.
176460	180010	3550	Die Entwicklung ist atypisch, meistens nimmt die Zustimmung zu
180190	182650	2460	einer Initiative im Schlussspurt eher ab.
182850	184930	2080	Wer hat sich da auf die Seite der Befürworter geschlagen?
185130	189970	4840	Wir untertiteln live:
189930	195930	6000	Auf den ersten Blick könnte man meinen,
196490	201090	4600	es gäbe viele Leute, die nun von Gegnern zu Befürwortern wurden.
201280	205290	4010	Es sind aber die Beteiligungsabsichten gestiegen.
205329.99999999997	210210	4880	Es sind noch 6 % dazugekommen.
210440	213730	3290	Es sind misstrauische Leute, skeptische Leute,
213870	219810	5940	die ein Zeichen setzen wollen.
221760	227610	5850	Deswegen hat sich die Balance zu Gunsten
227740	233780	6040	der Befürworter ausgewirkt.
234770	238420.00000000003	3650	Die Initianten sind erfolgreich gewesen.
238650	240220	1570	Es sind nicht nur SVP-Wähler, sondern auch ungebundene Leute.
240210	242940	2730	Das mobilisiert die Gegner.
243050	245740	2690	In einem offenen Brief von 7 Partei- präsidenten wenden sie sich direkt a
245860	251260	5400	das Volk. Das gibt es nicht häufig. Was sagt das aus?
251460	256649.99999999997	5190	Für mich sagt es vor allem aus,
256870	262730	5860	dass es die erste gemeinsame Aktion
263750	265610	1860	der Parteipräsidenten ist.
265810	271730	5920	Bis jetzt wollte die SVP eine eigen Initiative machen.
276340.00000000006	280970	4630	Die SP war enttäuscht, dass die flankierenden Massnahmen nicht vom
281190	283730	2540	Bundesrat unterstützt worden waren.
283950	289770	5820	Jetzt hat man den Ernst der Lage erkannt
290030	291530	1500	und steht geeint gegen die Initiative.
291490	293530	2040	Und jetzt natürlich die entscheidende Frage:
293720	298330	4610	Was bedeuten die neusten Umfrageergebnisse?
298300	301650	3350	Das werden wir erst am 9. Februar genau wissen.
301780	304010	2230	Ich möchte zurückhaltend sein.
304110	307170	3060	Noch führen die Gegner.
307310	313090	5780	Die Befürworter holen auf.
313220	316530	3310	Jetzt entscheidet die Mobilisierungsaktion.
