start	end	duration	text
15350	17310	1960	MIT TELETEXT-UNTERTITELUNG
26670	29030	2360	Was fehlt diesen Kindern am meisten?
31010	36830	5820	Ich denke, eine feste Bezugsperson, die immer da ist, 24 Std. am Tag.
36930	38270	1340	Das ist das, was wir nicht bieten können.
39710	43070	3360	Wir können ihnen viel Zuneigung geben und versuchen,
43290	46630	3340	ihnen Geborgenheit und Sicherheit im Alltag zu geben.
48030	52550	4520	Aber wir sind nicht immer hier. Wir gehen am Abend wieder nach Hause.
52630	53350	720	Ich denke, es ist für die Kinder schwierig,
55500	57910	2410	wenn jeden Tag jemand anders hier ist.
58990	63110	4120	Wenn sie uns gerne haben und wir nicht hier sind, vermissen sie uns.
64430.00000000001	66430	2000	* Das Baby quengelt. *
66520	68350	1830	Ist das für Sie auch schwierig?
68670	72310	3640	Ja, wenn es dem Kind nicht gut geht, wäre ich gerne hier.
72730	74710.00000000001	1980	Das kann man dann eben nicht.
76390	78390	2000	Gewalt, Sucht, Krankheit:
78500	82430	3930	Es gibt verschiedenste Gründe, die es Eltern verunmöglichen,
82650	83310	660	für ihre Kinder zu sorgen.
84690	87110	2420	Deshalb kümmern sich nicht Mami und Papi,
87190	91470	4280	sondern eben Bezugspersonen wie Martina Kirchhofer um die Kleinen.
91550	93470	1920	Kann das gelingen?
93630	95670	2040	Oder bleiben zwangsläufig Narben zurück?
95810	97750	1940	Davon handelt dieser Film.
104660	106590	1930	* Sanfte Klavierklänge *
116800	118950	2150	Hierher führt immer ein Notfall.
119539.99999999999	121750	2210	Die Kinder, die im Kinderhaus Tipi wohnen,
121950	124430	2480	stammen aus schwierigsten Verhältnissen.
124590	127390	2800	Ihr Zuhause ist zerrüttet und eine Lösung dringend.
127670	128310	640	Im Tipi bekommen sie ein vorübergehendes Daheim.
130389.99999999999	134910	4520	Hier bleiben sie in der Regel wenige Tage bis höchstens ein paar Monate.
134990	139070	4080	Danach sollen sie zurück zu den Eltern oder in eine Pflegefamilie.
140120	142510	2390	Im obersten Stock leben die Kleinsten.
143150	143310	160	Das Älteste wird heute zweijährig.
147070	148910	1840	Schau mal! Wow!
149050	151150	2100	So ein grosses Geschenk!
152600	154670.00000000003	2070	In der Zeit, in der sie hier wohnen,
154829.99999999997	157990	3160	sollen sich die Kinder so geborgen wie möglich fühlen.
158160	158350	190	Geburtstag feiern, ohne Eltern, auch dafür ist das Heim zuständig.
163190	165800	2610	Ui, ich sehe etwas! Was ist denn das?
171230	173320	2090	Das Geburtstagskind kennt es nicht anders.
173829.99999999997	177760	3930	Die Zweijährige hat fast ihr ganzes Leben hier im Heim verbracht.
177990	181320	3330	Die Mutter ist psychisch krank, der Vater im Ausland.
182010	186400	4390	Alle paar Wochen ein Anruf, mehr Kontakt zu den Eltern besteht nicht.
186510	188360	1850	Das Tipi ist Evas Zuhause.
206400	210320	3920	So manches hat man ihnen vorenthalten in ihrem kurzen Leben.
210410	213040	2630	Ihr Recht auf Anonymität wollen wir wahren
213240	216440	3200	und zeigen deshalb die Gesichter der Kinder nicht.
217040	218360	1320	Unter Martinas Schützlingen sind auch Neugeborene.
221190	223720	2530	Für viele ist das Heim das erste Zuhause.
223890	226800	2910	Wenn Mütter während der Schwangerschaft Drogen nahmen,
226910	230400	3490	beginnt das neue Leben mit einem Entzug direkt nach der Geburt.
230560	233400	2840	Martina holt im Kinderspital einen Säugling ab.
233740	236320	2580	In diesem Fall ist die Mutter auch dabei.
236470	239360	2890	Warum kann sie es nicht alleine zu Ihnen bringen?
240230	243120	2890	Wir begleiten einen solchen Transport immer.
244310	247320	3010	Wir wissen sonst nicht, was unterwegs passiert,
247440	248360	920	ob sie gut zu dem Kind schauen kann.
249900	251920	2020	Oder haut sie mit dem Kind ab.
252030	254160	2130	Ist so etwas auch schon passiert?
254270	256240	1970	Mh, nein!
257829.99999999997	260000	2170	Aber wir begleiten sie trotzdem immer.
260410.00000000003	263240	2830	Sie dürfen das Kind natürlich selber tragen.
263880	268440	4560	Dass eine Mutter ihre eigenen Kinder tötet, kommt äusserst selten vor.
268700	270640	1940	Die Polizei hat die Mutter verhaftet.
270810	273240	2430	Sie steht unter dringendem Tatverdacht.
273350	275360	2010	Nach bisherigen Erkenntnissen
275510	278400	2890	spielte sich aber genau eine solche Tragödie in Flaach/ZH ab.
279470	282880	3410	Vor einem Jahr erschütterte die Verzweiflungstat einer Mutter
283070	284960	1890	die Schweiz.
285190	287280	2090	Sie brachte ihre beiden kleinen Kinder um,
287430	289960	2530	damit sie nicht zurück ins Kinderheim mussten.
290130	293400	3270	Die Heimplatzierung als schlimmste Möglichkeit, schlimmer als der Tod.
294750	296720	1970	Ein Extremfall.
296950	299760	2810	Trotzdem: dass das eigene Kind ins Heim muss,
299840.00000000006	301800	1960	ertragen Eltern nur schwer.
311030	313600	2570	Das weiss man auch im Tipi,
313830	316800	2970	das sich lieber Kinderhaus als Kinderheim nennt.
318480	322640	4160	Stephan Germundson ist der Leiter hier, ein erfahrener Psychologe.
