start	end	duration	text
4960	6880	1920	.
7570	9040	1470	1:1-Untertitelung. Livepassagen können Fehler enthalten.
11860	13760	1900	Der erste Blick hinter die Schlagzeilen in der neuen Woche,
14320	15160	840	guten Abend.
15890	17680	1790	Jetzt treffen sie sich wieder in der Schweiz, die Mächtigen der Welt.
18330	20600	2270	Was wir WEF nennen, kennt die Welt nur als Davos.
21340	24840	3500	Grosses Thema auf Gängen und Empfängen dieses Jahr:
25450	27160	1710	die angeschlagene Weltwirtschaft.
27870	29960	2090	Wohin geht die Fieberkurve des Wirtschaftswachstums?
30690	33960	3270	Das fragen wir Nobelpreisträger Joseph Stiglitz.
34610	41000	6390	Europa wird durch eine schwere, sehr schwere Zeit gehen.
41640	45320	3680	Die globale Wirtschaft im Fiebertest, das unser grosses Thema heute.
46050	47200	1150	Es ist 10 vor 10.
49610	54560	4950	Auch europäische Autofirmen sollen vermehrt in den USA produzieren.
56850	60440	3590	Wie Schweizer Touristiker
61070	62720	1650	das Vertrauen der Chinesen zurückgewinnen wollen.
66120	69680	3560	Schweizer Nachwuchsmusiker müssen sich in Holland beweisen.
72050	74200	2150	Zuerst in die USA.
74820	76520	1700	Dort sorgen heute einmal mehr
77200	78840	1640	die  W o r t e  von Donald Trump für Aufsehen,
79500	81960.00000000001	2460	vier Tage bevor er mit  T a t e n  beginnen kann
82610	84920	2310	als 45. Präsident der Vereinigten Staaten.
85650	87800	2150	Diesmal geht es um Autos -
88520	91400	2880	nicht amerikanische, sondern um ausländische Autos.
92090	95600	3510	Trump droht namentlich BMW sowie anderen Herstellern mit Strafzöllen
96320	99120	2800	von 35 % auf importierte Fahrzeuge,
99770.00000000001	101640	1870	die etwa in Mexiko hergestellt werden.
102280	104039.99999999999	1760	Solche scharfen Warnungen
104680	106560	1880	belasten zwar die Aktienkurse der betroffenen Unternehmen,
107190	110479.99999999999	3290	doch bei Trumps Basis kommt dieser Schwitzkasten-Kapitalismus gut an.
111140	112600	1460	Anna Gossenreiter.
113970	117680	3710	Der Bürgermeister von Flat Rock fährt selbstverständlich einen Ford.
118340	121520	3180	Schliesslich ist das Unternehmen im 10'000-Seelen-Ort
122210	124440	2230	der grösste Arbeitgeber und Steuerzahler.
125140	127480	2340	Fast jeder Job hier in Südost-Michigan
128210.00000000001	131440	3230	ist auf die eine oder andere Art mit der Autoindustrie verbunden.
132100	135000	2900	In unserer Stadt sind es etwa 40 % der Arbeitsplätze,
135690	137480	1790	die direkt von der Autoindustrie abhängen.
138140	142160	4020	Vor Kurzem hat Ford bekannt gegeben,
142810	146600	3790	hier in Flat Rock 700 neue Arbeitsplätze zu schaffen,
147250	149800	2550	statt wie geplant in Mexiko ein neues Werk zu bauen.
150490	155160	4670	Klar, dass Donald Trump das für sich als Erfolg verbucht.
155820	158480	2660	"Einmal mehr im Interview, das er der englischen ""Times"""
159140	161680	2540	"und der deutschen ""Bild"" am Wochenende gegeben hat."
164400	167880	3480	Man kann den Unternehmen nicht erlauben, unser Land zu verlassen,
168530	170480	1950	Leute zu entlassen, nach Mexiko zu gehen,
171140	173720	2580	dort Produkte herzustellen
174380	176120	1740	und diese dann steuerfrei in den USA zu verkaufen.
176770	179560	2790	Unternehmen, die das tun, werden hohe Zölle bezahlen.
180200	182960	2760	Das klingt wie Musik in den Ohren der Leute aus Michigan.
183640	186040	2400	Bei Wimpy Burger, einem Fastfood- Restaurant in Flat Rock,
186710	188560	1850	ist die Stimmung denn auch euphorisch.
189200	192720	3520	Ich bin glücklich, denn die neuen Jobs sichern meine Betriebsrente.
193360	195080	1720	Die Hauspreise könnten steigen,
195770	200000	4230	denn es werden auch mehr Leute hierherziehen wollen.
200660	205000	4340	Ich glaube, Ford wollte keine schlechte Presse.
205640	209480	3840	Und das Unternehmen spekuliert auf irgendwelche Vergünstigungen
210100	213560	3460	von Seiten unseres künftigen Präsidenten.
214220	218320	4100	Aber egal, es ist gut für uns.
218980	223520	4540	Am Automobilsalon in Detroit gab es v.a. ein Thema:
224160	226560	2400	Trumps Drohungen gegen die Konzerne.
227250	230520	3270	William Clay Ford, der Urenkel des Firmengründers, gibt sich unabhängig.
231210	232480	1270	Hat Sie Trump gezwungen?
233120	237920.00000000003	4800	Nein, Trump hat nichts damit zu tun.
238520	242680	4160	Wir sind intern zum Schluss gekommen,
243410	247200	3790	dass wir diese Kapazität in Mexiko nicht brauchen.
247740	252120	4380	Auch den deutschen Autoherstellern droht Trump mit 35 % Strafzöllen.
252800	254440	1640	BMW gibt sich gelassen.
255100	258040.00000000003	2940	Denn in den USA beschäftigt der Autobauer 70'000 Leute.
258670.00000000003	260680	2010	Man werde nicht verlagern,
261290.00000000003	264760	3470	sondern in Mexiko 2019 zusätzlich eine Fabrik eröffnen.
265490	270520	5030	In Mexiko handelt es sich um eine neue strategische Investition.
271210	275240	4030	Wir wollen von dort Autos in alle Welt exportieren.
275970	277760	1790	Wir bauen in vielen Ländern neue Fabriken.
278430	281840.00000000006	3410	Wohin wir diese Autos letztlich exportieren, werden wir dann sehen.
282430	285640	3210	Heute bekräftigte BMW, am Werk in Mexiko festzuhalten.
286300	287920	1620	Doch die Aktien der deutschen Autohersteller
288610	290159.99999999994	1550	sind nach dem Trump-Interview gefallen.
290810	293040	2230	Analyst Robert Halver kennt die Gründe:
293770	298520	4750	35 % Strafzölle auf deutsche Autos, die nach Amerika verschifft werden,
299100	302480	3380	das ist schon eine ganz grosse Hausordnung und tut verdammt weh.
303130	305200	2070	Ob es so schlimm kommt, wissen wir nicht.
305770	307160	1390	Klar ist: In der Autoindustrie wird man jetzt
307800	309360	1560	Beschwichtigungsstrategien fahren,
310060	313320	3260	damit man vom grossen Caesar nicht negativ tangiert wird.
313990	317320	3330	Vom Freihandelsabkommen mit Mexiko profitieren beide Seiten,
317980	319560	1580	auch die USA.
320250	322320	2070	Ob es sich lohnt, auf Kollisionskurs zu gehen,
323010	326120	3110	um etwa die gebeutelte Autostadt Detroit neu zu beleben,
326760	329840	3080	wird sich der künftige Präsident gut überlegen müssen.
331550	337120	5570	Seit ein paar Jahren bereits sind die Treffen am World Economic Forum
337810	339159.99999999994	1350	im Schnee von Davos
339890	342680	2790	nicht mehr so von Zuversicht geprägt wie in den Jahrzehnten zuvor.
343400	345200	1800	Das weltweite Wachstum kränkelt,
345840.00000000006	350480	4640	der IWF rechnet für 2017 lediglich mit einem Minimalanstieg von 0,3 %
351090.00000000006	352600	1510	gegenüber dem letzten Jahr.
353280	355250	1970	Die Unsicherheit habe zugenommen, hiess es heute.
355780	359570	3790	Die Finanzkrise scheint auch nach fast zehn Jahren nicht überwunden.
360250	362130	1880	Wie steht's um die globale Wirtschaft?
362850	365130	2280	Daniel Daester nimmt für Sie die Temperatur.
367560	370290	2730	Die Weltwirtschaft erholt sich nur langsam
370870	372850	1980	vom Fieberschock der Finanzkrise.
