start	end	duration	text
1880	6580	4700	.
6730	15020	8290	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15180	18220	3040	"Guten Abend und herzlich willkommen zu ""Schweiz aktuell""."
18240	20340	2100	Heute mit diesen Themen:
21520	24340	2820	Weil es bei der Berner Reitschule
24570	27980	3410	regelmässig zwischen Krawallmachern und der Polizei kracht,
28100	31220	3120	wurde sie am Wochenende geschlossen.
31360	33620	2260	Die Betreiber des autonomen Kulturzentrums
33720	36180	2460	wollen die Verantwortung nicht mehr übernehmen.
37390	40620	3230	Damit junge Menschen nicht in einen Schuldenstrudel geraten,
40810	43820	3010	sollen die Steuern direkt vom Lohn abgezogen werden.
43960	47020	3060	Das wird in einer Motion im Kanton Basel-Stadt verlangt.
47990	51740	3750	Weil Portugal gestern zum allerersten Mal Europameister geworden ist,
51970	54140	2170	sind die Bewohner des kleinen Walliser Dorfs Täsch
54260	55900	1640	völlig aus dem Häuschen.
56120	58140	2020	Fast die Hälfte der Bewohner sind Portugiesen.
59130	61540	2410	Die Berner Reitschule,
61760	64819.99999999999	3060	die eigentlich ein Synonym für Kultur und Jugend sein sollte,
64989.99999999999	67420	2430	verkommt mehr und mehr zur Krawallzone.
67590	71140	3550	In den letzten Jahren hat sich die Situation bei der Reitschule
71330	73660	2330	direkt beim Berner Hauptbahnhof zugespitzt.
73860	76180	2320	Dort liefern sich Randalierer und Polizei
76320	78500	2180	immer wieder regelrechte Gefechte.
78600	81700	3100	Damit möchte die Reitschule nun nichts mehr zu tun haben.
81870	84950	3080	Am Samstag schlossen die Betreiber das berühmt-berüchtigte Kulturzentrum
85050	86910	1860	bis auf Weiteres.
87860	91230	3370	Bis auf Weiteres gibt es hier keine kulturellen Veranstaltungen mehr.
91300	93950	2650	Das grosse Tor der Reitschule ist geschlossen,
94170	96710.00000000001	2540	nicht nur heute, sondern für unbestimmte Zeit.
96920	100190	3270	Die Betreiberinnen und Betreiber der Reitschule
100360	103310	2950	befestigen die Information über die temporäre Schliessung am Tor.
103520.00000000001	105789.99999999999	2270	Der Vorplatz sei das Problem.
106009.99999999999	108789.99999999999	2780	Hier treffen unterschiedlichste Menschen aufeinander,
108970	111190	2220	und er habe sich zum Kristallisationspunkt
111340	114270.00000000001	2930	von gesellschaftlichen Problemen entwickelt,
114520.00000000001	116830	2310	mit denen die Reitschule nichts zu tun habe.
116979.99999999999	120550	3570	Die Reitschule schreibt:
120740	123310	2570	Der Vorplatz der Reitschule sorgt immer wieder
123410	125950	2540	für negative Schlagzeilen, letztmals anfangs März.
126130	128710.00000000001	2580	Bei Krawallen um die Reitschule wurden elf Polizisten verletzt.
128930	130830.00000000001	1900	Der Vorplatz gilt als Drogenumschlagplatz.
131020.00000000001	134470	3450	Laut Polizeikommunique seien Polizisten vor Ort präsent gewesen,
