start	end	duration	text
3130	4110	980	.
4320	6030	1710	Sie ist ein Brocken so gross wie der Gotthard -
6170	7990	1820	die Unternehmenssteuerreform III,
8140.000000000001	10310	2170	die wichtigste Steuerreform des Jahrzehnts.
10530	11990	1460	Heute Abend schaffen wir Klarheit in diesem Thema,
12260	13670	1410	heute Abend bohren wir für Sie durch diesen Brocken.
13800	15750	1950	Tobias Straumann, Wirtschafts- historiker. Schaffen wir das?
15900	17670	1770	Selbstverständlich, wir haben den Gotthard besiegt -
17850	19750	1900	das hier ist kein Problem.
19810	22830	3020	Wir schaffen es, die Unternehmens- steuerreform III zu erklären.
23030	24910	1880	Worum geht es? Wer gewinnt dabei? Und wer verliert?
25130	26470	1340	1:1-Untertitelung
26640	28870	2230	"Heute in der ""Arena"": FDP-Ständerat Ruedi Noser."
40980	48590	7610	"Heute in der ""Arena"": FDP-Ständerat Ruedi Noser."
48690	49750	1060	"Er sagt: ""Unternehmen sind auf tiefe Steuern angewiesen."""
49900	55310	5410	"""Und von Unternehmen hängt unser Wohlstand ab."""
55370	60630	5260	Jacqueline Badran, SP-Nationalrätin, kontert:
60800	64269.99999999999	3470	"""Seit Jahren senken wir die Unternehmenssteuern -"
64379.99999999999	66470	2090	"auf Kosten des Mittelstandes."""
66550	68710.00000000001	2160	"""Weitere Steuergeschenke sind inakzeptabel."""
68810	70830	2020	SVP-Nationalrat Thomas Matter warnt:
70980	75110	4130	"""Wenn wir nicht aufpassen, wandern internationale Unternehmen ab."""
75270	77789.99999999999	2520	"""Das zerstört den Werkplatz Schweiz."""
78010	83990	5980	Und Pirmin Bischof, CVP-Ständerat, sagt:
84130	86710.00000000001	2580	"""Die Steuerreform muss unternehmerfreundlich sein."""
86880	90310	3430	"""Allzu hohe Steuerausfälle können wir uns allerdings nicht leisten."""
90320	92150	1830	"Ausserdem in der ""Arena"":"
92410	95030	2620	Wirtschaftshistoriker Tobias Straumann.
95240.00000000001	99190	3950	"Die ""Arena"", moderiert von Jonas Projer."
99310	102430	3120	Guten Abend allerseits, herzlichen Dank, dass Sie da sind.
102570	105190	2620	Herzlich willkommen, liebes Publikum,
105289.99999999999	107590	2300	herzlich willkommen Sie zu Hause
107789.99999999999	109670	1880	"zu unserer ""Arena"" über die Unternehmenssteuerreform III."
109780	111550	1770	Ruedi Noser, jetzt ist das Geschäft im Parlament.
111810	113550	1740	Aber irgendwann kommt es vermutlich vor das Volk.
113670	115270.00000000001	1600	Wie erklären Sie dem Stimmbürger,
115410	117870	2460	dass er Ja zu diesem Geschäft sagen soll? In einem Satz!
117970	120430	2460	Heute ist es so, dass wir Gewinn, der im Ausland erzielt wird,
120570	123590	3020	anders besteuern als Gewinn im Inland.
123760	127350	3590	Danach wird es so sein, dass alle Gewinne gleich besteuert werden.
127470	129190	1720	Politik für alle, nicht für wenige.
129320	131910	2590	Das ist ein Grund, Ja zu sagen - sagen Sie.
132130	134390	2260	Jacqueline Badran, Sie wollen diese Vorlage nicht.
134550	136310	1760	Wie bekämpfen Sie sie auf dem Plakat?
136400	140030	3630	Diese Vorlage geht weit über das hinaus, von dem man sagt,
140170.00000000003	142950	2780	dass es kompensiert werden muss,
143200	146910	3710	um die von Herrn Noser beschriebenen Steuerregimes zu ändern.
147110	149310	2200	Es ist noch viel mehr reingenommen worden.
149400	152950	3550	Eine Wunschliste wurde abgearbeitet.
153050	155970	2920	Und refinanzieren tun es all diejenigen,
156120	158770	2650	die für Lohn und Rente arbeiten, und das sind 98 % der Bevölkerung.
