start	end	duration	text
28480	30390	1910	MIT TELETEXT-UNTERTITELUNG
31360	33670	2310	"Das ist ""Einstein"", guten Abend."
33880	36390	2510	Rosetta würde gerade mal 1 Sek. brauchen,
36550	38990	2440	um den ganzen Gotthardtunnel zu durchqueren.
39510	43830	4320	Anders gesagt: Sie fliegt mit 64'000 km/h durchs Universum.
45640	47870	2230	Die Raumsonde auf Reisen.
47950	50630	2680	Was Forscher dank Rosetta schon entdeckt haben.
50800	53190	2390	Das ist aufregend. Das ist wirklich aufregend.
54740	56360	1620	Klimawandel - na und?
56960	59880	2920	Warum uns dieses brisante Thema immer mehr kalt lässt
60060	63280	3220	und wie ein Schweizer Dok-Filmer das ändern will.
65160	67520	2360	Für die Freiheit das Leben riskiert.
67640	68640	1000	Knall
68730	69080	350	25 Jahre nach dem Mauerfall treffen wir Menschen,
72039.99999999999	74000	1960	die damals geflohen sind.
76260	79000	2740	Das ist Rosetta - ein 1:50-Modell.
79180	84000	4820	In Wirklichkeit wären es gut 30 m von Panelspitze zu Panelspitze.
85230	87440	2210	Es wäre also im Studio recht eng geworden.
87670	90720	3050	Rosetta ist im Moment Seite an Seite mit dem Kometen Chury
90800	92910	2110	durchs Weltall unterwegs.
93070	96470	3400	Auch die Schweiz ist an Bord - mit Messgeräten.
96660	99110	2450	Von diesen erhofft sich das Schweizer Team
99410	101000	1590	Antworten auf grosse Fragen,
101220	104400	3180	nämlich wie das Sonnensystem entstanden sein könnte
104550	107080	2530	oder ob Kometen mitverantwortlich dafür sind,
107220	110320	3100	dass auf der Erde Leben existiert.
110410	113800	3390	Aber wie kommt man auf einem Kometen, der so weit entfernt ist,
114000	114280	280	zu diesen Antworten?
116810	119560	2750	Rosetta war nämlich über ein Jahrzehnt unterwegs,
119800	122200	2400	bevor sie diesen Sommer beim Kometen ankam.
122450	124960	2510	Sie wird jetzt mehr als ein Jahr lang um ihn kreisen
125150	128759.99999999999	3610	und ständig Daten an die Forscher in der Schweiz liefern.
129820	133640	3820	Für Physikprofessorin Kathrin Altwegg von der Uni Bern
133800	136320	2520	ist es der absolute Höhepunkt ihrer Karriere.
136910	142160	5250	Sie erhält direkt aus dem Weltall lang erträumte, einzigartige Daten.
142270	144040	1770	Jeder Tag kann neue Überraschungen bringen.
145200	146720	1520	Es ist etwas stressig.
146920.00000000003	150240	3320	Man kommt jeden Morgen mit einem halbguten Gefühl,
150470	153040	2570	weil man nicht weiss, was in der Nacht passiert ist.
153270	156960	3690	Auf der anderen Seite ist es Wahnsinn. Es ist einfach gut.
157130	159120	1990	Nach 10 Jahren endlich zu sehen, was rauskommt, den Kometen zu spüren
162290	164840	2550	und zu sehen, dass die Instrumente das tun,
164920.00000000003	167720	2800	was man will, was man so lange geplant hat.
167820	169720	1900	Das ist phänomenal.
170300	174040	3740	Der erste Gang führt jetzt immer ins Büro des Rosetta-Dienstteams.
174800	176240	1440	Morgen. Alle:  Hallo, Kathrin.
176390	179480	3090	Gehts gut? Wir laden gerade herunter.
179630	182480	2850	Die Forscher arbeiten 7 Tage die Woche,
182680	186360	3680	laden Messdaten von der Kometensonde Rosetta herunter
186600	189120	2520	und checken, ob weit draussen im Weltall alles optimal funktioniert.
192040	195570	3530	Wie spät ist es? 12.15 Uhr. Das war noch gestern.
195800	199370	3570	Die Daten stammen aus der sog. Koma des Kometen Chury,
199470	203170.00000000003	3700	einer Gas- und Staubhülle um den Kometenkern.
203270	204070	800	Dort fangen die Berner Messinstrumente Partikel ein,
207170.00000000003	209390	2220	die sich vom Kometen lösen.
210200	214950	4750	In den letzten Tagen ist Rosetta Chury so nah gekommen wie noch nie.
215090	218190	3100	Nur noch 10 km beträgt die Distanz.
219600	222520	2920	Das ist aufregend. Es ist wirklich aufregend.
222600	224600	2000	Weil wir jetzt dem Kometen so nahe sind.
224750	228680	3930	Die Dichte ist grösser und man sieht auch die, die nicht so häufig sind.
228850	232200	3350	Immer mehr seltene Partikel und seltene Moleküle
232390	234079.99999999997	1690	können die Berner Forscher nachweisen.
236070	238760	2690	Der Komet ist ein absoluter Glücksfall
238920.00000000003	241640	2720	und hat die Forscher schon mehrfach überrascht.
241840	245560	3720	Z.B. mit seiner eigenartigen, zweigeteilten Form.
247720	249080	1360	Und das rund 4 km grosse Gebilde aus Eis, Sand und Gestein
252550	254880	2330	dreht sich um sich selbst.
256079.99999999997	260760	4680	Wie genau, das konnten die Berner Forscher mit ihren Daten zeigen.
261640	264160	2520	Das war bei diesem Kometen sehr erstaunlich,
264870	267120	2250	weil er eine so seltsame Form hat.
267370	269560	2190	Wenn man sich das ein wenig ansieht:
270150	272080	1930	Das ist unser Entchen.
272930	275800	2870	Je nach Ausrichtung dieses Entchens zur Sonne
275970	279080	3110	lösen sich mehr oder weniger Partikel vom Kometen.
280520	282880	2360	So konnten die Berner Forscher nachweisen,
283020	287840.00000000006	4820	dass sich Chury in genau 12,4 Std. einmal um sich selbst dreht.
290390	292960	2570	Kathrin Altwegg war als Projektleiterin
293110	294120	1010	schon für den Bau der Berner Mess- geräte für Rosetta verantwortlich.
297730	300720	2990	Die Hightechinstrumente wurden hier in diesen Räumen
300890	305080	4190	der Uni Bern entwickelt und gebaut - vor über 12 Jahren.
306240	308400	2160	Heute gehört der Besuch im Reinraum
308600	309120	520	erneut zum Alltag von Kathrin Altwegg.
312720	315290	2570	Hier stehen die gleichen Messinstrumente,
315520	318450	2930	wie sie im Weltall auf der Kometensonde mitfliegen.
318550	321450	2900	Es sind sog. Massenspektrometer.
323460	324130	670	So sieht das im Weltall auch aus,
325550	328210	2660	ausser dass das im Weltall einen Wintermantel trägt,
328350	331490	3140	weil es dort so kalt ist. Hier braucht es keinen.
333320	335970	2650	Im Reinraum laufen Vergleichsmessungen.
337240	339130	1890	Damit können die Forscherinnen
339450	342820	3370	die Daten aus dem Weltall zuverlässiger interpretieren.
343960	346780	2820	Wir wussten ja nicht vorher, was auf dem Kometen ist.
346930	350300	3370	Was immer wir sehen, müssen wir im Labor nachstellen,
350430	353220	2790	um sicher zu sein, dass es übereinstimmt.
353540	354140	600	Den Forscherinnen geht es auch um die Frage,
356330	359100	2770	ob Kometen bestimmte chemische Elemente
359270	362580	3310	auf die Erde gebracht haben könnten, z.B. Wasser.
363520	367300	3780	Oder chemische Verbindungen, die Kohlenstoff enthalten.
367960	369150	1190	Diese sog. organischen Moleküle sind Bausteine des Lebens.
373640	375600	1960	Die Frage ist natürlich:
375680	379600	3920	Brachten Kometen u.a. auch organisches Material auf die Erde?
