start	end	duration	text
1760	2920	1160	.
3070	6040	2970	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7940	12520	4580	Der Bundesrat und auch ich persönlich sind tief betroffen.
12680	16320	3640	Wir sind erschüttert von diesem Attentat in Paris.
16550	19440	2890	Wir sprechen allen Angehörigen und den Familien der Opfer
19550	22040	2490	unser tiefes Beileid aus.
22220	24400	2180	Ich schrieb auch Frankreichs Präsidenten
24560	28080	3520	und brachte zum Ausdruck, dass wir mit Frankreich leiden.
28300	31080	2780	Ich als Karikaturist musste mir schon
31240	34080	2840	seit der Affäre mit den Mohammed-Karikaturen überlegen,
34230	37120	2890	was man sagen kann und v.a. wie man es sagen kann.
37300	40040	2740	Aber die Meinungsäusserungsfreiheit ist ein Gut,
40250	42170	1920	das wir dringend verteidigen müssen.
42260	44930	2670	"In den 90er-Jahren schrieb ich jahrelang für den ""Nebelspalter""."
45070	48490	3420	Auch damals bekamen wir alle möglichen Beschimpfungen -
48590	50530	1940	anonyme Briefe, wir wurden verklagt.
50630	52850	2220	Wir wurden aber nie tätlich angegriffen.
52970	54850	1880	Egal, was jemand schreibt oder sagt,
55010	56970	1960	Gewalt ist nie eine angemessene Reaktion.
57170	61090	3920	Erstens: Im Namen der ganzen SRG teilen wir
61190	64050	2860	die Trauer und Solidarität mit den französischen KollegInnen.
64190	67330	3140	Zweitens: Diese Mörder wollten die Medien einschüchtern,
67440	69450	2010	das darf ihnen nicht gelingen.
69620	71650	2030	Drittens: Die Medienfreiheit gilt auch
71800	74050	2250	für die Berichterstattung über Religionen.
74289.99999999999	76570	2280	Mit Gewalt darf man die Medienfreiheit nicht einschränken.
78510	81730	3220	Keine Karikatur, egal was sie zeigt, rechtfertigt einen Mord.
81870	83890	2020	Guten Abend, meine Damen und Herren.
84110	86130	2020	Der Anschlag in Paris mit 12 Toten und 11 Verletzten
86289.99999999999	90450	4160	"galt dem französischen Satiremagazin ""Charlie Hebdo""."
90539.99999999999	92330	1790	Treffen tut er uns alle.
92539.99999999999	95690	3150	Bei mir im Studio ist Peter Rothenbühler, Publizist,
95860	99210.00000000001	3350	Frankreichkenner, perfekt zweisprachig
99400	101690	2290	und schweizerisch-französischer Doppelbürger.
101870	103810	1940	Was bedeutet der Anschlag heute für Sie?
103990.00000000001	107090	3100	Wir untertiteln live:
115120	118090	2970	Er hat mich sehr erschüttert und schockiert wie selber nur der
118289.99999999999	122010	3720	Anschlag auf das World Trade Center in New York.
122250	126210	3960	Ein Anschlag fand statt auf zentrale Pfeiler unserer Freiheit.
126360	132290	5930	4 grosse Künstler sind gestorben.
135530	141010	5480	Wenn man sie in den Chanson-Bereich
141190	143970	2780	Vergleichen würde, wäre das ganz grosse Sänger gewesen.
143950	145890	1940	Wir nehmen uns heute Zeit und gehen in die Tiefe.
146060	148210	2150	Der Anschlag von Paris ist Thema dieser Sendung.
150030	151810	1780	Der Anschlag war wohl genau geplant.
152070	154290	2220	Die mit Kalaschnikows bewaffneten Täter überfielen das Satiremagazin
154510	156810	2300	während der wöchentlichen Redaktionssitzung,
156980	159050	2070	an der die meisten Zeichner und Autoren teilnehmen.
159260	163650	4390	Sie schossen, um zu töten - und verschwanden danach.
163760	165930	2170	Sie tauchten ab, bis jetzt.
167940	169170.00000000003	1230	Unten auf der Strasse
169280	171610	2330	eröffnen 2 Männer in schwarzer Kampfmontur das Feuer.
175280	176810	1530	"""Allah ist gross"", ruft einer."
176980	179570	2590	Es ist kurz vor Mittag, als sie, wie dieses Amateuraufnahme zeigt,
179730	183170	3440	den Sitz der Satirezeitschrift stürmen.
183430	186730	3300	Als ich die Schüsse hörte, glaubte ich erst, hier wird gefeiert,
186830	188650	1820	bis ich aus dem Fenster sah und verstand:
188740	190850	2110	Es ist eine Schiesserei im Gange.
191000	193650	2650	Ich war auf meinem Balkon und hörte Lärm.
193780	195530	1750	Es hat gut 10 Min. gedauert.
195690	201810	6120	Dann sah ich einen verletzten Polizisten.
201990	204770	2780	12 Menschen werden beim Massaker getötet.
204890	206690	1800	Darunter mehrere prominente Zeichner,
206880	211890	5010	der Redaktionsleiter des Satiremagazins sowie 2 Polizisten.
212120	214650	2530	11 weitere Personen sind schwer verletzt worden,
214790	217050	2260	4 davon lebensgefährlich.
219230	221210	1980	Es war extrem brutal,
221380	224290	2910	das sieht man auch an der Zahl der Opfer.
224380	227020	2640	Für mich sieht das Ganze nach einer geplanten Operation aus,
227180	234340	7160	bei der eine Mission zu erfüllen war.
234520	238420.00000000003	3900	Die beiden Schützen und ein Mittäter können unerkannt fliehen
238630	240980	2350	und scheuen auch da vor nichts zurück:
241070	242820	1750	Sie schiessen auf einen Polizisten
243020	246380	3360	und überfahren später angeblich einen Fussgänger.
252220	253980	1760	Die Bilder dokumentieren,
254140	257620	3480	wie die Täter immer wieder auf die Polizisten gefeuert haben.
257700	259899.99999999997	2200	Die Bestürzung ist gross.
262070	264980	2910	Frankreichs Präsident Francois Hollande reist zum Tatort
265070	268340	3270	und spricht von einem barbarischen Akt.
268460	272340.00000000006	3880	Frankreich ist schockiert über diesen Terroranschlag.
272500	276900	4400	Die Zeitschrift wurde mehrmals bedroht
277080	286420	9340	und war deshalb unter Schutz gestanden.
286570	290750	4180	Hollande ruft den morgigen Donnerstag als Trauertag aus.
