start	end	duration	text
1990	4550	2560	.
5110	15070	9960	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15790	17550	1760	"Guten Abend, herzlich willkommen bei ""Puls"" -"
18110	19910	1800	das sind unsere Themen heute.
20870	26150	5280	Warum sogar der Rettungshelikopter kein Blut an Bord hat.
27730	33550	5820	Von der besten Behandlung profitieren nur wenige.
35140	36950	1810	Wer richtig handelt,
37630	41150	3520	kann sogar ausgeschlagene oder abgebrochene Zähne noch retten.
42280	47950	5670	Immer wieder eine Herausforderung - gerade für Ältere.
49140	51990	2850	Blut ist der Saft, der unser Körper am Leben erhält.
52670	55150	2480	Verunfallt jemand und verliert viel Blut,
55790	58630	2840	dann braucht dieser Mensch oft neues Blut.
59190	61190	2000	Da wäre es doch eigentlich naheliegend,
61870	65030	3160	dass jede Ambulanz und jeder Rettungshelikopter Blut an Bord hat.
65570	67630	2060	Aber ganz so einfach ist es nicht:
68300	71350	3050	Der Umgang mit Blutkonserven ist nämlich heikel.
72270	76070	3800	Bei schweren Unfällen meist als Erste vor Ort: die Rettungskräfte.
76610	78630	2020	Ihr Einsatz entscheidet über Leben und Tod -
79250	81230	1980	entsprechend die Ausrüstung.
81820	84110	2290	Im Krankenwagen findet man alle Geräte und Medikamente,
84789.99999999999	89030	4240	die für die Versorgung von Schwerst- verletzten nötig sind - und mehr:
89710.00000000001	92550	2840	sogar ein kleiner Trostlöwe für Kinder.
93210.00000000001	97550	4340	Blutkonserven hingegen sucht man hier vergebens.
98229.99999999999	99710.00000000001	1480	Blut muss dauernd gekühlt werden,
100340	102670	2330	es braucht eine Kühlkette, die nicht unterbrochen werden darf.
103360	105350	1990	Es muss dauernd kontrolliert werden, es kann ablaufen.
105970	107550	1580	Deshalb ist es etwas Aufwendiges,
108259.99999999999	112070	3810	das wir hier in der Stadt nicht im Rettungswagen haben können.
112740.00000000001	114990.00000000001	2250	Die Zürcher Schutz & Rettung ist damit nicht alleine.
115580	118350	2770	Kein Krankenwagen oder Rettungshubschrauber in der Schweiz
118979.99999999999	120550	1570	führt Blutkonserven mit.
121220	125350	4130	Zu aufwendig wäre die Lagerung: Dafür braucht es spezielle Kühlschränke.
126110	131710	5600	Denn auch Erschütterungen gilt es bei Blutkonserven zu verhindern.
132330	134470	2140	Wenn das nicht gewährleistet ist,
135170	137990	2820	hat man das Risiko eines Blutprodukts, oder Konzentrats,
138660	142590	3930	bei dem die roten Blutkörperchen nicht mehr funktionstüchtig sind
143260	147030	3770	und sich im Beutel auflösen.
147790	149990	2200	Das Blut wäre dann unbrauchbar.
150610	154510	3900	Im Rettungswagen werden deshalb bei Blutverlust Salzlösungen eingesetzt,
155210	158070	2860	um den Flüssigkeitsverlust auszugleichen.
158590	161310	2720	Echtes Blut braucht es hier nicht.
161890	164710	2820	In der Stadt Zürich sind die Wege derart kurz -
165340	168550	3210	die Schutz & Rettung ist in 80 % der Fälle innert 10 Min. im Spital.
169230	172590	3360	Deshalb würde das wahrscheinlich nichts bringen.
173240	177750	4510	Kurze Wege bis zum nächsten Spital, das gilt fast überall in der Schweiz.
180190	183070	2880	Anders schätzen das die Rettungskräfte im Wallis ein.
183730	187670	3940	In der bergigen Region dauern Rettungsflüge nicht selten 30-60 Min.
188300	190590	2290	bis zum nächsten grossen Traumaspital.
191210	194990	3780	Eine lange Zeit, besonders für schwerstverletzte Bergsportler.
198329.99999999997	201470	3140	Wenn wir solche Schwerverletzten betrachten,
202090	203829.99999999997	1740	mit Oberschenkel-, Beckenbruch
204590	206870	2280	und vielleicht noch einer Verletzung der inneren Organe,
207550	208930	1380	Milz- oder Leberruptur,
209570	213370	3800	sind wir in den ersten 1-2 Std. bei bis zu 5 l Blut.
214030	215329.99999999997	1300	Solch grosse Blutverluste
215890	217660	1770	können nicht allein mit Salzlösung ausgeglichen werden.
218300	224300	6000	Blutersatzprodukte stossen da an ihre Grenzen.
224940	227340	2400	Bisher hatten wir nur die Möglichkeit von Elektrolytlösung
228030	229300	1270	und Plasmaexpander.
229960	233140	3180	Dann fehlen mir natürlich die Sauerstoffträger,
233820	238180	4360	sprich die roten Blutkörperchen und die Gerinnungsfaktoren.
238780	242380	3600	Der Sauerstofftransport im Körper bricht dann zusammen, Lebensgefahr.
243110	245380	2270	Air Zermatt will deshalb jetzt Bluttransfusionen
246020	247820	1800	bereits während des Flugs durchführen.
248550	251740	3190	Dafür braucht es jedoch die Zusammenarbeit mit dem Spital Visp.
252470	254820	2350	Hier liegen immer drei Beutel Universalspendenblut
255550	259100.00000000003	3550	der Blutgruppe 0- bereit -
259829.99999999997	262860	3030	der einzigen allgemein verträglichen Blutgruppe.
263520	265700	2180	Wenn nun der Helikopter mit der verletzten Person
266390	267780	1390	in Visp zwischenlandet,
268410	271020	2610	steht schon jemand auf dem Dach und übergibt die Blutkonserven.
271740	276580	4840	Das soll in Zukunft Leben retten.
277260	279260	2000	Wir haben eine Erhebung gemacht, es kämen ungefähr im Jahr
279860	284020	4160	10-15 Patienten, die so maximal schwerverletzt sind,
284710	287060	2350	dass sie auch Kreislauf-instabil werden
287640	291900	4260	aufgrund des grossen Blutverlustes. Die würden davon profitieren.
292450	294540	2090	Air Zermatt will nun zwei Jahre lang
295110	297780	2670	Erfahrungen mit den Bluttransfusionen während des Flugs sammeln.
298409.99999999994	303900	5490	Erst dann ist ersichtlich, ob sich der Zwischenstopp wirklich lohnt.
304800	307860	3060	Der Helikopter holt also Universalspenderblut
308480	312980	4500	der Blutgruppe 0- im Spital Visp.
313520	315300	1780	Weshalb verträgt jeder diese Blutgruppe?
315940	320740	4800	Wir untertiteln live:
323310	329300	5990	Auf der Oberfläche der roten Blutkörperchen haben wir bestimmte
330010	333180	3170	Merkmale aufgrund dieser Merkmale teilt man die Blutgruppen ein.
333800	339340.00000000006	5540	Und der Körper kann Antikörper bilden.
341250	347260	6010	Bei der Blutgruppe 0- hat es keine dieser Merkmale.
352920	356500	3580	Der Empfänger sieht dieses Blut, das er erhält, nicht als Fremdkörper an.
357130	358620	1490	Die Antikörper zerstören es nicht.
359250	361340	2090	Blutgruppe 0 negativ kann von allen akzeptiert werden.
361550	363540	1990	0- ist selten, also sollte man spenden,
364180	366620	2440	falls man diese Blutgruppe hat?
378750	380740	1990	Sie sollten unbedingt Blutspenden.
381350	382740	1390	Aber auch alle anderen.
383360	385820	2460	Wir wissen nie, wann man Blut braucht.
386170	388260	2090	2 % der Menschen in der Schweiz leiden an Psoriasis -
388900	390100	1200	zu Deutsch Schuppenflechten.
390730	392100	1370	Die Haut ist rot, schuppig und juckt extrem.
392730	394220	1490	Dazu kommt: Es sieht oft nicht gerade schön aus.
394880	397380	2500	Die Patienten werden angestarrt, oder man ekelt sich sogar vor ihnen.
398050	399700	1650	Dabei sind Schuppenflechten nicht ansteckend.
400990	404180	3190	Heute Abend können Sie schriftlich Fragen zu Schuppenflechten stellen.
404830	406860	2030	Die drei Hautspezialistinnen und -spezialisten sind für Sie da
407510	409940	2430	auf srf.ch/puls.
410580	412500	1920	Schuppenflechten sind eine Krankheit,
413140	414860	1720	für die es lange keine wirklich gute Therapie gab.
415590.00000000006	417659.99999999994	2070	Aber das hat sich in den letzten Jahren geändert.
418300	423700	5400	Eine neue Klasse Wirkstoffe ist auf den Markt gekommen, sog. Biologicals.
424320	426700	2380	Das sind biotechnologisch hergestellte Medikamente.
427370	433820	6450	Und diese Hightech-Mittel können gewissen Patienten enorm helfen.
435090	437660	2570	So, jetzt gibt es einen kleinen Stich.
438320	440580	2260	Zwei Spritzen pro Monat - seit er die bekommt,
441150	445460	4310	ist die Hautkrankheit für Philipp Krähenmann nur noch Erinnerung.
448030	449980	1950	Drei solche Stellen am Rücken sind alles,
450630	453620	2990	was von seiner Schuppenflechte übriggeblieben ist.
454270	455980	1710	Ich hatte eine ziemlich schwere Psoriasis,
456670	459500	2830	der ganze Rücken, der Bauch, die Beine, die Arme
460150	463500	3350	und das Gesicht um den Haarumsatz waren voll.
464020	467380	3360	Im Vergleich zu früher ist das eine andere Lebensqualität.
468020	471740	3720	Ich muss es niemandem mehr erklären -
472400	475460	3060	weshalb ich z.B. hier einen roten Kranz habe,
476150	481100	4950	oder weshalb ich immer lange Ärmel trage.
481790	485700	3910	Ich kann mich wieder frei bewegen.
486310	489020	2710	Über 30 Jahre lebt Philipp Krähenmann schon mit Psoriasis.
489630	491700	2070	Alte Fotos, als sich am Körper
492270	495110	2840	immer wieder grossflächige Psoriasisherde bildeten.
495740	500430	4690	Die Haut erneuert sich an diesen Stellen viel schneller als normal.
503430	506470	3040	Normalerweise überlebt eine Hautzelle etwa einen Monat.
507150	510070	2920	In dieser Zeit entsteht sie in der untersten Schicht der Oberhaut
510710	512789.99999999994	2080	und schiebt sich immer weiter an die Oberfläche.
513409.99999999994	517350	3940	Schliesslich fällt sie als verhornte, tote Hautschuppe ab.
517909.99999999994	519510	1600	Bei Psoriasis-Patienten
520150	524230	4080	wandern aus noch ungeklärten Gründen Abwehrzellen, sog. T-Zellen,
524890	530190	5300	in die Oberhaut und schütten dort Wachstumseiweisse aus.
534310	537710	3400	Die Hautzellen beschleunigen dadurch ihren Lebenszyklus extrem -
538350	543950	5600	bei Psoriasis-Patienten erneuert sich die Haut in nur fünf Tagen komplett.
544670	547910	3240	Die Hautzellen bleiben unreif, betroffene Bereiche entzünden sich
548470	552190	3720	und stossen massenhaft verdickte Zellen an die Oberfläche.
552910	557590	4680	Die für Psoriasis typischen geröteten und schuppenden Herde entstehen.
558310	559870	1560	Mit dem unkontrollierten Wuchern
560450	563390	2940	hat es bei Philipp Krähenmann vor 30 Jahren angefangen.
563990	568550	4560	Salben, selbst solche mit Kortison, brachten keine anhaltende Besserung.
569250	573150	3900	Mit den Jahren wurden die Therapien immer aufwendiger.
573810	578870	5060	In den 90er-Jahren hatte ich v.a. Strahlentherapie.
579540	582990	3450	Mehrere Monate lang ein riesiger Aufwand,
583530	585470	1940	dreimal pro Woche musste ich zum Arzt.
586170	591190	5020	Es hielt dann 2-3 Monate und dann fing es wieder an.
591830	593990	2160	Dann versuchte man eine stationäre Teerbehandlung: ohne Erfolg.
594660	597630	2970	Und ein Krebsmedikament, das das Immunsystem unterdrückt,
598220	601590	3370	setzte er wegen der starken Nebenwirkungen bald wieder ab.
602270	604030	1760	Erst die neuen Medikamente, die Biologicals,
604620	607470	2850	brachten den lange ersehnten Erfolg.
608150	611030	2880	Diese künstlich hergestellten Eiweisse werden gespritzt
611550	614310	2760	und greifen gezielt in die gestörten Wachstumsprozesse
614990	617390	2400	der Psoriasisherde ein.
618020	620990	2970	Unterschiedliche Biologicals können die verschiedenen Botenstoffe
621570	623240	1670	der fehlgeleiteten Immunzellen blockieren
623950	627420	3470	und damit Wachstum und Entzündung der Hautzellen bremsen.
628110	631980	3870	Die schuppenden Herde an der Hautoberfläche verschwinden.
632650	635260	2610	Die Entzündung nimmt ab, die Hauterneuerung verlangsamt
635920	640140	4220	und normalisiert sich wieder - bestenfalls.
644020	646620	2600	Der Erfolg hat aber auch eine Schattenseite.
647260	649710	2450	Biologicals hemmen die Immunreaktionen
650290	652510	2220	auch gegen andere Krankheitserreger.
653220	655630	2410	Philipp Krähenmann leidet deshalb häufiger als früher
656340	661070	4730	an Rachenentzündungen und Entzündungen der Harnwege.
664480	667590	3110	Das ist die häufigste Nebenwirkung der meisten Biologicals,
668150	672000	3850	sog. Nasenpharyngitis - man hat also Halsweh und Schnupfen.
672670	674200	1530	Schwere Infektionen
674790	678160	3370	kommen erstaunlicherweise für diese Medikamente relativ selten vor.
678770	680960	2190	Bei 100 Behandelten in einem Jahr
681520	684480	2960	tritt bei 1-2 Patienten ein schwerer Infekt auf.
685130	688280	3150	Das sind oft Infektionen der Lunge, der Haut und Weichteile,
688960	693000	4040	oder auch Blasen- und Niereninfektionen.
693650	695680	2030	Biologicals zur Therapie der Psoriasis
696220	697960	1740	gibt es seit rund zehn Jahren.
698710	700720	2010	Mittlerweile existiert von dieser Medikamentengruppe
701350	703160	1810	bereits die vierte Generation.
703820	708440	4620	Bei Philipp Krähenmann liess die Wirkung jeweils nach 2-3 Jahren nach.
709150	712800	3650	Heute erhält er ein Mittel der vierten Generation.
715470	718600	3130	Bei einem Teil der Patienten kommt es zu einem Wirkungsverlust
719230	720960	1730	und wir verstehen nicht, wieso.
721560	723360	1800	Vielleicht wurde die Aktivität der Psoriasis stärker.
723990	726360	2370	Es sind gewisse Umstände, vielleicht sind immer wieder Infektionen,
727020	728360	1340	die die Aktivität der Psoriasis verstärken
728990	730960	1970	und es kommt zum Wirkungsverlust des Medikaments.
731600	734640	3040	Im Moment kommt Philipp Krähenmann mit der Behandlung gut zurecht.
735230	736880	1650	Für ihn ist klar:
737490	742320	4830	lieber ab und an einen Infekt, als flächendeckend Schuppenflechte.
743000	744520	1520	Es ist kein Vergleich zu früher -
745230	747920	2690	ich lebe heute praktisch erscheinungsfrei
748550	752400	3850	und es ist wie ein neues Leben, das mir geschenkt wurde.
753240	755680	2440	Das neue Leben hat allerdings einen stolzen Preis:
756390	759360	2970	30'000 Fr. kostet die Behandlung mit Biologicals. Pro Jahr.
759960	762880	2920	Da kommt im Laufe des Lebens eines Schuppenflechten-Patienten
763560	765280	1720	also eine rechte Summe zusammen.
765850	769000	3150	Und wegen der enormen Kosten bekommt lange nicht jeder Patient,
769640	771920	2280	der sie will, diese Mittel.
