start	end	duration	text
16940	18910	1970	MIT TELETEXT-UNTERTITELUNG
20380	22310	1930	* Keuchen *
33510	35230	1720	* Keuchen *
50150	52070	1920	* Schuss *
53330	53870	540	* Verträumte Musik *
57580	60910	3330	Die Steinbockjagd ist die schönste Jagd für mich.
61020	62990	1970	Es ist eine besondere Jagd.
63140	67550	4410	Man kann Steinböcke nicht jedes Jahr jagen, sondern nur alle zehn Jahre.
67700	68870	1170	Für mich ist es die Krönung, einen Bock zu schiessen.
73400	75550	2150	Unser Wappentier ist unser Stolz.
76620	79270	2650	Es freut mich, dass ich dieses Tier schiessen darf.
80340	82310	1970	* Verträumte Musik *
86100	90070	3970	36 Jahre hat Domenic Jäger auf diesen Moment gewartet.
90390	93830	3440	Die Möglichkeit, einen kapitalen Steinbock zu erlegen.
94009.99999999999	96270.00000000001	2260	Doch geschenkt bekommt er ihn nicht.
96380	98910	2530	Auf ihn wartet eine grosse Herausforderung.
99220	101229.99999999999	2010	Und nur wenn alles zusammenpasst,
101350	104190	2840	wird es der Höhepunkt seines Lebens als Jäger.
104310	106270.00000000001	1960	Davon handelt dieser Film.
108300	110270.00000000001	1970	* Verträumte Musik *
116020.00000000001	118470	2450	Eine Woche bevor die Jagd beginnt,
118620	121870	3250	erkundet Domenic das Val Minor im Oberengadin.
122020	125910	3890	Dieses Tal könnte ihm möglicherweise für die Jagd zugeteilt werden.
126120	128509.99999999999	2390	Für den Oberhalbsteiner Neuland in puncto Jagd.
129020.00000000001	131470	2450	Umso wichtiger ist es, herauszufinden,
131550	133550	2000	wo sich die Tiere hier aufhalten.
134670	136630	1960	* Verträumte Klänge *
153700	157310	3610	Ich glaube, beide sind gut für meine Altersklasse.
158540	158910	370	Ich schätzte sie zwischen sieben und neun Jahre alt.
164140	166110	1970	Jetzt warten wir kurz.
167380	170310	2930	Dann können wir den Grossen wieder ansprechen.
170550	173350	2800	Dann wissen wir genau, wie alt er ist.
179190	181910	2720	"""Ansprechen"" bezeichnet in der Jägersprache"
182070	184110	2040	die präzise Beobachtung des Tiers.
184260	188070	3810	Zwischen sechs und zehn Jahre alt muss sein Steinbock sein.
188170	189030	860	Der Abschuss eines unerlaubten Tiers
190700	192830	2130	hat für den Jäger grössere Konsequenzen.
193070	195430	2360	Er muss eine Busse zahlen und darf die Trophäe,
195550	197670.00000000003	2120	also die Hörner, nicht behalten.
198340	202310	3970	Das Alter ablesen kann man bei den Steinböcken an den Hörnern.
203660	203950	290	Ein kurzer Blick genügt aber nicht, um dies herauszufinden.
207790	209510	1720	* Keuchen *
214660	216750	2090	Auch ohne Gewehr wird gepirscht.
216829.99999999997	219030	2200	Steinböcke aus nächster Nähe zu beobachten
219610	221829.99999999997	2220	ist immer ein besonderes Erlebnis.
222470	224390	1920	* Keuchen *
250460	254590	4130	Zwei, drei, vier, fünf, sechs, sieben, acht ...
255140	257110	1970	Dreh den Kopf noch ein wenig!
261940	263990	2050	Was geht in dir vor, wenn du solche Tiere beobachten kannst?
268230	270320	2090	Da geht allerlei in mir vor.
271990	276320	4330	Ich überlege mir schon, wie ich am besten anpirschen könnte.
276550	278960	2410	Der Puls erhöht sich, wenn man so etwas sieht.
281070	283600	2530	Man könnte sich sehr langsam anschleichen
283710	285680	1970	und auf Schussdistanz gehen.
288060	290760	2700	Mein Adrenalinspiegel steigt dann gewaltig.
293620	294000	380	Eine Woche muss er noch warten, dann ist es so weit.
297050	299120	2070	An Geduld mangelt es ihm nicht.
299290	303360	4070	Bis zu seinem 58. Lebensjahr musste Domenic Jäger warten,
303460	306160	2700	bis er jetzt, bei seiner 3. Steinwildjagd,
306340	309080	2740	endlich einen grossen Steinbock ins Visier nehmen darf.
311590	315720	4130	Wie sein Name verrät, waren schon seine Vorfahren begnadete Jäger.
316200	318360	2160	Eine Leidenschaft,
318450	322640	4190	die sozusagen von Generation zu Generation weitergegeben worden ist.
323940	324040	100	Meine erste Begegnung mit der Jagd hat schon sehr früh begonnen.
328350	330600	2250	Mein Onkel war Jagdaufseher in Sur.
331340	335240	3900	Wir gingen früher ab und zu mit ihm auf die Jagd
335390	338360	2970	und brachten den Wildtieren Salz.
338659.99999999994	339000	340	Mein Patenonkel und meine Verwandten waren auch Jäger,
342570	344800	2230	und ich habe sie ab und zu begleitet.
344940	346870	1930	Das ist schon lange her.
347050	349950	2900	Ich bin sozusagen da hineingewachsen.
354250	356950	2700	Sein Jagdgebiet kennt er in- und auswendig.
357140	361590	4450	Die Täler und Berge hier oberhalb von Pontresina sind ihm aber fremd.
361700	363720	2020	Eine grosse Herausforderung.
363800	366320	2520	Es beansprucht viel mehr Energie.
366930	369080	2150	Man kennt es nicht, man weiss nicht, wo man hingelangt.
370780	373040	2260	Aber jetzt haben wir ein paar gesehen,
373220	376000	2780	und ich denke, es wird am Schluss schon klappen.
376450	380000	3550	Von den 6'000 Steinböcken, die in Graubünden heimisch sind,
380220	383120	2900	müssen jedes Jahr um die 500 geschossen werden,
383340	384080	740	damit die Population im Gleichgewicht bleibt.
386240	388320	2080	Diese Regulierung dürfen jedes Jahr
388490	390560	2070	nur eine kleine Anzahl Jäger übernehmen.
390660	393320	2660	Daher auch die langen Wartefristen für jeden Jäger.
393460	395560	2100	Zwei Tiere soll Domenic Jäger erlegen:
395780	398800	3020	seinen kapitalen Steinbock und eine Steingeiss,
398890	399040	150	die er aber zuerst schiessen muss. So schreibt es das Gesetz vor.
402460	404840.00000000006	2380	Sacramente, perfekt.
411060	413040	1980	Diese Geiss könnte gut sein.
414620	416560	1940	* Düstere Klänge *
417170	419720	2550	Domenic Jäger versucht, näher ranzugehen.
445220	448240	3020	Wäre heute schon Jagd, es wäre ein guter Tag.
450500	453360	2860	Bei der Steingeiss ist nicht das Alter entscheidend,
453580	455560	1980	sondern ob sie säugend ist oder nicht.
455690	459120	3430	Erlegen darf man nur eine Steingeiss, die kein Jungtier aufzieht.
459690	463800	4110	Nicht immer ganz einfach, in einer Gruppe solch eine auszumachen.
463980	466680	2700	Mögliche Kandidatinnen wären jedoch dabei.
468409.99999999994	472240	3830	Heute Morgen hätte ich nicht gedacht, dass es klappen würde.
472460	474159.99999999994	1700	Aber wir haben Böcke und Geissen gesehen.
475180	478640	3460	Das beruhigt mich schon. Mich freut es, jetzt bin ich happy.
482180	485880	3700	Domenic Jäger ist bereit für das Gebiet im Val Minor.
485980	488560	2580	Ob die Tiere in einer Woche noch da sind?
488820	489080	260	In dieser Zeit kann sich viel verändern.
508570	511160	2590	Am ersten Jagdtag kommt die Ernüchterung.
511330	515559.99999999994	4230	Nicht das Val Minor wurde ihm zugeteilt, sondern das Val Languard.
523890	526040	2150	In Begleitung seines Bruders Gion
526220	530320	4100	beginnt die Jagd mit der Suche nach einer passenden Steingeiss.
548310	549200	890	Dass es wieder ein neues Gebiet ist,
550750	554280	3530	das er nicht kennt, bringt ihn aber nicht aus der Ruhe.
554460	557520	3060	Es gefällt mir noch gut. Es ist sehr offen hier.
557740	560520	2780	Und die Wanderwege sind auch nicht schlecht.
