start	end	duration	text
810	9090	8280	.
9290	14010	4720	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14110	15050	940	Guten Abend.
15200	17890	2690	"Das ist ""Schweiz aktuell"", und dies sind heute unsere Themen:"
19630	21490	1860	In Bergün im Kanton Graubünden
21650	24570	2920	hat heute der Bau des neuen Albulatunnels begonnen.
28030	29490	1460	Mit dem Aargauer Josef Sachs
29640	33010	3370	tritt einer der bekanntesten Gerichtspsychiater der Schweiz ab.
36660	38650	1990	Nach anfänglichem Widerstand der Bevölkerung
38890	43450	4560	gehören die Asylsuchenden in Laax inzwischen zum Dorf dazu.
46790	49090	2300	Es ist ein wichtiger Meilenstein für die Rhätische Bahn.
49100	50930	1830	Nach über einem Jahr Vorarbeit
51110	55010	3900	kann mit dem eigentlichen Bau des neuen Albulatunnels begonnen werden,
55200	57610	2410	der das Albulatal mit dem Engadin verbindet.
57700	62130	4430	Der alte Tunnel hat nach über 110 Jahren ausgedient und wird ersetzt.
62210	65650	3440	Den Start zum Neubau haben die Verantwortlichen heute gefeiert.
68190	71370	3180	Auf diesen Moment hat man bei der Rhätischen Bahn
71539.99999999999	74650	3110	und den beteiligten Unternehmen lange gewartet.
74820	78050	3230	Endlich kann die Grossbaustelle eröffnet werden.
78130	80610	2480	Es ist für die Rhätische Bahn
80780	82880	2100	das wichtigste Bauwerk seit dem Vereinatunnel
82980	86480	3500	und verschlingt rund 350 Mio. Fr.
87060	88960.00000000001	1900	Mit diesem Tunnel haben wir die Chance,
89120	91840	2720	die Sicherheit und die Wirtschaftlichkeit zu optimieren.
91940	94759.99999999999	2820	D.h., anstatt den alten jahrelang instandzusetzen,
94920	98000	3080	bauen wir gleich daneben einen neuen Tunnel.
98110	101840	3730	Der neue Tunnel wird direkt neben der alten Röhre gebaut.
102060	104960.00000000001	2900	Der Durchgang bleibt als Zeitzeuge erhalten
105060	107840	2780	und kann für Notfälle genutzt werden.
107950	110720	2770	Der neue Tunnel wird wie sein Vorgänger 6 km lang.
110870	115360	4490	Insgesamt zwölf Quertunnel verbinden die neue Röhre mit der alten.
115460.00000000001	117880	2420	So können Passagiere bei einem Zwischenfall
117990.00000000001	120040	2050	in den alten Stollen fliehen.
120060	121720	1660	Für Reisende auf der Albulastrecke
121890	124920	3030	wird die grosse Baustelle nicht spürbar sein.
125040	128680	3640	Rund sechs Jahre dauert es, bis der neue Tunnel fertig ist.
128940	132720	3780	Der alte Tunnel gehört inzwischen zum UNSECO-Weltkulturerbe.
132830	136600	3770	Auch beim Neubau arbeitet man eng mit der Denkmalpflege zusammen,
136820	140200	3380	um wertvolle Bijoux wie dieses erhalten zu können.
140460	141560	1100	Hinter uns steht ein altes, denkmalgeschütztes Trafohaus,
141660	147400	5740	das entsprechend eingehaust und geschützt wird,
147570	151840	4270	obwohl es den Bauarbeitern im Weg steht.
152000	154560	2560	Aber das gehört dazu, darauf muss man Rücksicht nehmen.
154720	160560	5840	Das neue Bauwerk ist für alle Beteiligten eine Herausforderung
160650	162680	2030	und nicht ohne Risiko.
162790	165680	2890	Darum soll die Heilige Barbara
165940	169840	3900	auf die Mineure aufpassen und ab heute über die Baustelle wachen.
173450	175200	1750	Christof Schneider ist jetzt
175400	179560	4160	beim Nordportal des Albulatunnels in Preda, einem Weiler von Bergün.
179720	183360	3640	Wird dort immer noch gefeiert? Wir untertiteln live:
193070	195520	2450	Nein, der grösste Teil der Festgesellschaft ist beim
195660	199600	3940	Abendessen.
199750	205640	5890	Peter Nicolay, Gemeindepräsident von Bergün ist nun bei mir.
205870	211800	5930	Was ist die Bedeutung, dass mit dem Bau begonnen werden konnte?
214660	220560	5900	Der Neubau ist für Bergün und die ganze Region von grosser Bedeutung.
224010	226360	2350	Es gibt viele Leute, Pendler, die hier arbeiten.
226500	229160	2660	Es gibt Schüler.
229290	235240	5950	Und es gibt auch viele Touristen.
238050	241760	3710	Sie laufen von hier bis nach Filisur.
241870	247840	5970	Das bedeutet aber auch mehr Verkehr.
249080	254160	5080	Ist der Lärm für die Leute, die hier wohnen, zumutbar?
254280	259600.00000000003	5320	Das ist eine grosse Baustelle.
259800	264160	4360	Die letzte solche grosse Baustelle gab es vor 100 Jahren.
264380	266960	2580	Es gibt durch das Dorf mehr Verkehr.
267080	270160	3080	Das wird sich aber schnell ändern.
270310	273440	3130	Der Hauptbahnhof wird eingerichtet.
273460	279400	5940	Dann wird der Verkehr abnehmen.
279610	284760	5150	Nach sechs Jahren haben wir eine neue Verkehrsverbindung in den
284870	287840.00000000006	2970	ins Engadin.
287920	292560	4640	Das ist ein Gewinn für die Region.
292690	298640	5950	Vielen Dank für das Gespräch.
300060	303240	3180	Das war schon von hundert Jahren so, dass die Baustelle eine grosse
303380	304160	780	Bedeutung hatte.
