start	end	duration	text
510	1660	1150	.
1840	5860	4020	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7380	9620	2240	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
9790	11420	1630	Das macht an diesem Montag Schlagzeilen:
13130	17220	4090	Sicherheitspolitiker fordern eine neue Kampfjetdiskussion.
18900	23940	5040	Jetzt werden hochgespülte Landminen und Blindgänger zur Gefahr.
25870	28620	2750	Der Entscheid über ein Schuldbekenntnis
28770	30580	1810	wird in den nächsten Stunden erwartet.
32290	36420	4130	Ein Unterwasservulkan spuckt vor Japan ein neues Eiland aus.
39060	42100	3040	Meist sonnig, im Süden zuerst bewölkt, dann auch freundlicher.
44010	48340	4330	"""Wenn nicht jetzt, dann halt später."" ""Aufgeschoben ist nicht aufgehoben."""
48420	50340	1920	Das umreisst die dezidierte Meinung
50490	52540	2050	im Lager der bürgerlichen Sicherheitspolitiker,
52740	56420	3680	was die Beschaffung neuer Kampfflugzeuge angeht.
56580	59780	3200	Man werde das Nein des Volkes zum Gripen respektieren, heisst es.
59930	63700	3770	Indessen gelte es, die drohende Lücke in der Luftverteidigung früher
63820	66060	2240	oder eben später zu schliessen. Fritz Reimann berichtet.
67700	71220	3520	Für Bundesrat Ueli Maurer und Alex Kuprecht,
71330	74100	2770	den Präsidenten der Sicherheitskommission des Ständerats,
74180	76900	2720	gilt es, die Lage neu zu beurteilen.
77020	78900	1880	Mit dem F/A-18 verfügt die Luftwaffe
79060	81300	2240	zwar immer noch über wirksame Kampfflugzeuge,
81460.00000000001	86300	4840	doch diese sind bereits seit den 90er-Jahren im Einsatz.
86500	90100	3600	Wir gehen davon aus, dass etwa Mitte des nächsten Jahrzehnts -
90180	93100	2920	also 2015 - auch die F/A-18 ausser Dienst gestellt werden müssen.
93270.00000000001	96820	3550	Wir wissen, dass Beschaffungen von Flugzeugen
96990.00000000001	99580	2590	immer eine relativ lange Vorlaufzeit haben -
99770.00000000001	101539.99999999999	1770	die Evaluation muss, meines Erachtens,
101690	103440	1750	gegen Ende dieses Jahrzehnts beginnen.
103530	106440	2910	Für die meisten bürgerlichen Politiker steht fest:
106700	108800	2100	Die Beschaffung, die mit dem Gripen fehlgeschlagen ist,
108979.99999999999	112680	3700	muss früher oder später nachgeholt werden.
112820	116039.99999999999	3220	D.h., zuerst muss man jetzt die Lebensdauer dieser F/A-18
