start	end	duration	text
3500	4640	1140	.
4790	7160	2370	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7980	9960	1980	"Die ""Tagesschau"", meine Damen und Herren, guten Abend!"
10140	13240	3100	Wir starten mit dem Schwerpunkt Ukraine in die neue Woche:
15200	17240	2040	Kiew lässt das Ultimatum
17500	20400	2900	gegen die ost-ukrainischen Separatisten verstreichen.
21870	26280	4410	In der Schweiz arbeiten Assistenz- und Oberärzte oft bis ans Limit.
28020	32040	4020	Bei einem Anschlag von Islamisten sterben über 70 Menschen.
34020	40480	6460	Der US-Golfer darf zum 2. Mal das Grüne Sieger-Jackett anziehen.
41890	45800	3910	Im Osten Wolken, an den Alpen gelegentlich etwas Schnee.
47100	51120	4020	Die Lage in der Ukraine bleibt hochentzündlich:
51330	54400	3070	Seit dem Morgen ist das Ultimatum der ukrainischen Übergangsregierung
54570	57920	3350	abgelaufen - trotzdem halten pro- russische Aktivisten nach wie vor
58060	60560	2500	mehrere Verwaltungsgebäude besetzt.
60680	62400	1720	Übergangspräsident Turtschynow
62570	65000	2430	will nötigenfalls militärisch gegen sie vorgehen -
65180.00000000001	68600	3420	eine entsprechende Intervention ist unterzeichnet.
68780	73039.99999999999	4260	Zur selben Zeit bringt Turtschynow erstmals ein Referendum ins Spiel
73250	74920	1670	über die künftige Struktur des Landes,
75050	78000	2950	aber nur, wenn die gesamte Ukraine darüber abstimmt.
78220	82320	4100	Bislang hat das die pro-russischen Separatisten nicht milder gestimmt:
83890	85720	1830	In der Stadt Horliwka
85810	88400	2590	greifen am Morgen rund 100 Aktivisten den Hauptsitz der Polizei an.
88590	93800	5210	Brandsätze fliegen, es soll Verletzte gegeben haben, berichten Augenzeugen.
93960.00000000001	97400	3440	Ein Journalist, der filmen will, wird bedroht.
98039.99999999999	101560	3520	Die Forderung der Aktivisten ist unmissverständlich.
102280	104920	2640	Wir wollen eine eigene Administration,
105000	106880	1880	das ist unsere einzige Forderung.
107100	113640	6540	Wir wollen, das diese Administration die Menschen hier unterstützt.
113800	117440	3640	Schliesslich befestigt ein Aktivist die russische Flagge am Gebäude,
117620	120560	2940	die ukrainische entfernt er.
120730	123880	3150	In Mariupol greifen vermummte pro-russische Aktivisten
124060	127160	3100	den friedlichen Marsch von pro-westlichen Demonstranten an.
127400	129840	2440	Auch hier hat es Verletzte gegeben, auch hier sind bereits
130020.00000000001	134160	4140	öffentliche Gebäude von pro-russischen Aktivisten besetzt.
135530	138120	2590	Die Übergangsregierung scheint völlig überfordert.
138300	143000	4700	Präsident Turtschynow laviert zwischen Zuckerbrot und Peitsche.
143100	147200	4100	In Poltawa, wo es gestern zu schweren Auseinandersetzungen gekommen ist,
147450	150520	3070	demonstrieren heute bei kaltem Aprilwetter Hunderte
150740	153720	2980	für die Einheit des Landes.
153980	158120	4140	Die Ukraine war immer eine Einheit, es gibt keinen Separatismus hier.
158340	161720	3380	Das ist alles von aussen gesteuert.
161880	165680	3800	Die Demonstranten rechnen damit, auf russische Aktivisten zu stossen,
165840	169200	3360	doch diese zeigen sich heute nicht.
169370	171880	2510	Die Gefahr von weiteren Eskalationen bleibt aber bestehen.
172980	176000	3020	Die Übergangsregierung lässt das Ultimatum verstreichen,
176180	179329.99999999997	3150	die Situation in der Ukraine bleibt unverändert.
179470	182330	2860	Christoph Wanner: Weshalb greift die Regierung nicht ein?
182420	193770	11350	Wir untertiteln live:
193870	195650	1780	Ich hatte zuvor ein Problem mit der Leitung.
196740	198770	2030	Kannst du die Frage wiederholen?
202340	204810	2470	Die Übergangsregierung hat das Ultimatum verstreichen lassen.
207670.00000000003	209570	1900	Weshalb greift die Regierung nicht ein?
214270	216170.00000000003	1900	Das zeigt, wie schwach die Übergangsregierung
216790	218650	1860	in Kiew ist.
221310	223250	1940	Was Turtschynow macht, ist falsch.
225500	227850	2350	Wenn er die Sondereinheiten gegen die pro-russischen Milizen
228340	230290	1950	und Aktivisten loslässt,
231550	233450	1900	könnte Blut vergossen werden.
238790	241050	2260	Das könnte das Startsignal für die Truppen von Putin sein.
241170	243130	1960	Wenn er nichts macht und nur zusieht,
246420	249170	2750	wie die Aktivisten eine Stadt nach der anderen einnehmen und besetzen,
251740	253650	1910	verliert er den Osten des Landes.
253910	255810	1900	Ich möchte nicht in der Haut von Putin auf stecken.
259529.99999999997	261450	1920	-- von Turtschynov.
264640	267410	2770	Übergangspräsident Turtschynow hält inzwischen ein Referendum für die
267560	270330	2770	Ostukraine, bei der aber die gesamte ukrainische Bevölkerung abstimmen
270500	272409.99999999994	1910	soll, für denkbar. Was erhofft er sich davon?
282909.99999999994	285050	2140	Was sich Turtschynow von all seinen Handlungen erhofft,
285380	287330	1950	ist schwierig zu sagen.
289980	292050	2070	Das Referendum, das im ganzen Land stattfinden soll,
294740	296930	2190	wird von den pro-russischen Aktivisten nicht akzeptiert.
298170	300090	1920	Sie wollen natürlich nur im Osten abstimmen.
302070	303930	1860	Turtschynow hat auch von Blauhelmen gesprochen,
306790	308730	1940	die im Osten der Ukraine aktiv werden sollen.
310210	312090	1880	Das ist natürlich utopisch.
315770	318050	2280	Russland wird im Sicherheitsrat ein Veto dagegen einlegen.
322360	324850	2490	Ausserdem sind mehrere Ultimaten von Turtschynow verstrichen.
326150	328170	2020	Er wird im Osten des Landes nur noch belächelt.
331180	333930	2750	Russland beobachtet die Lage natürlich haargenau.
334150	336810	2660	Präsident Wladimir Putin lässt heute über seinen Sprecher verlauten,
336909.99999999994	339450	2540	"er sei ""sehr besorgt über die Lage in der Ost-Ukraine""."
339710	341650	1940	Putins Aussenminister Lawrow beteuerte heute abermals,
341750	343730	1980	es stimme nicht, dass Russland sich
343890	345690	1800	in die ukrainischen Angelegenheiten einmische.
345790	348610	2820	Es sei im Interesse Russlands,
348790	351490	2700	dass die Ukraine als Ganzes bestehen bleibe.
351740	354530	2790	Lawrow war am Morgen vor die Medien getreten.
354659.99999999994	357770	3110	Er zeigte Interesse am Referendum,
357930	359770	1840	das der ukrainische Präsident angekündigt hatte.
359900	362130	2230	Er brauche dazu mehr Informationen.
362340	364450	2110	Weiter forderte Lawrow, dass die Bewohner
364630	367490	2860	des russisch geprägten Landesteils bei der Ausarbeitung
367670	369850	2180	einer neuen ukrainischen Verfassung einbezogen werden.
372300	375090	2790	Der russische Aussenminister Lawrow zeigt Interesse am Referendum.
375280	378410	3130	Gleichzeitig hat Russland an der Grenze zur Ukraine
378500	380010	1510	Panzer stationiert.
380150	383610	3460	Christoph Wanner: Ist dieses Inte- resse mehr als ein Lippenbekenntnis?
383700	394090.00000000006	10390	Wir untertiteln live:
394220	396130	1910	Momentan ist es absolut schwierig,
397600	399610	2010	in die Russen reinzuschauen.
401350	403290	1940	Seit der Krim-Krise und der Annexion der Krim
409580	412450	2870	ist es mit der Glaubwürdigkeit der russischen Politiker nicht mehr weit
412540	414490	1950	her.
419350	421850	2500	wenn Lawrow davon spricht, dass er nicht daran interessiert ist,
426010	428690	2680	dass die Ukraine gespalten wird, kann es morgen schon wieder anders
428780	430730	1950	sein.
431820	434330	2510	Wie sich Putin entscheiden wird, mag noch in der Schwebe sein.
435940	438010	2070	Vielleicht hat der Kreml-Chef noch nicht entschieden,
439230	441130	1900	wie es mit der Ukraine weitergehen soll.
443690	446250	2560	Aber wenn Putin die Ukraine spalten will und den Osten des Landes
446870	448770	1900	in die Föderation eingliedern will,
449960	451930	1970	wird ihn niemand aufhalten können.
454710	456370	1660	Auch wenn Russland beteuert,
456550	458210	1660	es mische sich nicht in inner- ukrainische Angelegenheiten ein -
458380	460450	2070	das sieht man international eher anders.
460640	462690	2050	Aus Deutschland heisst es heute, vieles deute darauf hin,
462950	465170	2220	dass die bewaffneten Gruppen in der Ost-Ukraine
465220	467130	1910	russische Unterstützung bekämen.
467210	470810	3600	An einem Treffen der EU-Aussenminis- ter in Luxemburg wurde heute beraten,
470980	473770	2790	wie darauf angemessen reagiert werden soll.
475650	480130	4480	Die Ereignisse der letzten 48 Std. in der Ukraine sind sehr gefährlich,
480250	482410	2160	eine Eskalation droht.
482590	488930	6340	Denn es könnte auf beiden Seiten zu weiteren Aktionen kommen.
489110	492690	3580	Klare Worte aus Grossbritannien.
492860	497610	4750	Unklar aber, welches die Aktion seitens EU sein könnte.
499950	502530	2580	Zuerst müssen wir Moskau zur Vernunft bringen -
502630	505610	2980	wenn nötig, müssen wir weitere Sanktionen erwägen.
505780	507650	1870	Die EU-Aussenminister haben beschlossen,
507910	511450	3540	den Kredit in der Höhe von 1 Mrd. Euro an die Ukraine freizugeben.
511590	513940.00000000006	2350	Über Wirtschaftssanktionen indes
514090.00000000006	516419.99999999994	2330	will die Union frühestens nächste Woche entscheiden.
516520	520260	3740	Finanzielle Unterstützung für die Ukraine kommt auch aus den USA.
520360	526740	6380	Finanzminister Lew hat eine Garantie über 1 Mrd. $ unterzeichnet.
526870	529100	2230	Die USA sind zudem gewillt,
529310	531620	2310	weitere Sanktionen gegen Russland zu ergreifen.
531750	533300	1550	Denn Russland ist verantwortlich
533520	539820	6300	für die Eskalation der Gewalt in der Ost-Ukraine.
540000	544660	4660	Die Weltgemeinschaft bezieht klar Position - gegen Russland.
544830	548740	3910	Diese Haltung hat sich auch im UNO- Sicherheitsrat in New York gezeigt.
548900	550540	1640	Russland ist völlig isoliert -
550800	553700	2900	nicht mal aus China kam Unterstützung für Moskau.
553870	556980	3110	Und doch: Noch bleibt es bei Kritik und Drohungen.
557120	559900	2780	Denn am Donnerstag findet in Genf der Ukraine-Gipfel statt.
560120	562980	2860	Selbst wenn die Chancen auf eine Einigung minim sind:
563110	565460	2350	Niemand möchte die jetzt gefährden.
566910	570780	3870	Die angespannte Lage in der Ukraine beschäftigt auch die OSZE,
571020	574660	3640	die Organisation für Zusammenarbeit und Sicherheit in Europa.
574790	576420	1630	Über 100 Beobachter
576520	579180	2660	hat die Organisation in den kritischen Osten entsandt,
579390	582260	2870	um Fakten zu sammeln und nach Lösungen zu suchen.
582400	584220	1820	Didier Burkhalter, Bundespräsident
584360	586940	2580	und gleichzeitig auch Vorsitzender der OSZE,
587030	589980	2950	ist heute in Kiew zu einem Blitzbesuch eingetroffen.
590170	592700	2530	Und dieser Besuch kam für die ukrainische Seite
592860	595540	2680	offenbar so unvermittelt, dass man sich in der Flagge vergriff.
595720	597700	1980	So wurde Burkhalter nicht vor der Schweizer,
597780	601780	4000	sondern vor der durchaus ähnlichen, aber eben dänischen Flagge empfangen.
601900	603860	1960	Ein peinliches Versehen,
604040	607180	3140	das aber nichts an Burkhalters eigentlichem Auftrag änderte:
607370	610580	3210	Er schlug der Ukraine vor, deutlich mehr OSZE-Beobachter
610730	613740	3010	in die Ost-Ukraine zu entsenden und einen runden Tisch
613900	616780	2880	für eine neue Verfassung einzuberufen. Biljana Gogic.
618040	622460	4420	Das ausgebrannte Gewerkschaftshaus auf dem Kiewer Unabhängigkeitsplatz,
622570	623860	1290	dem Majdan.
623970	626020	2050	Es ist wie ein Mahnmal gegen die Gewalt.
626130	627780	1650	Denn hier in Kiew will niemand,
628000	630180	2180	dass der ganze Osten zum Flächenbrand wird.
630360	631740	1380	Keine Gewalt mehr -
631960	635220	3260	das ist auch das Ziel von Bundespräsident Didier Burkhalter.
635330	637020	1690	Als Vorsitzender der OSZE,
637250	639500	2250	der Organisation für Sicherheit und Zusammenarbeit in Europa,
639640	641220	1580	bietet er heute
641440	644860	3420	dem ukrainischen Aussenminister Andrij Deschtschyzja Hilfe an.
645080	647300	2220	Die Menschen im Osten wollen mehr Mitsprache,
647560	649620	2060	das haben unsere Befragungen gezeigt.
649790	652700	2910	Wie das aussehen könnte, möchte ich Ihnen gerne erklären.
652870	655740	2870	Der ukrainische Aussenminister Andrij Deschtschyzja
655960	658540	2580	ist nicht abgeneigt, denn es eilt:
658760	661940	3180	Wir möchten alle weiteren gewaltsamen Situationen und Opfer
662200	668140	5940	verhindern und hoffen, dass sich die Situationen schnell beruhigt.
668290	672140	3850	Am Sitz der OSZE in Kiew präzisiert der Vorsitzende der Organisation,
