start	end	duration	text
3280	5740	2460	.
6890	10700	3810	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15610	18900	3290	"Guten Abend und herzlich willkommen zur Sendung ""Puls""."
19000	21180	2180	Heute mit diesen Themen:
22390	26180	3790	Auch Online-Programme helfen bei psychischen Problemen.
29210	33020	3810	Was Nordic Walking wirklich zum effizienten Ganzkörpertraining macht.
36400	40020	3620	Was sich Forscher von den speziellen Fettzellen erhoffen.
42490	47260	4770	Die Velos mit Hilfsmotoren haben ihre Tücken, gerade für ältere Fahrer.
51130	53820	2690	E-Bikes werden immer beliebter: Alleine im letzten Jahr
53990	57220	3230	wurden in der Schweiz über 66'000 Elektrovelos verkauft.
57360	61460	4100	Mit den hohen Verkaufszahlen nehmen aber auch die Unfälle zu.
61670	65379.99999999999	3710	Letztes Jahr gab es bereits 163 Schwerverletzte und 14 Tote.
65610	69740	4130	Beim Blick auf die Statistik fällt auf,
69850	74180	4330	dass die Zahlen der Schwerverletzten in den letzten fünf Jahren
74310	77460.00000000001	3150	v.a. bei älteren E-Bike-Fahrern stark angestiegen sind.
77630	80580	2950	"Ein Grund für ""Puls"", mal genau hinzuschauen."
81810	84450	2640	Sein E-Bike gut im Griff haben.
84560	88410	3850	Das ist das Ziel der Teilnehmer dieses E-Bike-Kurses.
88580	92770.00000000001	4190	Denn die Elektrovelos sind gerade für ältere Lenker gewöhnungsbedürftig.
95130	100850	5720	Das Gewicht des Velos. Man kann es gut halten.
101020.00000000001	105009.99999999999	3990	Dann vielleicht auch wegen des Gleichgewichts.
105250	108570	3320	Wenn man normal fährt und plötzlich den Motor einschaltet,
108690	111009.99999999999	2320	dass man plötzlich erschrickt
111090	113970	2880	und man zu viel Power hat, woraufhin man sich dann überschlägt.
114140	118890	4750	Man darf die Geschwindigkeit nicht unterschätzen.
119060	121690	2630	Bei der Beratungsstelle für Unfallverhütung
121890	125010	3120	kennt man die Gefahren des E-Bike-Fahrens.
125110	127690	2580	Andrea Uhr verfolgt die steigenden Unfallzahlen
127820	130169.99999999999	2350	denn auch mit besonderem Interesse:
130250	133850	3600	Die Statistik zeigt, dass die schwerer sind als Velounfälle.
