start	end	duration	text
2320	2800	480	.
3410	5960	2550	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6830	9480	2650	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend!"
10050	12040	1990	Das sind die Themen von heute Dienstag:
13700	19800	6100	Ab 2026 werden 48 Mannschaften in der Endrunde spielen.
22370	25760	3390	Der Europäische Gerichtshof für Menschenrechte
26490	29920	3430	lehnt die Klage einer muslimischen Familie aus Basel ab.
31740	34480	2740	Nur bei den über 50-Jährigen
35110	37400	2290	gab es im letzten Jahr einen leichten Anstieg.
39330	44120	4790	Trumps Regierungsmannschaft muss vor dem Senat antraben.
46400	49960	3560	Erst am Abend wieder Schnee und Regen.
52320	54800	2480	Gianni Infantinos Pläne nehmen Form an:
55420	57640	2220	Der FIFA-Präsident will die Fussball-Weltmeisterschaften
58310	60880	2570	noch grösser machen, noch mehr Mannschaften spielen lassen.
64239.99999999999	66160	1920	Angefangen hat ja alles relativ klein:
66850	68480	1630	Bei der allerersten Fussball-WM 1930 in Uruguay
69080	71120	2040	waren nur 13 Nationen dabei -
71850	74280	2430	erst später wurde die Anzahl Mannschaften aufgestockt.
74850	77730	2880	Infantino hat es vor seiner Wahl zum FIFA-Präsidenten versprochen -
78360	80370	2010	heute stimmte auch der FIFA-Rat einstimmig dafür,
80940	84010	3070	bei Weltmeisterschaften künftig 48 Mannschaften zuzulassen:
85840	90490	4650	Ein drittes Gruppenspiel wie hier 2014 beim Treffer von Shaqiri
91100	93650	2550	gegen Honduras in Brasilien wird es künftig nicht mehr geben.
94370	97650	3280	2026 gibt es in der Vorrunde nur noch zwei Gruppenspiele.
98330	101970	3640	Aus 16 Dreiergruppen kommen jeweils die zwei besten Mannschaften weiter.
102600	105570	2970	Neu gibt es eine K.o.-Phase mit 32 Mannschaften,
106210.00000000001	108210.00000000001	2000	also ab den Sechzehntelfinals.
108830	112210.00000000001	3380	Die Zahl der WM-Spiele steigt damit von 64 auf 80.
112880	116210.00000000001	3330	Die beiden Finalisten kommen auf sieben Spiele in 32 Tagen,
116890	119050	2160	wie bisher.
119690	121730	2040	FIFA-Präsident Gianni Infantino
122310	124610	2300	gestern im Duell mit Fussballlegenden.
125270	127290	2020	Er hatte den Kleinen unter den 209 FIFA-Mitgliedern
127900	130889.99999999999	2990	im Wahlkampf eine WM mit mind. 40 Teilnehmern versprochen.
131590	135210	3620	Noch offen ist, welcher Kontinental- verband wieviele Startplätze erhält.
135900	139530	3630	Dies dürfte noch für einiges Gerangel sorgen.
140170.00000000003	142650	2480	"Kritik kommt aus Deutschland: ""Ich kann aus sportlicher Sicht"
143270	146530	3260	"einer Aufstockung der WM gar nichts abgewinnen"","
147240	150690	3450	äussert sich Bundestrainer Joachim Löw auf der Homepage des DFB.
151350	153660	2310	Mittlerweile werde überall guter Fussball gespielt,
154270	156860	2590	entgegnet Gianni Infantino.
157510	160660	3150	An der letzten WM wurden die zwei Grossmächte Italien und England
161230	163300	2070	von Costa Rica eliminiert.
163970	167300	3330	Daran sehen wir, dass der Fussball weltweit besser geworden ist.
168690	171540	2850	Bei der ersten Aufstockung
172270	174620	2350	wurde die WM 1934 von 13 auf 16 Teams erweitert.
175370	177420.00000000003	2050	Dann dauerte es fast ein halbes Jahrhundert
178090	180660	2570	bis zur nächsten Aufstockung auf 24 Teams.
181280	183420	2140	Das Turnier mit 32 Mannschaften
184040	186780	2740	gibt es in dieser Form erst seit 1998 in Frankreich,
187420	191980	4560	damals bereits mit fünf afrikanischen und vier asiatischen Teams.
192610	195380	2770	Wo die WM 2026 stattfinden wird,
196020	198820	2800	entscheidet die FIFA erst in drei Jahren.
199490	202180	2690	Als erste Kandidaten gelten die USA und Kanada.
204530	206700	2170	Mehr Mannschaften, also auch mehr Spiele.
207280	210740	3460	Wenn künftig 48 Nationen an den Start gehen, wird es 80 Spiele geben.
211360	213700	2340	Susy Schär - mehr Mannschaften machen das Turnier grösser,
214390	215900	1510	aber heisst grösser auch spannender?
216530	217180	650	Wir untertiteln live:
225360	229420.00000000003	4060	hinter mir im FIFA-Gebäude ist Ruhe eingekehrt,
229990	231620	1630	aber die Diskussionen gehen natürlich weiter.
232260	235460	3200	Fussball Weltmeister Deutschland
236010	240300	4290	ist gegen die 48 Teams,
240930	246420	5490	Nationen aus Afrika und Asien freuen sich natürlich.
247920	252860	4940	Wenn ich erinnern darf an die EURO 2016,
253520	257060	3540	da spricht man immer noch vom kleinen Teilnehmer Islands.
257769.99999999997	262620	4850	Diese Vergrösserung des Turniers - wem dient sie am meisten?
263250	266120	2870	Den asiatischen und afrikanischen Ländern,
266850	271280	4430	die nun wirklich bessere Chancen haben.
271920	274200	2280	Und die FIFA will natürlich auch die Kassen besser fühlen.
274930	280280	5350	--füllen
282000	287240	5240	auch die 211 Mitgliederverbände
287930	292640	4710	werden mit den Mehreinnahmen zufrieden sein.
293280	295560	2280	Und zwar so, dass sie Gianni Infantino wieder wählen werden.
298210	299960	1750	So viel zur sportlichen Veränderung:
300540	301840	1300	Die Fans sind bereits gespannt,
302450	304120	1670	was die Vergrösserung der WM für sie bedeuten könnte.
304920	306760	1840	Am meisten Inspiration liefert die Frage,
307400	309920	2520	wie ein Panini-Album nach der Auf- blähung auf 48 Teams aussehen könnte.
310600	312200	1600	Fest steht bei den Fans auf Twitter schon mal:
312880	315000	2120	Dieses Album wird mächtig, richtig mächtig.
315710	318040	2330	Auch die Auslosung der Gruppen an der Mammut-WM
318680	321520	2840	befeuert die Fantasie auf Twitter: Sie wird zum Bällebad.
324590	329400	4810	Und wenn Sophia Loren tatsächlich für 2026 die Glücksfee wäre -
330040	333680	3640	sie wäre etwas älter und nicht glücklich dabei.
334290	337159.99999999994	2870	Die Chancen von kleinen Ländern auf eine Teilnahme an der WM 2026
337780	341240	3460	werden ebenfalls ausgelotet.
341890	344240	2350	Zu guter Letzt die Befürchtung:
344960	351400	6440	Die Mammut-WM mit 48 Teams, sie wird nie enden, niemals.
354380	357200	2820	Buben und Mädchen zusammen im Schwimmunterricht -
357940	359720	1780	damit haben religiöse Eltern oftmals Mühe.
360450	363040	2590	Immer wieder versuchen insbesondere strenggläubige Muslime,
363730	365520	1790	ihre Töchter vom Schwimmen dispensieren zu lassen.
366240	368800	2560	In Europa künftig wohl mit wenig Erfolg,
369430	371960	2530	wie der Fall eines Elternpaars aus Basel zeigt.
372610	374560	1950	Der Europäische Gerichtshof für Menschenrechte in Strassburg
375190	377320	2130	schmettert ihre Klage ab:
378960	380920	1960	Das Schwimmunterrichturteil aus Strassburg
381510	383120	1610	dürfte europäisch Signalwirkung haben.
383810	386280	2470	Es bestätigt frühere Urteile des Schweizer Bundesgerichts
386920	389000	2080	und der baselstädtischen Behörden.
389570	391480	1910	Diese hatten die Dispensationsgesuche
392090.00000000006	393400	1310	einer muslimischen Familie aus Basel
394130	395880	1750	für zwei schulpflichtige Töchter abgelehnt.
396630	398560	1930	Erfolglos war der Familie zuvor angeboten worden,
399250	403200	3950	dass die Töchter auch Burkinis, Ganzkörperanzüge tragen dürfen.
403850	407600	3750	Das Urteil aus Strassburg setzt einen Schlusspunkt
408200	410560	2360	hinter einen jahrelangen Rechtsstreit
411170	413880	2710	und wird in Basel befriedigt zur Kenntnis genommen.
414520	418360	3840	Wir sind sehr froh, dass das höchste Gericht bestätigt hat,
418980	420800	1820	dass wir sehr sorgfältig
421450	423240	1790	mit Kindern aller Religionsgemeinschaften umgehen
423920	426280	2360	und dass wir das Gebot durchsetzen dürfen,
426890	430000	3110	dass die Volksschule eine Klammer für alle Kinder ist,
430680	432800	2120	dass alle Kinder den Unterricht dort besuchen müssen.
433370	436120	2750	Das Schweizer Bundesgericht hatte schon 2008 erstmals entschieden,
436770	440600	3830	dass Integrationsbemühungen höher zu gewichten sind
441250	443640	2390	als Eingriffe in die persönliche Religionsfreiheit.
445880	448560	2680	Der Schweizer Wirtschaft geht's soweit gut, sie wächst.
449220	454000	4780	Theoretisch sollte dann die Arbeitslosigkeit sinken.
454690	457280	2590	Tat sie 2016 aber nicht: Laut Staatssekretariat für Wirtschaft
