start	end	duration	text
2680	4630	1950	.
4740	8630	3890	"""10vor10"" mit Stephan Klapproth."
8730	11550	2820	Meine Damen und Herren, guten Abend. Unsere Themen heute:
14860	19470	4610	Die Zahl straffälliger Flüchtlinge ist um 23 % eingebrochen.
23370	25110	1740	Die australischen Behörden
25270	28350	3080	haben die verschollene Boeing wohl im falschen Gebiet vermutet.
30950	34190	3240	Linus Dettwiller erlitt einen Hirnschlag -
34260	37230	2970	ein Passant, der wegschaute, geht straffrei aus.
39580	44190	4610	Wieso ein Mann zum Fremdschämen die Basler Bevölkerung begeistert.
44340	48470	4130	1:1-Untertitelung
50770	54230	3460	Übung voll gelungen, hört man von der 2. Asylkonferenz,
54500	57030	2530	an der Bund und Kantone heute in Bern beschlossen haben,
57210	59910	2700	die Asylverfahren weiter zu beschleunigen.
60070	63070	3000	Justizministerin Simonetta Sommaruga hat sich mit den Kantonen
63330	66350	3020	darauf geeinigt, dass in Zukunft die Mehrheit der Asylverfahren
66510	71270	4760	in 6 Bundeszentren abgewickelt werden soll:
71400	73310	1910	Es ist ein Meilenstein,
73440	76550	3110	weil sich der Bund mit allen Kantonen entschieden hat -
76750	78870	2120	und alle Kantone haben einstimmig zugestimmt -
79090	82630	3540	wie man die Standortfrage in Zukunft lösen möchte.
82720	86870	4150	Die in den letzten Jahren beschlossen Massnahmen
86980	90670	3690	zur Beschleunigung der Asylverfahren zeigen bereits Auswirkungen.
90890	93710.00000000001	2820	Die Zahl der Asylbewerber nimmt um 1/4 ab
93789.99999999999	96630	2840	und auch der Blick auf die Zahl der Straftäter im Asylbereich lohnt sich.
96830	101509.99999999999	4680	Wurden im Jahr 2012 noch 6'200 Asyl- bewerber als Straftäter verfolgt,
101600	105710.00000000001	4110	so waren es im im Jahr 2013 nur noch 4'800.
105900	109990.00000000001	4090	Das entspricht einem Rückgang von 23 %.
110140	114470	4330	Was heisst das für die geplanten Zentren für renitente Asylbewerber?
114620	117910	3290	Entspannt sich die Situation im Asylbereich mit der Zeit von alleine?
118039.99999999999	119990.00000000001	1950	Andri Franziskus:
121420	124630	3210	Polizei-Einsatz vor 1 1/2 Jahren in einem Asylbewerberheim
124710	126510	1800	im Kanton Aargau.
126670	129470	2800	Entschlossen ging die Polizei hier gegen mögliche Kriminelle vor.
129650	132590	2940	Eine Entschlossenheit, die jetzt Wirkung zeigt.
132670	136390	3720	Allein im Kanton Aargau ging der Anteil Straftäter im Asylbereich
136570	140790	4220	im letzten Jahr um fast 40 % zurück.
140970	143110	2140	Wir haben die Präsenz der Sicherheitskräfte
143190	145950	2760	um die Unterkünfte herum erhöht.
146130	149110	2980	An den sog. Hot Spots, an denen man etwas vorkehren musste,
149300	152070	2770	hat man z.B. auch Zutrittskontrollen eingeführt,
152310	154750	2440	sodass sich nur Leute in den Häusern aufhalten,
154950	157510	2560	die dazu auch berechtigt sind.
157680	160190	2510	Die Situation habe sich tatsächlich beruhigt,
160260	162790	2530	sagt auch der Gemeindepräsident von Oftringen.
162940	165590	2650	Auf seinem Gemeindegebiet steht eine Asylunterkunft,
165820	169590	3770	die in der Vergangenheit immer wieder für Probleme gesorgt hat.
169720	172390	2670	Wir hatten in der Nähe Einbrüche.
172540	175390	2850	Es konnten nicht alle nachgewiesen werden,
175550	181350	5800	aber man hat vermutet, dass es auf diese Bewohner zurückzuführen ist.
181590	184430	2840	Das ist ganz, ganz stark zurückgegangen.
184530	187430	2900	Was für den Aargau gilt, gilt fast für die ganze Schweiz.
187630	190950	3320	In 8 Kantonen sind die Zahlen etwa gleich geblieben
191040	193390	2350	oder noch nicht bekannt.
193550	196310	2760	In 11 Kantonen nahm die Zahl der straffälligen Asylbewerber
196420.00000000003	198950	2530	um bis zu 30 % ab.
199140	202910	3770	In den restlichen Kantonen beträgt die Abnahme sogar über 30 %.
203079.99999999997	207470	4390	Schweizweit ergibt dies einen Rückgang von 23 %.
207700	212230	4530	An der nationalen Asylkonferenz trafen sich heute Bund und Kantone.
212400	216150	3750	Für den obersten Vertreter der kantonalen Polizeidirektoren
216400	223150	6750	hat sich v.a. die Zusammensetzung der Asylbewerber verändert.
223329.99999999997	225950	2620	Wir haben auch Asylsuchende aus den nordafrikanischen Ländern
226050	228470	2420	in diese Länder zurückgeführt.
228590	231110	2520	Der Mix der Asylsuchenden
231280	235910	4630	ist wieder auf dem Stand von vor dem Arabischen Frühling.
236060	241150	5090	Für besonders renitente Asylbewerber soll es 2 spezielle Zentren geben.
241290	246070	4780	An diesen Plänen will der Bund trotz Abnahme der Kriminalität festhalten.
246290	248310	2020	Die Reform, die wir machen, ist eine grosse Reform.
248550	251470	2920	Es ist ein weiter Weg, aber wir sind auf Kurs.
251670	254030	2360	Wir haben die besonderen Zentren vorgesehen
254230	256510	2280	und es gibt keinen Grund von diesen jetzt abzurücken,
256660.00000000003	259070	2410	nur weil es vielleicht im Moment ein wenig ruhiger ist.
259149.99999999997	262230	3080	Wir müssen in der Schweiz ein System haben, das auch langfristig hält.
262290	264590	2300	Ich bin davon überzeugt, dass es die Zentren braucht
264740	267670	2930	"und dass man sie definiert und sagt: ""Dort sind sie."""
267820	270710	2890	Wie viele Asylsuchende dann dort untergebracht sind,
270800	272590.00000000006	1790	ist wieder eine andere Frage.
272740	275630	2890	Das ergibt sich dann aus der konkreten Situation.
275830	278880	3050	Bis im Sommer will das Departement von Bundesrätin Sommaruga
279020	283200	4180	die konkreten Vorschläge, auch zu den Renitenten-Zentren, ausarbeiten.
283300	285480	2180	Diese gehen dann ans Parlament.
288180	290720	2540	Es ist eine weitere, überraschende Wende
290890	293960	3070	im mysteriösen Fall des vom Radar verschwundenen Fluges MH370.
294130	298360	4230	Wochenlang wurde offenbar an falschen Orten nach dem Flugzeug gesucht.
298520	301800	3280	Vergangene Nacht wurde die Suche auf ein neues Gebiet eingegrenzt:
301980	305520	3540	Es liegt 1'100 km nördlich der bisherigen Suchregion
305620	310000	4380	und 1'850 km westlich von Perth.
310120	312960	2840	Und bereits gibt es Ergebnisse,
313230	315320	2090	die auf den lang erwarteten Durchbruch hoffen lassen.
315420	317560	2140	Das chinesische Fernsehen
317780	319680	1900	hat dieses Foto von Trümmerteilen veröffentlicht,
319910	322520	2610	die von der vermissten Boeing stammen könnten. Trotzdem:
322640	324480	1840	Die Suche nach dem Wrack
324710	327280	2570	gleicht immer mehr einem Wettkampf gegen die Zeit.
329300	331560	2260	Militärmaschinen starteten heute von Perth aus,
331670	333920	2250	um das neue Suchgebiet zu erkunden.
334020	335760	1740	Gleich mehrere Crews
335990	337800	1810	meldeten die Sichtung von möglichen Bruchstücken der Boeing.
337900	341440	3540	Die Bergung der Teile soll frühestens morgen möglich sein,
341580	344200	2620	wenn erste Schiffe vor Ort gelangen.
344300	348920	4620	Das neue Suchgebiet wurde aufgrund neuer Radar-Analysen definiert.
349030	352240	3210	Die Analyse zeigt: Das Flugzeug flog schneller als bisher angenommen
352380	355080	2700	und verbrauchte mehr Treibstoff.
355300	357920	2620	Deshalb kann die Maschine nicht so weit südlich
358030	362360	4330	in den Indischen Ozean geflogen sein wie bisher vermutet.
362460	365360	2900	Auch wenn die gesichteten Trümmer tatsächlich von der Boeing stammen:
365520	368520	3000	Die Lokalisierung der genauen Absturzstelle
368710	372680	3970	bleibt ein Wettlauf gegen die Zeit.
372870	376320	3450	Problem 1: unberechenbare Meeresströmungen.
376470	378480	2010	Diese könnten die Trümmer in den letzten 3 Wochen
378710	380800	2090	weit von der Absturzstelle abgetrieben haben,
381050	385840	4790	sagt Nicolas Gruber, Meeresforscher an der ETH Zürich.
386010	389800	3790	Wir sind in einem Gebiet mit starken Meeresströmungen und Verwirblungen.
389990	392840.00000000006	2850	Das sieht man hier auf dieser Computeranimation sehr gut.
393070	395520	2450	Das bedeutet, dass die Wrackteile
395700	398159.99999999994	2460	über Hunderte Kilometer verteilt sein können.
398330	400760	2430	Problem 2: Wassertiefe:
400850	406200	5350	Im neuen Gebiet könnte das Flugzeug sehr tief abgesunken sein.
406380	409000	2620	Wir haben Gebiete, die vielleicht nur ca. 1'500 m tief sind,
409090.00000000006	414560	5470	die Sie hier hell eingefärbt sehen.
414790	417240	2450	Doch ganz nah gibt es sehr tiefe Gebiete mit bis zu 6 km Wassertiefe,
417450	419360	1910	die dunklen Gebiete hier.
419540	425880	6340	Problem 3: Das Blackbox-Signal.
426050	427920	1870	Nur der Flugschreiber kann das Mysterium auflösen,
428020	429720	1700	warum das Flugzeug abgestürzt ist.
429900	431720	1820	Er sendet aber nur noch wenige Tage lang Signale,
431900	436040	4140	die laut Aviatik-Experte Christoph Regli nicht leicht zu orten sind.
436190	438280	2090	Die Signale, die ausgesendet werden,
438360	440720	2360	können im Bereich einiger Kilometer geortet werden.
440910	443760	2850	D.h., je nachdem, wie tief die Blackbox liegt,
443910	447880	3970	muss man sehr langsam mit den Sensoren über das Wasser fahren,
447990	453120	5130	damit man eine Chance hat, die Signale orten zu können.
453270	456120	2850	Problem 4: Die Kosten der Suche.
456230	459080	2850	Diese dürften pro Tag mehrere 100'000 Fr. betragen.
459280	464760	5480	Wie lange die Suche noch so intensiv läuft, ist unklar.
464950	467680	2730	Es geht um Menschenleben. Die kann man nicht mit Geld aufwiegen.
467780	471480	3700	Wenn man nur schon mit der Aufklärung verhindern kann,
471690	474040	2350	dass ein ähnlicher Unfall wieder passiert,
474200	477080	2880	kann man sicher sagen, dass das Geld gut angelegt ist.
477310	483000	5690	Wer diese Kosten übernimmt, ist eine weitere, ungeklärte Frage um MH370.
485280	487880	2600	Die folgende Szene wurde einst für einen Versuch gestellt,
487980	490080	2100	aber Hand aufs Herz:
490290	493840	3550	Sind Sie der Typ, der eingreift, wenn irgendwo eine fremde Person
494010	497160	3150	zusammenbricht oder auf dem Boden liegt?
497270	503720	6450	In dem Versuch gingen viele Passanten vorbei.
503900	508800	4900	Linus Dettwiler war 15, als er die Hilfe eines Passanten gebrauch hätte.
508910	511600	2690	Es war der Sonntagabend vor den Schulsommerferien,
511820	515200.00000000006	3380	als Linus mit einem Schlaganfall auf offener Strasse zusammenbrach.
515350	520320.00000000006	4970	Ein Passant erlebte den Zusammenbruch mit, half dem Teenager aber nicht.
520470	524120	3650	Linus blieb über eine Stunde lang unentdeckt liegen,
524290	526560	2270	in unmittelbarer Lebensgefahr.
526740	529200	2460	Der Passant stand heute vor dem Strafgericht in Liestal.
529450	531520	2070	In der Schweiz muss man einem Menschen
531800	534080	2280	in unmittelbarer Lebensgefahr helfen, wenn es den Umständen nach
534300	536840	2540	zumutbar ist, steht im Strafgesetzbuch.
537000	540360	3360	Aus Liestal berichtet unser Korrespondent Michael Keller.
542720	545160	2440	Schritt für Schritt zurück ins Leben.
