start	end	duration	text
1050	2860	1810	.
3070	5900	2830	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6670	9460	2790	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend."
9560	11580	2020	Und das macht heute Schlagzeilen:
12600	18020	5420	Gewaltsamer Protest und neue Streiks bringen die Regierung unter Druck.
19030	21620	2590	Am G7-Gipfel in Japan
21780	26100	4320	hoffen die Europäer auf mehr Hilfe in der Flüchtlingskrise.
26980	32780	5800	Der Preis überspringt die symbolische Marke von 50 $ pro Fass.
34320	38060	3740	Nach der Randale enttäuschter FCZ-Fans
38220	41380	3160	bereitet sich der Klub auf die Challenge League vor.
42530	47180	4650	Bei 26 °C - in den Bergen lokale Gewitter.
50120	54300	4180	Die politische Stimmung in Frankreich ist aufgeladen - so kurz vor der EM:
54490	56260	1770	Die geplante Arbeitsmarktreform
56470	58940	2470	treibt in Frankreich immer mehr Menschen auf die Strasse.
59030	61300	2270	Mit welcher Härte die Diskussion geführt wird,
61450	64340	2890	zeigen diese Bilder von heute Nachmittag aus Paris.
64450	66900	2450	Gewerkschaften haben zu einem nationalen Protesttag
67030	69140	2110	gegen die geplante Reform aufgerufen,
69250	72660	3410	die zumindest am Rande völlig aus dem Ruder lief.
72770	76100	3330	Und jetzt erreichen die Proteste und Streiks auch die Atomkraftwerke:
77330	79580	2250	Seit heute Morgen streiken sie:
79760	82180	2420	Die Angestellten der französischen Atomkraftwerke
82350	85900	3550	protestieren so gegen das geplante flexiblere Arbeitsrecht.
86050	89660	3610	Sie fürchten etwa, künftig könnten sie einfacher entlassen werden.
89900	93220	3320	Nun wurde die Stromproduktion gedrosselt.
93440	98660	5220	Frankreich muss wohl mehr Energie importieren.
98850	101940	3090	Seit Tagen schon werden Raffinerien blockiert und bestreikt,
102100	104900	2800	sodass das Benzin mancherorts knapp wird.
105080	107300	2220	Die Strategie der mächtigen Gewerkschaft CGT
107400	109340	1940	und ihrer Verbündeten ist klar:
109490.00000000001	112100	2610	Zentrale Wirtschaftsbereiche sollen empfindlich getroffen
112360	117979.99999999999	5620	und die Regierung so zum Rückzug der Reformen gezwungen werden.
118140	121940	3800	In mehreren Städten, wie etwa hier in Nantes,
122110	125140	3030	verliefen die Demonstrationen nicht nur friedlich.
125400	129139.99999999999	3740	Es kam zu Ausschreitungen und zu teils massivem Sachschaden.
129990.00000000001	133260	3270	Die geplante Arbeitsrechtsreform wird immer mehr zur Kraftprobe
133360	136620	3260	zwischen den Arbeitern und der linken Regierung:
136740	138660	1920	Aus Paris - Michael Gerber:
139750	142540	2790	Die Gewerkschaften wollen der Regierung so lange einheizen,
142690	145500	2810	bis sie die Arbeitsreform zurückzieht.
145660	148500	2840	Doch Regierungschef Manuel Valls will die Reform durchziehen
148600	152620	4020	und verurteilt die Blockade der Raffinerien scharf.
152790	155780	2990	Das ist eine altbekannte Taktik, alles zu blockieren.
155930	158180	2250	Damit werden alle in Geiselhaft genommen -
158420.00000000003	161420.00000000003	3000	die Konsumenten, die Gewerbetreibenden, die Industrie.
161579.99999999997	165180	3600	Die grösste Gewerkschaft Frankreichs, die CGT, will weitermachen
165329.99999999997	169740	4410	und plant weitere Demonstrationen und Blockaden im ganzen Land.
169840	172300	2460	Ich sage ihm, dass es undemokratisch ist,
172400	174660	2260	die Reform per Dekret durchzusetzen.
174860	178060	3200	Das sollte er einsehen und uns endlich zuhören.
178290	181740	3450	An den Tankstellen wird die Blockade der Raffinerien spürbar.
181900	184340	2440	Jede vierte Tankstelle ist ausser Betrieb.
184600	186980	2380	Vor den anderen bilden sich lange Warteschlangen.
187110	189940	2830	Die Leute bleiben erstaunlich gelassen.
190030	192260	2230	Ich habe es an fünf Tankstellen versucht,
192360	194220	1860	seit heute Morgen um 5.30 Uhr.
194290	197220	2930	Ohne Erfolg. Nun bin endlich fündig geworden.
197329.99999999997	199579.99999999997	2250	Über 60 % der Franzosen
199780	202100	2320	halten die Streiks und Blockaden für gerechtfertigt,
202250	205980	3730	zeigt eine Umfrage von Meinungsforscher Jerome Fourquet.
206060	209980	3920	Eine Mehrheit der Franzosen denkt,
210160	216460	6300	dass die Arbeitsreform gefährlich ist für die Arbeiter.
216630	219100	2470	Die Regierung hofft, dass die Gewerkschaften nachgeben müssen,
219300	222700	3400	wenn der Ärger der blockierten Automobilisten wächst.
