start	end	duration	text
1650	2160	510	.
17970	20240	2270	MIT TELETEXT-UNTERTITELUNG
21320	25480	4160	It's the first day of school for the freshmen and -women
26170	28800	2630	on the new campus of the Zunyi Normal College.
29430	32880	3450	They start their college live with a short military training.
33510	36640	3130	This generation will shape fresh ideas and innovation
37320	41640	4320	to turn Guizhou province into a technology power house.
42820	44880	2060	Das ist Martina Fuchs.
45490	48440	2950	Ein Aushängeschild des chinesischen Staatsfernsehens.
49630	51640	2010	* Sie spricht mandarin. *
52790	54800	2010	Und sie ist Schweizerin.
55450	56960	1510	Ja, wir machen es nochmals.
57760	61240	3480	Dann haben wir sicher drei Takes, das sollte genügen.
61880	63840	1960	Es ist immer gut, einen mehr zu haben,
64470	65960	1490	um einen Back-up-Plan zu haben.
66650	68000	1350	* Sie spricht mandarin. *
73280	75840	2560	In diesem Film geht es um Ehrgeiz,
76450	79640	3190	Karriere und kommunistische Propaganda.
83610	85560	1950	* Spannende Klänge *
95890	97840	1950	Das ist Pekings Wahrzeichen:
98530	102360	3830	das neue Hochhaus des chinesischen Staatsfernsehen CCTV.
103050	106800	3750	Von hier sendet die Kommunistische Partei ihre Propaganda
107350	108800	1450	in die ganze Welt.
109950	112080	2130	Hier arbeitet Martina Fuchs.
115229.99999999999	119160	3930	Als erstes ausländisches Fernsehteam dürfen wir hier filmen.
119810	122520	2710	... kind of documents she got. It's really incredible.
123110	125220	2110	Was it difficult to bring us in? - A little bit.
128419.99999999999	132460	4040	Martina kann Türen öffnen, die uns sonst verschlossen bleiben.
133240	136350	3110	Der chinesische Staatssender scheint stolz zu sein
136980	138630	1650	auf sein Schweizer Gesicht.
139960	142829.99999999997	2870	Ganz im Gegenteil zu uns Auslandskorrespondenten
143460	145110	1650	geniesst sie hier grosses Ansehen:
145770	148870	3100	Sie bringt dem Land Ruhm - wir sind dem Land eher lästig.
151130	154190	3060	Die zehnte Etage ist Martinas Reich.
156000	158150	2150	Hier ist die Nachrichtenzentrale
158770	161110	2340	des englischsprachigen Nachrichtensenders CCTV-News.
161750	164910	3160	Von hier aus soll die Welt erfahren, wie China tickt.
167570	170030	2460	Martina geniesst hier eine Sonderrolle:
172130	175190	3060	Wir haben ein paar Präsentatoren und Präsentatorinnen,
175850	177670.00000000003	1820	die ebenfalls aus dem Ausland kommen.
178320	179829.99999999997	1510	Aber ich bin im Moment
180390	183870	3480	die einzige ausländische Reporterin von CCTV-News.
185320	186870	1550	Auf den ersten Blick
187470	190430	2960	macht sie den Job einer normalen Fernsehjournalistin.
192050	194790	2740	Industries like IT, software, accounting ...
195440	198230	2790	Täglich präsentiert sie die Wirtschaftsnachrichten
198880	200750	1870	"der Sendung ""Global Business""."
201630	204390	2760	Für ihre Sendung interviewt sie Wirtschaftsbosse,
205050	207990	2940	Staatspräsidenten oder andere mächtige Menschen dieser Welt.
209200	213829.99999999997	4630	Die Sendung hat Zuschauerzahlen, von denen wir nur träumen können.
214950	220110	5160	Man sagt, dass wir in etwa 100 Mio. Zuschauer haben.
220720	223270	2550	Etwas mehr als in der Schweiz. - Ja, etwas mehr.
224010	226030	2020	Aber deswegen muss man nicht nervös sein.
227390	230510	3120	Martina stellt uns ihren Kollegen Charles Zheng vor.
231230	234390	3160	Der Starmoderator hat nur gute Worte übrig für die Schweizern.
236510	241270	4760	Ausländische Journalisten sind bei uns willkommen.
241910	243830	1920	Wir mögen ihre Aussensicht auf China.
244460	247030	2570	Einige sind da sehr voreingenommen,
247710	251990	4280	haben eine sehr eingeschränkte Sicht und berichten sehr sarkastisch.
252620	254430	1810	Martina geht aber viel weiter.
255150	256790.00000000003	1640	Wir wissen zwar nicht,
257440	262029.99999999997	4590	was wirklich in ihrem Herzen vorgeht und wie sie wirklich fühlt,
262730	267510	4780	In ihrer Arbeit ist sie aber sehr genau.
268140	269990	1850	Sie kann alles:
270610	273270	2660	Sie schreibt, schneidet, berichtet und führt Regie.
273970	275830	1860	Sie ist allmächtig, sie kann einfach alles.
276490	278710	2220	Ich werde gleich rot. - That's who you are.
279360	281390	2030	Das ist ja toll, was er über dich sagt.
281970	283790	1820	It's a love statement - eine Liebeserklärung.
284909.99999999994	285909.99999999994	1000	Magic.
287409.99999999994	290110	2700	Thank you so much. I appreciate it.
290850	292710	1860	So kollegial das Verhältnis auch scheint,
293370	295750	2380	es gibt klare Grenzen in diesem Newsraum.
297400	299990	2590	Kritik an der Politik der Kommu- nistischen Partei ist unerwünscht.
