start	end	duration	text
2630	11340	8710	.
12090	14860	2770	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15520	18820	3300	"19 Uhr, Zeit für ""Schweiz aktuell"". Guten Abend und herzlich willkommen."
19540	21380	1840	Das sind die Schlagzeilen am 8. November:
23600	26580	2980	Der Aufmarsch beim heutigen Lehrerprotest im Aargau war riesig.
27320	28460	1140	Mehr als 6'000 Kantonsangestellte
29230	31900	2670	protestierten gegen die Sparpläne des Kantons.
33660	36660	3000	Die Situation im st. gallischen Sargans ist ungemütlich.
37370	38660	1290	Letzte Nacht hat es schon zum sechsten Mal
39320	40780	1460	binnen kurzer Zeit gebrannt.
42310	45550	3240	Viele Wasserleitungen im Kanton Jura sind in schlechtem Zustand.
46280	47350	1070	Zwischen Reservoir und Wasserhahn
48140	50550	2410	geht z.T. fast die Hälfte des Wassers verloren.
52470	53950	1480	Heute gingen im Aargau
54640	55790	1150	viele Lehrerinnen und Lehrer auf die Strasse.
56510	58630	2120	Sie protestierten gegen die Sparpläne des Kantons.
59360	62510	3150	Insgesamt 60 Mio. Fr. will der Kanton Aargau allein 2017 einsparen.
63240	64950	1710	Auch die Bildung soll günstiger werden.
65750	68270	2520	Beim Protest nahmen weit über 6'000 Personen teil,
68880	72070	3190	neben Lehrern auch andere Kantonsangestellte wie Polizisten
72770	74070	1300	oder Krankenschwestern.
74770	78030	3260	Der Protest geht an die Adresse der Regierung und des Parlaments.
78660	80270	1610	Natascha Schwyn war vor Ort.
82130	84910	2780	Sie alle haben ein Ziel: Sich gemeinsam zu wehren
85610	87830	2220	gegen Bildungsabbau und Sparrunden bei den Löhnen.
88500	90870	2370	Lehrerinnen und Lehrer, Polizisten, Eltern und Staatsangestellte
91660	94550	2890	marschieren darum heute Seite an Seite.
95270.00000000001	97710.00000000001	2440	Die Lehrer sind mit Abstand die grösste Gruppe.
98430	102110	3680	Wenn ein Kanton sparen will, darf er das nicht bei der Bildung tun.
102720	105870	3150	Wenn man das macht, gibt das später viel höhere Sozialkosten
106520.00000000001	109110	2590	und weniger Perspektiven für die Jugendlichen,
109800	111350	1550	und das wird am Ende teurer.
112090	115190	3100	Darum ist das die dümmste Sparmassnahme, die es gibt.
115900	118590	2690	Seit drei Jahren wird im Kanton Aargau gespart.
119270.00000000001	122230	2960	Auch wenn sich die Lehrer in vielen Punkten erfolgreich wehrten,
122930	125110	2180	soll jetzt z.B. das Berufswahljahr gestrichen werden.
125720	127030	1310	Es stösst den Lehrern aber sauer auf,
127750	130030	2280	dass sie im Vergleich zu den meisten Kollegen in der Deutschschweiz
130800.00000000001	132510	1710	rund 20'000 Fr. weniger verdienen.
133230	135830	2600	Das rechnete die Erziehungsdirektorenkonferenz aus.
136550	138910	2360	Die nächste Nullrunde im Kanton Aargau ist bereits angekündigt.
139590	143310	3720	Wenn man sich in anderen Kantonen umschaut, kommt Neid auf.
143940	146110	2170	Ist das gerecht?
146829.99999999997	148630	1800	Die Zufriedenheit sinkt in dem Sinne,
149350	152829.99999999997	3480	und die Attraktivität der anderen Kantone wächst.
153560	157510	3950	Der Rotstift trifft aber auch das übrige Staatspersonal und Polizisten,
158310	160590	2280	die mit weissen Westen einen weissen Block bildeten.
161310	163030	1720	Staatspersonal und Polizisten sind soweit korrekt
163750	168010	4260	und können ein gewisses Verständnis aufbringen.
168690	169090	400	Es ist nicht so,
169820	171090	1270	dass wir nicht unseren Teil zum Sparen beitragen wollen.
171760	172730	970	Aber irgendwann ist genug.
173470	175050	1580	Weit über 6'000 Leute versammeln sich vor dem Grossratsgebäude,
175760	179570	3810	in das Parlamentarier heute nur dank Absperrungen kommen.
180310	182410	2100	Auch Frau Landamman, Susanne Hochuli, muss an der Menge vorbei.
183140	184970	1830	Sie hat grosses Verständnis für den Lohnfrust.
185700	188860	3160	Sie sagt aber auch, dass die Staats- kasse wieder ins Lot kommen müsse.
189600	194220	4620	Es ist klar, jetzt sind wir bei Massnahmen, die wehtun.
194930	197460	2530	Der Regierungsrat hat aber abgewogen und gesagt,
198260	200220	1960	dass die noch vorgeschlagen werden können.
200960	202780	1820	Auch auf der Einnahmenseite schlug der Regierungsrat Massnahmen vor,
203530	208020	4490	wenn auch nur eine homöopathische Erhöhung des Steuerfusses um 1 %.
