start	end	duration	text
910	2980	2070	.
3060	7380	4320	1:1-Untertitelung
7500	9740	2240	Ich freue mich auf das nächste Jahr.
9910	12420	2510	Ich weiss, dass ich noch nicht weiss,
12660	16100.000000000002	3440	was alles auf mich zukommt. Ich weiss, dass es viel ist.
16190.000000000002	18460	2270	Und heute ist einfach Freude.
19300	22940	3640	Selten hat man Simonetta Sommaruga so gelöst und beschwingt gesehen.
23120	25700	2580	Kein Wunder, sie ist mit einem Glanzresultat
25790	27860	2070	zur Bundespräsidentin gewählt worden.
28070	30620	2550	Sie steht heute bei uns im Fokus. Guten Abend.
30790	33060	2270	Dann schauen wir ein Jahr nach vorne,
33160	35380	2220	wo bereits wieder eine andere Frau
35520	37740	2220	im Mittelpunkt des Interesses stehen könnte.
39160	42300	3140	Warum bei der Neubesetzung des Bundesrates
42420	44660	2240	das Volk eine entscheidende Rolle spielt.
47270	50140	2870	Gemeinsam wehren Vater und Tochter
50310	53300	2990	die Angriffe des Islamischen Staates ab.
55790	61460	5670	Ein neues Stellenvermittlungsmodell eröffnet Jonas neue Perspektiven.
63340	65740	2400	Triumphaler hätte ihre Wahl nicht ausfallen können.
65950	70100	4150	Mit dem besten Resultat, das eine Frau je erzielte,
70230	74300	4070	durfte Simonetta Sommaruga heute als neue Bundespräsidentin
74440	76700	2260	Blumen entgegennehmen.
76930	79180	2250	Sie führte in einer ersten Rede sogleich aus, wie sie sich das
79260	81660	2400	politische Miteinander vorstellt:
81750	87340	5590	Die direkte Demokratie ist ein Zu- sammenspiel, wir haben ein Septett,
87580	90860	3280	wir haben ein 246-köpfiges Orchester,
91070	94460.00000000001	3390	und wir haben einen Chor,
94670	98259.99999999999	3590	der sich aus 2,5 Mio. Stimmbürgern zusammensetzt.
98430	101340	2910	Dass die neue Bundespräsidentin diese Metapher wählt,
101350	103460.00000000001	2110	ist kein Zufall.
103560	105460.00000000001	1900	Denn vor ihrer Politkarriere
105680	108259.99999999999	2580	liess sich Sommaruga zur Konzertpianistin ausbilden.
108509.99999999999	110940	2430	Die Musik ist bis heute die grosse Passion der Politikerin,
111120	114340	3220	die sich immer noch fast jeden Abend ans Klavier setzt.
114440	118060	3620	Wie Freunde und Weggefährten die 54-Jährige erleben
118210.00000000001	121740	3530	sehen sie im etwas anderen Portrait von Adrian Lustenberger.
123140	127300	4160	Im Rampenlicht einer Quizshow kennt man sie eigentlich nicht:
127430	129660	2230	Simonetta Sommaruga.
129770.00000000001	133500	3730	Im lauten Bundesbern ist sie die ruhige Pianistin.
133630	135660	2030	In den 90er-Jahren
135820	138860	3040	wagt sie den Schritt vom Konzertsaal auf die politische Bühne.
138950	141500	2550	Begleitet wird sie dabei von Ruth Rauch.
141710	144820	3110	Heute ist sie eine der besten Freundinnen der Bundesrätin.
144990	148460	3470	Damals hat sie Sommaruga auf die kommenden Auftritte
148660	151220	2560	in der Öffentlichkeit vorbereitet, und die Pianistin
151230	154260	3030	in ihr sofort gespürt:
154360	157540	3180	Sie hat mich so tief beeindruckt, ich habe gemerkt,
