start	end	duration	text
5570	8640	3070	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8830	10760	1930	Einen schönen guten Mittag an diesem Freitag.
10860	12440	1580	Das sind unsere Themen für Sie.
13290	19400	6110	Griechenland begleicht seine Schulden beim IWF erst Ende Monat.
19740	25200	5460	In den USA haben Hacker Daten von 4 Mio. Staatsangestellten gestohlen.
25310	28160	2850	Der Schweizer Künstler Franz Gertsch
28320	31360	3040	ist auch mit 85 Jahren noch voller Schaffenskraft.
32150	34400	2250	Heute viel Sonne und nur in den Bergen lokale Gewitter.
38580	41720	3140	Zahlt Griechenland oder zahlt Griechenland doch nicht?
41960	43880	1920	Diese Frage kann nun mit einem klaren Nein beantwortet werden.
44010	48280	4270	Es werden heute keine 300 Mio. Euro
48490	49400	910	auf das Konto des Internationalen Währungsfonds überwiesen.
51730	55680	3950	Dieser, der IWF, hat sich mit der Regierung in Athen
55830	64400.00000000001	8570	auf eine Galgenfrist geeinigt. Bis Ende Monat.
77990	79400	1410	Erst Sambia hat vor Griechenland von diesem Aufschub nutzen gezogen.
90910	94440	3530	Griechenland schuldet 35 Milliarden Euro den IWF.
99530	104240.00000000001	4710	Von den IWF Schulden werden heute 305 Millionen bezahlt.
104350	109520.00000000001	5170	Der Rest ist erst später fällig.
114930	118840	3910	Premierminister Tsipras gab sich zuversichtlich.
119000	124480	5480	Griechenland sollte es sich leisten können.
129330.00000000001	133480	4150	Bereits heute soll ein weiteres Treffen mit Vertretern stattfinden.
133580	139440	5860	Bis Ende Monat haben Sie also Zeit.
144650	150600	5950	Sebastian Ramspeck in Brüssel.
152510	154440	1930	Die Frage ist ob die Verhandlungen rechtzeitig abgeschlossen werden.
160110	163880	3770	Dann gibt es Ende Monat frisches Geld von 2 Milliarden Euro.
163980	169440	5460	Damit kann Griechenland Rechnung bezahlen.
174940	180800	5860	Dieser Betrag, die Rückzahlung könnte dann geleistet werden.
185900	191800	5900	Griechenland hat nun also wieder mal mehr Zeit.
206730	208800	2070	Tsipras hat seinen Wählern versprochen, dass es keine
208920.00000000003	214480	5560	Sparmassnahmen gibt.
219020	224840	5820	Das Parlament sagt, dass dieses Versprechen eingelöst werden muss.
226510	229520	3010	Gleichzeitig muss das Geld an den IWF bezahlt werden.
233260	239160	5900	Danke nach Brüssel.
240350	242010	1660	Schon wieder.
242110	243770	1660	Nach dem Angriff auf Sony
243990	244490	500	haben in den USA einmal mehr Hacker zugeschlagen.
246030	247810	1780	Das Ziel aber diesmal kein Konzern, sondern die Bundesbehörden:
247920	249930	2010	Auf deren Computern haben die Diebe
250070	252370	2300	Personaldaten von beinahe 4 Mio. Angestellten abgesaugt. Im April.
252500	254330	1830	Aus China, heisst es offiziell.
254510	257170.00000000003	2660	Doch davon will die chinesische Bot- schaft in Washington nichts wissen.
258110	259529.99999999997	1420	Hinter diesen Fassaden ist die Personalabteilung
260110	261850.00000000003	1740	der amerikanischen Bundesverwaltung beheimatet.
262070	263890	1820	Sie verwaltet die Dossiers sämtlicher Bundesangestellten -
264070	266090	2020	von der einfachen Putzkraft bis zum Special Agent.
266180	274530	8350	OPM heisst diese Personalabteilung, Office of Personal Managment.
276380	279130	2750	Bereits letztes Jahr war sie Opfer eines Cyber-Angriffs.
279340.00000000006	282010	2670	Gestohlen wurden angeblich ganze Personaldatensätze:
282159.99999999994	285250	3090	mit der genauen Funktion des Mitarbeiters,
285420	288050	2630	seiner Qualifikation durch die Vorgesetzen
288270	289530	1260	sowie seine Aus- und Weiterbildung.
291600	293730	2130	Jetzt untersucht das FBI den Fall.
293909.99999999994	295770	1860	Die grosse Angst in Washington:
295990	297810	1820	Bundesbeamte könnten erpressbar werden.
298030	303130	5100	Immerhin: die allersensibelsten Daten seien nicht betroffen, heisst es.
304110	304530	420	So seien keine Informationen über Sicherheitsüberprüfungen
306890	311970	5080	und keine Geheimdienstinformationen in den OPM-Daten enthalten.
313650	316250	2600	Bei Cyber-Angriffen sucht Washington
316510	319050	2540	die Übeltäter fast schon reflexartig in China.
319220	319530	310	Den Hinweisen und Verdächtigungen sind in diesm Fall
322710	325010	2300	bislang aber keine Beweise gefolgt.
327770	330650	2880	Die FIFA hätte ja eigentlich genügend andere Probleme -
330820	333290	2470	Möchtesteines kommt jetzt aber noch dazu:
333400	334530	1130	Denn offenbar hatte die FIFA
335700	337370	1670	Geld an den irischen Fussball-Verband überwiesen,
337520	339490	1970	damit der nicht rechtlich aktiv wird.
339630	344450	4820	Dabei geht es ums Ausscheiden der irischen Nationalmannschaft
344560	346450	1890	in der WM-Qualifikation 2010
346550	348530	1980	wegen eines äusserst umstrittenen Handspiels.
350010	352290	2280	Das ist das entscheidende Tor im November 2009.
352450	355130	2680	Der Franzose Thierry Henry berührt den Ball mit der Hand
355250	357250	2000	und spielt ihn William Gallas zu.
357390	359850	2460	Frankreich gleicht aus
360070	363770	3700	und qualifiziert sich für die WM 2010 in Südafrika.
363990	364570	580	Irland scheidet aus.
366070	368410	2340	Es stellt den Antrag, doch noch für die WM zugelassen zu werden.
368510	370730	2220	Die FIFA lehnt ab.
370990	373530	2540	Irland wird mit einer Zahlung ruhiggestellt,
373630	375650	2020	wie jetzt bekannt geworden ist.
378390	379570	1180	Der Präsident des irischen Fussballverbands John Delaney
381100	386130	5030	nannte gestern den Betrag von 5 Mio. Euro.
386630	388810	2180	"Die englische Zeitung ""The Guardian"" ihrerseits berichtet,"
389010	390810	1800	ihr liege eine Bestätigung durch die FIFA vor.
390930	393610	2680	Die Zahlung der FIFA
393720	394570	850	warwar zuerst als Darlehen für den Bau eines Stadions vorgesehen.
396900	409570	12670	Später entschied der Verband, den Betrag per Ende 2014 abzuschreiben.
413200	415650	2450	zum ersten Mal seit dem Rücktritt von Josef Plotter, hat er sich
415780	421730	5950	Vertreter gemeldet.
424630	424890	260	Er hat sich Gedanken zur Zukunft des Fussballs gemacht.
429240	435170	5930	Es geht mehr um Skandale als um Sport.
449120	451930	2810	Ob sich der kanadische Verein die Weltmeisterschaft unrein unter den
452030	454610	2580	Nagel gerissen hat, ist unklar.
460540	466450	5910	Man kann ja nie sieht an der Situation auch etwas positives.
470310	475250	4940	Ich denke das es für den Frauenfussball eine Chance ist.
475400	481330	5930	Denn dieser hatte moralisch etwas gelitten.
484550	484610	60	Am Dienstag starten die Schweizerinnen ins Spiel, morgens um
487010	489770	2760	vier.
490970	493050	2080	Sterbehilfe ist möglich, wenn ein Patient im Wachkoma liegt.
493290	495490	2200	So hat es der Europäische Gerichtshof für Menschenrechte
495620	497530	1910	im Fall eines Franzosen entschieden.
497630	499330	1700	Die Ehefrau und einige Geschwister
499520	499650	130	hatten im vergangenen Jahr mit den Ärzten beschlossen,
501480	503210	1730	den Mann nicht mehr künstlich zu ernähren.
503400	505130	1730	Seine Eltern aber wehrten sich dagegen.
505190	506930	1740	Ohne Erfolg vor Gericht.
507020	508770	1750	Das Urteil ist deshalb wichtig,
508990	510130	1140	weil es für die ganze EU als Musterfall gilt.
511000	512929.99999999994	1930	45 % Ausländeranteil.
513090.00000000006	514720	1630	Für viele europäische Länder das reinste Horrorszenario.
515280	517039.99999999994	1760	Doch es gibt eine Ecke im Westen Europas,
517210.00000000006	518960.00000000006	1750	wo diese 45 % Realität sind: Luxemburg.
519110	524000	4890	Ausländerinnen und Ausländer können dort in den Gemeinden bereits wählen.
524169.99999999994	526000	1830	Und sie sollen das, wenn es nach der Regierung geht,
526130	528920	2790	bald auch auf nationaler Ebene tun können.
529030	529640	610	Allerdings ist das vielen in Luxemburg jetzt doch zu viel.
531950	535490	3540	Vor der Volksbefragung am Sonntag regt sich Widerstand.
535610	538370	2760	Sebastian Ramspeck berichtet.
539300	544450	5150	Sogar als Wache vor dem Parlaments- gebäude dürfen Ausländer dienen.
544600	544690	90	Die eigene Bevölkerung wäre viel zu klein für die boomende Wirtschaft.
549710	552850	3140	Nur gerade 28 % der Arbeitnehmer
552950	555370	2420	haben die Luxemburger Staatsbürgerschaft.
555560	559650	4090	Irgendwie total abgestellt ProblemDeshalb gebe es kaum einen Politiker,
