start	end	duration	text
1130	2760	1630	.
2980	6440	3460	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7220	8560	1340	Guten Abend, meine Damen und Herren.
8740	10360	1620	"Ich begrüsse Sie zur ""Tagesschau""-Hauptausgabe,"
10550	12360	1810	und diese Themen haben wir u.a. für Sie:
13280	18400	5120	Der Bundesrat will die Krebsprä- vention und -behandlung verbessern.
19480	24800	5320	Die Finanzmarktaufsicht belegt den Ex-Chef der Bank Coop
24900	26920	2020	mit einem Berufsverbot.
27440	32280	4840	Deutschlands Finanzminister Schäuble lobt die Schweizer Bemühungen.
33040	38080	5040	Peschmerga und Freie Syrische Armee eilen den Kurden zu Hilfe.
39320	43160	3840	Nach einigen Regengüssen kehrt die Sonne zurück.
44720	48040	3320	37'000 Menschen erhalten von ihrem Arzt
48180	51480	3300	jährlich die niederschmetternde Diagnose: Krebs.
51570	54600	3030	Über 16'000 sterben jährlich an der Krankheit.
54750	57400	2650	Weil die Menschen immer älter werden, rechnet man damit,
57610	60880	3270	dass auch die Krebserkrankungen in den nächsten Jahren zunehmen.
61100	63560	2460	Um Krebs früher zu erkennen und auch zu behandeln,
63670	65280	1610	will der Bundesrat
65540	67920	2380	nun ein schweizweit einheitliches Krebsregister.
68140	70600	2460	Heute hat er die Botschaft zu einem entsprechenden Gesetz
70820	73250	2430	ans Parlament geleitet - Urs Wiedmer berichtet.
74370	76770	2400	Täglich erfahren über 100 Personen in der Schweiz,
76890	78770	1880	dass sie an Krebs erkrankt sind.
79060	81770	2710	Jeder 3. Mann und jede 5. Frau stirbt.
81860	86250	4390	Die nationale Registrierung bringe allen etwas, sagt der Bundesrat:
86490	89890	3400	Das ist zentral für die Patienten, was wir da machen.
90080	93140	3060	Für die direkt betroffenen Pa- tienten, aber auch für die Familien,
93220	97740.00000000001	4520	die auch mitbekommen, was passiert, und unter der Situation leiden.
97900	100900	3000	Nur mit vollständigen und einheitlichen Daten
101100	104820	3720	lasse sich abklären, ob z.B. das Rauchverbot im öffentlichen Raum
104970	108259.99999999999	3290	zu einem Rückgang der Krebsneuerkrankungen führe
108350	111100	2750	oder ob z.B. Atomkraftwerke, Industrieanlagen
111289.99999999999	115780	4490	oder verkehrsreiche Wohnlagen einen Einfluss auf das Krebsrisiko hätten.
115930	118180	2250	Bis jetzt führen 15 Kantone solche Register.
118390	121660	3270	Durch deren Datenvergleiche haben sich die Heilungsraten verbessert,
121770	124300	2530	erklärt Krebsexperte Franco Cavalli.
124530	126660	2130	Für ihn ist der Entscheid des Bundesrates überfällig
126740	129580.00000000001	2840	und eine Stärkung der Register:
129740.00000000001	132860	3120	Ausser im Tessin bestehen in den meisten Kantonen keine Gesetze.
133040	137140	4100	Der Regierungsrat kann morgen bei einer Sparübung
137220	139540	2320	das Krebsregister auslöschen.
139690	142740	3050	Für die Patientenschutzorganisation ist es unerlässlich,
142930	146620	3690	dass der Datenschutz gewährleistet ist.
146790	149500	2710	Es wurde nicht definiert, wohin diese Daten gehen.
149730	154260	4530	Wer ist die Projektleitung? Es kann auch eine Pharmafirma sein.
154360	156900	2540	Und dorthin dürfen die Daten nicht.
157060	158980	1920	Das sei nicht der Fall, versichern Experten,
159090	161740	2650	und der Bundesrat hält fest:
161940	165780	3840	Es wird registriert, anonymisiert - das ist absolut zentral.
165980	168380	2400	Und dann sind die Grundlagen zu zerstören.
168390	170220	1830	Die Registrierung genügt,
170370	173900	3530	um eine Verbesserung der Behandlung zu erreichen.
174079.99999999997	177020	2940	Die Patienten könnten einer Registrierung widersprechen.
177110	180940	3830	Das neue Gesetz kostet den Bund insgesamt rund 3 Mio. Fr.
182470	185780	3310	Die Bank Coop hat ihren eigenen Aktienkurs schöngetrimmt.
185930	188100	2170	Jahrelang und illegal.
188240	191420	3180	Es ist ein schwerer Vorwurf der Finanzmarktaufsicht FINMA
191650	194700	3050	an die Adresse der Bank - hauptsächlich aber an seine Adresse:
194860	197820	2960	Andreas Waespi, ehemaliger Konzernchef.
197990	200900	2910	Die FINMA belegt ihn mit einem 3-jährigen Berufsverbot.
201020	203220	2200	Für die Bank selbst gibts eine Rüge.
204320	207140	2820	"""Herzlich willkommen zum fair banking"" -"
207329.99999999997	209260	1930	so stehts in der Werbung der Bank Coop.
209380	211340	1960	Die FINMA hat aber auch festgestellt:
211440	213940	2500	Jahrelang habe die Bank Coop
214100	218820	4720	"in ""schwerer Weise gegen das Verbot von Marktmanipulationen verstossen""."
219000	222820	3820	Das Ziel der Bank war, dem Absinken des Aktienkurses
223020	228620	5600	mit gezielten Käufen an bestimmten Tagen entgegenzuwirken.
228780	230900	2120	Das war das Ziel.
231140	233300	2160	Wir konnten allerdings nicht feststellen,
233440	235620	2180	dass sich die Bank oder gewisse Exponenten der Bank
235730	238420.00000000003	2690	mit diesen Käufen bereichern wollten.
238560	242100	3540	Andreas Waespi war CEO der Bank Coop.
242180	245620	3440	Laut FINMA spielte er bei den Verstössen eine tragende Rolle.
245820	248820	3000	Waespi nimmt gegenüber den Medien schriftlich Stellung -
248900	252980	4080	insbesondere zum ausgesprochenen Berufsverbot von 3 Jahren.
268880	272220	3340	Der FINMA-Entscheid hat auch weitreichende Konsequenzen
272360	274620	2260	für die Aargauische Kantonalbank:
274760	277260	2500	Waespi hätte die Führung der Bank nächstes Jahr
277320	279540	2220	als Direktionspräsident übernehmen sollen.
279680	282820	3140	Dies scheitert nun an Waespis Berufsverbot.
283020	285980	2960	Ralph Lewin, Verwaltungsratspräsident der Bank Coop,
286080	288659.99999999994	2580	akzeptiert die FINMA-Rüge und sagt,
288740	292740	4000	man habe von Anfang mit den Behörden kooperiert. Und:
292920	296860	3940	Wir sind dadurch betroffen und bedauern sehr, was vorgefallen ist.
296940	299820	2880	Wir haben aber alle Massnahmen unternommen,
299900	301940	2040	damit dies nie mehr geschehen kann.
302100	304140	2040	So haben wir den Handel mit eigenen Aktien
304380	307940	3560	bereits im Juli 2013 vollständig eingestellt.
308120	310820	2700	Damit ist eine Wiederholung ausgeschlossen.
311000	313980	2980	Weiter habe man die Kurse nicht manipuliert,
314090	316700	2610	um höhere Boni für die Chefetage zu sichern -
316850	320900	4050	Vergütungen würden bei Bank Coop unabhängig vom Börsenkurs bemessen.
322200	325260	3060	3 Jahre Berufsverbot für den ehemaligen Chef der Bank Coop.
325430	328540	3110	Das ist eine harte Strafe, sagen auch Bankeninsider.
328740	332340.00000000006	3600	Weht da den Banken ein neuer, eisiger Wind aus Bern entgegen?
332500	334540	2040	Wirtschaftsredaktor Christian Kolbe
334740	336820	2080	hat den Wirtschaftsjuristen Peter Kunz gefragt,
336990	341140	4150	welche Bedeutung diese Rüge der FINMA für den Finanzplatz Schweiz hat:
342080	345460	3380	Nun hat es fast zum ersten Mal eine mittelgrosse Bank -
345610	348300	2690	notabene einen Sympathieträger - getroffen.
348470	352300	3830	Das ist für den Bankenplatz Schweiz durchaus aussergewöhnlich.
352470	354740	2270	Die FINMA verhängt 3 Jahre Berufsverbot
354970	358020	3050	gegen den ehemaligen Chef der Bank Coop, gegen Andreas Waespi.
358100	360340	2240	Wie hart ist dieses Urteil?
360450	362340	1890	Das ist sogar sehr hart für ihn.
362520	365780	3260	Ein 3-jähriges Berufsverbot hat es meines Wissens
365890	368060	2170	in der Schweiz noch nie gegeben,
368210	371300	3090	ganz bestimmt nicht für einen ehemaligen Bankenchef.
371440	373340	1900	Deshalb bin ich persönlich auch überzeugt,
373490	375940	2450	dass er sich das vermutlich nicht gefallen lässt
376160	378980	2820	und wahrscheinlich eine gerichtliche Überprüfung verlangen wird.
379180	382260	3080	Mit der Rüge der FINMA ist der Fall aufsichtsrechtlich abgeschlossen.
382290	383740	1450	Ist es denkbar,
383940	386300	2360	dass nun auch noch Strafverfolgungs- behörden aktiv werden?
386410	389020	2610	Die FINMA hat ja nur eine Marktmanipulation festgestellt.
389220	393020	3800	Relativ nahe ist aber auch die sog. Kursmanipulation.
393140	395740	2600	Die Kursmanipulation wäre strafbar,
395890	398180	2290	und ich wäre persönlich nicht überrascht,
398330	401380	3050	wenn die Staatsanwaltschaft Basel sich dieses Dossier
401460	403500	2040	auch mal gerne anschauen würde.
403590.00000000006	407420	3830	Mit der Konsequenz, dass es sogar zu Strafverfahren kommen könnte.
408500	411700	3200	Für Steuerbetrüger brechen härtere Zeiten an.
411790	415940	4150	51 Länder haben in Berlin einen um- fassenden Datenaustausch vereinbart -
416060	418460	2400	und zwar ab 2017.
418580	421140	2560	Dann gibt es bald kaum noch Fluchtburgen auf der Welt,
421220	423940	2720	um Geld illegal parken zu können. Allerdings:
424170	427260	3090	Nicht alle, so z.B. China oder die USA, machen mit.
427370	430820	3450	Die Schweiz gehört zwar nicht zu den Erst-Unterzeichnern,
431010	434900	3890	macht aber doch einige Zugeständ- nisse. Aus Berlin, Adrian Arnold.
436220	442060	5840	"Kurz vor 15 Uhr kündigt der deutsche Finanzminister ""etwas Grosses"" an:"
442220	444860	2640	Dies ist der Startschuss für die weltweite Einführung
444970	447740	2770	des Informationsaustausches 2017 -
447850	451540	3690	ein grosser Erfolg im Kampf gegen Steuerflucht.
451780	455300	3520	51 Staaten unterzeichnen den Vertrag, aber nicht alle.
455450	458220	2770	Nebst den USA und China auch die Schweiz nicht.
458340.00000000006	461180	2840	Im Konferenzhotel treffen wir den Schweizer Delegationsleiter,
461300	466260	4960	Botschafter Filliez. Warum hat die Schweiz nicht mitunterzeichnet?
466430	469820	3390	Unseren institutionellen Gesetzgebungsverfahren
469930	472540	2610	erlauben es uns nicht,
472710	478060	5350	so früh wie die anderen auf dieser Schiene zu fahren.
478140	480460	2320	Dafür hat er an der Konferenz
480650	483420	2770	den Zeitplan der Schweizer Regierung bekanntgeben.
483530	486740	3210	Der automatische Informations- austausch von Bank und Steuerdaten
486910	490540	3630	soll spätestens in 4 Jahren auch für die Schweiz gelten.
490720	493380	2660	Sie persönlich rechnen damit, dass die Schweiz ab 2018
493620	497540	3920	den automatischen Informationsaustausch einführen wird?
497720	503500	5780	Unter Vorbehalt der Entscheide unseres Parlaments und Volks, ja.
503650	506100	2450	Während die Schweizer schon die Heimreise antreten,
506330	508660	2330	laden die Finanzminister zur Presskonferenz
508810	512380	3570	und rühmen jene Staaten, die sich heute verpflichtet haben.
512549.99999999994	515580.00000000006	3030	Und die Schweiz? Wir fragen den deutschen Finanzminister.
515820.00000000006	519340.00000000006	3520	Betrachten Sie die Schweiz noch immer als eine Steueroase?
519450.00000000006	522100	2650	Ich bin ganz sicher, wir haben eine gute Zusammenarbeit mit der Schweiz.
522280	526100	3820	Und ich bin ganz sicher, dass die Schweiz diesen Weg,
526270	529900	3630	auf dem sie in den letzten Jahren viel schneller vorangeschritten ist,
530130	533660	3530	als sich viele Kritiker der Schweiz jemals hätten vorstellen können,
533760	537140	3380	konsequent weitergehen wird.
537290	541540	4250	Diesem Lob und den hohen Erwartungen der internationalen Konferenz
541700	545740	4040	dürfte in der Schweiz eine emotionale innenpolitische Debatte folgen.
545970	549020	3050	Die Einführung des automatischen Informationsaustausches
549220	552620	3400	ist eine erhebliche Lockerung des Schweizer Bankgeheimnisses.
552700	554980	2280	Deshalb dürfte letztendlich das Schweizer Volk
555100	557220	2120	an der Urne darüber entscheiden.
558330	560780	2450	Käse, Fleisch, Getreide, Gemüse, Früchte -
560970	564180	3210	noch nie haben die Schweizer Bauern so viel produziert wie heute.
564340	566780	2440	Trotzdem fürchtet der Schweizer Bauernverband
566930	569220	2290	um die Ernährungssicherheit des Volkes.
569380	573300	3920	"Er hat darum die Initiative ""Für Ernährungssicherheit"" lanciert,"
573410	575700	2290	die im Juli zustande gekommen ist.
575780	578180	2400	Jetzt hält der Bundesrat dagegen und will der Initiative
578370	581220	2850	einen direkten Gegenvorschlag gegenüberstellen.
581370	584700	3330	Dieser soll die Ernährungssicherheit in einem umfassenden Sinn
584900	586940	2040	in der Verfassung festschreiben.
587120	590460	3340	Ausserdem sollen die Bauern marktwirtschaftlicher arbeiten.
590570	592180	1610	Aus Bern: Christoph Nufer.
593200	595300	2100	Bundesrat Schneider-Ammann
595410	597420	2010	ist in vielem mit den Bauern einverstanden:
597520	599900	2380	Kulturland schützen und auf Qualität setzen - ja.
600100	601820	1720	Neu will der Bundesrat gar wie die Bauern
601990	605300	3310	das Wort Ernährungssicherheit in die Verfassung schreiben.
605500	607740	2240	Trotzdem grenzt sich der Bundesrat klar ab
607910	611260	3350	von der Ernährungssicherheits- Initiative des Bauernverbandes -
611360	613260	1900	mit einem Gegenvorschlag.
613380	615900	2520	Der Bundesrat ist der Ansicht, dass die Initiative
616130	620500	4370	nicht vollständig und einseitig formuliert ist.
620690	624460	3770	Tomaten, Gurken, Peperoni, Getreide, Nüsslisalat.
624620	627300	2680	Möglichst viel Made in Switzerland.
627500	629980	2480	Das möchte die Ernährungssicherheits- Initiative des Bauernverbandes
630220	632470	2250	erreichen.
632590	635270	2680	"Also die ""Versorgung der Bevölkerung"
635440	637990	2550	"mit Lebensmitteln aus (...) einheimischer Produktion"" stärken."
638140	640230	2090	In Rekordfrist hat der Bauernverband
640460	643070	2610	im Sommer 150'000 Unterschriften zusammen gebracht.
643290	645430	2140	Wer ist schon gegen Ernährungssicherheit?
645630	648030	2400	Genau deswegen befürchtet der Landwirtschaftsminister,
648130	650550	2420	seine Agrarreform 2014-17,
650700	653590	2890	welche die Bauern zu mehr Wettbewerb und Effizienz verpflichtet,
653770	656390	2620	könnte wegen der Ernährungs- sicherheits-Initiative der Bauern
656490	659110	2620	Kopf stehen.
659980	662430	2450	Der Bauernverband versucht über die Initiative tatsächlich,
662590	664550	1960	diese Entwicklung etwas zu korrigieren.
664710	667070	2360	Das ist mit ein Grund, weshalb der Bundesrat sagt:
667290	670230	2940	"""Wir wollen unseren Kurs verfolgen. Der ist richtig."""
670430	675390	4960	Deshalb stellen wir dem Volk diesen Weg auch zur Diskussion.
675580	679390	3810	Ist die Ernährungssicherheit nicht ein verkappter Heimatschutz?
679520	681350	1830	Nein, ich glaube,
681530	684390	2860	es geht hier mit unserer Initiative darum, wachzurütteln.
684580	687350	2770	Lebensmittel sind nicht garantiert auf alle Zeiten.
687450	690230	2780	Die UNO geht davon aus, dass sich der Bedarf an Lebensmitteln
690360	693510	3150	bis ins Jahr 2050 verdoppeln wird.
693620	696270	2650	Hinter dem Begriff Ernährungssicherheit
696360	698030	1670	ist ein Richtungskampf
698250	700430	2180	um die Zukunft der Schweizer Landwirtschaft entbrannt.
701740	704110	2370	In einem Monat stehen die nächsten Abstimmungen an.
704260	707310	3050	Doch der Bundesrat ist in seiner Agenda schon einen Schritt weiter
707450	709190	1740	und kündigt heute
709350	712150	2800	die Themen für die übernächsten Abstimmungen vom 8. März an.
712320	714390	2070	Über 2 Initiativen wird dann entschieden:
714620	718030	3410	jene zu steuerfreien Kinder- und Ausbildungszulagen
718200	720830	2630	und jene zu einer Energie- statt Mehrwertsteuer.
721070	722870	1800	Das - wie gesagt - die Themen vom 8. März.
724620	726590	1970	Vermieter sollen beim Abschluss eines Vertrages
726750	730750	4000	den vorherigen Mietzins bekannt geben müssen, das will der Bundesrat.
730920	732990	2070	Trotz heftiger Kritik in der Vernehmlassung.
734080	738070	3990	Kritik kam v.a. von der SVP und der FDP.
738250	741390	3140	Sie befürchten einen zusätzlichen administrativen Aufwand
741610	742990	1380	für die Vermieter.
743170	745070	1900	Der Bundesrat hofft, mit mehr Transparenz
745150	748710	3560	die rasch steigenden Mietpreise etwas abzubremsen.
748950	751470	2520	Das zuständige Departement soll nun bis nächsten Frühling
751710	753670	1960	einen Gesetzesentwurf ausarbeiten.
755310	760230	4920	Der Bundesrat stockt die Auslands- hilfe um insgesamt 40 Mio. Fr. auf:
760260	762670	2410	20 Mio. sollen in Westafrika
762890	766070	3180	für den Kampf gegen die Ebola-Epidemie eingesetzt werden.
766150	770150	4000	20 Mio. sind für die Opfer der Krisen in Syrien und in Irak.
770400	772430	2030	Dort geht es v.a. darum, die Menschen
772520	775670	3150	mit dem Nötigsten für den bevorstehenden Winter auszurüsten.
776710	778670	1960	Die Unterstützung für die Kurden
