start	end	duration	text
8090	16149.999999999998	8060	.
16360	20630	4270	1:1-Untertitelung. Livepassagen können Fehler enthalten.
20840	23510	2670	"Guten Abend und herzlich willkommen zu ""Schweiz aktuell"""
23650	27240	3590	an diesem Frühlingsfreitag. Das sind unsere Schlagzeilen am 11. April:
29150	31560	2410	... wird der mutmassliche Täter und die Tatwaffe
31680	34440	2760	im Tötungsdelikt von Balzers.
34690	38120	3430	Die Liechtensteiner Polizei hat heute ein Grossaufgebot eingesetzt
38210	39890	1680	und aus dem Abschiedsbrief zitiert.
41900	43650	1750	... sind die Hühner in der Zeit um Ostern herum,
43790	45930	2140	wo es viel mehr Eier braucht als sonst.
46050	47970	1920	Nach den Festtagen landen viele Tiere auf dem Schlachthof.
49960	52090	2130	... gestaltet die Berner Künstlerin Chantal Michel
52250	54050	1800	eine leere Kirche in Wollishofen.
54290	58420	4130	Wer die Installation besucht, kann darin essen und sogar übernachten.
60240	62340	2100	Die ganze Woche war das Fürstentum Liechtenstein
62540	64900.00000000001	2360	geprägt vom Tötungsdelikt von Balzers.
65120.00000000001	68620	3500	Davon, dass dort ein Bankdirektor erschossen wurde.
68850	71340	2490	Der mutmassliche Täter ist immer noch verschwunden.
71570	74100	2530	Heute gab die Polizei neue Details zum Fall bekannt
74250	76940	2690	und suchte nochmal mit einem Grossaufgebot
77090	81460.00000000001	4370	die Tatwaffe und persönliche Gegenstände des Verdächtigen.
82950	85260	2310	Mit 90 Beamten sucht die Polizei
85400	87539.99999999999	2140	heute nochmal das Rheinufer bei Ruggell ab.
87680	89620	1940	Meter für Meter wird alles durchkämmt,
89850	92310	2460	doch bis jetzt fehlt jede Spur der Tatwaffe.
92500	96430	3930	Es ist eine schwierige Situation für die Polizei.
96660	99550	2890	Die Suchmöglichkeiten sind langsam erschöpft.
99720	101910	2190	Wir haben diese Woche eine sehr intensive Suche
102100	105910	3810	im Wasser, aber auch an Land durchgeführt, in der Gegend,
106050	108910	2860	wo sich die Spur von Herr Herrmann am Montag verloren hat.
109060	111270.00000000001	2210	Es gibt es jetzt wenig Möglichkeiten.
111450	114110	2660	Der Schwerpunkt liegt jetzt im Bereich der Ermittlungen,
114340	117470	3130	ob wir dort allenfalls neue Anhaltspunkte finden.
117610	119630	2020	Die Polizei geht nach wie vor
119740.00000000001	122030	2290	von einem Suizid des mutmasslichen Täters aus.
122270	124790	2520	Daraufhin deuten einerseits die Abschiedsworte hin,
124970	128350	3380	die er in seinem Reisepass am Rheinufer hinterlassen hat.
138040	144430	6390	Dazu kommen weitere Indizien.
144600	147440	2840	Es wurden umfangreiche Finanzermittlungen angestellt.
147610	152720	5110	Diese Finanzermittlungen zeigen keine Auffälligkeiten,
152820	154960	2140	die auf eine Flucht oder auf eine Vorbereitung einer Flucht
155140	157280	2140	schliessen lassen könnten.
157470	159800	2330	Der Tatort bei der Bank Frick in Balzers.
159970	162360	2390	Das Sicherheitspersonal bewacht weiterhin das Gebäude,
162490	164560	2070	solange nicht klar ist,
164780	168760	3980	ob sich der mutmassliche Täter wirklich das Leben nahm oder nicht.
168960	172120	3160	Die Situation in der Bank ist nach wie vor sehr belastend.
172320	174880	2560	Es gibt sehr emotionale Szenen,
175100	178120	3020	insbesondere, wenn die Familie Frick,
178290	180880	2590	die hier ja personell sehr engagiert ist,
181100	184880	3780	mit Mitarbeitern spricht. Da gibt es herzzerreissende Szenen.
185050	188680	3630	Erhöhte Sicherheitsstufe auch bei der Katholischen Kirche in Balzers.
188780	191160	2380	Heute Abend kommen hier Trauernde zusammen,
191260	194760	3500	in Gedenken an den verstorbenen Bankdirektor Jürgen Frick.
195020	197120	2100	Morgen ist dann die offizielle Abdankungsfeier.
197290	200440	3150	Mit dabei sind auch unerwartete Gäste.
200660	203160	2500	Die Familie des Täters hat sich bei der Familie Frick gemeldet
203370	206000	2630	und hat gefragt, ob sie am Trauer- gottesdienst teilnehmen können.
206170.00000000003	208240	2070	Ob sie das wünschen, oder ob es ihnen lieber wäre,
208340	210160	1820	wenn sie nicht kommen.
210370	212640	2270	Und die Familie Frick hat ganz klar im Zeichen der Christlichkeit
212860	215840	2980	und der Mitmenschlichkeit gesagt, dass sie sehr willkommen sind.
216060	221079.99999999997	5020	Denn auch Familie Hermann hat Opfer zu beklagen
221170.00000000003	223800	2630	in diesem grausamen Verbrechen.
224010	227240	3230	Ob an der morgigen Abdankungsfeier auch das Fürstenhaus teilnimmt,
227420.00000000003	229200	1780	ist noch nicht klar.
230450	232240	1790	Um 19 Uhr begann in Balzers
232530	234490	1960	ein Gedenkgottesdienst für den verstorbenen Bankdirektor.
234690	237450	2760	Direkt zugeschalten ist jetzt Reporter Matthias Rusch.
237510	240850	3340	Die offizielle Abdankungsfeier ist morgen.
240940	244290	3350	Wie viele Menschen sind heute Abend gekommen?
244490	248810	4320	Wir untertiteln live:
248770	250730	1960	Tatsächlich.
253480	255370	1890	Es kamen Scharen von Menschen.
257200	259140	1940	Vor wenigen Min. ist das Fürstenpaar angekommen.
260690	262580	1890	Auch jetzt gehen noch Menschen in die Kirche.
265410	267380	1970	Die Kirche ist voll besetzt.
268110	270060	1950	Über 500 Menschen befinden sich in der Kirche.
270590	272500	1910	Die Anteilnahme ist riesig.
276690	279060	2370	bereits Std. vorher wurde die Umgebung der Kirche abgesucht.
282610	284580	1970	Man wollte sämtliche Eventualitäten ausschliessen.
286020	287940	1920	Eine schwierige Zeit für viele.
289380	291380	2000	Ich dachte schon, wir hätten die Leitung verloren.
294060	295940	1880	Wie erlebt der Pfarrer diese Zeit?
298440	300420	1980	Für ihn ist es auch aussergewöhnlich.
304340	306300	1960	Vor 4 Jahren ist das letzte Tötungsdelikt
307780	309740	1960	im Fürstentum passiert.
311370	313260	1890	In solchen Momenten Worte des Trostes zu finden,
314730	316700	1970	ist praktisch unmöglich.
322610	325140	2530	Viele Menschen kamen zu ihm und sagte, sie beten für die Familie
325360	326460	1100	Frick.
326590	329060	2470	Solidarität zu bekunden sei das wichtigste, sagte der Pfarrer.
329650	331580	1930	In Gedanken bei der Trauerfamilie zu sein.
332630	335460	2830	Alle: Scheiss Basel! Scheiss Basel!
335640	339580	3940	Szenen wie diese wollte man in der Stadt Bern nicht mehr.
339810	343020	3210	Ausschreitungen vor dem Fussball- Cupfinal im letzten Mai
343220	347659.99999999994	4440	mit Randalierern in der Innenstadt.
347800	349780	1980	Aus Angst vor neuen Krawallen war lange unklar,
349930	352500	2570	ob das Finalspiel zwischen dem FC Zürich und dem FC Basel
352640	354900	2260	heuer am Ostermontag doch wieder in Bern stattfindet.
355100	357100	2000	Jetzt gab die Stadt aber die Bewilligung.
358300	360300	2000	Und auch Fanmärsche soll es wieder geben.
360460	363020	2560	Letztes Jahr gab es bei den Ausschreitungen 10 Verletzte,
363100	365500	2400	darunter 2 Polizisten.
365700	368420	2720	Kurz nach den Randalen sagte Sicherheitsdirektor Reto Nause:
368530	370340	1810	Für mich ist klar:
370480	373100	2620	Solche Fanmärsche durch eine Innenstadt kann es nicht mehr geben.
373180	375020	1840	Und jetzt gibt es das also doch wieder.
375180	376940	1760	Die Stadt hat die Bewilligung allerdings
377140	379500	2360	an Auflagen des Schweizerischen Fussballverbandes geknüpft
379600	382100	2500	im Rahmen des verschärften Hooligan-Konkordates.
382280	384460	2180	Neu übernimmt der Verband die Verantwortung,
384600	387220	2620	nicht nur im Stadion, sondern auch ausserhalb,
387410	390260	2850	also auch bei einem Fanmarsch.
390340	392540	2200	Es ist ein Bekenntnis aller involvierter Kreise,
392720	395700	2980	von den Klub-Präsidenten, vom Fussballverbandspräsident,
395850	398980	3130	dass man einen friedlichen Cupfinal will.
399130	404700	5570	Man hat dem SFV einen Rückbehalt von 200'000 Fr. abgerungen,
404850	408140	3290	der Anreize schafft, dass der Cupfinal friedlich bleibt.
408300	410980	2680	Es gibt weitere Auflagen von Bern an den Fussballverband.
411180	415620	4440	Z.B., dass ein Fanmarsch von Fangruppen begleitet werden muss.
417780	420060	2280	In der Altstadt von Diessenhofen im Kanton Thurgau
420200	422180	1980	ist gestern Nacht Feuer ausgebrochen.
422370	424750	2380	Ein Wohnhaus und eine Scheune sind verbrannt.
426750	429070	2320	Das Feuer brach im angebauten Schopf aus
429150	431470	2320	und weitete sich dann aufs Wohnhaus aus.
431640	434750	3110	Die Bewohner wurden um 2 Uhr vom Feuer überrascht.
434920	437110	2190	Man kann da von Glück im Unglück sprechen,
437270	439870	2600	dass die Leute, die im nebenstehenden Haus wohnen,
440030	442550	2520	rechtzeitig gemerkt haben, dass ein Feuer ausgebrochen ist.
442660	444790	2130	Sie haben das gehört und gerochen.
444950	447670	2720	Somit sind rechtzeitig 4 Personen unverletzt aus dem Haus hinaus
447840	450390	2550	und konnten dann die Feuerwehr alarmieren.
450540	452710	2170	Warum das Feuer ausbrach, wird noch untersucht.
454050	457030	2980	Das Berner Obergericht hat das Urteil gegen den sog. Heiler von Bern
457140	460190	3050	verschärft auf 15 Jahre Gefängnis.
460270	462430	2160	Die erste Instanz verurteilte ihn vor einem Jahr
462590.00000000006	465110	2520	zu 12 Jahren und 9 Monaten Haft.
465310	467630	2320	Dem ehemaligen Musiklehrer wird vorgeworfen,
467710	471390	3680	er habe 16 Menschen absichtlich mit dem HI-Virus angesteckt.
471510	473510	2000	Sabine Gorge.
474830	477270	2440	Die Höchststrafe, 15 Jahre Haft für den sog. Heiler
477430	479710	2280	wegen mehrfacher schwerer Körperverletzung
479790	482190	2400	und Verbreitung menschlicher Krankheiten.
482270	484510	2240	Das Berner Obergericht hat so entschieden,
484590	488950	4360	wie es die Staatsanwaltschaft während des Prozesses forderte.
489150	490910	1760	Ich bin v.a. froh darüber,
491140	493670	2530	dass das Gericht wie bereits die Vorinstanz zum Schluss kam,
493800	495670	1870	dass an der Schuld der Täterschaft, des Angeklagten,
495780	498150	2370	kein Zweifel bestehen kann.
498320	500430	2110	Ich bin weiter auch froh, dass das Gericht
500630	503830	3200	mit seiner sehr sorgfältigen Würdigung auch zum Schluss kam,
503910	506750	2840	dass die Infektionen,
506930	509750	2820	die der Beschuldigte verursacht hat bei 16 Personen,
509990	513510	3520	eine schwere Körperverletzung darstellen.
513679.99999999994	519030	5350	Kaltblütig habe der Mann 16 Personen mit dem HIV-Virus angesteckt,
519230	523270	4040	seine Taten über mehrere Jahre geplant und ausgeführt,
523260	526030	2770	ohne erkennbares Motiv.
526230	529150	2920	Die Beweislage sei trotz eines Indizienprozesses
529260	531870	2610	"""von seltener Klarheit"", so der Richter in der Urteilsbegründung."
532010	534750	2740	Eine Genugtuung für die Opferseite.
534840	538590	3750	Diese Fallkonstellation ruft unbedingt nach der Höchststrafe,
538670	542790	4120	denn es ist nicht vorstellbar, was noch schlimmer sein könnte.
542870	547870	5000	Das ist für uns ganz klar ein Todesurteil auf Raten.
548040	553270	5230	Der 55-Jährige kann das Urteil jetzt noch ans Bundesgericht weiterziehen.
553400	556030	2630	Ich konnte mit meinem Mandanten noch nicht darüber sprechen.
556230	559030	2800	Wir werden die schriftliche Begründung abwarten müssen
559160	561430	2270	und im Detail durchgehen.
561640	566470	4830	Ich muss auch mit ihm besprechen, ob das Sinn macht, ob er das will.
566540	568950	2410	Der sog. Heiler bleibt in Sicherheitshaft.
569090	573030	3940	Er muss den Opfern ausserdem je 100'000 Fr. bezahlen.
574780	578910	4130	Um die 200 Mio. Eier legen die Hühner in der Schweiz jedes Jahr.
579120	582230	3110	Am meisten braucht es natürlich rund um Ostern.
582340	584510	2170	Wie machen es die Eierproduzenten,
584690	586870	2180	und v.a. - wie machen es eigentlich die Hühner,
587000	589310	2310	dass es jetzt mehr Eier gibt?
589450	592230	2780	Ein Huhn kann nicht einfach doppelt so viele Eier legen wie sonst,
592330	594790	2460	nur weil gerade Saison ist.
595020	597710	2690	Deshalb braucht es vor Ostern viel mehr Tiere.
597860	600550	2690	Wir schauten uns einen der grössten Hühnerställe der Schweiz
600660	602790	2130	in Appenzell Innerrhoden an,
602900	605990	3090	wie sich der ganze Eierlegestress auswirkt.
607300	610830	3530	Sie gackern, scharren und picken auf den grünen Wiesen.
610990	613510	2520	Die Hühner auf dem Hof in Schlatt-Haslen
613640	617270	3630	verbringen ihre Freizeit draussen.
617390	620510	3120	Doch die Arbeitszeit - und das sind die meisten Stunden am Tag -
620600	623270	2670	verbringen sie hier: drinnen im Stall.
623370	627430	4060	Mit Fressen, Trinken, Schlafen und am wichtigsten: Eierlegen.
627700	633870	6170	Rolf Inauen weiss, was er von seinen Legehühnern erwarten kann.
634060	637870	3810	Das sind Legehennen, die spitzenmässige Eier produzieren.
638070	643870	5800	Sie produzieren am Tag maximal ein Ei.
644040	647650	3610	Wir können diese Leistung zu Ostern nicht erhöhen,
647740	650290	2550	weil es ein natürliches Tier ist.
650360	654170	3810	Ein Ei pro Tag ist das Maximum, was wir machen können.
654300	658130	3830	Und zu Ostern hin braucht es das Maximum: nämlich Vollbelegung.
658340	662090	3750	18'000 Legehühner hält der Eierproduzent.
662240	665410	3170	Die Produktion läuft rund. Die Eier verlassen am Laufmeter den Stall.
665700	669290	3590	Sie sind kurz vor Ostern wie auch zur Weihnachtszeit besonders gefragt.
669560	676410	6850	Deshalb züchtet der Eierproduzent seine Herde auf diese Zeit hin auf.
676510	680130	3620	Nach getaner Arbeit dürfen die, die wollen hinaus in den Wintergarten.
680340	682930	2590	Was die Hühner nicht wissen: Ihre Tage sind gezählt.
683140	685690	2550	Sie werden nach nur 1 1/2 Jahren geschlachtet,
685900	687970	2070	obwohl sie eigentlich noch 5 Jahre oder länger
688170	690330	2160	nach Würmern scharren könnten.
690380	697370	6990	Sie haben ihre Pflicht, nämlich rund 300 Eier legen, fast erfüllt.
697520	700250	2730	Am Schluss ist die Schalenqualität der Eier nicht mehr zu 100 % gut
700430	703860	3430	und der Konsument verlangt Topqualität, auch in Sachen Schale.
703960	709740	5780	Entsprechend gehen die Tiere dann in die Schlachterei.
709890	711700	1810	Sie müssen das Feld räumen
711940	714140	2200	für die nächste Herde an Hochleistungshühnern,
714290	716300	2010	die die volle Produktion aufrecht erhalten.
716470	718660	2190	Aus einem Teil der Hühner gibts Biogas,
718860	724060	5200	der grösste Teil aber landet auf dem Tisch.
724320	726940	2620	Die Tiere werden nachher der Nahrungsmittelkette zugeführt.
727170	729700	2530	D.h., die Suppenhennen kommen in den Suppentopf
729900	734100	4200	und das Verarbeitungsfleisch kommt in Wurstwaren auf Schweizer Teller.
734230	736420	2190	Tut Ihnen das Weh, wenn Sie wissen,
736580	740740	4160	dass die Tiere nach 12 Monaten weg müssen?
740940	745900	4960	Grundsätzlich bauen wir auch wenn es viele Tiere sind eine Beziehung auf.
