start	end	duration	text
3510	5070	1560	.
5240	7470	2230	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7690	9550	1860	"""Wir sind ein freies Volk, das keine Angst hat"" -"
9690	11790	2100	das hat der französische Präsident Francois Hollande
12010	13990	1980	nach dem Terror der letzten Tage gesagt.
14250	16309.999999999998	2060	Und er hat zu dieser Manifestation heute aufgerufen.
16490	19950	3460	Die Menschen sind seinem Aufruf gefolgt
20110	23430	3320	und marschieren für den Frieden in Paris. Zu Hunderttausenden.
23550	29150	5600	"Guten Tag, meine Damen und Herren, zu einer ""Tagesschau Spezial"""
29260	31190	1930	zu den Ereignissen in Frankreich,
31350	34150	2800	zum grossen Solidaritätsmarsch für die Opfer des Terrors.
35530	37550	2020	Wir werden in den nächsten rund 30 Min.
37670	39710	2040	möglichst viele Live-Bilder aus Paris zeigen,
39940	43110	3170	zu unserem Sonderkorrespondenten in Paris Urs Wiedmer schalten
43210	45510	2300	und das Gesehene und Gehörte mit unserem Studiogast,
45720	48750	3030	dem Historiker und Sicherheitsexperten Kurt Spillmann
48850	52150	3300	einordnen und analysieren.
53430	56750	3320	Vor rund 45 Min. ist es in Paris losgegangen mit diesem Marsch,
65090	69030	3940	D.h. es hätte losgehen sollen.
69160	70910	1750	Vor 15 Minuten war dann der Staat.
71020	73150	2130	--Start
74720	77030	2310	Dann geht es über den Boulevard Voltaire bis zur Place de la Nation.
77240	77310	70	Um die Menschenmasse zu bewältigen, führt eine zusätzliche Route
80030	83030	3000	über die Metro-Station Pere Lachaise bis zur Place de la Nation.
83120	85350	2230	Hunderttausende Menschen sind da,
85500	88750	3250	bekunden mit ihrer Präsenz, wie wichtig ihnen das Zusammenstehen,
88960.00000000001	91190	2230	das Zusammen-Marschieren für den Frieden ist.
91350	94590	3240	Und man darf ohne zu übertreiben von einem historischen Moment sprechen.
94680	99150	4470	Denn es sind nicht weniger als 40 Staats- und Regierungschefs anwesend.
99350	101870	2520	Viele von ihnen haben ganz spontan zugesagt.
113130	116280	3150	Es war genau um 15.25 Uhr, als sich der Marsch in Bewegung setzte.
116490.00000000001	119160	2670	Alle sind sie gekommen, um heute in Paris mitzulaufen.
119320	122360	3040	Die Staats- und Regierungschefs werden angeführt
122540	125280	2740	von Frankreichs Präsident Francois Hollande.
125470	129160	3690	Er, der Mittag gesagt hat, Paris sei heute die Hauptstadt der Welt.
129240.00000000001	132840	3600	Immer wieder muss der Umzug angehalten werden,
132960	135760	2800	vermutlich aus Sicherheitsgründen.
135850	137800	1950	Bundeskanzlerin Angela Merkel ist da.
137990	141240	3250	Oder auf der anderen Seite von Hollande Ibrahim Boubacar Keita,
141370	143760	2390	Präsident von Mali.
144010	146560	2550	Auch der italienische Regierungschef Matteo Renzi,
146770	152480	5710	hier im Gespräch mit Bundes- präsidentin Simonetta Sommaruga,
152620	156320	3700	hinter ihnen Hamas-Chef Mahmut Abbas.
156410	159360	2950	Gut 50 ranghohe internationale Politiker
159520	165200	5680	haben sich hier in Paris auf der Strasse versammelt.
165260	167680	2420	Bereits eine Stunde vor dem Start des Marsches
167840	170440	2600	war die Place de la Republique überfüllt.
170650	173040	2390	Rund um und auf der Statue auf dem Platz
173160	175280	2120	haben sich Tausende Menschen versammelt.
175450	177640	2190	Von Jung bis Alt sind sie alle vertreten,
177850	182480	4630	genauso wie die verschiedensten Glaubensrichtungen.
