start	end	duration	text
3040	4440	1400	.
4630	8000	3370	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8230	10280	2050	Guten Abend, herzlich willkommen.
10450	13480	3030	Das FIFA-Präsidium bleibt in Schweizer Hand.
13560	17400	3840	Gianni Infantino sticht überraschend Scheich Salman aus.
17480	22640	5160	Welche Erleichterung.
22810	25800	2990	Der frischgewählte Präsident nimmt die ersten Gratulationen entgegen
25970	31320	5350	und gibt in seinen ersten Worten gleich das Ziel vor:
31510	33560	2050	Wir werden das Image der FIFA wiederherstellen
33660	35760	2100	und auch den Respekt vor der FIFA.
35930	38160	2230	Und alle werden uns und euch applaudieren für das,
38230	42240	4010	was wir in der Zukunft tun werden.
42420	45600	3180	Schafft er es tatsächlich, die FIFA grundlegend zu reformieren?
45680	49040	3360	Ist er der Richtige dafür? Dazu unser Fokus.
49160	51000	1840	Und hier die weiteren Themen:
53680	56200	2520	Betroffene Fahrer klagen über miese Löhne.
59410	62680	3270	Warum es für den Bundesanwalt schwierig werden dürfte.
66310	70840	4530	Stararchitekt Calatravas neustes Werk steht vor der Eröffnung.
73640	75720	2080	Eine solche Spielzeit
75920	79080	3160	hätte den fittesten Stürmer an den Rand der Erschöpfung gebracht.
79160	81280	2120	Über 4 Std. dauerte die Wahl am Kongress,
81510	83660	2150	dann war die Überraschung perfekt -
83880	87340	3460	und Gianni Infantino neuer Präsident des Weltfussballverbands.
87470	91580	4110	Mit 45 Jahren ist der Walliser der jüngste Präsident aller Zeiten.
91670	93979.99999999999	2310	Die Erwartungen an ihn sind gross:
94229.99999999999	96580	2350	Er soll bei der FIFA eine neue Ära einleiten.
96800	100820	4020	Doch schafft er das? Kann er die FIFA wirklich verändern? Oliver Bono.
105670	109259.99999999999	3590	Stehende Ovationen für Gianni Infantino.
109350	113300	3950	Bereits im zweiten Wahlgang
113520.00000000001	118580	5060	macht der 45-Jährige das Rennen um das FIFA-Präsidium.
118750	118860	110	Der Walliser Jurist - Nachkomme italienischer Einwanderer -
122950	125380	2430	Der Walliser Jurist - Nachkomme italienischer Einwanderer -
125460	127860	2400	ist zwar perfekt mehrsprachig und
128039.99999999999	131420	3380	als bisheriger UEFA-Generalsekretär ist er auch die grosse Bühne gewohnt,
131630	135820	4190	als neuer FIFA-Präsident ringt er aber zuerst mal um Worte:
135990	145900	9910	Liebe Freunde, ich kann meine Gefühle nicht wiedergeben.
153680	156420.00000000003	2740	Liebe Freunde, ich kann meine Gefühle nicht wiedergeben.
156520	160420.00000000003	3900	Ich ging durch einen aussergewöhnlichen Tag
160600	165180	4580	und bin mit vielen tollen Menschen zusammengekommen.
165310	172740	7430	Viele Menschen, die den Fussball lieben, leben und atmen.
172900	175740	2840	Menschen, die sich dafür eingesetzt haben,
175840	179340	3500	dass die FIFA höchst respektiert ist.
182910	185540	2630	Applaus bei den FIFA-Delegierten im Hallenstadion -
185760	191220	5460	und Jubel in einem Hotel ganz in der Nähe:
191370	194980	3610	Familie Infantino feiert ihren Gianni.
197760	199860	2100	Es ist eine Ehre.
200000	202420.00000000003	2420	Der Fussball ist auf dem richtigen Weg.
202510	204740	2230	Es ist toll für ihn,
204920.00000000003	211980	7060	er ist dafür siebenmal um die Welt gereist. Es ist ein Sieg.
212170.00000000003	215860	3690	Gianni Infantino war in seiner 15-jährigen Karriere als Jurist
216040	218740	2700	und Generalsekretär beim Europäischen Fussballverband UEFA
218870	221340	2470	nicht nur der Fussballerneuerer.
221470	225500	4030	Unter dem mittlerweile gesperrten UEFA-Präsidenten Michel Platini
225670.00000000003	227860	2190	hat sich Infantino beispielsweise
228079.99999999997	233420.00000000003	5340	gegen Amtszeitbeschränkungen und Wählbarkeitsprüfungen ausgesprochen.
233510	237620	4110	Eine Tatsache, die der Strafrechts- professor und FIFA-Kenner Mark Pieth
237730	242580	4850	heute differenziert beurteilt.
242800	244940	2140	Damals hat er sich zusammen mit Michel Platini
245100	248060	2960	um Blatter zu schaden gegen die Reformen gestellt -
248200	252580	4380	an einem gewissen Punkt, anfangs 2013.
252740	257700	4960	Er selber sagt jetzt, dass die Entwicklung weitergegangen ist,
257920.00000000003	259740	1820	und dass er dazugelernt hat.
259940	262060	2120	Ist er ein Wendehals?
262160	265260	3100	Nein. Ich denke, dass man den Leuten auch zubilligen muss,
265470	267660	2190	dass sie etwas lernen.
267880	272300	4420	Ich will ihm jetzt die Chance zubilligen,
272430	275340.00000000006	2910	dass er etwas ändern kann.
275600	278380	2780	Ein langer, aber überraschend reibungsloser FIFA-Kongress
278470	281460	2990	geht zu Ende - mit einem neuen Präsidenten.
281680	285940	4260	Auch er ein Schweizer und ein Walliser.
288350	291580	3230	Wie hat Gianni Infantino selbst den heutigen überraschenden Tag erlebt?
291760	294540	2780	Kurz vor unserer Sendung hat unser Reporter Jean-Francois Tanda
294800	297659.99999999994	2860	den frisch gekürten Präsidenten zum Interview getroffen.
299050	301420	2370	Gianni Infantino, Glückwunsch zu Ihrem Wahlsieg.
301620	304860	3240	Gestern Abend war man eigentlich noch überzeugt,
304960	310060	5100	dass Scheich Salman, Ihr Konkurrent, 110 Stimmen auf sicher hat.
310190	312020	1830	Heute haben Sie gewonnen.
