start	end	duration	text
1140	2870	1730	.
3080	6110	3030	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6940	9870	2930	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
9990	11990	2000	Das macht an diesem Montag Schlagzeilen:
13190	18350	5160	Das bäuerliche Einkommen ist 2013 deutlich gestiegen.
19400	24950	5550	Der bürgerliche Klaus Johannis ist neuer Präsident in Rumänien.
25760	30550	4790	Jetzt rutscht Japans Wirtschaft in die Rezession.
31220	36870	5650	Das Projekt von Herzog und de Meuron wird zum Gerichtsfall.
37600	41790	4190	Im Norden oft bewölkt und noch zeitweise nass.
42880	46630	3750	In Bern hat man sich heute selbst auf die Schulter geklopft:
46880	50670	3790	"Gemäss dem Bericht ""2014"" des Bundesamtes für Landwirtschaft"
50770	52470	1700	haben sich die Bauern
52740	55270	2530	gut auf die neue Agrarpolitik des Bundes eingestellt.
55330	59550	4220	Ablesbar ist das auch am steigenden Durchschnittseinkommen der Landwirte.
59760	62670	2910	Bei den meisten Produkten ist mehr Umsatz erzielt worden.
62960	65430.00000000001	2470	Auf dem Land ... läufts. Hans Bärenbold berichtet.
66640	69630	2990	Mehr Landschaftspflege, mehr Biodiversität
69720	72039.99999999999	2320	und weniger Kraftfutter für die Kühe:
72310	75320	3010	Das sind einige der Ziele der neuen Landwirtschaftspolitik.
75430	77680	2250	Und trotz viel Skepsis zu Beginn
77789.99999999999	81480	3690	haben viele Bauern bei den neuen Programmen mitgemacht.
81680	85400	3720	Wir stellen fest, dass viele Land- wirte sich die Mühe gemacht haben,
85570	89880	4310	sich früh zu informieren und sich früh darauf auszurichten.
90060	92479.99999999999	2420	Natürlich mussten auch Anpassungen auf den Betrieben
92640	95320	2680	in den Produktionsweisen vorgenommen werden.
95550	97840	2290	Sehr viele haben dies bereits gemacht.
98080	102280	4200	Vielleicht auch, weil die Bauern zurzeit relativ gut verdienen.
102350	108200	5850	2013 betrug das Einkommen eines Durchschnittsbauern 88'500 Fr.,
108380	114560	6180	gegenüber den 82'700 im Jahr zuvor ein Plus von 7 %.
114690	117039.99999999999	2350	Wir hatten jetzt 2 gute Jahre.
117270.00000000001	119440	2170	Bewertet wurde das Jahr 2013.
119600	121920	2320	Und wir haben Freude an der Entwicklung des letzten Jahres.
122100	125720	3620	Aber die neue Landwirtschaftspolitik belaste die Bauern dafür
125880	129960.00000000001	4080	mit mehr Bürokratie, klagt der Bauernverbandspräsident.
130039.99999999999	132240	2200	Es ist der administrative Aufwand,
132380	134480	2100	der bei den neuen Programmen gross ist.
134590	137920.00000000003	3330	Es sind v.a. projektbezogene Beiträ- äge, die entsprechend ausgearbeitet,
138090	141880	3790	und dann auch administriert und kontrolliert werden müssen.
142020	144079.99999999997	2060	Das steht auch im Landwirtschaftsbericht
144160	148200	4040	als eine der Herausforderungen für die Zukunft.
