start	end	duration	text
1330	2830	1500	.
2960	7590	4630	"""10vor10"" mit Stephan Klapproth."
7810	10990	3180	Meine Damen und Herren, guten Abend. Unsere Themen heute:
13890	16910	3020	"Laut ""New York Times"""
17050	19790	2740	zahlt auch die Schweiz für die Freilassung ihrer entführten Bürger.
23360	27390	4030	Die schweren Unwetter erfassen weitere europäische Regionen.
32450.000000000004	35430	2980	Wie die vom Unwetter hart getroffene Gemeinde Altstätten
35570	37670	2100	gemeinsam aufräumt.
40930	45430	4500	Der Erste Weltkrieg markierte den Be- ginn der modernen Waffentechnologie.
45550	51030	5480	1:1-Untertitelung
54370	56590	2220	Angenommen, Sie wären Regierungsmitglied
56730	60190	3460	und müssten entscheiden, ob Ihr Land Lösegeld bezahlt für Mitbürger,
60330	64030	3700	die Terroristen in die Hände fielen und jetzt mit dem Tod bedroht werden.
64190	67790	3600	Hart und prinzipientreu bleiben, auch wenns andere das Leben kostet?
67940	70150	2210	Oder auf irgendwelchen Wegen zahlen
70330	72789.99999999999	2460	und damit terroristische Banden sponsern?
72890	76910	4020	"Die ""New York Times"" erhebt heute aufgrund einer aufwändigen Recherche"
77020	79870	2850	den Vorwurf, durchs Zahlen von Lösegeldern
79970	83870	3900	finanzierten europäische Staaten regelrecht den El-Kaida-Terror.
84000	86870	2870	"Die ""Times"" nennt auch Zahlen"
86980	89990	3010	bezüglich Verhandlungen um Schweizer Geiseln.
90150	93070	2920	Das moralisch-politische Dilemma nach Geiselnahmen ist nicht neu.
93259.99999999999	95350	2090	"Doch wenn die ""New York Times"" recht hat,"
95450	97590	2140	ist Geiselnahme mittlerweile
97810	100150	2340	zu einem globalen, mehrere 100 Mio. $ schweren Business geworden.
100280	101870	1590	Michael Gerber:
102759.99999999999	105750	2990	Il a peut-etre un prix fort a payer.
105920	108390	2470	"""Das Lösegeld ist zwar hoch, doch bezahlt es!"","
108610	111590	2980	fleht Geisel Daniel L. im August 2012.
111700	114470	2770	Er bekommt Hilfe.
114640	116750	2110	Ein Jahr später kehrt er heim -
116920	119390	2470	vom französischen Präsidenten persönlich willkommen geheissen -
119479.99999999999	122950	3470	zusammen mit seinen 3 Mit-Geiseln.
123110	126030	2920	Hilfe heisse in solchen Fällen Lösegeldzahlungen in Millionenhöhe.
126240	129750	3510	"Das schreibt die ""New York Times"" in ihrer heutigen Ausgabe."
129970	133510	3540	Europa finanziere damit das Terrornetzwerk El Kaida -
133680	139790	6110	in der Höhe von 125 Mio. $, seit 2008.
141240	144630	3390	Entführungen seien ein lukratives Geschäft geworden,
144810	148430	3620	"bestätigt Kurt Pelda die Recherchen der ""New York Times""."
148590	151870	3280	Als Reporter reist er regelmässig in Krisengebiete wie Libyen oder Syrien,
151960	155470	3510	wo sich Terrorgruppen wie die ISIS breitmachen.
157230	160670.00000000003	3440	Es fing mit den 32 Geiseln in der Sahara an, 2003,
160840	163590	2750	da waren die Geiselnehmer noch recht unbedarft.
163770	166110	2340	Heutzutage - z.B. ISIS in Syrien -
166270	169910	3640	wurde das zu einem recht guten Business ausgebaut.
170070	173350	3280	Erst kürzlich wurden die 4 französi- schen Journalisten freigelassen.
173500	178510	5010	Lösegeldschätzungen liegen zwischen 10 und 40 Mio. Euro.
178690	181750	3060	Dieses Geld setzte ISIS vermutlich ein,
181900	184910	3010	um die Irakinvasion zu finanzieren.
185090	188790	3700	"Die ""New York Times"" hat Diplomaten, Geheimdienstmitarbeiter"
188950	192430	3480	und mehrere Geiseln befragt und kommt zum Schluss:
192690	195230	2540	Die meisten europäischen Länder bezahlten Lösegelder -
195310	197990	2680	über verdeckte Kanäle.
198090	202110	4020	Spitzenreiter sei Frankreich mit rund 58 Mio. $ seit 2008.
202280	208110	5830	Gefolgt von Katar und Oman mit rund 20 Mio. $.
208210	211670.00000000003	3460	Die Schweiz habe 12,4 Mio. bezahlt seit 2008 -
211890	213670.00000000003	1780	u.a. für die Freilassung
213930	216670.00000000003	2740	eines Schweizer Paares in Mali in 2009.
216890	218910	2020	Bei ihrer Rückkehr in die Schweiz wurden sie
219130	222070	2940	von der damaligen Aussenministerin Micheline Calmy-Rey empfangen.
222210	225710	3500	Kurt Pelda kennt die Hintergründe.
