start	end	duration	text
900	5020	4120	.
5210	8020	2810	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8119.999999999999	11540	3420	Guten Abend. Zehn Tage hat die Schweiz darauf gewartet,
11720	14800	3080	dass die Bundesrätin spricht. Heute war es so weit.
14900	17280	2380	Und sie sprach Klartext:
17530	20840	3310	Ich möchte Ihnen zuerst über die Energiestrategie berichten -
21010	24200	3190	zweite Stufe. * Lachen im Saal *
24360	26840	2480	Ganz Widmer-Schlumpf stand am Anfang die Arbeit.
27020	30080	3060	Doch die Worte, die die Schweiz heute bewegen, folgten kurz darauf:
30260	36800	6540	Ich habe heute den Präsidenten der Vereinigten Bundesversammlung,
36970	38800	1830	Herrn Nationalratspräsident Rossini, informiert,
39600	42040	2440	habe auch meine KollegInnen im Bundesrat informiert,
42140	44480	2340	dass ich auf Ende Jahr aus dem Bundesrat ausscheiden werde.
44660	46600	1940	Eine Frau tritt ab - das die Schlagzeile.
46740	48760	2020	"""10vor10"" zeigt, was dahintersteckt."
48970	51520	2550	Bei uns reden die wichtigsten Player der Schweizer Politik.
51630	53840	2210	Wir schalten live nach Bern zur aktuellen Analyse
53960	55920	1960	und wir schätzen ein:
56030	58160	2130	Was bleibt von der Ära Widmer-Schlumpf?
59600	62600	3000	Unser Mann in Bern war hautnah dabei.
62750	68520	5770	Michael Steiner:
68710.00000000001	70960.00000000001	2250	Wie haben Sie die Bundesrätin denn heute erlebt?
71120	80240	9120	Wir untertiteln live:
80400	83640	3240	sie machte einen sehr gelösten Eindruck.
83870	86039.99999999999	2170	Eine grosse Last ist von ihr gefallen.
86160	91240	5080	Das ist nicht überraschend.
91480	97320	5840	Der Druck auf Ihr war seit den Tagen massiv hoch.
98070	102400	4330	Eine Bündern Bundesrätin.
102580	106640	4060	Sie wirkte schlagfertig in Bezug auf ihre Zukunft.
106850	111840	4990	Wir kennen sie so, nüchtern und sachlich.
111990.00000000001	117910	5920	Sie bilanzierte über ihre Tätigkeit im Bundesrat.
118100	121030	2930	Sie ist erleichtert, ab Januar nicht mehr im Fokus der
121160	122630	1470	Öffentlichkeit zu stehen.
122810	124670	1860	Damit geht ein jahrelanger Kampf zu Ende,
124790	126710	1920	die Bundesrätin wurde von ihrer ehemaligen Partei SVP
126790	127070	280	ja stets heftig kritisiert.
128979.99999999999	136110	7130	Kehrt jetzt Frieden ein unter der Bundeshauskuppel?
136200	142110	5910	Frieden ist ein grosses Wort.
145790	149150	3360	Mit ihrem Rücktritt, das ist klar, erspart Eveline Widmer-Schlumpf der
149260	153270	4010	Schweiz eine Zerreissprobe.
153430	156430	3000	Die ständige Diskussion auf einen Bundesrat der BDP, sie wird
156570	162430	5860	aufhören.
167760	171110	3350	Die Parteien sind wieder nach ihren Wähler stärken vertreten sein in
171150	171510	360	Zukunft.
171670.00000000003	177320	5650	Es wird Ruhe einkehren.
177440	182320	4880	Die Frage, wer der Nachfolger sein wird, da gibt es noch Diskussionen.
182480	183360	880	Die Fachkompetenz von Eveline Widmer- Schlumpf ist weitgehend unbestritten.
185450	190680	5230	Was denken Sie, wird man im Bundesrat spüren, dass sie fehlt?
190790	196640	5850	Auf jeden Fall.
197930	203920.00000000003	5990	Ihre Fachkenntnisse in den Finanzfragen sind unbestritten.
212130	215120	2990	Sie kannte Steuerexperten und konnte mit Bankdirektorin genauso
215240	216000	760	gut diskutieren.
216180	219840	3660	Ein Nachfolger wird es nicht einfach haben,
220040	226000	5960	sich in diese schwierige Materie einzuarbeiten.
226990	230000	3010	Mit der Unternehmenssteuerreform kommt ein wichtiges Gebiet ins
230140	231960	1820	Parlament.
232070	236640	4570	Wenn es der zukünftige Finanzminister nicht schafft,
236820	243120	6300	wird dieses Projekt vor dem Volk einen schweren Stand haben.
244420	247200	2780	Der Rücktritt macht den Weg für einen zweiten SVP-Sitz im Bundesrat frei
247400	249720	2320	und damit für eine rechtsbürgerliche Mehrheit von SVP und FDP
249950	251920	1970	in der Schweizer Regierung.
252090	254560	2470	Gleichzeitig hinterlässt Widmer- Schlumpf eine Lücke im Gremium,
254750	256720.00000000003	1970	was die Kompetenz in Finanzfragen angeht.
256940	259560	2620	Entsprechend unterschiedlich fallen die Reaktionen auf ihren Abgang aus.
259680	259880	200	Fritz Reimann berichtet.
261310	263720	2410	Für Hans Grunder sind es schwere Stunden.
263830	265920	2090	Als erster Präsident der jungen BDP
266030	268440	2410	hat er Seite an Seite mit Eveline Widmer-Schlumpf gekämpft.
