start	end	duration	text
1650	4310	2660	.
4500	10430	5930	Liveuntertitelung. Fehler sind möglich.
27910	32549.999999999996	4640	Willkommen zu Hause, willkommen im Bundeshaus Studio
32650	37710	5060	, das ist die Sendung zur Herbstsession.
37910	41070	3160	100 tausende von Flüchtlingen kommen in diesen Tagen nach Europa.
41160	44150	2990	Was bedeutet das für die Schweiz und wie soll die Politik damit
44290	45670	1380	umgehen?
45850	50190	4340	Wir haben eine Runde von Asylpolitikern hier.
50450	53640	3190	Und wir nehmen Abschied auf diesen bequemen Stuhlen
53860	59600	5740	von zwei Ständerätin, die übermorgen
59690	60800	1110	ihren letzten Tag haben.
60990	62920	1930	Normalerweise sitzen hier die Bundesräte.
63050	69000	5950	Urs Schwaller und Christine Egerszegi sitzen heute hier.
69670	73360	3690	Frau Egerszegi,
73550	76120	2570	man sagt, man müsse aufhören, wenn es am schönsten sei.
76270	82240	5970	Er ist bei Ihnen so?
82700	85400	2700	Ich sagte im Januar, wir legen noch ein Scheit Holz darauf,
85530	86680	1150	damit es richtig brennt.
86810	92800	5990	Wie ist es bei Ihnen?
93160	94479.99999999999	1320	Es ist der richtige Moment.
94640	97720	3080	Vor vier Jahren habe ich den Entscheid gefasst, jetzt hatten wir
97820	103800	5980	eine intensive Session mit der AHV.
107539.99999999999	112640	5100	Eine sehr lange Debatte zum Schluss.
112759.99999999999	115640	2880	Es kommen sehr viele Flüchtlinge aus Syrien und aus anderen
115860	117600	1740	Ländern -viele möchten nach Deutschland.
117729.99999999999	119039.99999999999	1310	Reise ist sehr erschwerend.
119160	121720	2560	Stacheldraht,
121820	127800	5980	um Flüchtlingsfamilien fernzuhalten.
130550.00000000001	133400	2850	Sehr viel Polizei, um die Leute wieder loszuwerden -
133570	137880	4310	und trotzdem reisst die Flüchtlingswelle nicht ab.
138100	138200	100	Die Europäer machen den Namen Festung alle Ihre.
139820	142480	2660	Die Europäer machen den Namen Festung alle Ehre -
142570	144880	2310	alle, ausser einer,
145060	148200	3140	die deutsche Bundeskanzlerin Angela Merkel.
148420.00000000003	153600	5180	Gerade als Deutsche haben wir Zeiten erlebt,
153820	156840	3020	da waren wir nicht das Land, in das man unbedingt kommen wollte.
156940	160000	3060	Es ist ein Glück für uns, dass heute Deutschland ein Land ist,
160090	162730	2640	mit dem die Leute auch Hoffnung verbinden.
162880	165450	2570	Die Einladung der Kanzlerin zeigte Wirkung.
165640	169570	3930	Täglich kommen zehn tausende nach Deutschland.
169790	172210	2420	Auf 1 Million könnte die Zahl bis Ende Jahr steigen -
172310	174850	2540	zu viel, auch für Deutschland.
174970	179250	4280	Deshalb werden wieder Grenzkontrollen eingeführt,
179410	185250	5840	die Solidarität der anderen Europäer wird immer deutlicher gefordert.
185490	187970	2480	Wer sagt Europa in der Flüchtlingsfrage, geht die enge
188110	189450	1340	Bindung mit den universellen
189620	191570	1950	Bürgerrechten kaputt, sie wird zerstört -
191790	195930	4140	und es wird nicht das Europa sein, was wir uns vorstellen.
196030	200770	4740	Deshalb wird die Europäische Union die Flüchtlinge jetzt
200870	201130	260	gerechter auf die 48 Mitgliedsländer verteilen.
204560	210450	5890	gerechter auf die 28 Mitgliedsländer verteilen.
210810	214170.00000000003	3360	Die Schweiz blieb bisher weit gehend verschont vom grossen Ansturm aus
214300	214970	670	dem Osten.
215150	220410	5260	Im Rheintal sagt man, man habe die Situation im Griff.
220510	223610	3100	Das alles möchten wir besprechen mit einer Runde von Asylpolitik
223710	224890	1180	kann,
225060	226810	1750	die ich Ihnen gerne vorstellen möchte.
226990	229890	2900	Auf dieser Seite Andy Tschümperlin, SP-Nationalrätin
230000	233370	3370	aus dem Kanton Schwyz.
233440	239410	5970	Neben ihm steht Gerhard Pfister.
240580	243850	3270	Dann haben wir Kurt Fluri von der FDP und Heinz Brand von der SVP.
244050	247970	3920	Man sagt, im Osten der Schweiz habe man alles im Griff.
248090	250890	2800	Ihre Partei spricht schon seit Wochen von einem Asyl Chaos.
251000	253890	2890	Gibt es ein solches?
254030	259930	5900	Man darf nicht nur schauen, was jetzt reinkommt,
260079.99999999997	262050	1970	sondern auch, was schon im Land drin ist.
262150	264970	2820	Nach der Asyldebatte hat man gesehen, dass sich sehr viele
265070	268650	3580	Gemeinden beklagt haben,
268810	271730	2920	sie könnten keine Leute mehr aufnehmen, die Unterkünfte seien
271840	273500	1660	voll und die Kosten laufen davon.
273720	275380	1660	Aber haben wir ein Asyl Chaos zurzeit?
275510	280100	4590	Ich meine schon.
280280	284140	3860	Herr Tschümperlin, sie sagten kürzlich in der Presse, dass sie
284290	287300	3010	eine Wohnung hätten, die Sie Flüchtlingen zur Verfügung stellen
287500	288460	960	könnten.
288580	290340.00000000006	1760	Es ist noch niemand eingezogen bisher.
290530	296180	5650	Es ist die Wohnung meiner Familie, meines Vaters.
296310	297659.99999999994	1350	Er hat ein paar Immobilien.
297810	301100	3290	Wir haben diese Wohnung dem Kanton zur Verfügung gestellt, auch der
301190	301540	350	Gemeinde.
301730	307500	5770	Bisher ist das Bedürfnis noch nicht angemeldet worden.
307660	310300	2640	Herr Fluri, sie sind Stadtpräsident der Stadt Solothurn.
310470	312540	2070	Auch sie haben mit der Unterbringung zu tun.
312660	314260	1600	Sprechen Sie auch von Asyl Chaos?
314410	315700	1290	Davon kann keine Rede sein.
315840	317500	1660	Wir mussten aufstocken.
317620	323180	5560	Aber wir haben noch freie Kapazitäten.
323330	326220	2890	Wenn mehr Leute kommen, müssten wir auf unterirdische Anlagen
326370	326900	530	ausweichen,
327040	329460	2420	zurzeit verläuft aber alles wie in der Balkankrise,
329590	333340.00000000006	3750	es ist kein Chaos.
333510	335580	2070	Herr Pfister, sie sind direkt im Wahlkampf -
335700	337740	2040	wenn Sie mit den Leuten sprechen,
337840.00000000006	340260	2420	wie stark brennt das den Leuten unter den Nägeln?
340380	342980	2600	Es ist ein Topthema und das zurecht.
343090.00000000006	345540	2450	Es bereitet den Leuten folgen,
345640	345900	260	die Bilder, die wie im Fernsehen sehen.
347980	352020	4040	die Bilder, die sie im Fernsehen sehen.
352180	358100	5920	In der Schweiz ist die Situation durchaus noch unter Kontrolle,
360080	363180	3100	aber es gibt auch einen CVP- Regierungsrat aus dem Kanton Luzern,
363370	367460	4090	der meint, man solle sich besser auf die Situation vorbereiten.
367610	370940	3330	Sie können nicht ausschliessen, dass wir in der Schweiz bald ähnliche
371120	373980	2860	Bilder haben, wie sie jetzt im Westen Europas zu sehen sind.
374090	376060	1970	Ist das Wahlkampf?
376230	380940	4710	Es gehört zum Wahlkampf dazu, dass man die Dinge etwas überspitzt.
381120	384180	3060	Aber es wurde gesagt, wir hätten kein Asyl Chaos in der Schweiz.
384290	390270	5980	Möchten Sie etwas dazu sagen?
391240	394270	3030	Zurzeit müssen wir die Leute in Zivilunterkünften unterbringen.
