start	end	duration	text
2870	3300	430	.
3910	5340	1430	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7280	10030	2750	Guten Abend und herzlich willkommen.
10660	14150	3490	Wir blicken ja täglich hinter die Schlagzeilen, und heute zeigt sich:
14780	17950	3170	Während dieses Jahr oft über Niedergang berichtet wurde,
18570	20790	2220	über Fabrikschliessungen und Stellenabbau,
21430	24590	3160	geht es uns tatsächlich besser, als viele denken.
25240	27510	2270	Nicht nur ist die Arbeitslosenrate konstant niedrig,
28180	30630	2450	es entstehen auch mehr Jobs als verloren gehen.
31320	35150	3830	Und auch in Zukunft sieht es gut aus für die Schweizer Wirtschaft.
35740	39030	3290	Der Realitätscheck - heute bei uns im Fokus, es ist 10 vor 10.
41440	44830	3390	Trotzdem weniger zur Seite legen?
45530	48030	2500	Die wundersame Rechnung der AKW-Betreiber.
49950	55910	5960	Millionen von Christen sind der Regierung zunehmend ein Dorn im Auge.
58610	61510	2900	Von wegen gleich und gleich gesellt sich gern -
62170	64269.99999999999	2100	jede dritte Ehe in der Schweiz ist binational.
67690	74430	6740	Zuerst eine richtig grosse Zahl: 24,3 Mrd. Fr.
75170	78789.99999999999	3620	So viel wird es kosten, alle Schweizer Atomkraftwerke
79490	82520	3030	vollständig stillzulegen, wie eine heute veröffentlichte Studie belegt.
83170	85880	2710	Das ist viel, in etwa gleich viel wie die gesamte NEAT kostet,
86440	90080	3640	inklusive der zwei Tunnel und Ausbauten und so weiter.
90810	93200	2390	Doch obwohl das Atom-Aus teurer wird als bisher angenommen,
93800	96400	2600	sollen die AKW-Betreiber jetzt weniger Geld dafür zur Seite legen -
97130	99880	2750	wie geht das auf? Christian Schürer rechnet nach.
101539.99999999999	106720	5180	Radioaktive Abfälle entsorgen, Atomkraftwerke stilllegen -
107350	109320	1970	eine Aufgabe für mehrere Generationen.
109970	111240.00000000001	1270	Entsprechend teuer ist das Unterfangen
112009.99999999999	113840	1830	und gross sind die Unsicherheiten.
114440	116360	1920	Heute hat der Stilllegungs- und Entsorgungsfonds
117009.99999999999	118840	1830	in Bern die neue Kostenstudie vorgestellt.
