start	end	duration	text
2210	3140	930	.
3210	6700	3490	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8480	11260	2780	Wann schlägt den Schweizer AKWs die letzte Stunde?
11420	14020	2600	Die Schicksalsfrage der Schweizer Energiepolitik
14240	16700	2460	ist heute im Nationalrat entschieden worden
16870	21580	4710	und die Schicksalsantwort könnte schweizerischer nicht sein.
21750	25300	3550	Die letzte Stunde schlägt den ältesten Kernkraftwerken schon bald.
25520	28420	2900	Und den anderen schlägt sie umgekehrt vielleicht nie.
29490	31220	1730	Nun ja, das ist eine kühne Vereinfachung
31390	35350	3960	der subtilen neuen Grosswetterlage in der Energiepolitik.
35510	37910	2400	Alles, was Sie dazu wissen müssen, in unserem Fokus heute,
38130	42390	4260	der auch noch wenig beachtete neue Kernfragen ins Visier nimmt.
42450	43350	900	Guten Abend.
45010	47510	2500	Schweizer Wissenschaftler
47720	50990	3270	sind massgeblich am Atomkraftwerk der Zukunft beteiligt.
53440	56230	2790	Wie sich die Arbeitskollegen
56400	60150	3750	auf die Rückkehr der befreiten Geisel Lorenzo V. freuen.
62260	65390	3130	Ohne Siiri Andrekson
65550	68800	3250	geht an den Auftritten des Schweizer Rap-Stars gar nichts.
71440	73920	2480	Wann sollen die AKWs vom Netz?
74140	76560	2420	Die Gretchenfrage der schweizerischen Energiepolitik
76680	79760	3080	spaltet das Parlament wie wenige andere Themen.
79960.00000000001	83440	3480	Als Energieministerin Doris Leuthard nach dem Fukushima-Unfall
83680	86000	2320	den Ausstieg anpries, meinte sie damit,
86130	88480	2350	man solle keine neuen AKWs bauen.
88630	91920	3290	Das findet ein Teil der Kernkraftbefürworter falsch,
92070	95120	3050	derweil ein Teil der Kernkraftgegner es für falsch hält,
95340	99000	3660	den schon laufenden Atommeilern nicht ein Verfalldatum aufzudrücken.
99090	103640	4550	Jetzt beschloss der Nationalrat eine Art Mittelweg. Stefanie Schunke.
104750	107160	2410	Die Uhr tickt für die Schweizer Kernkraft.
107310	110720	3410	Ein Neubauverbot von AKWs soll nun Gesetz werden.
110820	112520.00000000001	1700	Das entschied heute der Nationalrat.
112690	118560	5870	Ob den bestehenden Kernkraftwerken der Stecker gezogen wird,
118640	120920	2280	entscheidet sich ab 40 Jahren Laufzeit.
121140	123200	2060	Dann muss der Aufsichtsbehörde ENSI
123370	127160	3790	ein Sicherheitskonzept für jeweils 10 weitere Jahre vorgelegt werden.
127330	131120	3790	Das betrifft jedoch nur die jüngeren AKWs Gösgen und Leibstadt.
131260	133600	2340	Der Aufbau der erneuerbaren Energien wird Zeit brauchen,
133800	136320	2520	argumentierte heute Bundesrätin Doris Leuthard.
