start	end	duration	text
10830	12780	1950	MIT TELETEXT-UNTERTITELUNG
13770	15540	1770	Liebe Zuschauerinnen und Zuschauer.
15740	17270	1530	Heute begrüsse ich Sie mal nicht aus dem Studio,
18350	19990	1640	sondern hier in freier Natur.
20160	24080	3920	Heute mal keine Decke mit Scheinwerfern, sondern Sonnenlicht.
24250	27520	3270	Aber auch wenn das Wetter nicht immer so schön ist wie heute,
27620	30240	2620	manchmal tut es einfach gut, rauszugehen -
30420	32280	1860	raus aus dem Gewohnten ins Offene, unter freien Himmel.
34120	37800	3680	Vielleicht kennen Sie diesen Wunsch, den Alltag mal zu verlassen,
37930	40160	2230	hinauszugehen, etwas zu verändern.
41620	43960	2340	Manche suchen dafür die Natur auf,
44050	47280	3230	manche möchten aber gerade der Welt mit ihrem Schlamassel entfliehen
48130	50920	2790	und suchen einen heilen Ort, einen heiligen.
51090	53600	2510	Kirchen eignen sich besonders gut dafür.
56450	60080	3630	Wir sind hier in Zürich bei der reformierten Kirche Enge.
62480	64519.99999999999	2040	Oh, da geht es heute nicht rein.
80340	82960.00000000001	2620	Jetzt bin ich hier in einer reformierten Kirche.
83140	87200	4060	Ich bin aber katholisch getauft und gehöre irgendwie nicht hierher.
87400	91400	4000	Meine Eltern haben irgendwann einmal über meine Konfession entschieden.
91500	92320	820	Da, wo sie herkommen, sind fast alle katholisch.
95050	98759.99999999999	3710	Aber eigentlich hat das einmal ein Fürst im 16. Jh. bestimmt.
98930	101560	2630	Wem das Land gehört, der bestimmt die Religion.
102840	106240.00000000001	3400	Ich frage mich, wer heute bestimmt,
106420	107320	900	was an mir katholisch oder reformiert ist.
109210.00000000001	112110	2900	Passe ich überhaupt noch in die Katholische Kirche?
112270.00000000001	117070	4800	Oder passt die Kirche, wie sie heute erscheint, zu unseren Überzeugungen?
117150	120070	2920	Meine Überzeugungen werden heute nicht mehr so sehr
120210	122390	2180	von einer Obrigkeit geleitet und bestimmt,
123010	127190	4180	sondern aus einer anderen Quelle geformt und immer wieder hinterfragt.
127470	129789.99999999999	2320	Eine dieser Quellen ist natürlich das Leben.
130009.99999999999	132570	2560	Eine weitere Quelle, die meinen Standpunkt
132740	136450	3710	immer wieder hinterfragt und formt, ist die Heilige Schrift.
136680	137329.99999999997	650	Jetzt könnte man meinen, weil die Heilige Schrift für Reformierte,
141090	144410	3320	Katholische und alle anderen christlichen Konfessionen
144570	147410	2840	Grundlage ist, dass sich im gemeinsamen Lesen
147579.99999999997	151930	4350	ein einheitliches Credo, ein ein- heitliches Bekenntnis bilden müsste.
152100	152410	310	Aber dieses Buch eignet sich überhaupt nicht dafür,
155500	157810	2310	etwas im Religiösen zu vereinheitlichen.
157980	161010	3030	Es ist voll mit Geschichten, in denen es darum geht,
161090	163850	2760	dass Menschen aus dem Gewohnten ausbrechen.
164050	167290	3240	Es ist voll mit Erzählungen, in denen es darum geht,
167490	169450	1960	was drinnen und draussen ist.
169610	172130	2520	Wer gehört dazu? Wer ist ausgeschlossen?
173090	176329.99999999997	3240	Die Bibel bietet keinen ideologischen Einheitsbrei,
176500	179170.00000000003	2670	sondern ist ziemlich anspruchsvolle Kost.
180340	182370	2030	Aber auch wenn sich die Menschen in der Bibel
182930	186130	3200	nicht in ein gemachtes Glaubensnest setzen können,
186260	188210	1950	sind sie v.a. unterwegs.
192860	195770	2910	Ich glaube, es ist sinnvoll, immer wieder mal
195850	197370	1520	über dieses Drinnen und Draussen - In und Out - nachzudenken.
200030	202890	2860	Es gehört zum Kern der christlichen Botschaft,
203090	207600	4510	immer wieder mal den Standpunkt dahin zu wechseln, wo Menschen out sind.
207770	211090	3320	"Oder vielleicht sage ich besser ""aussergewöhnlich"" -"
211220	212450	1230	ausserhalb von meinen Gewohnheiten.
213400	216890	3490	Wenn Menschen bestimmen, wer dazugehört und wer nicht,
217120	221210	4090	wer in und out ist, kann das sehr verletzend und feindselig sein.
222600	224610	2010	Aber dann sind es auch Menschen,
224790	227370	2580	die diese Zuordnungen hinterfragen und vielleicht ändern können
229060	233290	4230	oder vielleicht einfach mal einen gedanklichen Spaziergang wagen -
233450	236170.00000000003	2720	auf dem Horizont zwischen innen und aussen.
241200	242410	1210	SWISS TXT / UT-Redaktion Zürich Daniela Zacheo
