start	end	duration	text
12630	13260	630	.
26140	28110	1970	MIT TELETEXT-UNTERTITELUNG
30290	31410	1120	* Düstere Klänge *
33600	35490	1890	* Vogelzwitschern *
37790	40130	2340	* Rumpeln, Wiehern *
45040	46330	1290	Der Rütlischwur ist ein Mythos - wie auch Tell.
47920	51810	3890	Ja, das ist nicht die Schweizer Geschichte, das sind Märchen.
52080	54890	2810	Mythen sind von grosser Bedeutung für ein Land.
55550	57730	2180	Mächtige Mythen oder historische Fakten?
57930	61170	3240	Im Jahr, in dem über die Schweizer Geschichten gestritten wird
61430	63810	2380	wie schon lange nicht mehr, wollen wir wissen:
63930	67530	3600	Was ist wahr an dem, was wir einmal in der Schule gelernt haben?
67660	69610	1950	Und weshalb ist es so wichtig,
69780	73610	3830	welche Erinnerung der Wegweiser für die Zukunft ist?
74390	76370	1980	* Wiehern *
78700	80650	1950	* Kampflaute *
84810	86850	2040	* Sanfte, abenteuerliche Musik *
115220	119009.99999999999	3790	(Mädchen) Das sind die Fahnen der Eidgenossen und der Habsburger.
119110	121370	2260	(Mann) Genau, man sieht die Waffen der Mächte, die dabei waren.
123990	126850	2860	Jene der Habsburger und der Eidgenossen.
127780	131930	4150	Wir stehen vor dem Rathaus in Schwyz, an der Westfassade.
132030	134010	1980	Hier hat es sehr viele Bilder.
134660	136410	1750	Welche Bilder haben etwas mit der Schlacht am Morgarten zu tun?
138860	140570	1710	* Stimmengewirr *
140670.00000000003	143890	3220	Die Schlacht am Morgarten - während Generationen das Sinnbild
143990	147250	3260	für die Freiheit und Unabhängigkeit der Schweiz.
147400	149650	2250	Das ist der ewige Bund von Brunnen.
149870	151370	1500	Sie ist das Thema in der 6. Klasse aus Schwyz.
152950	155770	2820	Man sieht, wie die Schwyzer Baumstämme und Steine
155970	158130	2160	auf die Habsburger hinunterwerfen.
158500	162530	4030	Die Habsburger meinten, sie würden die Eidgenossen locker schlagen,
162670.00000000003	164690	2020	nur weil sie eine Ausrüstung trugen.
164950	166410	1460	Aber die Eidgenossen waren viel klüger.
168180	170130	1950	Beide sind böse.
170320	173290	2970	Die Schwyzer hätten das Kloster nicht angreifen dürfen.
173470	176610	3140	Du sagst, es gibt kein Gut und Böse auf dem Bild.
176770	181130	4360	Falls die Schwyzer das Kloster in Einsiedeln überfallen hätten,
181260	181410	150	seien sie auch nicht gut.
183390	186370	2980	Ja, das könnte man durchaus so betrachten.
186480	188010	1530	Sie erzählen die Geschichte,
188160	191450	3290	als wären Sie selber dabei gewesen, Herr Gallicchio.
192220	194170	1950	Ich war natürlich nicht dabei,
