start	end	duration	text
680	1860	1180	.
1830	6460	4630	1:1-Untertitelung
6430	10980	4550	"Die ""Tagesschau"" am Ostermontag, meine Damen und Herren, guten Abend!"
10970	13060	2090	Heute mit diesen Themen:
14680	19820	5140	Über 70 Menschen sterben beim Selbstmordanschlag in Lahore.
21620	26460	4840	Die antike Ruinenstadt Palmyra soll wieder aufgebaut werden.
28390	34140	5750	Der belgische Radprofi stirbt nach Kollision mit einem Begleitfahrzeug.
35740	40060	4320	Das Zürcher Spital Triemli bezieht das neue Bettenhaus.
41830	45740	3910	Der Wind treibt immer wieder Regenwolken übers Land.
47890	52460	4570	Nach dem blutigen Attentat gestern in Pakistan steht jetzt fest,
52420	57140	4720	wer der Selbstmordattentäter war: offenbar ein junger Religionslehrer.
57110	60020	2910	Er zündete seine Bombe in Lahore,
59990	63940	3950	Hauptstadt der bedeutendsten und reichsten Provinz Punjab.
63920	67140	3220	Und zwar in einem kleinen Park im Zentrum der Stadt,
67110	70100	2990	wo sich auch Christen aufhalten.
70090	73740	3650	Der Attentäter sprengte sich auf einem Spielplatz in die Luft.
73700	78700	5000	Die Behörden sprechen von 72 Toten und über 300 Verletzten -
78680	81780	3100	unter den Opfern viele Kinder.
81770	85140	3370	Punjab gedenkt ihrer mit drei Tagen Staatstrauer:
86810	90460.00000000001	3650	Hier im Lunapark zündete der Attentäter 20 kg Sprengstoff.
90440	92780	2340	Im Auftrag von Jamaat-ul-Ahrar,
92750	95700	2950	einer Splittergruppe der pakistanischen Taliban
95680	98700	3020	mit ideologischer Affinität zur Terrormiliz IS.
98680	100180	1500	Ziel waren Christen.
100150	102740.00000000001	2590	Es gebe bald weitere Anschläge,
102720	106500	3780	drohte ein Sprecher der Taliban, auf Schulen und auf Behörden.
106490.00000000001	108660	2170	Punjab ist die Machtbasis
108640	112340	3700	von Pakistans Ministerpräsident Nawaz Sharif. Er besucht Überlebende.
112320	114460.00000000001	2140	Die Attentäter seien Feiglinge,
114430	117340	2910	Pakistan werde sie zur Strecke bringen.
117330	122500	5170	Unter den Todesopfern sind 35 Kinder und sieben Frauen.
122490	126300	3810	Auch unter den Verletzten sind Dutzende Frauen und Kinder.
126290	130100	3810	Die allermeisten der Opfer sind Muslime.
130080.00000000001	133740	3660	Der Anschlag wird weltweit verurteilt.
133730	138780	5050	Das heilige Osterfest sei mit Blut befleckt, sagt Papst Franziskus.
138750	142700	3950	Die Behörden müssten religiöse Minderheiten besonders schützen,
142680	147740	5060	sie seien am verletzlichsten.
149020	152380	3360	Pakistan liess Islamisten lange gewähren.
152360	155220	2860	In jüngster Zeit hat es den Kampf gegen die Taliban
155190	157220	2030	aber massiv ausgeweitet.
157190	159620	2430	Doch die Islamisten verfügen weiter
159579.99999999997	163300	3720	über viele Ressourcen und Rekruten für ihre blutige Politik.
164870	168660	3790	Auch knapp eine Woche nach den Terroranschlägen in Brüssel
168630	172940	4310	steigt die Opferzahl weiter: Sie liegt nun bei 35 Menschen,
172920.00000000003	176340	3420	hinzu kommen die drei islamistischen Selbstmordattentäter.
176300	178300	2000	Ein weiterer Terrorverdächtiger
178300	181740	3440	wurde heute laut belgischer Staatsanwaltschaft entlassen:
181720	184540	2820	Beim Entlassenen handelt es sich um Faycal C.
184520	187780	3260	Er ist offenbar nicht der sog. Mann mit Hut,
187740	189540	1800	nach dem gefahndet wird.
189520	192260	2740	Faycal C. wurde am Samstag festgenommen,
192250	194940	2690	heute aber mangels Beweisen wieder freigelassen.
194920	197700	2780	Wer der Mann mit der hellen Jacke und dunkler Mütze ist,
197700	201780	4080	bleibt also unklar. Nach ihm wird weiterhin gefahndet.
204450	207020	2570	In Syrien versuchen die Regime-Truppen weiter,
206980	209180	2200	den IS zurückzudrängen.
209160	211340	2180	Der bislang grösste Erfolg ist geschafft:
211340	214220	2880	Die Wüstenstadt Palmyra ist zurückerobert.
214190	216340	2150	Gross waren bislang die Befürchtungen,
216320	219420.00000000003	3100	die Terrormiliz hätte in der antiken syrischen Wüstenstadt
219390	222300	2910	eine Schneise der Zerstörung hinterlassen.
222280	226500	4220	Tatsächlich sind einige Kulturschätze unwiederbringlich zerstört.
226480	230300	3820	Doch Fachleute sind nach Ansicht der ersten Fernsehbilder optimistisch:
230280	233820	3540	So schlimm wie befürchtet, seien die Schäden nicht.
235710	238579.99999999997	2870	Fast so majestätisch wie vor 2'000 Jahren
238570	242340	3770	stehen sie heute noch da - diese Säulen des antiken Palmyra.
242300	245020	2720	Viele der einzigartigen Kulturschätze gibt es noch -
244990	248340	3350	trotz der Schreckensherrschaft des IS.
248310	251540	3230	Das mache ihn zum glücklichsten Altertümer-Direktor der Welt,
251520	254820	3300	sagt Syriens zuständiger Minister:
254810	257380	2570	Wir hatten das Schlimmste erwartet,
257350.00000000003	259980.00000000003	2630	auch wegen der Gefechte zur Befreiung von Palmyra.
259970.00000000003	263340	3370	Aber viele Ruinen sind in ganz gutem Zustand.
263340	267100	3760	Dieser Alptraum darf sich niemals wiederholen.
267100	269540	2440	Die Regierung wird dafür sorgen,
269510	272740	3230	dass Palmyra nicht noch einmal fällt.
272720	276980	4260	Um zu begutachten, wie viele antike Schätze tatsächlich vorhanden sind
276950	279100	2150	oder mit welchen Schäden,
279070	282220	3150	dazu will er schon bald von Damaskus nach Palmyra reisen.
282190	285740	3550	Das römische Theater etwa muss untersucht werden:
285710	287900	2190	Die IS-Extremisten sollen es
287870	291140	3270	als Bühne für Massenexekutionen benutzt haben.
291110	294380	3270	Gemeinsam mit der UNO will Abdulkarim beraten,
294350	297420	3070	ob man die gesprengten Tempel von Baal und Baalschamin
297400	300060	2660	wieder aufbauten kann.
300060	305060	5000	Doch die beste Neuigkeit betreffe die 15 t schwere Löwen-Statue, sagt er.
305030	309100	4070	Die IS-Miliz habe sie zwar zerstört, doch gemäss ersten Einschätzungen
309070	312500	3430	könne man die Einzelteile wieder zusammensetzen.
312490	316500	4010	Wiederaufbau benötigt aber auch die Kleinstadt Palmyra,
316460	319860	3400	die sich gleich neben der antiken Stätte befindet.
319830	322740	2910	Zehn Monate IS-Herrschaft und schwere Gefechte
322720	325820	3100	haben auch hier Schäden angerichtet.
327430	330900	3470	Bislang waren sie quasi ein weisser Fleck -
330880	334300	3420	bestens gehütet und vor indiskreten Anfragen geschützt:
334270	336580	2310	die Schweizer Zollfreilager.
336560	338700	2140	Doch mit dem Schweizer Bankgeheimnis
338670	342140	3470	fällt nun auch diese Bastion eidgenössischer Verschwiegenheit.
342110	344260	2150	Italienische Ermittlungsbeamte
344250	347659.99999999994	3410	haben sich nicht nur Zutritt zum Zollfreilager in Genf verschafft,
347630	350740	3110	in Zusammenarbeit mit den Bundesbehörden haben die Italiener
350720	355620	4900	auch gestohlene Kulturgüter im Wert von über 9 Mio. Fr. sichergestellt.
355590.00000000006	359740	4150	Antike Schätze aus etruskischen Gräbern und archäologischen Stätten
359710	363300	3590	in Süditalien, die für den illegalen Kunsthandel bestimmt waren.
363260	366580	3320	Inzwischen sind die Kostbarkeiten zurück in Italien -
366560	369060	2500	und dort hat Philipp Zahn sie gesehen.
370590	374060	3470	Auf solche Exponate wäre jede Antikensammlung neidisch:
374050	377860	3810	etruskische Sarkophage vermutlich aus Cerveteri bei Rom,
377830	382140	4310	Büsten, Vasen und andere Grabbeigaben aus Mittel- und Süditalien,
382120	385940	3820	wie auch diese guterhaltenen Wandmalereien.
385920	389380	3460	17'000 Einzelteile aus 45 Holzkisten,
389340	395659.99999999994	6320	alle mit der Adresse eines Spediteurs in London und der Aufschrift Genf.
395630	400700	5070	Dort, im Zollfreilager, lag der antike Schatz - gut gehütet.
400690	404260	3570	2014 wurden die italienischen Ermittler fündig
404230	407260	3030	mithilfe der Schweizer Behörden.
407220	413460	6240	Dass wir gleich so viele antike Kunstgegenstände entdecken konnten -
413430	415580	2150	damit hatte niemand gerechnet.
415580	417980	2400	Schon einer dieser Sarkophage allein
417960	421020	3060	wäre für unsere Operation ein grosser Erfolg gewesen.
421000	424580	3580	Den Kunstschatz versteckt hatte er: Robin Symes.
424570	427540	2970	Dem britischen Kunsthändler und anderen Geschäftemachern
427540	431380	3840	sind die italienischen Ermittler seit Jahrzehnten auf der Spur.
431350	433740	2390	Wegen Hehlerei von antiken Kulturgütern,
433720	436140	2420	illegal ausgegraben oder gestohlen,
436140	439860	3720	bestimmt für den internationalen Kunstmarkt.
439840	444540	4700	Deshalb ist es so wichtig, dass wir grenzübergreifend zusammenarbeiten
444540	449500	4960	und unser Wissen in der Bekämpfung dieses illegalen Geschäfts teilen.
449500	452540	3040	In diesem Fall hat es geklappt:
452530	454860	2330	Anfang des Jahres
454840.00000000006	457980	3140	kehrte der Kunstschatz aus Genf nach Italien zurück,
457950	461260	3310	und auch die offizielle Schweiz ist mit der Zusammenarbeit zufrieden:
461230	463740	2510	Will die Schweiz international mitreden,
463710	466100	2390	muss auch sie sich für Regeln einsetzen,
466090.00000000006	467980	1890	die von allen anerkannt werden.
467980	472220	4240	Dazu gehört Transparenz und Offenheit und eben kein Platz
472210	476220	4010	für illegale Kulturgüter in Schweizer Zollfreilagern.
478159.99999999994	481340	3180	Was würde geschehen, wenn Nationalbanken
481310	483900	2590	ihr ganzes gedrucktes Geld in einen Helikopter laden
483860	486580	2720	und dann über den Bürgern abwerfen würden?
486560	488420	1860	Das fragte sich einst
488410	491300	2890	Wirtschaftswissenschaftler und Nobelpreisträger Milton Friedman.
491270	493500	2230	Bislang ist sog. Helikoptergeld
493470	496700	3230	lediglich ein akademisches Gedankenexperiment.
496670	498940	2270	Die Nationalbank verteilt den Bürgern Geld -
498920	502540	3620	ohne Gegenleistung zu erwarten und ohne Rückzahlungspflicht,
502500	504060	1560	mit dem Plan:
504040	505980	1940	Die Bürger geben das Geld aus
505960	508900	2940	und bringen so die schwächelnde Wirtschaft wieder in Schwung.
508880	512100	3220	Bislang hat keine Nationalbank die rechtliche Möglichkeit,
512059.99999999994	514780	2720	solches Helikoptergeld zu verteilen.
514750	519140	4390	Doch plötzlich wird diese Idee salonfähig. Stefanie Pauli berichtet.
520700.00000000006	523820.00000000006	3120	Für jeden Bürger einen Tausender - gratis: Helikoptergeld.
523789.99999999994	528820	5030	Seinetwegen ist dieses Thema hoch aktuell: Mario Draghi.
528780	532340	3560	Der Chef der Europäischen Zentralbank bezeichnete die Massnahme
532310	536900	4590	vor zwei Wochen an einer Medienkonferenz als interessant:
536880	542380	5500	Wir haben noch nicht über Helikoptergeld gesprochen,
542360	548310	5950	aber es ist ein interessantes Konzept.
548270	552630	4360	Seither wird das Helikoptergeld von Ökonomen heiss diskutiert.
552600	556030	3430	Denn Massnahmen wie tiefe Leit- oder Negativzinsen
556000	558670	2670	bringen die Wirtschaft nicht in Schwung.
558670	561550	2880	Keine gute Idee, Geld ohne Gegenleistung zu verteilen,
561530	563230	1700	findet Matthias Binswanger.
563210	565270	2060	Der Volkswirtschaftsprofessor sagt,
565260	567830	2570	das bringe der Wirtschaft langfristig nichts:
567800	571350	3550	Wenn Haushalte kurzfristig über- raschend zu etwas mehr Geld kommen,
571310	574430	3120	z.B. durch einen Lottogewinn, führt das meistens dazu,
574400	577670	3270	dass man dieses Geld kurzfristig auch schneller wieder ausgibt.
