start	end	duration	text
11380	13310	1930	MIT TELETEXT-UNTERTITELUNG
15120	18150	3030	Guten Abend, liebe Zuschauerinnen und Zuschauer.
18330	20510	2180	Ich hatte neulich einen echt ätzenden Tag.
20630	22470	1840	Mir wurde einfach alles zu bunt:
22630	25070	2440	Die Kinder quengelten, die Milch kochte über,
25190	26950	1760	und ich selbst nervte mich auch.
27110	29950	2840	Und draussen der Sandkasten: total versifft.
30070	32590.000000000004	2520	Das war alles nicht besonders erbaulich,
32710	33150	440	und die Nachrichten auch nicht.
35000	38110	3110	Ich finde es beängstigend, was gerade so passiert.
38290	41710	3420	Kriege waren für mich sonst Geschichte oder weit weg.
41920	44630	2710	Aber durch die Nachrichten und die Menschen,
44760	46750	1990	die weltweit unterwegs sind,
46950	48230	1280	da rückt einem doch alle Welt auf den Leib.
49710	51790	2080	Und der eigene Arbeitsberg auch.
51970	56070	4100	"""Das schaffst du schon"", sagt man dann besser nicht zu mir."
56800	60550	3750	Da sass ich neulich also erschöpft am versifften Sandkasten,
60670	62750	2080	und dann habe ich so einen Tick.
62930	63150	220	Ich beginne immer, Sandkästen aufzuräumen, zu sortieren.
66630	68590	1960	Das tut mir irgendwie gut.
68880	71950	3070	Wenn ich Glück habe, lassen mich die Kinder auch in Ruhe.
72110	76390	4280	Ich begann also, den Sand zu sieben und alle Holzspäne rauzuschaufeln.
76550	78150	1600	Es tat einfach gut, Ordnung zu schaffen,
79270	82470	3200	Einheit, Übersicht, alle Spielsachen zu sortieren.
82560	84150	1590	Am Ende ging es mir so gut,
84400	87670	3270	dass ich im Voraus allen Kindern verzeihen konnte,
87870	91190	3320	die wieder Holzmulch in den Sandkasten werfen würden.
91370	93190	1820	Ich hatte mich beim Aufräumen innerlich selbst auch aufgeräumt.
95550	98870	3320	Ich konnte wieder grosszügig, liebevoll sein.
99030	103750	4720	Es kam ein Vertrauen zurück, dass das Chaos nicht ein Tohuwabohu bleibt.
103840	105750	1910	Es ist zu bewältigen.
105910	108270.00000000001	2360	Und genau so fängt die Heilige Schrift an.
110229.99999999999	113430	3200	Am Anfang ist Chaos, Wüste und Urflut.
113590	117229.99999999999	3640	Und dann kommt diese Geistkraft und das Machtwort Gottes:
118080	121510	3430	Aus dem Tohuwabohu teilt Gott Tag für Tag die Himmel,
121660	123190	1530	die Meere, das Wasser vom Land, Finsternis vom Licht.
123550	125070	1520	die Meere, das Wasser vom Land, Finsternis vom Licht.
126110	129710.00000000001	3600	Es wird sortiert und - das darf nicht vergessen werden -
129960.00000000001	133110	3150	durch das Ordnen wird es erst vielfältig und schön.
134190	136630	2440	Gott ist hier sehr mächtig beschrieben,
136790	138190	1400	und das göttliche Wort bewirkt, dass das Chaos sich sortiert.
140660	143750	3090	In einem Sandkasten kann ich das vielleicht auch,
143910	147230	3320	aber ansonsten sind meine Mächte ja eher beschränkt.
147440	149630	2190	Deshalb finde ich es sehr erbaulich,
149790	153230	3440	dass die Bibel eine zweite Schöpfungserzählung kennt.
153590	157110	3520	Hier ist Gott anders, nicht von vornherein übermächtig,
157190	159150	1960	sondern probiert und testet.
159340	163870	4530	Das ist ein töpfernder Gott, der nach und nach schaut, was es braucht.
164079.99999999997	168190	4110	Das Menschenwesen braucht einen Ort, also gibt es einen Garten.
168590	171230	2640	Aber das Wesen ist so verloren und allein,
171360	173310	1950	also macht Gott die Tiere.
173440	175870	2430	Aber der Mensch ist trotzdem allein.
176430	179030	2600	Und so wird der Prototyp Mensch verändert
179190	182230	3040	und der Erdling wird umgeformt in zwei Menschen,
182350	183230	880	die sich Hilfe und Vis-a-vis sind.
185880	188270	2390	Das ist ein zärtliches Bild von Gott,
188390	191870	3480	der behutsam den Menschen umgestaltet, in Form bringt,
192070	195790	3720	damit die Beziehung zum Gegenüber und zur Schöpfung stimmt.
197350	198230	880	Ich glaube, dass wir uns auch umgestalten können:
200590	203190	2600	gegenseitig oder auch uns selbst.
204070	206430	2360	V.a. dann, wenn etwas nicht gut ist.
206680	209790	3110	Oder wenn unsere Ordnung eine Veränderung braucht.
209970	213230	3260	Manchmal gelingt es halt nicht, machtvoll für Ordnung zu sorgen.
214230	216950	2720	Aber ich glaube, dass es immer möglich ist,
217070	219230	2160	mit Sorgfalt etwas umzugestalten,
219390	222230	2840	uns neu zu überdenken und dann neu zu ordnen.
222380	224590	2210	Und schliesslich weiss jedes Kind,
224750	228270	3520	dass ein aufgeräumter Sandkasten nicht so bleiben kann.
230840	233930	3090	SWISS TXT / UT-Redaktion Zürich Philipp Schlatter
