start	end	duration	text
3570	4440	870	.
4680	6360	1680	Was letzte Woche in Paris und in Beirut geschah,
6490	8080	1590	und gerade heute wieder in einem Hotel in Mali -
8280	10000	1720	das könnte schon morgen auch in der Schweiz geschehen.
10170	11960	1790	Was können wir da tun? Wie können wir uns schützen?
12170	14520	2350	Wie können wir uns wehren gegen diejenigen,
14700	16800	2100	die mit Sprengstoff und mit automatischen Gewehren kommen.
17010	20880	3870	"Das ist die ""Arena"", nach den Anschlägen von Paris."
33760	37280	3520	1:1-Untertitelung
37490	39880	2390	"(Offstimme) Heute in der ""Arena"":"
40000	42160	2160	Ulrich Tilgner, Nahostexperte.
42240	44360	2120	"Er sagt: ""Der sog. Islamische Staat"
44520	48920	4400	"ist auch das Resultat westlicher Interventionen im Nahen Osten."""
49490	53000	3510	Christina Schori Liang vom Genfer Zentrum für Sicherheit findet:
53210	55960	2750	"""Wir müssen die jungen Leute widerstandsfähig machen"
56080	58520	2440	"gegen die Propaganda des IS."""
58770	62040	3270	Bekim Alimi, Imam und Religionslehrer, sagt:
62240	65080	2840	"""Schweizer Universitäten sollten Imame ausbilden."""
65230.00000000001	69240	4010	"""Zu dieser Ausbildung gehört dann aber auch Schweizer Geschichte."""
70130	72560	2430	Und Adolf Muschg, Schriftsteller, meint:
72740	76920	4180	"""Wir betonen unsere Werte und stimmen gleichzeitig Kriegslieder an."""
77090	81200	4110	"""Unfassbar, dass wir die gleichen Fehler immer wieder machen."""
81360	85680	4320	Ausserdem im Studio: Ruedi Widmer, Karikaturist und Satiriker.
85860	90000	4140	Er zeigt seinen Blick auf den Terror in Frankreich.
90090	92840	2750	Und auf die Dschihadisten des IS.
93050	95920	2870	"Die ""Arena"", moderiert von Jonas Projer."
96090	97800	1710	Vielen Dank.
97890	99600	1710	Herzlich willkommen!
99810	102000	2190	Vielen Dank. Herzlich willkommen, verehrtes Publikum.
102150	106160	4010	Herzlich willkommen, werte Gäste.
106280	109440	3160	Willkommen, liebe Zuschauerinnen und Zuschauer.
109570	112000	2430	"In der ""Arena"" heute geht es um die Attentate von Paris."
112100	118240.00000000001	6140	Adolf Muschg, genau eine Woche ist es her.
118410	120160	1750	Der erste Schock ist vorbei, das Leben geht weiter.
120350	122480	2130	Ist es ein anderes Leben nach diesen Anschlägen?
122730	126200	3470	Wenn das eine persönliche Frage an mich ist: Nein.
126340	130479.99999999999	4140	Ich möchte fast sagen, ein betontes Nein.
130680	133600	2920	Ich würde mich schämen, wenn es für mich ein anderes Leben wäre,
133760	140840	7080	nachdem ich 1997 Luxor, sogar mit Landsleuten, erlebt habe.
140940	146840	5900	Man erlebt es fast jeden Tag - in Beirut, in Mali.
146980	153000	6020	Der Völkermord von Ruanda ging an uns fast unbemerkt vorbei.
153110	155360	2250	Jetzt geschieht es in Paris.
155510	159800	4290	Und es ist nicht adressierbarer als vorher.
159960	165800	5840	Also nichts, dass man hätte vorhersagen können.
166050	170040	3990	Weil es z.B. eine Strafe für die Mohammed-Karikaturen ist.
170150	172280	2130	Es trifft irgendjemanden.
172440	175160	2720	Ich gebe mir jetzt Mühe - ich sage aber nicht, dass mir das gelingt -,
175340	177760	2420	anzunehmen, dass es Sicherheit nicht gibt.
177850	180840	2990	Das schreibe ich absolut ab.
181010	183360	2350	Aber das ist nicht der einzige Bereich im Leben,
183590	185280	1690	wo es keine Sicherheit gibt.
185480	187280	1800	Im normalen Leben gibt es keine Sicherheit.
187400	189440	2040	Dafür brauche ich den IS nicht.
189610	194080	4470	Ulrich Tilgner, ist es eine andere Welt nach diesen Attentaten?
194170	196360	2190	Nicht nur für Sie persönlich.
196520	199680	3160	Nein. 30'000 Tote bei Terroranschlägen im vergangenen Jahr
199890	202880	2990	und in der Woche vorher in Beirut genauso viele Tote.
203090	205200	2110	Das ist hier kaum zur Kenntnis genommen worden.
205240	207560	2320	Global ist das eine Episode.
207650	209600	1950	Aber natürlich ist es etwas Neues,
209850	214440	4590	weil der IS jetzt in eine Art Terroroffensive nach Europa geht.
214640	217760	3120	Ich habe keinen Zweifel mehr, dass diese Terrorwelle vom IS kommt.
217850	221240	3390	Und der IS hat ein Netzwerk,
221390	225840	4450	wie es das historisch noch nie zuvor gegeben hat.
225960	228240	2280	Das ist ja das Gefährliche.
228360	230600	2240	16'000 Leute aus der ganzen Welt sind nach Syrien gegangen,
230680	232480	1800	die Türkei hat sie durchgelassen.
232570	234440	1870	Und jetzt hat man die Kontakte zu diesen Leuten
234650	237040	2390	und kann diese Kontakte nutzen, um damit Terror zu machen.
237160	239440	2280	Und d.h., der Terror wird bleiben.
239630	242000	2370	Ich glaube nicht, dass er so schnell in die Schweiz kommt,
242240	244240	2000	aber der Terror wird in Europa bleiben.
244350	246160	1810	Und kommen.
246300	247920	1620	Christina Schori,
248090	249880	1790	ist es doch ein Wendepunkt in der Geschichte?
249980	252040	2060	Ich finde, ja.
252150	254400	2250	Man sieht jetzt, dass der IS
254500	257279.99999999997	2780	seine Attacken ausserhalb seiner Grenzen ausführt.
257490	260279.99999999997	2790	Das ist für uns in Europa schrecklich.
260430	263800	3370	Es ist ein neues Leben in Europa.
264070	268080	4010	Und ich denke, wenn wir uns auch die Behörden anschauen:
268170	270360	2190	Sie haben jetzt Angst.
270470	272680	2210	Das war ein Angriff im Stil von Mumbai.
272930	281440	8510	2008 haben dort zehn Männer eine Stadt von 20 Mio. eingeschüchtert,
281550	283600	2050	und das fast vier Tage lang.
283680	285710	2030	Durch parallele Angriffe in ganz Mumbai?
285900	288230	2330	Verschiedene parallele Angriffe in einem kurzen Zeitraum.
288409.99999999994	293350	4940	Das ist es, was unsere Behörden nicht verkraften können.
293540	298990	5450	Und ich glaube, das zeigt, dass die Behörden nicht stark genug sind.
299170	303510	4340	Das wollte der IS zeigen. - Eine Machtdemonstration.
303640	305950	2310	Genau, eine Demonstration ihrer Macht.
306100	308190	2090	Auch eine Demonstration der Schwäche der Behörden.
308300	312230	3930	Bekim Alimi, was hat sich am Freitag vor einer Woche verändert?
312330	319430	7100	Die Ruhe, die wir grundsätzlich in Europa gespürt haben.
319580	326590	7010	Die Bewegungsfreiheit und die freie Zirkulation von Menschen.
326670	328830	2160	Eine Offenheit, eine Freiheit.
329000	333150	4150	Diese Offenheit und diese Freiheit wurde eingeschränkt.
333300	338270	4970	Nach einer Woche hat die Mutter noch Angst,
338450	342909.99999999994	4460	wenn ihr Kind nach draussen geht.
343050	346070	3020	Herr Muschg, es ist also doch nicht gleich wie vorher?
346310	349870	3560	Auch wenn Sie sagen, dass es schon lange Terroranschläge gibt.
350050	353070	3020	Der Grad der Anschläge ist ganz anders als bisher.
353159.99999999994	355630	2470	Es ist ein mediales Ereignis.
355740	358030	2290	In den letzten paar Tagen
358120	360990	2870	hat man über nichts anderes gehört oder gelesen.
361120	365310	4190	Für mich ist das eine perspektivische Verengung, auf verschiedene Arten.
365470	372910	7440	Wir sind in erster Linie diejenigen, die durch diese Verengung leiden.
373160	377470	4310	Unser Bewusstsein, unsere Fähigkeit, Probleme wahrzunehmen,
377700	380150	2450	Kontext herzustellen. Kurz:
380320	383950	3630	bevor wir zuschlagen, darüber nachzudenken,
384110	386910	2800	was eigentlich passiert ist und was wir damit zu tun haben.
387010	389390	2380	Das wäre für mich viel wichtiger,
389590	394830	5240	als jeden Tag ein Spiel von Räuber und Polizei in den Medien zu sehen.
394990	397510	2520	Das ist natürlich völlig richtig,
397700	400390	2690	denn jetzt wird wie in einer Endlosschleife berichtet,
400560	404750	4190	und man erfährt ja gar nichts dazu.
404840.00000000006	408830	3990	Die eigentlichen Hintergründe sind für mich extrem wichtig.
409010	412590.00000000006	3580	Z.B., dass Frankreich an der Luftoffensive gegen den IS
412760	414830	2070	beteiligt war.
414920	416590.00000000006	1670	7'000 Luftangriffe
416750	419670	2920	sind in den vergangenen 18 Monaten geflogen worden.
419770	424190	4420	Das waren Angriffe, auf die der IS jetzt auch militärisch reagiert hat.
424310	426630	2320	Das muss man wissen.
426720	429150	2430	Und wenn dann ein französischer Staatspräsident sich hinstellt
429240	431350	2110	"und sagt: ""Wir schlagen zurück!"""
431530	433670	2140	Und ganz Europa pflichtet ihm bei und sagt:
433880	437590	3710	"""Wir unterstützen Frankreich."" Dann ist da etwas völlig falsch."
437680	440030	2350	Man hat vorher schon angegriffen,
440230	442990	2760	jetzt hat man die Konsequenzen zu spüren bekommen.
443080	446190	3110	Man merkt, dass der IS zurückschlägt.
446420	448590	2170	Und jetzt beteiligt sich ganz Europa an diesem Krieg und sagt:
448800	450550	1750	"""Wir sind angegriffen worden."""
450760	452670	1910	Da wird die Wirklichkeit auf den Kopf gestellt,
452880	455750	2870	trotz dieser Nonstop- Berichterstattung.
455900	457710	1810	Viele Sachen fehlen einfach.
