start	end	duration	text
1180	3190	2010	.
3840	6110	2270	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6730	8630	1900	Guten Abend, meine Damen und Herren,
9240	10430	1190	"das ist die ""Tagesschau"" vom 5. Dezember."
11060	12270	1210	Und diese Themen haben wir für Sie:
13340	18630	5290	Nach dem gescheiterten Referendum schaut die EU besorgt nach Rom.
19850	23310	3460	Die Schweizer Bischöfe
23950	26430	2480	gestehen eine Mitschuld der katholischen Kirche ein.
27770	30270	2500	Frankreichs Premier Valls
30930	33350	2420	bewirbt sich um die Nachfolge von Präsident Hollande.
34370	37430	3060	Der Internationale Sportgerichtshof
38080	41190	3110	hat die Beschwerde des ehemaligen FIFA-Präsidenten abgelehnt.
42400	46830	4430	Sonst trotz Schleierwolken sonnig.
49000	52190	3190	In Italien herrscht wieder mal eine Regierungskrise.
52770	56750	3980	Über 60-mal hat das Land seit dem Inkrafttreten seiner Verfassung 1948
57390	60190	2800	die Regierung gewechselt, nun also schon wieder:
60810	62910	2100	Nach der Niederlage von Ministerpräsident Matteo Renzi
63560	66110	2550	bei seinem Referendum über die Verfassungsreform,
66700	68870	2170	ist heute in Italien alles offen.
69440	73670	4230	Sicher ist nur: Italien verliert mit Renzi einen ambitionierten Reformer.
75080	78750	3670	Hier im Palazzo Chigi, Amtssitz des italienischen Premiers,
79390	82110	2720	wird Matteo Renzi schon bald nicht mehr ein- und ausgehen.
82760	84510	1750	Er muss den Posten räumen.
85160	88510	3350	Gestern Nacht: In Begleitung seiner Gattin und mit gequältem Lächeln
89160	95750	6590	tritt Renzi vor die Presse, als die Niederlage feststeht. Und erklärt:
96390	99390	3000	Eigentlich wollte ich die vielen Posten und Ämter
99979.99999999999	101789.99999999999	1810	in der italienischen Politik zusammenstreichen.
102370	104430	2060	Jetzt verliere ich meinen Posten.
105070	107590	2520	Unter den wachsamen Augen von Ehefrau Agnese
108210.00000000001	110830	2620	zählt Renzi die Errungenschaften seiner Amtszeit auf:
111460.00000000001	113870	2410	Reformen, Neuerungen, Rationalisierungen.
114460.00000000001	117350	2890	Doch überzeugen konnte er das Stimmvolk nicht.
117990.00000000001	121310	3320	Die Zeitungen reagieren eher ratlos,
121970	124030	2060	und bei den Lesern herrscht Konsternation.
124680	127110	2430	Mir tut es leid. Renzi war ein wichtiger Regierungschef,
127810	130470	2660	gerade in Zusammenarbeit mit Europa.
131130	132430	1300	Er ist selber schuld.
133140	136070	2930	Hätte er das Referendum nicht zur Abstimmung über sich selbst gemacht,
136720	138470	1750	sondern die Inhalte hervorgehoben,
139110	142150	3040	dann wäre das Ergebnis vielleicht anders.
142700	144110	1410	Jetzt ist vieles offen.
144770	147110	2340	Heute Abend reicht Renzi bei Staatspräsident Mattarella
147650	149190	1540	seinen Rücktritt ein.
150450	152990	2540	In diesen Minuten ist Matteo Renzi im Präsidentenpalast,
153650	155190	1540	um seine Demission einzureichen.
