start	end	duration	text
90	2290	2200	.
2940	6530	3590	1:1-Untertitelung
7110	9490	2380	"Die ""Tagesschau"", meine Damen und Herren, guten Abend!"
10210	11650	1440	Und das macht heute Schlagzeilen:
12890	17090	4200	Die SP sagt Ja zum umstrittenen Wirtschaftspapier,
17780	19570	1790	die Parteirechte blitzt ab.
21430	26170	4740	Trump telefoniert mit Taiwans Führung, China ist erbost.
27940	32250	4310	Ballett und Oper spannen bei Verdi zusammen.
34030	37170	3140	Im Laufe des Tages löst er sich auf.
38600	42090	3490	Ein ganzes Wochenende lang beraten die Schweizer Sozialdemokraten
42800	45210	2410	die grundsätzliche Frage: wohin in der Zukunft?
45910	48850	2940	Zum Auftakt ermahnte Bundesrat Alain Berset die Delegierten,
49550	53690	4140	dem Populismus und Nationalismus entschieden entgegenzutreten:
54290	58090	3800	Der Rechtspopulismus gibt vor, im Namen des Volkes zu sprechen.
58740	61370	2630	Wir und nur wir repräsentieren das Volk.
62020	67330	5310	Aber im Namen des Volkes wird das Volk gespalten.
67960	71850	3890	V.a. aber will die SP ihre Wirtschaftspolitik definieren
72440	75210.00000000001	2770	und nach wie vor den Kapitalismus überwinden -
75880	78570	2690	mit mehr Demokratie in der Wirtschaft.
79210.00000000001	81210.00000000001	2000	Das wurde schon im Vorfeld kritisiert -
81840	83490	1650	als zu abgehoben und realitätsfern.
84190	86770	2580	Das sieht die Basis anders - wie der Bericht von Nathalie Christen zeigt:
88180	90490	2310	Sie will die SP-Spitze aufhalten.
91130	94050	2920	Ständerätin Pascale Bruderer will kein Wirtschaftsdemokratie-Papier,
94640	98090	3450	das zum Ziel hat, einen entfesselten Kapitalismus zu überwinden.
98700	100170	1470	Diese Papier repräsentiert effektiv
100860	102610	1750	nur einen Teil unserer Parteimitglieder,
103220	104890	1670	nur einen Teil unserer Wählerinnen und Wähler
105509.99999999999	110650	5140	und nimmt den Alltag und die Sorgen der Menschen zu wenig ernst.
111300	115090	3790	Die SP-Spitze hingegen will das ganze System umkrempeln:
115729.99999999999	118050	2320	mehr Macht, mehr Geld für die Angestellten.
118750	120130	1380	Der gegenwärtige Klassenkampf
120820	123410	2590	wird nicht von entfesselten Arbeitern geführt,
124030	129169.99999999999	5140	die durch die Strassen von Detroit, Kalkutta oder Johannesburg ziehen.
129820	134490	4670	Er wird von den feudalen Büros der Multis und der Hochfinanz geführt -
135120	137890	2770	in New York, Singapur, Dubai oder Genf -
138630	142130	3500	und mit der Komplizenschaft der rechten Regierungen.
142760	145010	2250	Rettung durch Wirtschaftsdemokratie:
145630	147090	1460	In grossen Unternehmen
147760	150530	2770	sollen Angestellte einen Drittel des Verwaltungsrats stellen müssen -
151220	152250	1030	mehr haben vom Kuchen.
152880	156010	3130	Sie sollen weniger arbeiten, dabei aber gleich viel verdienen.
156710	160050	3340	Die allermeisten Arbeitgeber in unserem Land
160670.00000000003	163850	3180	führen oder besitzen KMU-Betriebe.
164510	168130	3620	Sie fühlen sich durch diese Kampfrhetorik abgeschreckt.
168710	170570	1860	Sie fühlen sich nicht angesprochen.
171220	174530	3310	Wenn wir 20-30 % der Wähler ansprechen wollen,
175270	177850	2580	ist das das falsche Papier.
178550	182130	3580	Doch die Delegierten wollen sogar Privateigentum in Frage stellen.
182820	185330	2510	Später krebsen sie auf Wunsch des Präsidenten zurück.
185950	187050	1100	Sie genehmigen das Papier.
187670	190090	2420	Es ist ein Schritt in die richtige Richtung.
190800	193810	3010	Es ist ein Versuch, Selbstbestimmung und mehr Mitspracherecht
194510	196570	2060	in die heutige Wirtschaft zu bringen.
197230	202210	4980	Pascale Bruderer und ihre Mitstreiter gliedern sich wieder ein. Vorläufig.
203450	205090	1640	Zu Gast am SP-Parteitag
205750	208370	2620	war auch ein sozialdemokratischer Hoffnungsträger aus Deutschland:
209070	211010	1940	Hamburgs Erster Bürgermeister Olaf Scholz.
211710	213410	1700	Scholz ist derzeit
213970	215890	1920	einer der erfolgreichsten Sozialdemokraten Deutschlands -
216630	217850	1220	gilt auch als möglicher Kanzlerkandidat.
218490	220690	2200	Im Interview mit Nathalie Christen nimmt er dazu Stellung -
221280	223490	2210	und auch zur Umsetzung der Masseneinwanderungs-Initiative
224079.99999999997	224890	810	in der Schweiz:
226190	229970	3780	Das Parlament beschreitet nun ja einen Weg der Umsetzung,
230630	234690	4060	der die Aussicht hat, auch mit der Europäischen Union zu funktionieren.
235320	239010	3690	Ich glaube, das ist ja die grosse, wirklich schwierige Herausforderung.
239630	242930	3300	Wenn das gelingen würde, wäre das ein guter Fortschritt.
243510	245930	2420	Eine Schlussfrage, die man einfach stellen muss:
246570	249490	2920	Sie gehören zu den Geheimfavoriten für eine SPD-Kanzlerkandidatur.
250110	251090	980	Machen Sie's?
251740	253970	2230	Die SPD wird Ende Januar entscheiden,
254550	257850.00000000003	3300	wer als Kanzlerkandidat oder Kanzlerkandidatin antritt.
258550	260769.99999999997	2220	Das haben wir schon vor einem Jahr gesagt.
261339.99999999997	263730	2390	Wir wussten sogar, wann der Parteitag der Union ist,
264450	265610	1160	wo die Kanzler nominiert werden.
266250	268930	2680	In meinem Kalender stand sogar ein Kreuz an diesem Tag,
269630	272130	2500	an dem sich die Kanzlerin nach langem Ringen entscheiden wird,
272760	273970	1210	erneut zu kandidieren.
274670	275930	1260	Bei uns steht so lange fest,
276560	278490	1930	dass wir das Anfang des nächsten Jahres machen.
279830	281930	2100	Neben Olaf Scholz werden in der SPD
282630	284050	1420	auch EU-Parlamentspräsident Martin Schulz
284750	288250	3500	und der SPD-Vorsitzender und Vizekanzler Sigmar Gabriel
288920	291409.99999999994	2490	als Kanzlerkandidaten gehandelt.
291960	294770	2810	In einem Zeitungsinterview deutet Gabriel heute seine Kandidatur an:
295409.99999999994	296730	1320	Es spreche manches dafür,
297360	300410	3050	dass der Parteichef fürs Kanzleramt kandidieren sollte.
302000	304130	2130	In Syrien gewinnen die Regierungstruppen
304780	306650	1870	in der Schlacht um Aleppo weiter an Boden:
307340	309650	2310	Die Truppen des syrischen Machthabers Baschar al-Assad
310280	312370	2090	haben jetzt die Gebiete in Rot unter Kontrolle,
312990	315410	2420	neu offenbar auch den Stadtbezirk Tarik al-Bab.
316050	318170	2120	Inzwischen kontrolliert das Regime auch wieder
