start	end	duration	text
1470	2460	990	.
2670	5820	3150	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7420	9220	1800	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
9430	12940	3510	Der alte Grabenkampf in der SVP reisst wieder auf.
14740	20460	5720	Die SVP wehrt sich gegen seinen Aufruf zum parteiinternen Widerstand.
22470	24620	2150	Das Aussenministertreffen
24820	27980	3160	wird von neuen Kämpfen in der Ost-Ukraine überschattet.
30190	34300	4110	Mujinga Kambundji verliert den Stab im EM-Final.
36080	38020	1940	Archäologen hoffen in den Bündner Alpen
38160	41260	3100	auf Funde in schmelzenden Gletschern.
43370	47180	3810	Im Osten und im Süden sind einzelne Schauer möglich.
48780	50540	1760	Schweizer Recht vor Völkerrecht:
50720	53540	2820	Diese Pläne für politische Vorstösse aus der Küche der SVP
53660	55700	2040	lösen viel Echo aus.
55880	58940	3060	Auch in den eigenen Reihen stossen sie jetzt auf Kritik.
59050	61540	2490	Alt SVP-Bundesrat Adolf Ogi
61740	64260.00000000001	2520	"äussert sich in einem Interview mit der ""Sonntagszeitung"""
64420	66980	2560	deutlich zu Christoph Blochers Absichten.
67090	71140	4050	Blocher werde mit seinen radikalen Initiativen die Schweiz
71210.00000000001	73420	2210	in die totale Isolation führen, so Ogi.
73610	77180	3570	Er fordert seine Partei deshalb auf, ihren Vordenker zu stoppen.
77330	79380	2050	Die Einzelheiten von Christoph Nufer.
80940	83140	2200	Energisch hält Adolf Ogi fest an seiner Kritik
83240	85340	2100	am Rande der Leichtathletik-EM:
85580	87220	1640	Christoph Blocher gelte es zu stoppen.
87330	91100	3770	Seine radikalen Initiativen würden die Schweiz total isolieren.
91260	94460.00000000001	3200	Viele dächten so. Nur wage das niemand so zu sagen.
94539.99999999999	96860	2320	Diejenigen, die mich aufgefordert haben -
97039.99999999999	99259.99999999999	2220	die gehören dem National- und Ständerat an -
99370	101460.00000000001	2090	machen sich Sorgen um unsere Partei.
101620	104940	3320	Aber ich wurde auch von Leuten auf der Strasse angesprochen,
105130	109020.00000000001	3890	"die einfach sagen: ""So geht es nicht mehr!"""
109240.00000000001	112020.00000000001	2780	Im Berner Oberland hat Ogis Angriff auf Christoph Blocher
112170	113900	1730	für Aufregung gesorgt.
114009.99999999999	116259.99999999999	2250	An einem Volksmarsch treffen wir Albert Rösti,
116370	120740	4370	Wahlkampfleiter der SVP für die nationalen Wahlen 2015.
120820	122780	1960	Rösti kommt wie Ogi aus Kandersteg.
122910	124860	1950	Obwohl sie sich persönlich nahe sind,
125030	127260	2230	ist Rösti irritiert über die scharfe Kritik
127410	131060	3650	seines einstigen politischen Ziehvaters Ogi.
131210	133060	1850	Wenn er sagt, dass wir uns mit unseren Projekten
133280	134940	1660	radikalisieren oder sogar isolieren ...
135110	138940	3830	Ich meine, unsere Projekte, die in letzer Zeit publiziert wurden -
139140	144220	5080	Landesrecht vor Völkerrecht, die Umsetzung des Dublin-Abkommens -
144340	146340	2000	die Zielen darauf ab,
146520	150020	3500	gewonnene Volksabstimmungen wirklich umsetzen zu können.
150210	152820	2610	Ich denke, das ist keine Radikalisierung.
153030	157180	4150	Am Fusse der Churfirsten ärgert sich SVP-Präsident Toni Brunner
157370	160220	2850	über Ogis Frontalangriff auf Christoph Blocher.
160329.99999999997	162420.00000000003	2090	Es ist nicht der erste.
162530	164540	2010	Ich kann mir nicht vorstellen,
164710	167500	2790	dass Herr Ogi die Volksrechte abbauen will,
167600	169700	2100	dass er fremde Richter will -
169870	172300	2430	und um genau diese Anliegen geht es der SVP:
172480	174300	1820	dass wir unabhängig und frei bleiben.
174560	177140	2580	Dafür werden wir uns auch in Zukunft einsetzen.
177250	184180	6930	Wieder einmal ist SVP-Urgestein Ogi an SVP-Urgestein Blocher geraten.
184250	186740	2490	Die SVP begibt sich ein Jahr vor den Wahlen auf eine Gratwanderung.
186890	190580	3690	Mit den für ihre Gegner und sogar für Adolf Ogi
190780	194180	3400	radikalen Initiativen zu fremdem Recht und Asyl
194320	197820	3500	will sie die Basis mobilisieren, ja wieder elektrisieren.
197900	199540	1640	Auf der anderen Seite
199620	202460	2840	kann man die anderen Parteien nicht einfach vor den Kopf stossen,
202620	205340	2720	denn sie werden am Schluss im Parlament
205560	208500	2940	einen 2. SVP-Bundesrat wählen - oder eben verhindern.
210130	213540	3410	Hat der grüne Nationalrat und Stadtammann von Baden,
213740	218060	4320	Geri Müller, tatsächlich von seinem Büro aus dem Amtshaus
218250	221100	2850	Nacktfotos von sich selber an eine Geliebte verschickt?
221210	222740	1530	Die Affäre ist heute
222850	225020	2170	"durch die Zeitung ""Schweiz am Sonntag"" publik geworden."
225210	227820	2610	Geri Müller selber erklärt heute durch seinen Anwalt,
228010	230740	2730	er sei Opfer eines Vertrauensmissbrauchs.
230900	233780	2880	Müllers politische Mitstreiter aber distanzieren sich.
235040	237180	2140	Denn es steht ein weiterer Vorwurf im Raum.
237260	238780	1520	"Laut der ""Schweiz am Sonntag"""
238990	241180	2190	soll Geri Müller die Polizei eingeschaltet haben,
241340	244660	3320	weil die Frau nach Beendigung der Affäre nicht bereit gewesen sei,
244830	248940	4110	den Chat zu löschen und ihr Handy abzugeben.
249060	251660	2600	Gegen Müller könnte also auch
251860	254300	2440	der Vorwurf des Amtsmissbrauchs im Raum stehen.
254460	257140	2680	Die Lokalsektion der Grünen und das Team Baden,
257250	259180	1930	für das Müller lokal politisiert,
259320	265020	5700	hat sich nach einer Krisensitzung von Müllers Verhalten distanziert.
265190	268580	3390	Wir sind erstens extrem schockiert über die Vorwürfe gegen Geri Müller.
268710	272020	3310	Da ist zum einen die Geschichte mit den Bildern -
272150	276340.00000000006	4190	das ist Privatsache - aber dann auch der Vorwurf des Amtsmissbrauchs,
276570	280659.99999999994	4090	dass er eine Frau verhaften liess und ihr das Handy wegnehmen liess.
280860	283580	2720	Das ist dann ganz klar: Das ginge zu weit.
283750	288180	4430	Fordern Sie Geri Müllers Rücktritt? Nein, im Moment natürlich nicht.
288190	289780	1590	Wir haben zu wenig Fakten.
289930	292460	2530	Da sind diese beiden Geschichten, diese beiden Aussagen.
292620	294420	1800	Und wir brauchen jetzt Klarheit
294600	297900	3300	und v.a. einen Geri Müller, der Verantwortung übernimmt
298040	301740	3700	und selber vor die Medien steht und seine Situation erklärt.
301970	305740	3770	Müller hat bis jetzt vorerst eine kurze Erklärung abgegeben.
305850	308020	2170	Über seinen Anwalt lässt er verlauten:
318730	320500	1770	Es ist eine Privat-Angelegenheit.
320720	322700	1980	Er müsse sich heute vorwerfen, darauf vertraut zu haben,
322870	324660	1790	dass Privates privat bleibe, so Müller.
325860	328020	2160	Im Osten der Ukraine wird weiter erbittert gekämpft.
328100	330300	2200	Heute seien abermals Dutzende Menschen getötet worden.
330440	331980	1540	Die Hoffnungen ruhen deshalb
332130	334300	2170	auf dem Krisentreffen in der deutschen Hauptstadt Berlin.
334480	337260	2780	Dort sind die Aussenminister der Ukraine und Russlands
337320	339500	2180	am Abend zu Gesprächen eingetroffen:
341380	342900	1520	Der deutsche Aussenminister begrüsst in Berlin
343110	345940	2830	zuerst den ukrainischen Aussenminister Pawlo Klimkin
346150	348780	2630	und dann sein russisches Gegenüber Sergei Lawrow.
348960	353420	4460	Nun müsse dringend ein politischer Ausweg gesucht werden:
353659.99999999994	356340.00000000006	2680	Gerade die Nachrichten vom heutigen Tage zeigen,
356480	360220	3740	dass es auch schlimmer werden könnte.
360370	364300	3930	Wenn wir nicht sehr genau achtgeben
364520	369740	5220	und uns Sorgen um den weiteren Prozess machen,
369900	373620	3720	können wir immer weiter hinein- schlittern in eine Konfrontation
