start	end	duration	text
350	6490	6140	.
7180	12850	5670	1:1-Untertitelung
13560	15570	2010	"Guten Abend, das ist ""Schweiz aktuell"""
16190.000000000002	17530	1340	und dies sind heute unsere Themen:
18650	21370	2720	Wegen zu geringer Einnahmen und schlechter Perspektive
21930	25130	3200	"wird die Westschweizer Zeitschrift ""L'Hebdo"" Anfang Februar eingestellt."
28730	30450	1720	Zwei Wochen nach dem Grossbrand
31140	33050	1910	in einer Sägerei in Haltikon im Kanton Schwyz zeigt sich,
33630	35210	1580	wie viel Zeit und Geld der Wiederaufbau kostet.
39740	42850	3110	Mit gerade mal 13 Jahren spielt Laura Röösli die Hauptrolle
43490	45970	2480	"im neuen Heimatfilm ""Das Mädchen vom Änziloch""."
48100	49970	1870	Nach über 35 Jahren ist Schluss.
50660	51890	1230	Nächste Woche soll die letzte Ausgabe
52460	54410	1950	"der Westschweizer Wochenzeitschrift ""L'Hebdo"" erscheinen."
55060	56490	1430	Die Erlöse seien immer weiter zurückgegangen.
57120	60410	3290	Und die Perspektiven seien weiterhin schlecht, heisst es beim Verlag.
61140	63370	2230	Es ist eine Schliessung mit gewichtigen Folgen für das Personal.
65150.00000000001	68170	3020	"37 Personen verlieren ihre Stelle durch die Schliessung von ""L'Hebdo""."
68820	70730	1910	Chefredaktor Alain Jeannet ist tief betroffen,
71380	72570	1190	dass das Nachrichtenmagazin
73190	75130	1940	des Zürcher Verlags Ringier Axel Springer Schweiz
75780	77410	1630	einfach eingestellt wird.
77980	80210.00000000001	2230	Ich bin schockiert.
80860	83650	2790	"Ich begann meine Karriere in den 80er-Jahren bei ""L'Hebdo""."
84300	87010	2710	Ich bin schockiert, weil 37 Mitarbeiter ihre Stelle verlieren.
87670	89690	2020	Das waren alles ausgezeichnete Leute.
90340	92090	1750	Gerade in der heutigen Zeit, wo man gute Journalisten
92729.99999999999	96009.99999999999	3280	und Qualitätsmedien besonders braucht, ist das einfach nur absurd.
96660	99650	2990	"""L'Hebdo"" wurde 1981 in Lausanne gegründet,"
100310	102890	2580	hier ein Fotoshooting mit dem Gründerteam.
103530	105610	2080	Das Nachrichtenmagazin
106180	107729.99999999999	1550	war die meistgelesene Zeitschrift der Westschweiz.
