start	end	duration	text
320	2160	1840	.
11610	13680	2070	MIT TELETEXT-UNTERTITELUNG
16170.000000000002	18240	2070	Liebe Mitsterblichen.
18810	20560	1750	Der November kann es nicht leugnen,
21220	25040	3820	dass wir als Teil der Natur genau das sind: sterblich, vergänglich.
25740	27120	1380	Bald sind die Farben weg,
27880	30200	2320	und das letzte braune Blatt tanzt uns um die Nase.
30840	32320	1480	Das baut mich nicht nur auf.
32940	35080	2140	"""Es kommen Tage, die uns nicht gefallen"","
35700	37920	2220	meinte dazu schon ein alter Bibelschreiber.
38570	39840	1270	Wie wahr!
40480	42120	1640	Man kann versuchen, dem auszuweichen.
42740	46040	3300	Möglichst nicht davon zu sprechen, ein weiteres Glas Glühwein zu trinken
46780	48120	1340	oder in südliche Gefilde zu jetten.
48710	51370	2660	Man kann auch von der stillen, grautönigen Schönheit
52060	55090	3030	des verblassenden Jahres und der dunklen Mondnächte schwärmen.
55710	57410	1700	Oder Leiden, Gebrechen und Sterben
57970	61290	3320	positiv und spirituell als eine Art Lebensschule verstehen.
61980	65810	3830	Man kann auch, wie das in grossen Teilen der christlichen Tradition
66380	69370	2990	meist die moderne Medizin tat und auch heute noch tut,
70020	73650	3630	den Tod in Wort und Tat zum grössten Feind des Lebens erklären
74180	77530	3350	und ihn darum um jeden Preis und mit allen Mitteln bekämpfen.
78250	80410	2160	Es gibt alle möglichen Anti-Aging-Methoden,
81039.99999999999	82570	1530	die dem Tod entgegenhalten.
83570	87090	3520	Eigentlich verständlich angesichts einer Kirchenbotschaft,
87750	90690	2940	die den Tod lange nur im Verbund und im Zusammenwirken
91330	94450	3120	mit Hölle, Sündenstrafen und Teufel hat auftreten lassen.
95180	98370	3190	Wie soll man so ein angstfreies Verhältnis zu etwas haben,
99050	102410	3360	das als Fluch oder sogar als Strafe über dem Leben liegt?
103780	106490.00000000001	2710	Nicht wenige distanzieren sich heute davon.
107180	110690	3510	Sie versuchen stattdessen, dem Tod ein Schnippchen zu schlagen,
111330	115170	3840	"indem sie sagen: ""Spätestens wenn der goldene Oktober meines Lebens"
115810	118210.00000000001	2400	in den November fällt, springe ich dem Tod vom Karren
118830	122770	3940	"und bin schneller als er mit einem letzten Akt von Selbstbestimmung."""
123420	125570	2150	Das fördert zwar das Gefühl von Kontrolle,
126220	130130	3910	hält den Tod aber immer noch als Feind auf Distanz und verschleiert,
130850	134610	3760	dass wir von ihm halt doch in jeglicher Form fremdbestimmt bleiben.
135260	139010	3750	Auch wenn uns das nicht gefällt und es unser Idealbild zerpflückt.
139680	143810	4130	Ich glaube deshalb umso mehr, dass es eine andere, christliche Art gibt,
144450	146010	1560	der Vergänglichkeit zu begegnen,
146650	150770	4120	ohne dabei den Stachel, den der Tod der Bibel zufolge eindeutig behält,
151400	153210	1810	zu verleugnen und zu beschönigen.
154140	156130	1990	Im späten Mittelalter gibt es
156770	159450	2680	in eindrücklichen Bildern und Versen ausgedrückt,
160060	162010	1950	die Tradition des sog. Totentanzes.
162660	167530	4870	Der Tod, der als Mittänzer überall im Leben anwesend ist
168220	170290	2070	und ohne Unterschied alle zum Tanz bittet.
170920.00000000003	173210	2290	Ich finde das ein hilfreiches Bild.
173810	176290	2480	Der Tod nicht nur als Lebensfresser und Feind,
176980	178850	1870	sondern als Mittänzer im Leben.
179900	183410	3510	Und Tanzen ist für mich eine grosse Kunst.
184010	187690	3680	Eine Kunst in der Spannung zwischen Aktiv und Passiv,
188420	190570	2150	zwischen Führen und Geführtwerden.
191620	196329.99999999997	4710	So wird auch der Umgang mit dem Tod und all den grossen Fragen rundherum
197060	200610	3550	zu einem Teil der Lebenskunst, der sogar etwas Spielerisches hat
201250	204210	2960	und nicht nur aus hilflosem Ankämpfen dagegen besteht.
205430	209410	3980	Nicht zuletzt könnte man dem Tod mitten im umschlungenen Tanz
210090	213690	3600	ins Ohr flüstern, dass die Bühne nicht ihm alleine gehört
214329.99999999997	219290	4960	und dass er und wir hier immer noch auf Gottes Fest vom Leben tanzen.
220140	224370	4230	Darum: Tanzt gut und geniesst morgen den Novembersonntag!
227740	231210	3470	SWISS TXT / UT-Redaktion Zürich Daniela Zacheo - 2016
