start	end	duration	text
970	2920	1950	.
3010	14680	11670	1:1-Untertitelung
14890	20280	5390	Ich wache traurig auf und schlafe voller Angst ein.
20410	24840	4430	Seit zehn Jahren leide ich darunter.
27530	30760	3230	Es hat sich in meinen Körper gefressen,
30940	34960	4020	und ich werde mich davon wohl nie mehr erholen.
40050	42760	2710	"Guten Abend und herzlich willkommen bei ""ECO""."
42860	44760	1900	Das sind die Themen:
45880	49760	3880	Eine ehemalige Kaderfrau wirft dem Konzern Mobbing vor.
49910	53160	3250	Das Topmanagement weist die Vorwürfe zurück.
55090	59800	4710	Die Schweizer Firma ACRON baut in Atlanta ein Luxushotel
59950	64879.99999999999	4930	und lockt Investoren mit 20 % Rendite - dank Steueroptimierung.
66650	70160	3510	Grosse Banken verschaffen sich mit eigenen Risikomodellen
70250	73440	3190	lukrative Wettbewerbsvorteile.
73600	77360	3760	Nun schreitet die Bank für Inter- nationalen Zahlungsausgleich ein.
79130	83600	4470	Bei den Anlegern sind die Bankaktien derzeit äusserst unpopulär.
83810	88360	4550	Die Credit Suisse hat dieses Jahr 40 % ihres Aktienwertes verloren,
88460.00000000001	91440	2980	bei der UBS sind es 25 %.
91650	95000	3350	Auch international kämpfen Banken mit verlorenem Vertrauen.
95130	99360	4230	Dabei sagen die Banken, sie hätten ihre Risiken im Griff.
99520.00000000001	103360	3840	Offensichtlich haben Anleger ihre Zweifel - und nicht nur sie.
103570	106600	3030	Liz Horowitz und Marcel Sigrist.
110390	113800	3410	Die Situation ist alarmierend.
114009.99999999999	118200	4190	Noch immer verfügen systemrelevante Banken über zu wenig Kapital,
118330	122320	3990	um aus eigener Kraft eine Krise überstehen zu können.
126770	133520	6750	Denn mit internen Risikomodellen
133610	137760	4150	rechnen viele grosse Banken Gefahren klein. Auch in der Schweiz.
137910	141120	3210	Ende 2015 wies die Credit Suisse potenziell riskante Positionen
141220	144040	2820	in Höhe von 988 Mrd. Fr. aus.
144250	148320	4070	Diesen Betrag rechnet die CS mit einem eigenen Risikomodell
148410	154280	5870	auf 290 Mrd. klein. Das ist knapp ein Drittel.
158020	160720	2700	Bei der UBS ist der Vorgang noch ausgeprägter.
160960	165160	4200	Von total 898 Mrd. Fr. bleiben nach der Risikogewichtung
165320	170800	5480	noch 208 Mrd. Franken übrig - rund ein Viertel.
170920.00000000003	175600	4680	Wenig Eigenkapital ist gefährlich.
175750	180040	4290	Deshalb schlägt die Bank für Internationalen Zahlungsausgleich BIZ
180050	181840	1790	nun Alarm.
