start	end	duration	text
1230	3310	2080	.
3280	13630	10350	1:1-Untertitelung. Livepassagen können Fehler enthalten.
13600	16510	2910	"Guten Abend und herzlich willkommen zu ""Schweiz aktuell""."
16470	19310	2840	Das sind die Themen am Gründonnerstag:
22290	25870	3580	Claude D., der Mörder der 19-jährigen Marie, soll nie mehr freikommen.
25860	29070	3210	Das Strafgericht Renens/VD hat ihn zu lebenslanger Verwahrung verurteilt.
32759.999999999996	35230	2470	Neben zwei ASTRA-Mitarbeitern
35220	38350	3130	sitzt auch ein Walliser Bau- unternehmer in Untersuchungshaft.
38330	41150	2820	Es geht um Bestechung bei millionenschweren Aufträgen -
41120	43390	2270	jetzt nimmt die Firma Stellung.
45730	48030	2300	Der Industriekonzern Sulzer
48000	51150	3150	schliesst seinen letzten Produktionsstandort in Winterthur.
51110	53550	2440	Heute beleben Sportler, Studenten und Künstler
53540	56230	2690	die historische Fabrikhalle.
58220	61750	3530	Eine lebenslange Gefängnisstrafe und lebenslange Verwahrung:
61740	65470	3730	Claude D., Maries Mörder, erhält die Höchststrafe.
65450	69110	3660	Das Urteil fällte heute das Waadter Strafgericht in Renens.
69100	72630	3530	Der 39-jährige Verurteilte hat vor knapp drei Jahren
72600	75830	3230	die 19-jährige Marie entführt und umgebracht.
75800	78150	2350	Er hat sie kennengelernt,
78120	81150	3030	als er seine erste Haftstrafe in Hausarrest abgesessen hat.
81120	84910	3790	Er war vorbestraft wegen Vergewaltigung und Mord.
84890	87150	2260	Das Gericht ist mit seinem Urteil
87140	90070	2930	voll und ganz den Anträgen der Staatsanwaltschaft gefolgt.
91770	94509.99999999999	2740	Maries Familie nach der Urteilsverkündung.
94500	97710.00000000001	3210	Zusammen mit ihrem Anwalt treten sie am Nachmittag vor die Medien.
97670	100710.00000000001	3040	Das Urteil sei eine grosse Erleichterung.
100690	103270.00000000001	2580	Das ist ein Riesenerfolg für die Justiz.
103240.00000000001	105630	2390	Das Gericht hat das abscheuliche Verbrechen
105600	108350	2750	dieses aussergewöhnlichen Kriminellen bestraft.
108310	113430	5120	Ein Verbrechen, das es hoffentlich nie mehr geben wird in der Schweiz.
113420	120270	6850	Die Anwältin von Claude D. hat ange- kündigt, das Urteil weiterzuziehen.
120240	123710	3470	Er hat die Höchststrafe bekommen.
123680	127990	4310	Das Gericht wollte ihn offenbar zum Tode verurteilen
127960	131710	3750	und seine Zelle in ein Grab verwandeln.
131690	134310	2620	Damit können wir uns nicht zufriedengeben.
134280	137510	3230	Mit einem Urteil, das vom Volkswillen beeinflusst wurde,
137480	140670.00000000003	3190	können wir uns nicht zufriedengeben.
140640	144510	3870	Das Urteil ist schockierend, einfach schockierend.
144480	148230	3750	Der Staatsanwaltschaft kam mit seinen Anträgen vor Gericht durch.
148200	151710	3510	Ich bin natürlich zufrieden,
151690	155110	3420	dass dieser Mann eine so lange Zeit hinter Gitter verbringen muss.
155079.99999999997	157350	2270	Ich bin natürlich auch zufrieden,
157329.99999999997	160270	2940	dass wir die Verhandlung über die Bühne bringen
160250	162990	2740	und abschliessen konnten.
162980	166030	3050	Für die Familie geht der Leidensweg trotz Urteil weiter.
166020	168829.99999999997	2810	Es ist nur eine Frage der Zeit,
168810	171350	2540	bis sie Maries Mörder am Berufungsprozess sehen.
172660	175270	2610	Eine lebenslange Verwahrung also für Claude D.
175240	178990	3750	Alexandra Gubser, unsere Westschweizer Korrespondentin,
178960	181390	2430	war bei der Urteilsverkündung dabei.
181370	184510	3140	Wie hat der Verurteilte den Entscheid des Gerichts aufgenommen?
184500	187470	2970	Wir untertiteln live:
188310	191070	2760	Er war absolut stoisch,
191170	197070	5900	hat die Mine nicht verzogen,
198850	202750	3900	anders als seine Anwälte, die sich sichtlich enerviert haben.
202829.99999999997	207750	4920	Er hat Richter fixiert
207910	211310	3400	und hat sich auch nicht bewegt, als man ihn am Psychopathen beschrieben
211450	213390	1940	hat.
213560	215230	1670	Man hat das Gefühl gehabt,
215400	218150	2750	das Ganze berühre ihn nicht wirklich, vielleicht, weil das
218400	220990	2590	letzte Wort noch nicht gesprochen wurde.
220980	223030	2050	Claude D. hat die höchste Strafe bekommen,
223020	225030	2010	die in der Schweiz verhängt wird.
225020	227230	2210	Wie überraschend ist dieses Urteil?
234900	240790	5890	Überraschend ist es nur, wenn man das Bundesgerichtsurteil
241730	243110	1380	im Fall Lucy als Mass nimmt.
243270	246390	3120	Für eine lebenslange Verwahrung müssen sich die Gutachter absolut
246530	249990	3460	einig sein und zum Schluss kommen, dass ein Angeklagter lebenslänglich
250080	252030	1950	nicht therapierbar ist.
252120	257990	5870	Claude D. hat multiple Persönlichkeitsstörung und
258760	261790.00000000003	3030	die Gutachter sind sich eigentlich einig und er ist heute und in
261959.99999999997	264790	2830	Zukunft nicht therapierbar und das Rückfallrisiko sei enorm
265000	266950	1950	gross.
267050	272870	5820	Nur ein Psychiater sagte, er wisse nicht,
273020	276070	3050	welche Methoden man in 20 Jahren habe, ob man eine solche Person
276200	277430	1230	evtl. therapieren könnte.
277640	280510	2870	Für das Gericht war klar, dass Claude D. ein Mörder ist, der
280600	282550	1950	wieder morden wird, wenn man ihn freilässt
282730	285190	2460	und deshalb die lebenslange Verwahrung.
285159.99999999994	287670	2510	Zwei Mitarbeiter des Bundesamtes für Strassen ASTRA
287640	289750	2110	und ein Walliser Bauunternehmer
289720	292470	2750	sitzen jetzt schon seit einer Woche in Untersuchungshaft.
292450	294950	2500	Offenbar ging es bei mehreren Bauaufträgen am Simplon
294930	297270	2340	nicht immer mit rechten Dingen zu.
297250	299550	2300	Es geht um ungetreue Amtsführung und Korruption.
299520	301390	1870	Roger Brunner kennt die Hintergründe.
302700	305710	3010	Die Simplonpassstrasse ist für Bauunternehmer eine Goldgrube.
305670	308310	2640	Das Bundesamt für Strassen ASTRA
308300	311110	2810	vergibt jedes Jahr Sanierungsaufträge in Millionenhöhe.
311080	314270	3190	Viele dieser Aufträge gingen ans Konsortium Frutiger/Interalp.
314250	317070	2820	Die Bundesanwaltschaft ermittelt deshalb seit einem Jahr
317060	319670	2610	wegen Verdachts auf aktive und passive Bestechung.
319650	322590	2940	Gegen die Firma Frutiger laufen keine Untersuchungen.
322560	325110	2550	Der Geschäftsführer der Interalp Bau AG aber
325100	327430	2330	sitzt seit einer Woche in Untersuchungshaft.
327400	332950	5550	Bei der Interalp hat man ihn freigestellt.
332940	336070	3130	Soweit wir heute wissen, geht es um aktive Bestechung.
336040	338790	2750	Es geht um Geschenke, sachliche Dinge.
338760	343630	4870	Es geht um Wein, Wurst, Polenta und solche Dinge.
343620	347350	3730	Nach dem heutigen Wissensstand sind keine Gelder geflossen
347330	350390	3060	und wir sehen keinen Zusammenhang
350350	353670	3320	zwischen diesen Geschenken und den Vergaben am Simplon.
353640	356470	2830	Aber drei Monate Untersuchungshaft für Wurst, Käse und Wein
356450	358950	2500	hört sich nach viel an.
358940	365550	6610	Gemäss Strafverteidiger sind drei Monate das Mindestmass.
365530	367830	2300	Die Walliser Baubranche
367810	370750	2940	kritisiert die Arbeitsvergabe am Simplon seit Längerem.
370720	373990	3270	Den Bauunternehmer vom Simplon-Dorf, Werner Zenklusen,
373960	376630	2670	hat die Festnahme des Ineralp-Geschäftsführers
376600	380350	3750	und den zwei ASTRA-Mitarbeitern nicht überrascht.
380330	382870	2540	Wenn alles so einseitig in eine Richtung geht,
382840	385030	2190	kann etwas nicht gut sein.
385000	387830	2830	Seitdem das ASTRA hier zuständig ist
387800	393990	6190	hat das Konsortium Frutiger/Interalp 150 Mio. Fr. an Aufträgen erhalten.
393960	399190	5230	Die Kritik von Werner Zenklusen richtet sich v.a. ans ASTRA.
399150	402430	3280	Es benachteilige die Walliser Unternehmer bewusst.
402420	405150	2730	Es ist heute so, dass kein einziger Bauunternehmer
405110	408390	3280	und kein einziges Ingenieurbüro im ganzen Kanton
408350	411830	3480	auf dem Simplon eine Offerte machen kann,
411810	415270	3460	um eine Galerie zu planen oder zu sanieren,
415240	419090.00000000006	3850	die man vielleicht vor 30, 40 Jahren sogar noch selber gebaut hat.
419050	421850	2800	Vor eineinhalb Jahren hat der Bauunternehmer deshalb
421840	425250	3410	gegen eine weitere Arbeitsvergabe ans Konsortium Frutiger/Interalp
425240	427490	2250	Rekurs eingelegt.
427450	430250	2800	Es geht um einen Sanierungsauftrag des Casermetta-Tunnels
430210	432570	2360	im Wert von 33 Mio. Fr.
432530	435930	3400	Folglich habe das ASTRA auf den Bau- unternehmer massiven Druck verübt,
435900	439570	3670	damit er den Rekurs zurückzuzieht.
439560	442010	2450	In einem Gespräch sagte man mir mehrmals,
441980	445170	3190	dass bei einem solchen Verhalten das Vertrauen nicht mehr da sei
445150	447530	2380	und man so nicht mehr zusammenarbeiten könne.
447500	450050	2550	Daraus musste ich schliessen,
450020	452530	2510	dass sie mir eigentlich sagen wollten,
452520	456050	3530	ich solle den Rekurs zurückziehen oder ich erhalte keine Arbeit mehr.
456040	459690	3650	Das haben sie dann auch so gemacht:
459680	464050	4370	Sie haben uns ab der Zeit keine Offerte mehr zugeschickt.
464030	467970	3940	Das ASTRA will vor der Kamera keine Stellung nehmen,
467960	470850	2890	denn es handle sich um laufende Verfahren und Ermittlungen.
470840.00000000006	474010	3170	Zu der Arbeitsvergabe teilt man uns aber schriftlich mit:
491550	494170	2620	Werner Zenklusens Rekurs
494160	497090	2930	ist mittlerweile vor dem Bundesverwaltungsgericht.
497080	499930	2850	Dieses prüft, ob die Arbeitsvergabe korrekt erfolgte.
499900	502290	2390	Druck macht aber auch die Walliser Politik.
502280	505690	3410	Das Walliser Kantonsparlament hat im Dezember
505670	508890	3220	einen Vorstoss von SP-Grossrätin Doris Schmidhalter angenommen,
508880	511330	2450	der den Staatsrat dazu auffordert,
511310	514690.00000000006	3380	den Missständen am Simplon einen Riegel zu schieben.
514650	517690.00000000006	3040	Für mich ist klar:
517650	521090.00000000006	3440	Der Fisch stinkt immer vom Kopf her und die Schuldigen sitzen in Thun.
521070.00000000006	523770	2700	Es ist für mich wichtig, dass man das richtig untersucht
523730	525850	2120	und dem Ganzen auf den Grund geht.
525810	528010	2200	Meine Befürchtung ist jetzt einfach,
528000	530810	2810	dass man die Kleinen aufhängt und die Grossen laufen lässt.
530790	533010	2220	Wie bei allen Strafverfahren
533000	535330	2330	gilt auch bei diesem die Unschuldsvermutung.
