start	end	duration	text
1490	2200	710	.
11320	14000	2680	MIT TELETEXT-UNTERTITELUNG
15730	18040	2310	Liebe Zuschauerinnen und Zuschauer.
18750	21480	2730	"Wenn Leute zu mir sagen: ""Doch, das ist wirklich so,"
22290	25160	2870	"das steht schon in der Bibel"", werde ich misstrauisch."
25820	29520	3700	Meistens lässt sich auch das Gegenteil aus der Bibel herauslesen.
30240	32119.999999999996	1880	Die Bibel ist kein Buch mit einer Story,
32930	36120	3190	sondern eine Bibliothek, in der so allerlei gesammelt wurde.
36910	40160	3250	Die Bibel trägt wohl genau deshalb so viel Weisheit in sich,
40930	43840	2910	weil scheinbare Gegenteile nebeneinander stehen können.
44740	46680	1940	Am Anfang erzählt die Bibel
47490	49840	2350	gleich zwei verschiedene Schöpfungsgeschichten.
50560	53280	2720	So kann niemand denken, dass es historisch so war.
53920	57440	3520	Es gibt aber verschiedene Möglichkeiten, etwas neu anzufangen.
58060	59440	1380	Das ist eine Tatsache.
60210	62520	2310	Stellen Sie sich vor, die Welt liege im Chaos.
63320	66080	2760	Sie ist von Krieg durch Hass und Widerstand zerstört.
66770	68560	1790	Es gibt keine Sieger, nur Verlierer.
69320	71560	2240	Und es geht weiter, als wäre nichts passiert.
72320	74440	2120	Jetzt soll diese Welt neu gestaltet werden.
75260	77020	1760	Aber bitte so, dass sie gelingen kann.
77730	80570	2840	Wenn die Zerstörung gross ist, gibt es nur noch Ideen
81289.99999999999	84570	3280	von Schönheit, blühenden Gärten, sicheren Häusern und Glück.
85240	87090	1850	Aber das sind nur Buchstaben.
87830	91610	3780	Wenn alles zerstört ist, können Buchstaben nichts mehr beschreiben.
92200	93410	1210	Wie soll man da neu anfangen?
94240.00000000001	98490.00000000001	4250	Die Heilige Schrift beginnt im Hebräischen mit B: bereschit bara.
99130	101650	2520	Am Anfang des Schaffens ist der Buchstabe Beth.
102300	104650	2350	Das Beth steht für Haus und den Zahlenwert 2.
105890	110009.99999999999	4120	Wie es dazu kam, dass die Tora, der Anfang unserer Bibel, mit Beth
110720	112650	1930	und nicht mit Aleph oder Alpha anfängt,
113360	115090	1730	erzählt eine rabbinische Geschichte.
115820	119170	3350	Gott schaut auf das Chaos und möchte die Welt neu erzählen.
119900	122730	2830	Aber mit welchem Buchstaben soll Gott beginnen?
123450	126610	3160	Die Buchstaben mit den grössten Zahlen werden denken,
127290	128690	1400	sie wären am besten geeignet.
129430	132940	3510	Sie plustern sich auf und sagen, Gott solle mit ihnen anfangen.
133610	136940	3330	Sie halten sich für mächtig, weil ihr Zahlenwert gross ist.
137570	138940	1370	Aber das gefällt Gott nicht.
139650	141140	1490	Da sagt der Buchstabe Beth:
141760	144380	2620	"""Bau deine Schöpfung nach dem Prinzip der Zahl 2."""
145090	147180	2090	"""Deine Schöpfung kann nur dann gut werden,"
147900	150740	2840	wenn sie es schafft, das Gegensätzliche zu vereinen,
151440	154450	3010	"das eine und andere sollen unter einem Dach Platz haben."""
155180	158050	2870	"""Dann wird das Chaos geordnet sein im Nebeneinander."""
158860	161610	2750	Das gefällt Gott, darum beginnt die Bibel mit Beth, zwei.
162329.99999999997	164970	2640	Es ist schon der Buchstabe am Anfang, bei Beginn,
165590	167050	1460	der durch seine Bedeutung als Zwei
167770	170050	2280	immer auf das andere, das Gegenüber verweist.
170970	173530	2560	Für mich ist das wie ein Apell an die Lesenden,
174320	176730	2410	offen zu sein für das, was jenseits meines Horizonts
177400	180090	2690	mit eingebunden werden muss, wenn das Leben gelingen soll.
180770	183570	2800	Wenn wir in unseren Familien, Städten und Ländern
184340	186210	1870	die Gegensätze nicht einbinden können,
186870	188250	1380	gelingt das Leben nicht.
189010	191490	2480	Dann leben wir nicht das Prinzip des Gegenübers,
192210	195050	2840	sondern nach dem Prinzip von Anführern und Diktatoren.
195770	199410	3640	Für mich ist die Bibel darum eine heilige, sehr heilsame Schrift.
200180	202210	2030	Sie ist wie Urkunde, die nicht fertig ist,
202960	205210	2250	nur weil man sie in Buchform festhalten kann.
205960	209810	3850	Auch das Wort zwischen den Buchdeckeln braucht ein Gegenüber:
210420.00000000003	211810	1390	den oder die andere.
214920.00000000003	217930	3010	SWISS TXT / UT-Redaktion Zürich Sabine Näpflin
