start	end	duration	text
2120	9230	7110	.
9260	12270	3010	Meine Damen und Herren, guten Abend.
12430	15430	3000	Die Spannung steigt: Zerreisen die Schotten jahrhundertealte Bande?
15580	18310	2730	Die Unabhängigkeitsabstimmung verfolgt ganz Europa
18360	20550	2190	fasziniert und nervös,
20630	23110	2480	weil bei einem Ja auch anderswo das Staatsgewebe reissen könnte.
23260	26510	3250	Dies im Fokus bei uns heute - die Schlagzeilen:
29380	33550	4170	Mit Rekordbeteiligung stimmen die Schotten noch eine Stunde lang
33630	36750	3120	über ihre Zukunft ab.
36910	41630	4720	Gesundheitsminister Berset erntet mit seinem Ansinnen
41830	47710	5880	just bei den Jungen Kritik.
47790	53110	5320	Der Musikpoet Leonard Cohen wird 80 und bringt ein neues Album raus.
53300	55870	2570	1:1-Untertitelung. Livepassagen können Fehler enthalten.
56920	61550	4630	Bis in die hintersten Ecken ihres an Highlands, Lowlands, Uplands
61660	63710	2050	und Islands reichen Landes
63860	66230	2370	gingen die Schotten und Schottinnen heute zur Urne.
66390	69510	3120	Nach 307 Jahren im Vereinigten Königreich befinden sie,
69750	73630	3880	von jetzt aus gesehen noch 68 Min. lang, ob sie in einem neuen Land
73720	76750	3030	ganz für sich allein ihr Glück suchen wollen.
76830	79230	2400	Und bis zur allerletzten Minute
79400	81630	2230	mobilisieren die Befürworter ebenso wie die Gegner
81830	84670	2840	noch den hintersten und letzten wahlberechtigten Schotten:
88220	92030	3810	Mit flammenspeiendem Dudelsack ziehen sie durch die Quartiere -
92180	95509.99999999999	3330	diese Unabhängigkeits-Aktivisten wollen so alle aus dem Haus locken,
95620	98750	3130	raus an die Wahlurne.
98900	102430	3530	Today is our day of destiny.
102509.99999999999	109390	6880	Today is the day that the people of Scotland reclaim our nation.
109570	112229.99999999999	2660	Ein Schicksalstag sei es, und hier im Süden Edinburghs
112350	117630	5280	müssen heute selbst Vierbeiner Flagge zeigen.
117710.00000000001	121070	3360	Wir wissen, dass in diesem Stadtteil sehr viele Ja-Stimmende wohnen.
121250	123990	2740	Allerdings gehen diese Leute selten an die Urne.
124070	130310	6240	Wir wollen sicherstellen, dass sie dies heute tun.
130550.00000000001	133710	3160	Auch in den Highlands sind die Wahl- lokale seit 7 Uhr morgens geöffnet -
133790	136710	2920	dieser Bauer ist der erste.
136890	143230	6340	Ich habe 20 Jahre nicht gewählt. So wichtig ist das heute.
143340	146710	3370	97 % aller Schotten haben sich für die Wahl registrieren lassen,
146910	153829.99999999997	6920	für viele ein hochemotionaler Tag, aus verschiedenen Gründen.
153990	156110	2120	Weil ich Britin bin.
156329.99999999997	158990	2660	Ich habe einen englischen Vater, eine schottische Mutter, lebe hier.
159070	162630	3560	Ich bin Britin! Ich kann nichts anderes sein!
162800	166670.00000000003	3870	59 andere Nationen haben sich von England losgelöst.
166870	169270	2400	Wir werden die Nr. 60 sein.
169530	174190	4660	Wenn die das können, können wir das auch.
174380	177270	2890	Es ist sehr wichtig, dass wir der Welt zeigen,
177410	181830	4420	dass diese Art Abstimmung legal, verantwortlich und demokratisch
181990	183590	1600	passieren kann.
183810	186990	3180	In vielen anderen Ländern wäre das nicht möglich.
187090	190830	3740	Egal wie die Wahl ausgeht, es wird eine lange Nacht für die Schotten.
194020	196760	2740	Unser Noch-Gross-Britannien- Korrespondent steht,
196890	200560	3670	wie Aberhunderte von Vertretern der Weltpresse gespannt in Edinburgh.
200690	204320	3630	Urs Gredig - raunt man sich auf den Strassen Schottlands schon zu,
204540	207240	2700	wie die Schicksalsabstimmung ausgehen wird?
207340	212520	5180	Wir untertiteln live:
212510	214360	1850	Nein.
220120	222160	2040	Man geizt richtig schottig weiter mit Trends.
228820	231120	2300	Es gab auch keine Befragungen vor den Wahllokalen.
235320	237200	1880	D.h., man fischt weiterhin im Trüben.
239079.99999999997	241880	2800	In einer Std. wird man beginnen, die Stimmen auszuteilen.
241960	244560	2600	Einerseits wegen der hohen erwarteten Stimmbeteiligung,
248610	250920	2310	andererseits weil man sich viel Zeit lassen will,
252460	254320	1860	weil man ein knappes Resultat erwartet.
256450	258680	2230	Trends wird es wohl erst am frühen Morgen geben.
259269.99999999997	261200	1930	Erst auf den letzten Metern der Zielgeraden
261310	263360	2050	wurde es in diesem historischen Rennen zwischen Separatisten
263480	265240	1760	und Unionisten ja spannend.
265410	267880	2470	Früher schien ein Ja zu Abspaltung nicht die geringste Chance zu haben.
267980	269760	1780	Vom heutigen Entscheidungstag aus gesehen:
269930	274200	4270	Was hat diese späte Trendwende verursacht?
278850	281680	2830	Zuerst muss man sagen, die Trendwende hat viele überrascht.
289830	293200	3370	Die Unionisten sahen lange wie die Sieger aus und das hat vielleicht
293250	294159.99999999994	910	etwas träge gemacht.
294330	296360	2030	Dazu kommt,
309620	312160	2540	dass das nein-Lager den Abstimmungskampf betrieben hat.
317300	320280	2980	Auch die Chance, einen völlig neuen Staat regieren zu können,
321380	323200	1820	hat viele Schotten ins Träumen gebracht.
327450	329680	2230	Dazu kommt, dass das Jahr-Lager einen Chef hat,
330620	332560	1940	der charismatisch ist.
334650	336880	2230	Ohne ihn wäre dieses Referendum nicht machbar.
337810	339840.00000000006	2030	Doch den schottischen Freiheitskämpfer,
339980	342000	2020	den Urs Gredig hier anspricht,
342100	343880	1780	wollen wir uns vorab genauer anschauen.
344100	346240	2140	Bis jetzt galt William Wallace, von Mel Gibson als Braveheart
346380	348360	1980	für ein mondiales Publikum auf die Leinwand gebracht,
348520	350400	1880	als schottischer Freiheitsheld par excellence,
350580	352440	1860	weil er sein Volk 1297
352659.99999999994	355440	2780	siegreich in die Schlacht gegen Englands Edward I. führte.
355610	358560	2950	Da wirkt Schottlands heutiger Anführer
358750	362240	3490	mit seiner etwas runderen Art als unwahrscheinlicher Held.
362330	364800	2470	Und doch steht Alex Salmond,
364950	367120	2170	der Regierungschef des schottischen Regionalparlaments,
367320	369360	2040	heute unbestreitbar im Scheinwerferlicht der Geschichte:
371100	373880	2780	Locker schreitet Alex Salmond zur Stimmabgabe.
374050	377440	3390	Heute geht es um seinen grossen Traum,
377620	381120	3500	die Unabhängigkeit Schottlands.
381350	383720	2370	Wir haben die Chance, eine gesündere Wirtschaft
383860	386160	2300	und eine fairere Gesellschaft zu schaffen.
386420	388760	2340	Das ist eine wunderbar positive Vision.
388980	393080	4100	Schottland sollte sie mit beiden Händen ergreifen.
393340.00000000006	396120	2780	Dabei sah es noch vor 2 Jahren schlecht aus für ihn,
396310	400159.99999999994	3850	als er mit David Cameron die Durch- führung des Referendums besiegelte.
400330	404120	3790	Damals unterstützten nur etwa 30 % die Abspaltung.
404250	409760	5510	Salmonds Unterfangen schien fast aussichtslos.
409950	414520	4570	Doch mit seinen emotionalen Reden im ganzen Land
414620	417560	2940	begeistert Salmond die Massen.
417710	420440	2730	Er überschüttet die Politiker im fernen Londoner Regierungsviertel
420660	423880	3220	mit Spott.
425770	428000	2230	Glaubten diese Leute wirklich, Schottland würde sich
428220	430480	2260	auf die verzweifelten Angebote aus London einlassen,
430720	433040	2320	die uns kaum etwas bringen?
433230	435120	1890	Wir können die Zukunft selber bestimmen
435330	438800	3470	und hier viele neue Jobs schaffen.
441060	445280	4220	Bei seinen Auftritten blendet Salmond die Gefahren eines Alleingangs aus.
445400	448000	2600	Sein Patriotismus gehe zurück auf seine Jugend,
448210	452720	4510	sagt Biograf David Torrance.
452820	455200	2380	Seine Familie war zutiefst schottisch.
455370	457760	2390	Sein Grossvater lehrte ihn die schottische Geschichte.
457950	460560	2610	Dazu kommt das Öl in der Nordsee, was ihn auch wirtschaftlich
460740	465120	4380	in seinem Bestreben nach Unabhängigkeit bestärkt.
465310	468600	3290	Selbst im Kinder-Fernsehen machte Salmond Abstimmungskampf.
470850	473360	2510	Ich denke, niemand kann Schottland besser regieren,
473470	477640	4170	als die Leute, die hier leben und arbeiten.
477740	480400	2660	Bei vielen Frauen kommt er zwar nicht so gut an.
480570	483440	2870	Er ist etwas aggressiv, ein Alphatier, ein Macho.
483600	487600	4000	Aber viele Schotten mögen ihn, weil er ihnen Selbstvertrauen gibt.
487700	489880	2180	Er tritt sehr selbstbewusst auf,
490000	495160	5160	was keine typisch schottische Eigenschaft ist.
495290	498840	3550	Selbstbewusst verbreitet er heute auch auf Twitter Optimismus:
499020	501480	2460	Let's do this, Scotland!
501580	506560	4980	Wird der einstige Underdog zum grossen Gewinner?
507750	510600	2850	Falls ja, hat dieser Mann hier eine Zwei auf dem Rücken,
510820	513320.00000000006	2500	gross wie der Haupteingang von Westminster:
513480	516240	2760	Der britische Premier David Cameron hat die schottischen Mitbürger
516370	519200.00000000006	2830	und Mitbürgerinnen inständig wissen lassen,
519380	522799.99999999994	3420	wie sehr dem United Kingdom an unzerbrechlichem Zusammenhalt liegt.
522900	525040	2140	Was steht auf dem Spiel?
525180	527600	2420	Was verliert Grossbritannien,
527700	529720	2020	wenn Schottland tatsächlich austritt aus der Union?
529900	531560	1660	Antworten im Beitrag von Peter Düggeli.
533410	537280	3870	Schottland: mystische Schlösser, raue Landschaften,
537520	541120	3600	mit all seinen Perlen ein Mitglied der britischen Familie.
541260	543400	2140	Seit über 300 Jahren.
543600	546600	3000	Dass Grossbritannien all das verlieren könnte,
546820	551000	4180	lässt bei seinen Anhängern in London die Emotionen hochgehen -
551100	555280	4180	sie zeigen ihre Liebe zu Schottland.
556470	561600	5130	Es ist, als würde mir meine Identität geraubt.
561700	566840	5140	Wir würden kleiner, und die Welt wird uns als kleiner betrachten.
566990	570040	3050	Ich glaube, das wäre sehr peinlich für unser Land.
570210	576120	5910	Aber ich bin stolz, dass man das friedlich regeln kann.
576310	579560	3250	Die Fakten: Was würde Grossbritannien wirtschaftlich verlieren,
579680	582880	3200	wenn Schottland unabhängig würde?
582990	585280	2290	Die Wirtschaftsleistung Schottlands
585450	588080	2630	ist ein Drittel so gross wie diejenige der Schweiz.
588240	594360	6120	Hauptträger sind die Erdöl-Produktion und die Schwerindustrie.
594520	597360	2840	Bei einem Bier in Zürich erklärt der Grossbritannien-Kenner,
597470	603000	5530	das Königreich werde ohne Schottland nicht in eine Krise fallen.
603130	605240	2110	Schottland hat Industrie.
605410	608040	2630	Stahl und Kohle sind nicht mehr so wichtig, wie sie einmal waren.
608240	610160	1920	Aber es gibt noch Schwerindustrie.
610320	612560	2240	Es gibt natürlich auch Öl aus der Nordsee.
612770	616000	3230	Aber noch wichtiger sind meines Erachtens die Zeitverschwendung
616160	618960	2800	und das Kopfzerbrechen, die zwingendermassen folgen werden.
619180	621240	2060	Wie macht man z.B. weiter mit Sterling?
621390	624440	3050	Können 2 voneinander unabhängige Länder diese Währung noch teilen?
624560	626880	2320	Wie geht es mit den Staatsschulden?
627040	630120	3080	Beamte, Diplomaten werden Monate, Jahre, vielleicht noch Jahrzehnte
630240	632680	2440	miteinander diskutieren müssen.
632850	636200	3350	Es wird eine riesige Geld- und Zeitverschwendung sein.
636370	639160	2790	Offene Fragen auch im militärischen Bereich -
639340	642320	2980	vor der Küste Schottlands sind viele britische Atom-U-Boote stationiert
642460	646280	3820	mit total 160 Atom-Sprengköpfen.
646500	652680	6180	Was verliert Grossbritannien militärisch ohne Schottland?
652920	655400	2480	Da ist auch ein grosses Problem: Die Scottish National Party
655580	657960	2380	hat eine sehr klare Politik, sie sind Pazifisten.
658160	660320	2160	Sie wollen mit Krieg nichts mehr zu tun haben,
660420	662480	2060	geschweige denn Atomwaffen.
