start	end	duration	text
1170	2330	1160	.
2490	5330	2840	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6640	8450	1810	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
8600	10970	2370	Heute stehen die Wahlen in Zürich im Zentrum.
13640	19010	5370	Die Zürcher Freisinnigen gewinnen in Regierung und Parlament.
19130	21130	2000	Verlierer sind Grüne und GLP.
23210	26610	3400	Hillary Clinton will 2017 US-Präsidentin werden.
28650	32689.999999999996	4040	In Davos ist die Welt nach dem Playoffsieg wieder in Ordnung.
34840	38130	3290	Der Filmemacher Kurt Früh wäre heute 100.
40240	43730	3490	Mit viel Sonne und Temperaturen über 20 °C.
45830	47730	1900	Zürich hat gewählt,
47880	50410	2530	hat die Regierung und das Parlament des Kantons neu bestellt.
50600	54410	3810	Die Wahl gilt auch als Test für die nationalen Wahlen kommenden Herbst.
54510	57010	2500	Bis zum Schluss glich sie einem Krimi -
57160	59810	2650	die Entscheidung fiel in einem Kopf-an-Kopf-Rennen:
62680	65970	3290	Und so sehen die Wahlresultate bei der Regierung im Detail aus:
66080	70650	4570	Mit dem besten Resultat gewählt wurde der Freisinnige Thomas Heiniger.
70720	73930	3210	Gefolgt vom Sozialdemokraten Mario Fehr.
74030	77250	3220	Auf Platz 3: Ernst Stocker von der SVP.
77400	80370	2970	Gleich hinter ihm: Parteikollege Markus Kägi.
80550	82530	1980	Den besten Platz der neuen Kandidatinnen
82680	85289.99999999999	2610	erreicht Silvia Steiner von der CVP.
85490	88490	3000	Hinter ihr liegen Carmen Walker Späh, FDP
88710.00000000001	92289.99999999999	3580	und schliesslich SP-Nationalrätin Jacqueline Fehr.
92440	95770.00000000001	3330	Die Wahl verpasst und damit abgewählt
95850	98410	2560	ist der bisherige Justizdirektor Martin Graf von den Grünen.
98580	101490.00000000001	2910	Alle anderen Kandidaten liegen deutlich zurück.
103590	107410	3820	Der neugewählte Zürcher Regierungsrat präsentiert sich stolz der Presse.
107520.00000000001	109050	1530	Ab der nächsten Legislatur
109190	112850	3660	darf das 7er-Gremium mit 3 neugewählten Frauen politisieren.
113050	116340	3290	Die Freude bei den 3 frischgebackenen Regierungsrätinnen ist gross:
117210.00000000001	119660	2450	Wir haben einen sehr engagierten Wahlkampf
119740.00000000001	121540	1800	mit einer fortschrittlichen Botschaft gemacht.
121690	124060	2370	Zürich kann mehr, Zürich soll Pionierkanton sein.
124140	127260	3120	Die vorbildlichen, fortschrittlichen Projekte sollen im Zentrum stehen.
127510	129780	2270	Das hat die Leute begeistert und mobilisiert.
129940	132220	2280	Ich glaube, dass das der Grund für dieses Resultat ist.
132380	135540	3160	Ich glaube, dass das bürgerliche Ticket sehr erfolgreich war.
135740	141340	5600	Dass die 3 Parteien SVP, FDP und CVP sehr diszipliniert gewählt haben.
141490	148270	6780	Und dass das das gute Resultat verursachte.
148450	152950	4500	Ich freue mich aber sehr über dieses Resultat der 3 Frauen,
153100	155150	2050	obwohl es natürlich immer schmerzhaft ist,
155280	157829.99999999997	2550	wenn ein Bisheriger abgewählt wird.
157940	160790	2850	Abgewählt wurde er, Martin Graf.
160900	166150	5250	Der Justizdirektor von den Grünen hat bis zuletzt auf einen Sieg gehofft.
166310	168110	1800	Das ist natürlich eine grosse Enttäuschung.
168290	170470	2180	Einerseits das Resultat der Grünen generell.
170620	173310	2690	Aber auch für mich.
173470	178110	4640	Wenn man an einem Tag verliert, ist es tatsächlich eine Niederlage.
178210	182190	3980	Der neugewählte Zürcher Regierungsrat ist in Festlaune.
182330	184830	2500	Der Abend dürfte noch lang werden.
186580	190750	4170	CVP rein, Grüne raus: Die Regierung des Kantons Zürich rückt nach rechts.
