start	end	duration	text
540	11220	10680	.
11440	14180	2740	1:1-Untertitelung
14360	17020	2660	"Schönen, guten Abend. Das ist ""Schweiz aktuell""."
17100	19140	2040	Heute starten wir in die dritte Woche
19290	22300	3010	"unseres Sommerschwerpunkts ""A1 - Die Raststätte""."
22440	24580	2140	Die Liveschaltung nach Würenlos
24740	26260	1520	machen wir gleich nach der kurzen Übersicht
26420	28500	2080	über aktuelle Nachrichten aus den Regionen.
29810	31900	2090	Die Felsklippen Creux-du-Van im Neuenburger Jura
32040	35940	3900	gehören zu den bekanntesten und spek- takulärsten Fotosujets der Schweiz.
36080	38540	2460	Leider kommt es immer wieder vor,
38640	41820	3180	dass sich Menschen in die Felsschlucht stürzen,
42040	44140	2100	weil sie nicht mehr leben wollen.
44290	47140	2850	So auch letzte Woche, als die Polizei im Creux-du-Van
47360	49820	2460	nicht nur die Leiche einer Neuen- burger Frau in der Schlucht fand,
49960	53780	3820	sondern auch einen Vater mit seinen kleinen Kindern.
54000	56660	2660	Ein Fall, der vor Ort für Fassungslosigkeit sorgt.
56810	58860	2050	Der Bericht von Rolf Dietrich.
60430	62700	2270	Der Creux-du-Van: ein imposantes Felsmassiv.
62920	67700	4780	Rund 1'200 m breit ist es, und es geht über 500 m in die Tiefe.
67800	71060	3260	Für viele Touristen ist das eine imposante Sehenswürdigkeit.
71230	74660	3430	Ein 45-jähriger Familienvater stürzte sich hier am Freitagmorgen
74880	79100	4220	mit seinen beiden Kindern (2 und 3) in den Tod.
79320	81780	2460	Es war kurz nach 6 Uhr morgens:
81880	83539.99999999999	1660	Der Familienvater stellte sein Auto
83690	85660	1970	auf dem Parkplatz des Restaurants Le Soliat ab.
85850	89900	4050	Die Wirtin Camille Dorotte putzte gerade die Tische auf der Terrasse.
90070	92100	2030	Da fiel ihr der Mann mit den beiden Kindern auf,
92270.00000000001	94580	2310	der sich auf den Weg in Richtung Felsklippe machte.
94750	98340	3590	"Ich dachte: ""Das ist nicht normal, dass man so früh am Morgen"
98530	102620	4090	"mit so kleinen Kindern spazieren geht."" Das fand ich seltsam."
102770.00000000001	108100	5330	Dass die Kinder in Gefahr sein könnten, ahnte die Wirtin nicht.
108259.99999999999	112259.99999999999	4000	Umso grösser war der Schrecken, als sie erfuhr, was passiert war.
112410	116660	4250	Ich war wirklich geschockt, dass ich nichts dagegen tun konnte.
116920	122500	5580	Es ist einfach schrecklich, was da passiert ist.
122600	127260	4660	Bevor sich der Familienvater (45) mit seinen beiden Kindern
127430	131260	3830	in die Tiefe stürzte, informierte er per SMS einen Verwandten.
131440	132980	1540	Dieser alarmierte die Polizei,
133140	135740	2600	aber sie konnte nur noch die drei Leichen bergen.
135850	138740	2890	Die Familie lebte im Dorf Les Hopitaux-Vieux
138960	140700	1740	direkt an der französischen Grenze.
140870	143060	2190	Sie hatte einen alten Bauernhof gekauft, den sie umbaute.
143280	146460	3180	Der Gemeindepräsident kannte die Familie gut.
146590	151180	4590	In diesem Saal traute ich das Paar vor zwei Jahren.
151350	154980	3630	Offensichtlich war die Ehe nicht lange glücklich.
155150	158500	3350	Seit sechs Monaten befand sich das Paar im Scheidungsverfahren.
158660	161060	2400	Ein Streit um das Sorgerecht der beiden Kinder
161190	164380	3190	war möglichweise der Auslöser dieser Tragödie.
164570	167980	3410	Am Vortag hatte er das Urteil erfahren.
168110	169980	1870	Er hatte damit gerechnet,
170040	172579.99999999997	2540	das alleinige Sorgerecht für die Kinder zugesprochen zu bekommen.
172680	174260	1580	So war es aber nicht.
174400	175740	1340	Man geht davon aus,
175910	178660	2750	dass dies der Auslöser für diese traurige Geschichte war.
178840	182460	3620	Die Neuenburger Polizei fand am Fusse des Creux-du-Van
182560	184420	1860	noch die Leiche einer Frau.
184510	186140	1630	Es handelt sich laut Behörden um einen Selbstmord,
186290	188540	2250	der mit den anderen drei Todesopfern nichts zu tun hat.
188680	190340	1660	Rund ein- bis zweimal pro Jahr
190510	192700	2190	nimmt sich jemand am Creux-du-Van das Leben.
194330	196380	2050	Diese Woche ist es zehn Jahre her,
196550	199300	2750	dass sich die Schweiz im Ausnahmezustand befand.
199480	202060	2580	Das Jahrhunderthochwasser von 2005 richtete im ganzen Land Schäden
202200	206180	3980	in der Höhe von 3 Mrd. Fr. an.
206360	209620	3260	Sechs Menschen kamen in den Wasser- und Geröllmassen ums Leben.
209840	211420.00000000003	1580	Besonders betroffen war der Kanton Bern.
211540	214100	2560	Im Mattequartier in der Stadt Bern
214290	217100	2810	mussten die Bewohner evakuiert werden,
217270	222500	5230	im Berner Oberland traten die Wildbäche über die Ufer
222600	225579.99999999997	2980	und zerstörten z.T. ganze Dörfer.
227570	229940	2370	In den Geröllmassen, die der Glyssi- bach in Brienz mit sich brachte,
230030	231980	1950	kamen zwei Menschen um.
232130	234100	1970	Dörfer wie Oey-Diemtigen und Lütschental waren komplett
234240	236020	1780	von der Aussenwelt abgeschnitten,
236120	238340	2220	sogar die Kommunikation brach zusammen.
238510	241700	3190	Nur mit einem Helikopter konnte man die Betroffenen noch erreichen.
241820	244340	2520	Regierungsrätin Barbara Egger
244510	248300	3790	konnte sich damals als eine der ersten einen Überblick verschaffen.
248450	254820	6370	Wir landeten, und Menschen standen schon dort - der Gemeindepräsident,
254920	258220.00000000003	3300	andere Leute ... Und sie weinten einfach nur noch.
258320	261180	2860	Und es hatte riesige Schutthaufen.
261399.99999999997	263620	2220	Ich war zwar noch nie in einem Kriegsgebiet,
263800	265700	1900	aber wenn man die Bilder vergleicht,
265850	268420	2570	dann sah das für mich aus wie in einem Kriegszustand.
268680	270660	1980	Heute, zehn Jahre nach diesen schweren Unwettern,
270840	273100	2260	zieht die Regierungsrätin Bilanz.
273320	275780	2460	Eine regelrechte Hochwasserschutz- offensive habe der Kanton
275950	278340.00000000006	2390	nach dem Hochwasser von 2005 eingeleitet.
278560	281220	2660	Rund 50 Projekte wurden bisher realisiert.
281480	284060	2580	Das sind z.B. Schutzbauten bei den Bächen
284280	286780	2500	oder der Entlastungsstollen in Lyss, und auch derjenige in Thun,
286990	289060	2070	der auch dazu beiträgt, den See zu regulieren.
