start	end	duration	text
100	9300	9200	.
9420	13060	3640	1:1-Untertitelung. Livepassagen können Fehler enthalten.
13170	14300	1130	Guten Abend.
14480	16740	2260	"Das ist ""Schweiz aktuell"" und dies sind heute unsere Themen:"
19100	23380	4280	Die Kantone Aargau und Luzern nehmen die Bildung ins Visier,
23490	25020	1530	um Kosten zu senken.
25260	27020	1760	In Luzern haben Schülerorganisationen heute der Regierung
27160	30220	3060	3'000 Unterschriften als Protestbotschaft überbracht.
32320	34700	2380	Im Kanton Graubünden sitzen die Bauunternehmen
34900	37560	2660	seit dem Ja zur Zweitwohnungs- Initiative auf dem Trockenen.
37780	40240	2460	Die Bauwirtschaft ist dieses Jahr eingebrochen,
40460	42760	2300	und die Angestellten zittern um ihre Stelle.
46220	51040	4820	Diese beiden markanten Schornsteine auf dem Raduner-Areal
51210	53480	2270	in Horn im Kanton Thurgau sind heute gesprengt worden.
53700	56720	3020	Es ist der Beginn der Abbrucharbeiten nach dem Grossbrand im Sommer.
58450	61680	3230	Tausende Zugpassagiere mussten heute im Morgenverkehr Geduld bewahren.
61760	63800	2040	Gleich mehrere Störungen
63970	66640	2670	haben den Pendlerverkehr auf der Ost-West-Achse behindert.
66870	70480	3610	Erst ist in Rotkreuz im Kanton Zug ein Güterzug entgleist,
70580	72480	1900	ohne dass es Verletzte gab.
72580	75200	2620	Kurz darauf kam es noch zu einer Stellwerkstörung.
75350	77840	2490	Dann blieb in Rupperswil im Kanton Aargau
78020	80480	2460	ein ICE wegen eines Defekts auf der Strecke stehen.
80700	83760	3060	Mehrere Zugsausfälle und Verspätungen waren die Folge.
83880	85640	1760	Und kurz nach 8 Uhr
85800	89880	4080	reihte sich auch Zürich Altstetten in die Pannenserie ein.
91840	93759.99999999999	1920	Tausende Pendler waren von der Stellwerkstörung
93789.99999999999	95680	1890	beim Zürcher Bahnhof betroffen,
95860	98800	2940	weil die Ost-West-Verbindung über Altstetten führt.
98930	101200	2270	Die SBB mussten das System neu starten.
101360	105400	4040	Es kam zu Verspätungen von bis zu 30 Min.
105490.00000000001	107240.00000000001	1750	Die drei Zwischenfälle am selben Morgen
107320	109600	2280	haben laut SBB aber nichts mit den tiefen Temperaturen zu tun.
109820	113960.00000000001	4140	Eine Entgleisung kann leider zu jeder Jahreszeit geschehen,
114100	116440	2340	eine Stellwerkstörung leider auch.
116530	118000	1470	Man muss sich vorstellen:
118150	120080	1930	Die Computeranlagen sind in klimatisierten Räumen.
120220	121800	1580	Da merkt man nichts vom Winter.
121970	124400	2430	Auch eine Zugstörung kann leider im Winter passieren.
124500	127680	3180	Von daher hat es sicher nichts mit den Temperaturen zu tun.
127790	129880	2090	Es ist wirklich ein doofer Zufall,
130060	131960	1900	dass das alles gleichzeitig gekommen ist.
132060	134440	2380	Die Züge auf der Ost-West-Achse
134530	136960	2430	hatten noch bis kurz vor Mittag Verspätung.
139210	142320	3110	Am Sparen kommt nächstes Jahr fast kein Kanton vorbei.
142530	144440	1910	Die Frage ist immer: Wo soll man sparen?
144620	147640	3020	Der Kanton Luzern z.B. will bei der Bildung ansetzen
147780	150400	2620	und u.a. die Schulgebühren für Gymnasiasten erhöhen
150550	153920.00000000003	3370	und im Gymnasium eine zusätzliche Ferienwoche einführen.
154070	157000	2930	Heute hat der Verband der Luzerner Schülerorganisationen
157100	158680	1580	dem Regierungsrat
158880	162280	3400	3'000 Unterschriften gegen die drohenden Sparmassnahmen übergeben.
162430	167040	4610	Und auf dem Kornmarkt in Luzern findet im Moment eine Protestaktion
167200	170000	2800	gegen Sparmassnahmen bei der Bildung statt -
170210	173280	3070	aber auch gegen Massnahmen im ÖV, im Gesundheits- und Sicherheitsbereich.
173380	176560	3180	Sparmassnahmen standen heute auch bei der Budgetdebatte
176720	179800	3080	im Aargauer Kantonsparlament zur Diskussion.
179930	181960	2030	Wie Luzern will auch der Kanton Aargau
182100	184080	1980	u.a. im Bildungsbereich sparen.
184250	188120	3870	Gerade diese Massnahmen sorgen für besonders viel Zündstoff.
189980	192280	2300	Auf dem Weg zu einer Monster-Spardebatte:
192390	194520	2130	Aargauer Grossrätinnen und -räte
194680	196600	1920	gehen diesen Nachmittag eine heikle Aufgabe an.
196820	199000	2180	Es geht darum, mit welchen Abstrichen und Neueinnahmen
199220	203600	4380	der Aargau in den nächsten Jahren 500 Mio. Fr. einsparen kann,
203760	206160	2400	um keine roten Zahlen mehr zu schreiben.
206300	209040	2740	Am meisten sparen will die Aargauer Regierung bei der Bildung.
209140	214160	5020	Und zwar, weil der Bereich 40 % der Kosten ausmacht.
214310	218240	3930	Darum sehen sie sich jetzt sogar gezwungen,
218460	220040	1580	auch hier massiv zum Rotstift zu greifen.
220300	222920.00000000003	2620	Sollte jemand in diesem Saal davon träumen,
223140	226600	3460	dass es je Lack gehabt hätte in der Bildung ...
226700	229320	2620	Dann ist der Lack inzwischen längst weg.
229430	231440	2010	Wir können und müssen uns nun
231660	233760	2100	ernsthaft mit spürbaren Massnahmen beschäftigen.
233910	237600	3690	Der Aargau plant konkret: Mehr Kinder pro Schulklasse,
237810	240880	3070	weniger Halbklassenunterricht in der Primarschule
241040	244200	3160	und weniger Deutschnachhilfe für Fremdsprachige.
244310	247960	3650	Diese Pläne sind im Rat allerdings umstritten.
248180	251800	3620	Wir lehnen ganz klar die Massnahmen im Primarschulbereich ab,
251940	254560	2620	in denen es um die Halbklassen geht.
254700	256440	1740	Die Teilungslektionen sind uns wichtig,
256550	259000	2450	damit man auf die Kinder gut eingehen kann.
259190	262200	3010	Wir sind auch dagegen, dass man die Minimalgrössen der Abteilungszahlen
262460	264440	1980	an der Real- und Sekundarschule erhöht.
264640	267680	3040	Und wir sind gegen die Abschaffung oder Reduktion
267780	270520	2740	der Deutsch-Zusatzlektionen.
270620	272080	1460	Wir sagen ganz klar:
272260	278400	6140	Die Halbklassen im Kindergarten und in der Primarschule sind ein No-Go.
278510	280800	2290	Das ist die schädlichste Massnahme, die da drin ist.
281060	285360	4300	Dann darf man Deutsch als Zweitsprache auch nicht streichen,
285490	288920	3430	das käme uns später teuer zu stehen.
289030	292320	3290	Und es ist auch ganz klar für uns,
292620	296240	3620	dass man das Werkjahr beibehalten muss -
296340.00000000006	299360	3020	da versucht man auch wieder, bei den Schwächsten zu sparen.
299480	302120	2640	Mehr auf Sparkurs ist die FDP.
302340	305720	3380	Und ganz auf der Linie der Regierung ist die SVP.
305820	309160	3340	Die Klassenteilung im Halbklassenunterricht und
309270	312040	2770	auch Deutsch-Zusatzunterricht -
312200	317600	5400	diese viel kritisierten Massnahmen unterstützt die SVP auch.
317820	319480	1660	Pädagogische Bedenken haben Sie keine?
319640	324270	4630	Nein, eigentlich nicht. Sparen tut weh, das ist so.
324500	327870	3370	Es braucht eventuell auch mehr Engagement von den Lehrkräften.
328050	331630	3580	Ich sage nicht, dass das jetzt nicht gegeben ist.
331750	334270	2520	Aber alle anderen Staatsangestellten
334450	336950	2500	sind von diesen Sparmassnahmen auch betroffen.
337120	339950	2830	Definitive Entscheide in Sachen Schulabstriche
340050	342270	2220	sind heute noch keine gefallen.
342440	344750	2310	Die Debatte nächste Woche dürfte aber heiss werden.
345930	347790	1860	Aus Aarau ist uns jetzt
347980	349470	1490	unsere Korrespondentin Natascha Schwyn zugeschaltet.
349780	351630	1850	Ob und wo in der Bildung gespart wird,
351820	353510	1690	wurde heute noch nicht entschieden.
353740	357470	3730	Wo wurden bei der Spardebatte heute sonst noch Pflöcke eingeschlagen?
357580	359390	1810	Wir untertiteln live:
