start	end	duration	text
2860	3760	900	.
4420	7440	3020	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8270	10680	2410	"Guten Abend, meine Damen und Herren, das ist die ""Tagesschau""-Hauptausgabe"
11390	13320	1930	vom 7. November - und diese Themen haben wir u.a. für Sie:
14380	17720	3340	Die Ständeratskommission will den Inländervorrang verschärfen.
19920	22240	2320	Hillary Clinton und Donald Trump
22920	25520	2600	kämpfen in ihren Abschluss- veranstaltungen um jede Stimme.
27590	30040	2450	Immer mehr Bedürftige suchen Unterstützung
30670	32560.000000000004	1890	bei wohltätigen Organisationen.
33930	37280	3350	In Bern kämpfen die SBB mit Verkehrs- regeln gegen das Pendlerchaos.
41100	46360	5260	Wechselhaft mit Schneeschauern bis in tiefe Lagen, im Süden meist sonnig.
48870	52640	3770	Die Zeit drängt für die Umsetzung der Masseneinwanderungs-Initiative.
53300	55480	2180	Nach dem Nationalrat im Herbst
56190	58840	2650	wird in der kommenden Wintersession auch der Ständerat darüber befinden.
59590	60680	1090	Die staatspolitische Kommission des Ständerats
61450	63240	1790	hat heute ihren Vorschlag präsentiert.
63960	65640	1680	Er verlangt,
66350	69280	2930	dass die Arbeitgeber stärker in die Pflicht genommen werden sollen,
69940	72080	2140	wenn es darum geht, bei Stellenbesetzungen
72880	74360	1480	inländische Arbeitskräfte besser zu berücksichtigen.
75140	76240	1100	Fritz Reimann berichtet.
77090	79720	2630	Tagelang hat die ständerätliche Kommission debattiert.
80430	81960.00000000001	1530	Doch am Dilemma hat sich nichts geändert.
82670	85280	2610	Die Masseneinwanderungs-Initiative und die Personenfreizügigkeit
86000	87680	1680	widersprechen sich.
88270	90039.99999999999	1770	Durchgesetzt hat sich eine Mehrheit
90760	93039.99999999999	2280	unter Führung des Freisinnigen Philipp Müller.
93759.99999999999	97160	3400	Wir sind der Meinung, dass wir die bilateralen Verträge -
97840	100120	2280	die Mehrheit ist dieser Meinung - sehr hoch gewichten.
100840	104200	3360	Das bedeutet: Wie der Nationalrat, so lehnt auch die Ständeratskommission
104789.99999999999	108120	3330	Kontingente und Höchstzahlen ab
108720	111600	2880	und will einen Inländervorrang mit Stellenmeldepflicht für Arbeitgeber.
112350	114680	2330	Darüber hinaus sollen Arbeitgeber verpflichtet werden,
115420	119120	3700	inländische Arbeitssuchende zu Bewerbungsgesprächen einzuladen.
119750	123640	3890	Bei einer Absage muss der Arbeitgeber dies begründen.
124310	126200	1890	Dieses Verfahren
126870	129280	2410	soll nur für Branchen mit hoher Arbeitslosigkeit gelten.
130080.00000000001	132200	2120	Dort, wo wir die höchste Arbeitslosenquote haben,
132920	134920	2000	haben wir parallel dazu die höchste Einwanderung.
135640	137400	1760	Genau da wollen wir den Hebel ansetzen.
138100	140680	2580	Erneut frustriert zeigt sich die SVP:
141390	145200	3810	Was uns hier vorgelegt wird, oder dem Volk vorgelegt werden sollte,
145930	151160	5230	hat mich wirklich zutiefst traurig gemacht.
154460	158320	3860	Eine starke Minderheit der Kommission, angeführt von der CVP,
159020	161440	2420	will dem Parlament die Kompetenz geben,
162110	165120	3010	notfalls zusätzliche Massnahmen gegen die Einwanderung zu beschliessen.
166750	168800	2050	Und dazu gibt es Fragen,
169520	171600	2080	die wir unseren beiden Korrespondenten stellen -
172400	174240	1840	in Brüssel und Bern, Sebastian Ramspeck und Christoph Nufer.
174910	176400	1490	Christoph, dieser Vorschlag der Ständeratskommission,
177079.99999999997	178200	1120	könnte der durchkommen
178940	180680	1740	oder ist da noch das grosse Hickhack zu erwarten?
181460	181720	260	Wir untertiteln live:
186640	191080	4440	ich gehe davon aus,
191790	193680	1890	dass die Mehrheit um Ständerat Müller durchkommt.
194380	197520	3140	Auch im Nationalrat dann.
198250	203640	5390	Obwohl das Resultat ziemlich knapp war.
205079.99999999997	210920.00000000003	5840	Eine Minderheit um CVP-Ständerat Bischof unterlag.
213350	219280	5930	Der Inländervorrang wurde nur ein wenig verschärft.
220300	223360	3060	Die Mehrheit von Müller geht aber an die Grenzen des Machbaren,
224079.99999999997	226320	2240	wird gesagt.
227050	231840	4790	Eine Minderheit Bischof würde weitergehen,
232540	236400	3860	das Parlament könnte im Extremfall Höchstzahlen beschliessen.
237140	239480	2340	Aber die Mehrheit will wohl die Bilateralen nicht gefährden.
240130	242320	2190	Mit der Mehrheit Müller
243020	245720	2700	wird die Masseneinwanderungs- Initiative
246410	249240	2830	nicht buchstabengetreu umgesetzt.
249970	251880	1910	Dieser ständerätliche Mehrheitsvorschlag ist ja eher
252580	255400	2820	brüsselkonform. Sebastian, ist man denn in Brüssel nun zufrieden, kann
256170.00000000003	259320	3150	man damit leben?
260000	262720	2720	Eine Reaktion gibt es noch nicht.
263440	267240	3800	Die EU wird sich sicher Zeit lassen.
267980	270960	2980	Alles, was mit der Personenfreizügigkeit zu tun hat,
