start	end	duration	text
3480	5750	2270	.
5900	9430	3530	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14900	19590	4690	Guten Abend - herzlich willkommen! Das sind unsere Themen heute:
21790	27070	5280	Die Spezialkamera entlarvt, wie gut man sich schützt.
27730	33830	6100	Ein Blick in die Schuhe beim Rigimarsch.
36140	40870	4730	Was die Gene über das Erkrankungsrisiko verraten.
43760	46950	3190	Vor zwei Jahren machte Angeline Jolie Schlagzeilen,
47110	50470	3360	weil sie vorsorglich ihre Brüste amputieren liess.
50630	53950	3320	D.h., man entfernte ihr das Brustdrüsengewebe
54060	56550	2490	und später auch noch die Eierstöcke.
56780	59310	2530	Und zwar deshalb, weil bei einem Gentest herauskam,
59500	63310	3810	dass sie ein hohes Risiko hat, dass sich dort Krebs entwickelt.
63530	66390	2860	Diese Meldung löste weltweit einen Boom aus.
66530	68670	2140	Auch in der Schweiz
68840	71990	3150	wollen sich seither immer mehr Frauen genetisch abklären lassen.
73620	76510	2890	Tierärztin Sandra Schallberger wollte unbedingt wissen,
76670	80750	4080	wie es um ihr Brustkrebsrisiko steht. Ihre Familie ist vorbelastet.
80900	84110	3210	Sie liess deshalb einen Gentest machen.
84720	87110	2390	Ich habe ganz viele Verwandte,
87180	91110	3930	die an Eierstock- oder Brustkrebs oder an beidem erkrankten.
91170	93830	2660	Die dann auch starben.
93920	97070	3150	Deshalb war es für mich naheliegend, mich untersuchen zu lassen.
97280	100830	3550	Der Stammbaum steht denn auch im Mittelpunkt bei der Gentest-Beratung.
100950	103390	2440	Mind. bis zu den Grosseltern
103620	108190	4570	werden Brust- und Eierstockkrebsfälle in der engeren Familie festgehalten.
108350	111229.99999999999	2880	V.a., wenn enge Verwandte jung erkranken,
111410	114750	3340	ist das ein wichtiges Kriterium für den Test.
114930	117390	2460	Ein wichtiges Kriterium ist sicher das Alter.
117530	121830	4300	D.h. unter 50 oder unter 40 oder sogar noch jünger.
122010	125070	3060	Dann auch, wie viele Frauen in der Familie befallen sind.
125250	128110.00000000001	2860	Frauen, die beide Brüste befallen haben.
128259.99999999999	131110	2850	Frauen, die Brust- und Eierstockkrebs haben.
131230	134230	3000	Auch, ob es Männer gibt in der Familie mit Brustkrebs.
134370	137270	2900	Das sind die wichtigsten Kriterien.
137320	139550	2230	Im Kantonsspital Aarau im Genlabor
139780	142829.99999999997	3050	werden immer mehr Gentests für Brustkrebs verlangt.
143060	147110	4050	Hier werden die meisten solcher Tests in der Deutschschweiz durchgeführt.
147390	152750	5360	Seit Angelina Jolie sind es rund 500 jährlich, doppelt so viel wie zuvor.
152860	155390	2530	Und darum gehts beim Test:
155530	160750	5220	Auf den Chromosom 13 und 17 liegen die Gene BRCA1 und BRCA2,
161020	165470	4450	die zwei bekanntesten Gene für Brustkrebs- und Eierstockkrebs.
165740	169910	4170	Diese Gene werden im Labor auf Defekte untersucht.
171160	174430	3270	Wenn ein Defekt in einem dieser zwei Gene vorliegt -
174590	178030	3440	also eine Genmutation - führt dies bei den Frauen
178170.00000000003	182230	4060	zu einem massiv erhöhten Brustkrebsrisiko von ungefähr 80 %.
182410	187910	5500	Und auch einem massiv erhöhten Eier- stockkrebsrisiko von bis zu 50 %.
188020	190910	2890	Die Laborarbeiten sind aufwändig.
191040	195870	4830	Bis zum Resultat dauert es zwei bis vier Wochen.
196050	200030	3980	Sie sehen einen Berg am anderen in verschiedenen Farben.
200210	203110	2900	Solange die schön aneinander sind, ist es gut.
203260	206310	3050	Sobald sich aber zwei ineinander verlagern wie hier,
206470	209670.00000000003	3200	heisst das, dass die Patientin hier eine Mutation hat,
209810	212310	2500	also eine Genveränderung.
212540	215030	2490	Genauso erging es Sandra Schallberger.
215210	218870	3660	Der Test zeigte defekte Gene, also ein grosses Krebsrisiko.
219020	221670.00000000003	2650	Anfang Jahr hat sich Sandra Schallberger
221780	224950	3170	beide Brüste und die Eierstöcke entfernen lassen.
225130	229590	4460	Für sie von vornherein ein klarer Entscheid.
230400	232829.99999999997	2430	Ich wusste einfach, dass ich es mache.
233020	236350	3330	Und ich wollte für mich entscheiden, wann ich es mache.
236460	238790	2330	Ich wusste, ich mache es dann,
238940	241790	2850	wenn die Familienplanung abgeschlossen ist, also nach 40.
242000	243990	1990	Eine grosse Motivation ist natürlich auch,
244140	246270	2130	dass man nachher nicht mehr daran denken muss.
246430	249430	3000	D.h., man kann sie entfernen und das Risiko sinkt derart,
249600	253830	4230	dass man auf demselben Niveau ist wie alle anderen Leute auch.
254010	257750	3740	Nicht jede Frau entscheidet sich für eine solch radikale Lösung.
257899.99999999997	262670	4770	Diese Patientin, die anonym bleiben will, hat ebenfalls defekte Gene.
262770	265030	2260	Trotzdem hat sie sich
265180	267870	2690	für die Alternative zur Operation entschieden.
267980	269870	1890	Wir sehen von den Bildern her -
269970	273030	3060	sowohl im MRI als auch in der Mammografie -
273200	275710	2510	dass wir keinen verdächtigen Befund haben.
275850	277990	2140	Es ist alles in Ordnung, es sieht soweit gut aus.
278130	280350	2220	Regelmässige Überwachung heisst die Alternative:
280500	283750	3250	Ultraschall, Mammografie, einmal pro Jahr ein MRI.
283850	286110	2260	Immer in dem Bewusstsein,
286300	290590.00000000006	4290	dass mit hoher Wahrscheinlichkeit irgendwann ein Krebs gefunden wird.
290760	294310	3550	Am Anfang hatte ich schon ein Problem damit und auch Angst.
294480	297390	2910	Aber mittlerweile komme ich jedes halbe Jahr hierher.
297520	300430	2910	Wenn man etwas sehen würde, würde es eine Biopsie geben
300600	303110	2510	und weitere Untersuchungen würden gemacht werden.
303240	307830	4590	Das beruhigt mich extrem. Und macht mir auch keine Angst.
307950	311110	3160	Abwarten oder vorbeugend operieren.
311270	313870	2600	Aus medizinischer Sicht ist beides möglich.
314000	316230	2230	Die Tendenz in der Schweiz:
316400	321030	4630	Je jünger die Patientinnen, desto eher entscheiden sie sich zuzuwarten.
325130	327630	2500	Das klingt für mich noch vernünftig, Thomas Kissling.
327730	330110	2380	Wir untertiteln live:
334950	337590.00000000006	2640	Man muss aber sagen, dass der Schlusssatz, dass es beide
337720	338430	710	Varianten gibt,
338540	344510	5970	insbesondere für Brustkrebs stimmt.
344890	348070	3180	Bei den Eierstöcken tendiert man eher zu einer Operation bei einer
348130	350150	2020	solchen Mutation.
350130	352710	2580	Bemerken Sie den Angelina-Jolie- Effekt auch in der Praxis?
355260	358310	3050	Am Anfang, als dass durch die Presse ging, beantwortete man mehr
358530	359110	580	solche Fragen.
359250	365270	6020	Jetzt hatte sich etwas zurück entwickelt.
365340	368470	3130	Aber die Menschen interessieren sich dafür, was ich in der Zukunft
368590	369910	1320	entwickelt.
369900	372110	2210	Man hat vielleicht das Gefühl, man gehe auf Nummer sicher,
372350	374830	2480	wenn man ein solches Risiko abklären lässt?
377920	381230	3310	Es gibt aber keine Sicherheit, dass man an Krebs erkrankt oder nicht.
381300	387350	6050	Es gibt nur ein Risiko.
389080	392430	3350	Deshalb muss man sich bereits vor dem Test überlegen, dass man macht,
392570	393630	1060	bei welchem Ergebnis.
393730	396310	2580	Bei solchen Tests mit Risikoanalysen sind im Vorhinein
396470	399070	2600	eine gute Beratung und eine gute Analyse wichtig.
399050	401510	2460	Wir sind letzte Woche ja fast verzweifelt, aber nun sieht es aus,
401620	403790	2170	als käme sie tatsächlich zurück: die Sonne.
403960	405950	1990	Spätestens Mitte Woche wird es wieder richtig schön,
406100	408590.00000000006	2490	das Thermometer steigt und unsere Stimmung gerade hinterher.
408710	410390	1680	Es geht uns einfach besser, wenn die Sonne scheint.
410560	412510	1950	Und damit dies auch so positiv bleibt,
412700	415030	2330	sollten wir uns vor den Strahlen schützen.
415130	416950	1820	Sonnenschutz - unser nächstes Thema.
418159.99999999994	420470	2310	Wir haben heute Abend Hautärzte bei uns,
420660	423030	2370	die bis 23 Uhr Ihre Fragen zum Thema Sonnenschutz beantworten.
423220	425750	2530	Am Beratungstelefon unter der Nummer 0848 00 23 23
425960	429430	3470	und im Expertenchat: srf.ch/puls.
430790	434190	3400	Im Prinzip wissen wir doch alle: Zu viel Sonne schadet der Haut.
434360	438710	4350	Aber schützen wir uns deshalb vor jedem UV-Strahl? Kaum.
438840	442590	3750	Im Gegenteil, gerade jetzt ist der Sonnenhunger besonders gross.
443560	446870	3310	Am See war das Rendezvous mit der Sonne geplant.
447000	449390	2390	Der Himmel zwar bewölkt, aber dennoch:
449510	452110	2600	Den Städter zieht es nach draussen.
452310	455110	2800	Ab und zu liess sich die Sonne doch noch blicken.
455320	460030	4710	Elektroingenieur Samuel Welten hat einen UV-Strahlensensor entwickelt.
460180	463630	3450	Damit lässt sich die Intensität der UV-Strahlung im Sonnenlicht
463730	466190	2460	in Zahlen darstellen.
466340.00000000006	471030	4690	Solche Werte werden auch in Wetterprognosen veröffentlicht.
471150	475110	3960	Die Strahlung der Sonne wird als Index von null bis elf angegeben.
475300	480390	5090	Je höher der UV-Index, desto schneller droht ein Sonnenbrand.
481850	485070	3220	Am Vormittag steigt die Anzeige nicht über 4 -
485130	488150	3020	ein Sonnenbrand ist unwahrscheinlich.
488340	492590	4250	Zur Mittagszeit ein Wolkenloch. Direkt in der Sonne.
492690	495830	3140	Der Sensor misst jetzt bereits einen Wert über 6.
496090	498750	2660	Das hat auch die UV-Prognose für Zürich vorhergesagt -
498930	500790	1860	nur kennt die niemand.
500970	503750	2780	Haben Sie eine Ahnung, was das überhaupt bedeutet?
503850	506390	2540	Nein, das habe ich wirklich nicht.
506530	507710	1180	Keine Ahnung.
507930	509230	1300	Nein.
509450	512549.99999999994	3100	Nein, wir auch nicht. Nicht ansatzweise.
