start	end	duration	text
2590	2690	100	.
11820	13850	2030	MIT TELETEXT-UNTERTITELUNG
15990	20130	4140	Liebe Zuschauerinnen und Zuschauer: Irgendetwas fehlt doch immer.
20570	22530	1960	Geld oder Zeit oder Vertrauen.
22720	26490	3770	Mancherorts hapert es an Manieren oder Zivilcourage, oder an Bildung.
29020	33210	4190	Den Religionen fehlt es an Humor, und mir fehlt meist die Geduld.
33390	35770	2380	Aber was man hat oder was einem fehlt,
35900	38250	2350	kann man sich nicht immer aussuchen.
38480	41410	2930	Seit Kurzem begleitet mich die Geschichte einer Grossfamilie.
42490	45330	2840	Nach jahrelangem Leben unter einer Diktatur
45410	49770	4360	waren sie zuerst auf der Flucht, gelangten übers Meer zwar an Land,
49890	52810	2920	aber angekommen sind sie bis heute noch nicht.
53010	56490	3480	Das erhoffte Gelobte Land ist doch noch ganz schön weit weg für sie.
56930	59890	2960	Sie sind hungrig, es gibt immer wieder Streit,
59970	62010	2040	und es fehlt einfach an allem.
62090	64050	1960	Aber dann passierte etwas.
64250	68370	4120	So, als ob sich der Himmel öffnete und ihnen das geschenkt würde,
68560	70530	1970	was es gerade braucht.
70620	71450	830	Direkt vor ihnen in der Verwüstung liegt das Manna.
76970	79650	2680	Die Geschichte steht im 2. Buch der Bibel
79770	82850	3080	und schildert die Flucht nicht nur einer Familie,
82970	85010	2040	sondern eines ganzen Volks.
85120	86490	1370	Die berühmten Geschichten um Mose, Mirjam und Aaron.
87970	90289.99999999999	2320	Sie suchen den Weg ins Gelobte Land.
90490	94970	4480	Es sind Geschichten, in denen die Not der Menschen zum Himmel schreit.
95130	98530	3400	Manche verlieren das Vertrauen in Gott und die Welt.
98600	100570	1970	Sie haben Hunger.
100690	101410	720	Nach Lebensmitteln, aber auch nach einem Zuhause, einer Gesellschaft,
105330	108890	3560	deren Werte auch wie Nahrung für eine Gemeinschaft sind.
109090	113050	3960	Es ist eine uralte Geschichte, aber ich höre sie in Varianten
113130	115530	2400	"in fast jeder ""Tagesschau"" bis heute."
115700	116490.00000000001	790	In der biblischen Geschichte sorgt Gott selbst dafür,
119250	122770	3520	dass täglich wieder das zu finden ist, was es braucht.
122880	125610	2730	Himmelsbrot, das Manna.
126990	131050.00000000001	4060	So schlimm die Zeit auch sein mag: Das Manna erinnert ans Ziel,
131250	131530	280	ans Gelobte Land, in dem ein glückliches Leben möglich wäre.
136690	140329.99999999997	3640	Aber was ist das für ein Manna, das ihnen da gegeben wird?
140450	142410	1960	Ich kann es Ihnen nicht sagen,
142650	146170.00000000003	3520	denn das Wort Manna bedeutet im Hebräischen so viel wie:
147140	150930	3790	"""Was ist das?"" Das Brot des Himmels ist in sich ein Rätsel."
151130	155410	4280	"Das Manna, das ""Was ist das?"", muss jeder und jede selbst finden."
155490	159290	3800	In der biblischen Geschichte gibt es aber einige Hinweise.
159370	161490	2120	Heute so ein Manna zu haben, das wäre doch was!
163750	165650	1900	Das Brot des Himmels ist das,
168040	171610	3570	was uns glücklich, zuversichtlich, mutig und froh macht.
171770	175210	3440	Das Manna lässt sich aber nicht horten oder sammeln:
175290	176450	1160	Es ist nur für einen Tag zu haben.
177660	180460	2800	Manchmal für zwei, aber sicher nicht länger.
180680	184820	4140	Diese göttliche Gabe muss jeden Tag entdeckt und gesammelt werden.
186040	189980	3940	In der Geschichte finde ich da ein Vertrauen in die Zuwendung Gottes,
190090	191460	1370	die eigentlich unglaublich ist.
192240	194180	1940	Es gelingt doch nicht immer,
194330	197380	3050	dass man das Glück einfach in Gottes Hände legen
197490	199750	2260	oder auch von dort empfangen kann.
199890	203270	3380	Aber Tag für Tag schauen, was mir fehlt oder anderen,
203450	206470	3020	"und zu fragen: ""Was fehlt dir eigentlich?"", ist menschenmöglich."
209530	213870	4340	Es geht nicht um das grosse Glück, sondern um viele kleine Schritte.
214050	216270	2220	Kleine Schritte dem Gelobten Land entgegen.
216410	218870	2460	Ich wünsche Ihnen einen schönen Abend
219090	221470	2380	und ein paar Körnchen Glück jeden Tag.
223310	226670.00000000003	3360	SWISS TXT / UT-Redaktion Zürich Lilian Zbinden - 2016
