start	end	duration	text
3510	5440	1930	.
9380	11520	2140	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14160	16160	2000	Buna sera.
17640	19480	1840	"Schön, sind Sie bei ""Schweiz aktuell"" dabei."
20590	22280	1690	Heute mit den folgenden Themen.
23310	23560	250	Die umstrittene An'Nur-Moschee in Winterthur
23670	26040	2370	ist ab heute für Schüler Tabu.
26120	29160	3040	Weil diese Moschee Jugendliche radikalisiert haben soll,
29310	31320	2010	strichen die Schulbehörden Besuche im Rahmen des Religionsunterrichts.
36120	40600	4480	Vor der Abstimmung über die zweite Gotthardröhre
40760	43600	2840	ist das Tessin sich überhaupt nicht einig,
43750	46000	2250	ob es ein Ja oder ein Nein geben soll.
47710	52290	4580	Jedes Haus, jeder Baum und jeder Platz der Westschweizer Metropole
52370	54410	2040	gibt es auch als Modell.
54590	56930	2340	Ein gigantisches Projekt, das vor 30 Jahren begann.
61200	63890	2690	Die Winterthurer Moschee An'Nur sorgte immer wieder für Schlagzeilen.
64230.00000000001	66130	1900	Jugendliche sollen sich dort radikalisiert haben.
66780	69250	2470	Trotzdem besuchten Winterthurer Schüler die umstrittene Moschee
70870	74180	3310	im Rahmen des Religionsunterrichts in der Vergangenheit.
74250	76420	2170	Damit ist jetzt aber Schluss.
76650	79940	3290	Die Schulbehörden teilten heute mit, dass die Besuche gestrichen werden.
81690	84500	2810	Sie sollen sich in Syrien dem IS angeschlossen haben,
84670	87300	2630	diese zwei Geschwister aus Winterthur.
87440	89820	2380	Mittlerweile sind sie wieder zurück in der Schweiz.
90020	92500	2480	Sie sollen sich u.a. hier in der An'Nur-Moschee in Winterthur
92630	95220	2590	radikalisiert haben.
95390	98300	2910	Die Moschee habe angeblich Kontakte ins Dschihadisten-Milieu.
98400	102820	4420	Und doch besuchten sie bis heute immer wieder Schulklassen.
102970	106140	3170	Der zuständige Stadtrat sagt, dass damit nun Schluss sei.
106270.00000000001	108780	2510	Wieso haben Sie mit Jugendlichen noch so lange Schulbesuche
108890	112940	4050	in dieser Moschee durchgeführt?
113210.00000000001	115820	2610	Es gilt immer noch die Unschuldsvermutung.
116039.99999999999	118860	2820	Wir wollen die An'Nur-Moschee nicht vorverurteilen.
119080	122580	3500	Es besteht kein Straftatbestand.
122810	125980	3170	Aber aufgrund der vielen Informationen, die wir bekamen,
126080	129620	3540	mussten wir feststellen, dass oft der Verdacht bestand,
129850	133900	4050	dass im Umfeld der An'Nur-Moschee radikale Tendenzen existieren.
134130	138140	4010	Darum haben wir uns zum Verbot durchgerungen.
138290	141300	3010	Für die Föderation der Islamischen Dachorganisationen
141530	144260	2730	kann man das Verbot von Schulklassenbesuchen
144280	147579.99999999997	3300	in der An'Nur-Moschee nachvollziehen.
147720	150540	2820	Trotzdem finde ich, dass man den Dialog mit Moscheen
150680	153780	3100	und muslimischen Vereinen nicht abbrechen darf.
153920.00000000003	156700	2780	Man soll weiterhin aufeinander zugehen und miteinander sprechen.
156790	159220	2430	Es gibt Dutzende andere Moscheen,
159400	163550	4150	die weiterhin gerne ihre Türen für Schulbesuche öffnen.
163720	166590	2870	Auch Blerim Bunjaku möchte das Verständnis
166730	168990	2260	zwischen den Kulturen fördern.
169190	172790	3600	Der Moslem ist Schulpfleger und SP-Politiker in Winterthur.
172920.00000000003	177030	4110	Aber bei der An'Nur-Moschee dürfe es keine Kompromisse mehr geben.
177280	180430	3150	Es werden Leute in der An'Nur-Moschee
180560	184670	4110	durch andere rekrutiert.
184770	188270	3500	Diese versuchen, Jugendliche zu manipulieren.
