start	end	duration	text
15640	18010	2370	MIT TELETEXT-UNTERTITELUNG
20420	22410	1990	Düstere Klavierklänge
48270	51410	3140	Jeden Tag versuchen in der Schweiz rund 50 Menschen
51570	54610	3040	ihr Leben selbst zu beenden - und überleben es.
55530	57690	2160	Im Jahr sind das etwa 20'000.
58900	60810	1910	Warum, fragt man sich?
61250	63690	2440	3 von ihnen erzählen ihre Geschichte.
64500	68570	4070	Du sagtest, du hättest schon mehrere Versuche hinter dir.
68650	69890	1240	Ja.
69980	72700	2720	Was war der Anlass dafür, dass du es getan hast?
73250	75090	1840	Der Selbstmord? Ja.
75960.00000000001	77770	1810	Beim ersten Mal war es,
77950	82289.99999999999	4340	dass ich grosse Probleme mit meiner Homosexualität
82460.00000000001	84250	1790	und der Adoption hatte.
84370	86370	2000	Damit kam ich nicht zurecht.
86600	87770	1170	Ich konnte nicht akzeptieren, dass ich adoptiert bin.
91020	93490.00000000001	2470	Ich wurde wie ein Ausländer behandelt,
93700	97650	3950	wurde nicht als Schweizer akzeptiert.
97740.00000000001	101810	4070	Obwohl du perfekt Mundart sprichst und hier aufgewachsen bist.
101900	102700	800	Ja, ja.
103979.99999999999	107700	3720	Ich fühlte mich nicht akzeptiert von diesen Leuten.
107820	109640	1820	Und nicht verstanden.
114500	117800	3300	Noel ist gerade 31 geworden. Das überrascht ihn selbst.
119020.00000000001	122920	3900	Hat das Leben ihn doch schon in jungen Jahren oft überfordert.
123070	125960	2890	Beim ersten Suizidversuch war er 16 Jahre alt.
126950	131440	4490	Schon als kleiner Junge habe er sich zerrissen gefühlt und fremd,
131570	132720	1150	und viele Ängste hätten ihn geplagt.
137690	142120	4430	Irgendwann, als er längst erwachsen und in vielen Therapien war,
142390	146400	4010	bekam sein Leiden einen Namen: das Borderline-Syndrom.
147980	150880	2900	Seit er denken kann, waren da die immer gleichen,
150980	155480	4500	drängenden Fragen ohne Antworten. Er ist darüber fast verzweifelt:
158220	161200	2980	Wieso bin ich schwul? Wieso gerade ich?
163800	165720	1920	Wieso ...
166750	170960	4210	... hat es ausgerechnet mir passieren müssen,
171190	175840	4650	dass ich solche Schwierigkeiten im Leben habe?
176100	177800	1700	Das hatte auch mit meiner Adoption zu tun.
178770	181160	2390	In der Kindheit hatte ich Probleme.
181230	183600	2370	Ich wollte meine Wurzeln kennenlernen.
184370	187920	3550	Damit hatte ich sehr grosse Probleme.
188130	191120	2990	Ich wusste nicht genau, wer ich bin,
191270	192840	1570	wer meine Mutter, wer mein Vater ist.
194790	196720	1930	Düsterer, monotoner Klang
201230	205840	4610	Wenn ich morgens aufgestanden bin, dachte ich als Erstes an Selbstmord.
206060	207760	1700	Dieser Gedanke begleitete mich den ganzen Tag.
209380	211800	2420	Wenn ich unterwegs war, schaute ich,
211890	214400	2510	wo ich mich am besten umbringen könnte.
214490	219560	5070	Aber ja ... Das waren Hilfeschreie, die ich von mir gegeben habe.
220570	222760	2190	Zu seinem Krankheitsbild gehört auch,
223240	225920.00000000003	2680	dass er sich immer wieder selbst verletzte.
226060	229040	2980	Es gab eine Zeit, in der ich es versteckt habe.
229230	233000	3770	Im Sommer lief ich noch bei 30 °C mit einem Pullover herum.
233160	235160	2000	Ich habe mich geschämt.
235270	237760	2490	Seit 8 Jahren schneide ich mich nicht mehr.
238240	241970	3730	Es brauchte lange, bis ich den Mut hatte, mich so zu zeigen.
242220	246930	4710	Den innerlichen Druck, den ich hatte, mich zu schneiden,
247060	249610	2550	musste ich loswerden.
249780	251690	1910	Ich habe Angst vor dem Tod.
251850	252800	950	Auch als ich mich geschnitten habe, sehr tief geschnitten habe,
