start	end	duration	text
2590	3660	1070	.
4470	10420	5950	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15800	18420	2620	"Guten Abend und herzlich willkommen zu ""Puls""."
19200	21260	2060	Heute werfen wir ein Auge auf die Schönheit.
23000	26780	3780	Eine beliebte Schönheitsoperation auch beim Mann.
27520	29300	1780	Lohnt sich der Aufwand?
30000	34540	4540	Mit Beeren gegen Blasenentzündung. Mehr Mythos als Wirkung?
36770	41940	5170	Jacqueline Schneider nach dem Eingriff. Der heikle Weg zurück.
44420	47900	3480	Sie sind klein, rot und sauer -
48680	52260	3580	und sehr beliebt, wenn es darum geht, Blasenentzündungen vorzubeugen.
53470	57140	3670	Ich würde sagen: Cranberry. Ich habe schon gehört, dass man das nimmt.
57730	59140	1410	Ich weiss von vielen Kolleginnen,
59840	61620	1780	die gerade anfangs Winter diese Probleme haben,
62320	65940	3620	dass sie dann alle Cranberrysaft trinken.
66600	69140	2540	Cranberrysaft. 2 l pro Tag.
70320	73660	3340	Ja, diese Beeren gelten nach wie vor als Heilmittel.
74430	79060	4630	Und das, obwohl wissenschaftliche Studien ihren Nutzen hinterfragen.
80940	84940	4000	Leuchtend Rot wächst die Cranberry - oder auf Deutsch Moosbeere -
85670	87940	2270	am Strauch. Meist kommt sie aus den USA.
88630	90300	1670	Dort wird sie in Mengen angebaut
91010	94180	3170	und meist zu Saft, Konzentrat oder Tabletten verarbeitet.
94900	98700	3800	Und so steht die Wunderbeere auch bei uns längst im Regal.
99370	101300	1930	Es kommen häufig Kundinnen zu uns,
101970	105060	3090	die gezielt Produkte mit Cranberry-Extrakt wünschen.
105860	108100	2240	V.a. zur Vorbeugung bei Blasenbeschwerden
108780	110660	1880	haben Cranberry-Produkte Tradition.
111479.99999999999	115120	3640	Schon 1932 konnte eine erste Studie nachweisen,
115810	119720	3910	dass die Beere den PH-Wert des Urins senkt.
120330	122600	2270	Laboruntersuchungen kamen zum Schluss,
123280	125120	1840	dass zumindest im Reagenzglas
125880	127520	1640	entzündungshemmende Eigenschaften bestehen.
128150	129720	1570	Die Schlussfolgerung: Cranberry hilft.
130449.99999999999	133640	3190	"Und das berichtete auch ""Puls"" noch 2002 voller Überzeugung."
134320	136840	2520	(Originalton) Wer regelmässig Cranberrysaft trinkt,
137510	139079.99999999997	1570	beugt Harnwegsinfektionen vor.
139790	142840	3050	Laut einer neuen Studie halbiert der Saft der amerikanischen Beere
143530	147280	3750	das Risiko einer bakteriellen Infektion um die Hälfte.
147900	149440	1540	Eine mutige Behauptung.
150160	151680	1520	Grosse Übersichtsarbeiten
152430	155170.00000000003	2740	haben seither die alten Studien genauer unter die Lupe genommen
155900	157530	1630	"und kommen zum Schluss: ""keine Evidenz"","
158240	161130	2890	"""fehlende Wirksamkeit des 'Wirkstoffs'""."
161800	163810	2010	Die Cranberry-freundlichen Studien
164540	166730	2190	erfüllten wissenschaftliche Kriterien nicht:
167440	171890	4450	keine Kontrollgruppen, inkomplette Daten oder unklare Wirkstoffmengen.
172640	176090	3450	Oft erwies sich Cranberry als nicht oder nur wenig besser
176760	179010	2250	als ein Placebo, ohne jede Spur der Wunderbeere.
179670.00000000003	181730	2060	Nun räumte eine weitere Untersuchung
182480	186690	4210	mit dem Wunschdenken rund um den vermeintlichen Blasenschutz auf.
187510	190930	3420	"Ergebnis der medizinischen Fachzeitschrift ""JAMA"":"
191640	195490	3850	"""Time to move on"" - Zeit, veraltete Vorstellungen über Bord zu werfen."
196170.00000000003	198690	2520	Alles herausgeschmissenes Geld.
199340	201410	2070	Aber selbst Fachärzte halten in der Praxis
202200	206890	4690	noch an den überholten Cranberry- Empfehlungen fest - aus Gewohnheit.
208340	212570	4230	Ich glaube, Cranberry ist sehr stark vermarktet worden,
213170.00000000003	214810	1640	es ist sehr publik.
215530	217450	1920	Gerade auch den Patienten ist es immer gleich ein Begriff,
218140	219650	1510	wenn man das erwähnt.
220290	222610	2320	Vielleicht ist irgendwann die Zeit reif für ein Umdenken,
223310	226570	3260	für ein totales Verschwinden in der Empfehlung
227320	229730	2410	im Zusammenhang mit Harnwegsinfektionen.
230460	234220	3760	Kleiner Trost: Schaden richten die Produkte keinen an.
234970	238260	3290	Andernorts findet sich zwar Cranberry noch, aber immerhin:
238960	242540	3580	Falls es einen Nutzen habe, dann sei der sehr gering.
243210	246340	3130	Meist haben Leute, die zu uns kommen,
247050	250940	3890	Preiselbeersaft oder Cranberryprodukte ausprobiert,
251570	253260	1690	und sagen, es habe nicht genützt.
253960	256220.00000000003	2260	Und es gibt Leute, die es immer weiter nehmen.
256839.99999999997	258459.99999999997	1620	Diese fordern wir aktiv auf, mal damit aufzuhören.
259220.00000000003	260660.00000000003	1440	Es muss also gar nicht Cranberry sein.
261440	263470	2030	Längst haben sich andere naturnahe Wunderstoffe gemausert.
264120	265590	1470	Die D-Mannose etwa,
266390	268560	2170	ein simpler Zucker, der im Körper kaum verstoffwechselt
269300	270840	1540	und mit dem Urin wieder ausgeschieden wird.
271460	274240	2780	Die D-Mannose soll in der Blase Bakterien daran hindern,
274870	276620	1750	sich an der Wand anzuheften.
277310	279220	1910	Dass der neue Zucker D-Mannose
280040	282820	2780	sich aber trotz vielversprechender Studienergebnisse durchsetzen kann,
283550	286020	2470	ist unter Fachleuten noch nicht entschieden.
286800	289260	2460	Trotz alldem möchte ich mich nicht zu sehr aus dem Fenster lehnen,
289920	292260	2340	"dass wir sagen: ""Das ist jetzt das neue Wundermittel."""
292970	294980	2010	Das muss auf jeden Fall noch untersucht werden.
295750	298940	3190	Und das werden wir im nächsten Jahr auch selber noch machen.
299690	302060	2370	Im Moment scheint die D-Mannose zur Vorbeugung von Blasenentzündungen
302710	304020	1310	die bessere Wahl.
304700	306860	2160	Cranberrysaft weitertrinken sollten nur diejenigen,
307520	309020	1500	die den Geschmack schätzen.
311310	314660	3350	Was Sie sonst noch tun können, um eine Blasenentzündung vorzubeugen,
315440	319900	4460	können Sie im Internet auf srf.ch/puls nachlesen.
320670	322540	1870	Jetzt geht es um Augen:
323270	326020	2750	In jungen Jahren ist die Haut bekanntlich straff und glatt -
326760	328140	1380	auch ums Auge.
328780	330220	1440	Aber mit den Jahren kommen auch die Falten:
330880	332380	1500	Sie legen sich von oben über das Auge
333110	334500	1390	und es entstehen die sog. Schlupflider.
335159.99999999994	336740	1580	Die meisten Menschen finden sich damit ab -
337409.99999999994	338940	1530	aber längst nicht alle.
339630	342300	2670	Eine operative Schlupfliderstraffung ist bei Männern heute
343050	344780	1730	einer der häufigsten Schönheitseingriffe.
346200	349180	2980	Peter Büchler und Peter Messerli.
349940	352220	2280	Das sind zwei Männer, zwei Augenpartien,
352960	356740	3780	und zwei Beweggründe, die Oberlider zu straffen.
357900	361820	3920	Im Wartezimmer der Zürcher Pyramide-Klinik sitzt Peter Messerli.
362410	364260	1850	Der 76-Jährige ist nicht bereit,
364910	367420	2510	seinen natürlichen Alterungsprozess kampflos hinzunehmen.
368230	372180	3950	Heute nun lässt er sich die Oberlider beider Augen operieren.
376840	379780	2940	Der Grund dafür ist: Ich habe ein aktives Leben
380520	383660	3140	und schlussendlich möchte man gut aussehen.
384380	388060	3680	Ich habe eine jüngere Frau zu Hause und da muss man sich immer anpassen.
388780	393990	5210	Man wird ja nicht jünger, und das hat zur Folge,
394800	404270	9470	dass gewisse Dinge auftreten und die muss man dann korrigieren.
404980	409390	4410	Peter Messerli zählt dabei auf die Kunst seines plastischen Chirurgen.
410120	413870	3750	Cedric George geht den Eingriff noch einmal durch.
414540	419350	4810	Was wir wegnehmen, ist all das hier.
421000	423200	2200	An beiden Oberlidern
423910	426000	2090	soll ein Streifen erschlaffter Haut entfernt werden.
426760	429120	2360	Der Chirurg hat regelmässig männliche Kundschaft
429800	431240	1440	für solche Lid-Korrekturen.
431900	435280	3380	Das sind Männer, die vielleicht mehr auf ihr Aussehen achten.
435920	437440	1520	Jeder Mensch ist ja etwas anders,
438090	442130	4040	ich sehe aber querbeet Menschen aus allen Schichten.
442850	446450	3600	Natürlich behandeln wir auch Manager, aber nicht nur.
447270	449930	2660	Vom Ästheten Peter Messerli zu Peter Büchler.
450650	453650	3000	Den 65-Jährigen führten immer grössere Probleme,
454310	457290	2980	verursacht durch ausgeprägte Schlupflider,
457990	460290	2300	in die Pallas Klinik Olten.
460960	465170	4210	Ich habe es hauptsächlich beim Autofahren bemerkt,
465880	468930	3050	dass mein Blickwinkel immer ein bisschen eingeschränkt ist.
469659.99999999994	472820	3160	Ich musste mich immer mehr nach links und rechts drehen.
473510	475180	1670	Was auch massiv zunahm:
475909.99999999994	479540	3630	Tränen liefen mir durch den Druck herunter
480260	483300	3040	und ich musste immer wieder mit einem Taschentuch putzen.
483900	485620	1720	Das hat mich ein bisschen gestört.
486330	488420	2090	Wie sehr die Oberlider sein Sehfeld einschränken,
489070	490820	1750	zeigt das Resultat einer Gesichtsfeldmessung.
491510	494500	2990	Chirurg Arif Altinay erklärt:
495220	497780	2560	Hier sehen Sie das Ergebnis des linken Auges:
498500	500820	2320	In dem Bereich haben Sie guten Visus,
501510	504460	2950	aber hier aussen wird das Gesichtsfeld bedeckt
505130	507860	2730	und Sie sehen somit weniger.
508590	512020	3430	Die schwarzen Punkte sehe ich also nicht?
512679.99999999994	514179.99999999994	1500	Genau, so ist es.
514890	518460.00000000006	3570	Sie haben dadurch 43 % Sichteinschränkung.
519169.99999999994	523500	4330	Hier am Modell wäre das etwa ein Drittel der Pupille,
524200.00000000006	525580	1380	die verdeckt wird.
526300	528140	1840	Auch Peter Büchler lässt sich nun operieren.
528830	530420	1590	Den Eingriff bezahlt die Krankenkasse,
531150	533940	2790	da in seinem Fall medizinische Probleme vorliegen.
534620	536380	1760	Ihm geht es also um Beschwerdefreiheit,
537180	541060	3880	nicht um Äusserlichkeiten, wie dem 11 Jahre älteren Peter Messerli.
541790	546580	4790	Der 76-Jährige liegt inzwischen in Zürich auf dem Operationstisch.
