start	end	duration	text
4720	6620	1900	MIT TELETEXT-UNTERTITELUNG
16180	19460	3280	Der Wallach Lucky ist Patient im Tierspital Zürich.
20330	22980	2650	Sein Besitzer hatte in den letzten Wochen
23190	25940	2750	beim Reiten ein eigenartiges Röcheln bemerkt.
28280	29780	1500	Wenn er sich anstrengt, fängt er richtig an zu keuchen.
33160	35060	1900	Und es fing immer schneller an.
35250	38180	2930	Sogar geradeaus bekam er fast keine Luft mehr.
39860	41780	1920	Beruhigend: Ja.
45390	47340	1950	Das macht nichts, komm.
48370	51620	3250	Das Tierspital Zürich feiert seinen 50. Geburtstag.
52270	55180	2910	900 Angestellte und jährlich 20'000 Patienten,
55330	57900	2570	die nicht sagen können, was ihnen fehlt.
58290	59700	1410	Stimmt es, dass man den Zustand einer Gesellschaft
61750	64019.99999999999	2270	an ihrem Umgang mit Tieren erkennt?
70330	72420	2090	Liebliches klassisches Violine-Stück:
72580	74700	2120	"Peter-Thema aus ""Peter und der Wolf"" von Sergei Prokofjew"
75840	78580	2740	Sind Millionenausgaben für die Gesundheit der Tiere
78720	80700	1980	ein Ausdruck von Dekadenz?
80860	84660	3800	Wird hier die Vermenschlichung von Tieren auf die Spitze getrieben?
85130	89060	3930	Oder zeigen wir gerade im Umgang mit wehrlosen Mitgeschöpfen,
89160	89780	620	ob uns Werte wie Empathie und Nächstenliebe wirklich wichtig sind?
95050	97060	2010	Konsultation in einer Welt,
97170	100900	3730	die weit mehr mit uns Menschen zu tun hat, als wir denken.
103900	104740.00000000001	840	"Peter-Thema aus ""Peter und der Wolf"" von Sergei Prokofjew"
116220	118580	2360	Gut, dann kannst du mal angaloppieren!
119680	119940	260	Das gut hörbare Röcheln von Lucky taucht erst auf,
122990	124940	1950	wenn er sich anstrengt.
125880	127820	1940	Röchelndes Keuchen
132040	134380	2340	Und? Hören Sie etwas?
138450	141940	3490	Für uns ist nun wichtig, dass wir hören,
142160	145780	3620	ob es beim Einatmen oder beim Ausatmen ist.
145960	149540	3580	Die Ursachen für das Geräusch sind dann unterschiedlich.
150890	154060	3170	Bei ihm ist es eindeutig beim Einatmen.
154200	157100	2900	Wir sehen das, weil der Ton immer dann kommt,
157200	160940	3740	wenn er mit dem inneren Fuss nach vorn kommt.
162230	164420.00000000003	2190	Ja. Wenn Sie darauf achten.
165800	168460	2660	Das ist das, was nicht normal ist.
175730	179060	3330	Vor einigen Tagen brach Leo, der spanische Windhund,
179210	179780	570	plötzlich zusammen. Sein Herz streikte.
191350	194780	3430	Kardiologen untersuchen Leos Herz mit einem speziellen Ultraschallgerät.
198370	201220	2850	Er hat eine sehr, sehr langsame Herzfrequenz.
201400	207020	5620	Er hat wie einen Block im Herz, das macht es so langsam.
213320	216820	3500	Leo riecht seltsame Gerüche, hört eigenartige Geräusche
216920.00000000003	221060	4140	und sieht unbekannte Menschen, die irgendetwas mit ihm vorhaben.
227350	230500	3150	Leo ist trotz den Beruhigungsmitteln verängstigt.
230630	233620	2990	Heute bekommt der Rüde einen Herzschrittmacher.
239110	239780	670	Tony Glaus ist Abteilungsleiter der Kardiologie.
