start	end	duration	text
6010	11720	5710	.
11810	18560	6750	1:1-Untertitelung
18640	20960	2320	Guten Abend, herzlichen Dank.
21070	24280	3210	Guten Abend, liebes Publikum, guten Abend, sehr verehrte Gäste.
24470	28680	4210	"Herzlich willkommen Ihnen, liebe Zuschauer, in der ""Arena""."
28850	32520.000000000004	3670	Wann haben Sie zum letzten Mal Französisch geredet?
32680	35080	2400	Keine Ahnung, vielleicht mit welschen Verwandten
35140	37320	2180	oder in den Skiferien im Wallis.
37510	41240	3730	Im Militär, oder vielleicht letztmals so richtig in der Schule.
41340	43840	2500	Wir diskutieren heute,
43930	46160	2230	wann Kinder zum ersten Mal Französisch reden sollen.
46280	49080	2800	Im Moment ist das in der Primarschule,
49160	51280	2120	aber verschiedene Politiker wollen das ändern.
51530	53480	1950	Andere wollen es unbedingt weiter so halten.
53770	55840	2070	Frühfranzösisch - was bringt das für das Land und für die Kinder?
56010	57960	1950	Und wieso regt man sich so wahnsinnig auf
58150	60280	2130	wegen dieser vermeintlich kleinen Frage?
60360	62560	2200	Diese Fragen diskutieren wir heute mit folgenden Gästen.
62720	65160	2440	Verena Herzog ist SVP-Nationalrätin aus dem Kanton Thurgau.
65340	68200	2860	Sie sagt, man solle Französisch erst ab der Oberstufe lernen.
68370	71120	2750	"""Nein, auf keinen Fall! Jamais!"" sagt Matthias Aebischer."
71250	74680	3430	Er ist Berner und sitzt für die SP im Nationalrat.
74850	77720	2870	Dann haben wir einen Professor in der Sendung, Herr Jaeger.
77810	80240	2430	Er ist Ökonom an der Universität St. Gallen.
80320	82200	1880	"Er sagt: ""Vergesst das Französisch!"""
82310	84680	2370	Was man brauche, sei Englisch.
84850	87600	2750	Dann haben wir einen Musiker in der Sendung, Gustav heisst er.
87810	90080	2270	Er macht Musik auf Deutsch und Französisch.
90330	92880	2550	Er tourt an Deutschschweizer Schulen mit seiner Musik
93050	96680	3630	und ist eine Art Botschafter für das Französisch in der Deutschschweiz.
96780	98920	2140	In der grossen Deutschschweiz
99130	103479.99999999999	4350	"wurde er spätestens mit dem ""Kampf der Chöre"" bekannt."
103570	106479.99999999999	2910	Das war die grosse Show auf SRF, die er gewonnen hat.
106650	109800	3150	And the winner is ...
110009.99999999999	111720	1710	... das Team von Gustav.
111870	115080	3210	Jubelschreie
115240.00000000001	117530	2290	"Melodiöser Popsong ""Lundi Matin"" von Gustav"
117650	120010	2360	# Je ne veux pas me lever dans ce jour plein de chagrin.
