start	end	duration	text
1630	4330	2700	.
4490	14530	10040	1:1-Untertitelung. Livepassgen können Fehler enthalten.
14690	16770	2080	"Es ist 19 Uhr. Das ist ""Schweiz aktuell"", guten Abend."
16980	18850	1870	Das macht heute Schlagzeilen:
21810	23770	1960	Eine Familie aus Tschetschenien hätte heute
23950	26770	2820	wegen ihres abgelehnten Asylgesuchs aus der Schweiz ausreisen sollen.
26990	31250	4260	Überraschend ist sie jetzt wieder zu Hause im Zürcherischen Kilchberg.
34350	36970	2620	In Grone im Unterwallis kämpfen Mütter
37130	39130	2000	gegen einen neue Hochspannungsleitung.
39320	42050	2730	Sie haben Angst um die Gesundheit ihrer Kinder.
45230	48170	2940	In Aarberg im Berner Seeland baut der ein Bauer
48380	52450	4070	zum ersten Mal in der Schweiz Quinoa an.
52710	54970	2260	Das gesunde Getreide aus Südamerika boomt auf der ganzen Welt.
56920	59010	2090	Seit vier Jahren lebt eine Familie aus Tschetschenien
59120	61090	1970	in der Zürcher Gemeinde Kilchberg
61290	63610	2320	und deren Kinder gehen dort zur Schule.
63830	65570	1740	Aber ihr Asylgesuch wurde diesen Sommer
65790	67690	1900	nach mehreren Rekursen abgelehnt.
67790	69930	2140	Die Familie sei in Tschetschenien nicht bedroht,
70110	72850	2740	sagen die Behörden, deshalb gebe es keinen Grund für Asyl in der Schweiz.
72970	75010	2040	Eine Rückkehr sei zumutbar.
75160	77970	2810	Gegen diesen Entscheid kämpft seit Anfang Jahr ein Komitee in Kilchberg.
86840	89370	2530	Die Initianten vom Kilchberger Unterstützungskomitee
89490	91810	2320	für die tschetschenische Familie
91970	94450	2480	glaubt heute Mittag noch, dass die Familie ausgeschafft wurde,
94550	97890	3340	bis das Telefon läutet.
98030	100090	2060	Hallo? Wer ist da?
100259.99999999999	106970	6710	Aber jetzt seid ihr noch da? Und jetzt seid ihr da?
107100	111650	4550	Und wo ist die Polizei?
111750	120010	8260	* Schluchzen *
122640	127330	4690	Oh Gott, bin ich froh. Ist deine ganze Familie da?
127480	129570	2090	Das Unterstützungskomitee kann kaum glauben,
129810	135170	5360	dass die tschetschenische Familie wieder in Kilchberg ist.
137430	139970	2540	Mir hat eben Marha aufs Natel angerufen und gesagt,
139990	141850	1860	sie seien noch zu Hause.
141950	145070	3120	Der Vater und die Mutter weigerten sich, ins Flugzeug zu steigen.
145230	147310	2080	Dann sei die Polizei wieder gegangen.
147490	149910	2420	Nun weiss ich nicht, ob sie schon beim Flughafen waren,
150030	152990	2960	oder ob das zu Hause passierte.
153180	155630	2450	Wir wollen schnell zur Familie, um zu schauen, wie es ihnen geht,
155870	161030	5160	was passierte und um sie zu unterstützen.
161110	166750	5640	Isabelle Blümlein macht sich sofort auf den Weg zur Wohnung der Familie.
166829.99999999997	169150	2320	Hallo, Marha.
169329.99999999997	173350	4020	Oh, Gott, wie sieht denn das hier aus?
173490	179350	5860	Wo ist deine Familie?
179490	185950	6460	Ihr habt alles richtig gemacht.
186120	189070	2950	Laut der Familie läutete die Polizei ohne Vorankündigung nachts um 4 Uhr,
189170	193830	4660	um sie auszuschaffen.
193990	196430	2440	Sie brachten uns alle ins Wohnzimmer und sagten,
196530	199710	3180	dass wir heute ausreisen müssten.
199890	203230	3340	Wir sagten, dass wir nicht gehen möchten.
203390	207990	4600	Sie antworteten, dass wir gehen müssten.
208120	212510	4390	Sie befahlen uns zu packen und sie halfen uns dabei.
212680	215390	2710	Heute holten Behördenvertreter den Vater ab,
215620	217990	2370	der wegen der drohenden Ausschaffung im Sommer zusammenbrach
218079.99999999997	220430	2350	und seit dann im Spital ist.
220510	223510	3000	Der Spitaldirektor wusste von der heutigen Ausschaffung nichts.
223590	225990	2400	Von unserer Seite geht das nicht,
226040	229270	3230	denn der Patient ist bei uns in Obhut.
229510	232190	2680	Wir sind für so einen Patienten verantwortlich.
232370	238590	6220	Es geht nicht, dass jemand so einen Patienten abholt.
238800	241790	2990	Zu den Vorwürfen des Spitaldirektors wollte das kantonale Migrationsamt
241870	244830	2960	nicht Stellung beziehen.
245000	248070	3070	Als die Familie am Flughafen ankam, wehrte sich die Mutter massiv,
248200	252590	4390	ins Flugzeug zu steigen.
252670	257550	4880	Drei bis vier Männer wollten mich zwingen, ins Flugzeug zu steigen.
257709.99999999997	265670	7960	Ich lag auf den Boden und wehrte mich.
265750	268670	2920	Das Migrationsamt Zürich bestätigt,
268870	271630	2760	dass die Ausschaffung abgebrochen wurde.
280240	283430	3190	Für die Bundesbehörden und das Verwaltungsgericht ist klar,
283590.00000000006	286510	2920	dass die Familie ausgeschafft werden muss,
286740	291950	5210	da sie in Tschetschenien nicht bedroht seien.
292060	294070	2010	Ist es vor diesem Hintergrund für Sie nach wie vor sinnvoll,
294210	295870	1660	sich für die Familie einzusetzen?
295960	297760	1800	Ja, absolut, ohne Frage.
297930	300440	2510	Wir sind nicht die Einzigen des Komitees, die dieser Meinung sind.
300570	305280	4710	Politiker und Lehrer sind dieser Meinung.
305410	308480	3070	Alle involvierten Personen sind der Meinung,
308600	310680	2080	dass der Entscheid der falsche ist.
310810	313160	2350	Darum versucht das Komitee, das knapp 1'500 Unterstützer hat,
313390	315680	2290	mit einem weiteren Rekurs die Ausschaffung zu verhindern.
317750	319520	1770	Christof Schneider hat berichtet.
321140	323640	2500	Weit abgeschlagen irgendwo in den hintersten Rängen liegt
323810	326200	2390	der Kanton Bern im Steuerwettbewerb im schweizweiten Vergleich.
326380	329400	3020	Gleichzeitig präsentierte der Kanton in den letzten drei Jahren
329540	333840.00000000006	4300	aber positive Rechnungen und plant nun mit einem Millionenüberschuss.
333950	336520	2570	Darum wurden Forderungen laut,
336620	338960	2340	dass man den Platz auf der Steuerrangliste verbessern soll,
339070	341200	2130	sprich, die Steuern senken.
341409.99999999994	344440	3030	Heute präsentierte die Berner Regierung ihre neue Steuerstrategie.
346440	348920	2480	Aufholen ins gesamtschweizerische Mittelfeld,
349159.99999999994	351960	2800	das ist der Plan bei der Unter- nehmenssteuer der Berner Regierung.
352040	355159.99999999994	3120	Das will man erreichen mit einer Steuersenkung von rund einem Viertel
355360	358520	3160	bei den Gewinnsteuern und einer Senkung des Kapitalsteuertarifs
358630	361280	2650	um zwei Drittel.
361510	363760	2250	Damit uns nicht plötzlich die Firmen davonziehen,
363870	366200	2330	müssen wir dort auch etwas tun.
366350	368840	2490	Da hatten wir das Gefühl, da war der grösste Handlungsbedarf.
368970	371040	2070	Darum schlagen wir jetzt vor,
371200	373400	2200	die Unternehmenssteuern schrittweise zu reduzieren,
373510	376120	2610	damit es für Unternehmen attraktiv ist,
376220	378760	2540	weiterhin im Kanton Bern zu bleiben.
378990	381600	2610	Bei den natürlichen Personen sieht die Finanzdirektorin hingegen
381730	384240	2510	kein Handlungsbedarf oder -spielraum.
384380	386560	2180	Im kantonalen Vergleich zahlt man in Bern
386690	388880	2190	schon heute die höchsten Steuern.
388990	391240	2250	Das soll sich nicht ändern.
391430	393640	2210	Die Steuerstrategie sieht nämlich keine Steuersenkungen
393870	396200	2330	für natürliche Personen vor.
396390	399560	3170	Ein kleines Trostpflaster, man möchte, dass sich Beruf und Familie
399710	401920	2210	besser vereinbaren lassen,
402080	405200	3120	sprich, den maximalen Abzug für Drittbetreuungskosten erhöhen.
405340.00000000006	410200	4860	Von aktuell 3'100 Fr. auf neu 10'100 Fr.
