start	end	duration	text
2670	7550	4880	.
13090	15710	2620	1:1-Untertitelung. Livepassagen können Fehler enthalten.
17320	19830	2510	"Guten Abend und herzlich willkommen zu ""Puls"" und diesen Themen:"
23730	26630	2900	Warum die richtige Diagnose so schwierig zu stellen ist.
29890	32910	3020	Was taugen Programme, um Hautflecken richtig einzuschätzen?
37360	40590	3230	Was wie ein Wunder klingt, ist heute medizinischer Alltag.
46070	48910	2840	Fingerglieder, die nachwachsen - eine komische Vorstellung, nicht?
49060	50870	1810	Dass der Körper fähig ist, sich so zu regenerieren,
50970	52510	1540	ist aus dem Tierreich bekannt.
54140	56670	2530	Das z.B. ist ein Axolotl - ein mexikanischer Schwanzlurch.
56890	57150	260	Und bei ihm ist es genau so: Schneidet man ihm sein Bein ab,
57160	61710	4550	wächst innerhalb einer Woche ein neues nach.
61810	64989.99999999999	3180	Diese Fähigkeit fasziniert Forscher schon lange,
65080	67350	2270	weil man sich das natürlich auch für uns Menschen wünscht.
68660	70560	1900	Aber so ganz ohne sind auch wir nicht.
70720	73440	2720	Unter den richtigen Voraussetzungen haben nämlich auch wir das Potenzial,
73640	77400	3760	dass Teile unseres Körpers nach- wachsen. Zumindest die Fingerbeeren.
79570	82920	3350	35 Jahre unfallfrei - doch heute ist es passiert.
83130	87160	4030	Andi Ackermanns Finger blieb unter einem Schachtdeckel stecken.
87330	90039.99999999999	2710	Ein Stück des Handschuhs blieb hängen,
90180	92960.00000000001	2780	aber ich dachte mir nichts dabei.
93170	95600	2430	Dann schaute ich runter und das Blut tropfte nur so.
95720	97840	2120	So war das.
98000	100160	2160	Nicht nur ein Stück Handschuh ist hängengeblieben -
100370	102520.00000000001	2150	auch ein Stück des Mittelfingers.
102630	105810	3180	Gut 1/4 des Endglieds ist schräg abgetrennt -
105890	108210.00000000001	2320	bis runter auf den Knochen.
108380	112009.99999999999	3630	Freiliegender Knochen. In jedem Lehrbuch steht, was zu tun ist:
112090	115490.00000000001	3400	operieren, um die Wunde mit Haut zu decken.
115720	119530	3810	Da gibts ganz viele Techniken, der Chirurg braucht nur zu wählen.
119740.00000000001	125140	5400	In keinem Lehrbuch steht aber, was Handchirurg Dominic Hoigne macht:
125280	129630	4350	Er packt den Finger einfach in Folie. Das wachse dann schon nach.
129729.99999999999	131670	1940	So verrückt es klingt:
131770	134270	2500	Er und viele andere Chirurgen
134360	137070	2710	behandeln solche Verletzungen heute nur noch so.
138920.00000000003	142150	3230	Am Anfang sträubte ich mich persönlich schon etwas dagegen.
142290	144750	2460	Mit der Zeit sah man dann, wie das einfach nachwächst.
144920.00000000003	147950	3030	Es gibt einen tipptopp neuen Finger - und das motiviert!
148110	151110	3000	Da muss ich doch nicht operieren, wenn er so schön nachwächst.
151240	153870	2630	Mit dem Messer kriege ich das nicht hin.
153950	155910	1960	Warum das klappt, ist nicht ganz klar.
156079.99999999997	160630	4550	Fest steht: unter der Folie bildet sich ein besonderes Milieu.
161240	164030	2790	Unter dieser Folie bildet sich Flüssigkeit,
164240	167150	2910	sodass der wunde Stumpf feucht bleibt.
167300	170350	3050	Die Wachstumsfaktoren können sich hier ansammeln.
170460	172630	2170	Das sind eine Art Hormone,
172829.99999999997	176630	3800	die in verschiedenen Konzentrationen vorkommen können.
176800	180950	4150	Man hat festgestellt, dass die Konzentration,
181180	186150	4970	wie wir sie hier vorfinden, gleich ist, wie bei einem Embryo.
187750	191030	3280	Und genau wie im Embryo, so wird vermutet, fördern diese Hormone
191140	195230	4090	auch beim Erwachsenen das narbenfreie Nachwachsen von Gewebe.
201390	203829.99999999997	2440	2 Wochen später beim Verbandwechsel:
204079.99999999997	208310	4230	Andi Ackermann kennt inzwischen den berüchtigten Nachteil der Methode:
208420.00000000003	211150	2730	Der Finger stinkt.
211579.99999999997	214190	2610	Kommt man nahe an den Finger, ist es sehr penetrant.
214430	217750	3320	Ich möchte ihn jedenfalls nicht den ganzen Tag an der Nase haben.
217860	220910	3050	Unappetitlich, auch zum anschauen.
221090	225390	4300	Und v.a. erst mal alarmierend, bei genauerer Untersuchung.
225640	231710	6070	Wir haben Bakterien nachgewiesen, im Exsudat ist alles voller Bakterien.
231900	234750	2850	Da erschrickt man erst mal und bekommt das Gefühl,
234840	236829.99999999997	1990	man müsse sofort mit Antibiotika behandeln.
236940	239110	2170	Aber die Erfahrung zeigt:
239280	241710	2430	An diesem Fingerendglied funktio- niert jetzt alles irgendwie anders.
241830	243990	2160	Es gibt keine Infektion.
244220	247710	3490	Die Zweifel verschwinden, wenn man sich den weiteren Verlauf anschaut -
247830	250830	3000	wie von Dominic Hoigne dokumentiert.
252840	258310	5470	Zur Erinnerung: Das war der Finger am Anfang. Und so ging es weiter.
260390	264510	4120	Schon nach 4 Wochen ist alles soweit verheilt, dass der Verband weg kann.
264650	269190	4540	Und gute 4 Monate später: Der Finger ist schon fast wieder der Alte.
271880	274070	2190	Und so sieht das in Natura aus.
274230	276909.99999999994	2680	Gefühl und Bewegung im Finger sind völlig normal -
277150	279710	2560	Andi Ackermann arbeitet längst ohne Einschränkungen.
279850	282590.00000000006	2740	Sogar der Fingerabdruck ist wieder da -
