start	end	duration	text
1910	3380	1470	.
3360	6020	2660	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7300	10100	2800	Brüssel wurde heute Morgen zum Ziel mehrerer Anschläge.
10090	12340	2250	"Wir informieren Sie in einer ""Tagesschau Spezial""."
12310	14580	2270	Ich begrüsse Sie, meine Damen und Herren.
15640	19140	3500	Schon wieder! Diesmal hat es die belgische Stadt Brüssel getroffen.
19110	21900	2790	Dort gab es am Morgen mehrere Explosionen.
21880	23820	1940	Nach ersten Erkenntnissen
23790	27180	3390	deutet alles auf einen orchestrierten Terroranschlag hin.
27150	30420	3270	Zwei Detonationen ereigneten sich im Brüsseler Flughafen,
30390	33620	3230	eine weitere in der U-Bahn-Station Maalbeek.
33590	36660	3070	Die Feuerwehr geht von insgesamt 21 Toten aus,
36620	38700	2080	Dutzende Menschen sind verletzt.
40120	44260	4140	Aufnahmen von Augenzeugen zeigen das Ausmass der Zerstörung
44230	47420	3190	in der Check-in-Halle des Flughafens Zaventem.
47410	50100	2690	Zunächst ist es offenbar zu einem Schusswechsel gekommen,
50070	52460	2390	danach gab es zwei Explosionen im Flughafen.
52420	58820	6400	Panisch verliessen Dutzende Fluggäste das rauchende Terminal-Gebäude.
58810	61620	2810	Der Flugbetrieb wurde umgehen eingestellt
61580	65180.00000000001	3600	und die Evakuierung des gesamten Flughafens angeordnet.
65140	67180	2040	Nach ersten Erkenntnissen
67150	70539.99999999999	3390	sind bei den Explosionen mind. 11 Menschen getötet worden.
70500	73660	3160	Zudem ist von mehr als 30 Verletzten die Rede.
74470	76220	1750	Eine weitere Explosion
76190	77780	1590	ereignete sich in der Brüsseler U-Bahn-Station Maalbeek.
79289.99999999999	81020	1730	Inzwischen ist der gesamte öffentliche Verkehr
81140	82740	1600	in Brüssel eingestellt worden.
82840	85910	3070	Für ganz Belgien wurde die höchste Terrorwarnstufe ausgerufen.
88180	91590	3410	Und wir schalten zu unserem Korrespondenten Sebastian Ramspeck:
91730	95630	3900	Explosionen am Flughafen und Explosionen in Metrostationen
95720	98830	3110	in Brüssel, ständig steigende Opferzahlen.
98950	102789.99999999999	3840	Was wissen Sie über den aktuellen Stand der Dinge?
102870	105070	2200	Wir untertiteln live:
105150	106630	1480	Klar ist, bereits seit einigen Tagen
113420	118789.99999999999	5370	Ich wollte aus dem Haus gehen, da haben mich Meldungen erreicht,
118890	122150	3260	dass es am Flughafen Brüssel zu Explosionen gekommen sei.
122260	128229.99999999999	5970	Ich bin sofort ins Büro gegangen.
131470	134710	3240	Und das hat mich eigentlich nicht wirklich überrascht, was passiert
134830	136880	2050	ist.
136880	139480	2600	Brüssel gilt schon lange als Ziel von Terroranschlägen.
139590	144160	4570	Leider wurde das heute war.
144320	150240	5920	Was können Sie uns über den aktuellen Stand der Dinge sagen?
150430	156340	5910	Es soll mind. drei Explosionen gegeben habe.
157450	160340	2890	Es soll mind. 21 Tote gegeben haben.
160480	166500	6020	Das sind Zahlen der Feuerwehr.
166610	172620	6010	Ich kann Ihnen nicht sagen, wie viele Tote es beim Flughafen gab.
178430	181040	2610	Bis vor kurzem gab es widersprüchliche Meldungen zu den
181150	183040	1890	Zahlen der
183100	186360	3260	Verletzten bei den Metrostationen.
186470	192440	5970	Die Polizei ist im Grosseinsatz.
192820	198160	5340	Das Mobilfunknetz ist teilweise zusammengebrochen.
198230	201020	2790	Ich befinde mich etwa 500 m von der Metrostation Maalbeek
201120	203340	2220	entfernt.
203480	209460	5980	Ich war vorher vor Ort.
213070	218900	5830	Aber mit einer Kamera, die über das Mobilfunknetz funktioniert,
219200	224420.00000000003	5220	klappten keine Aufnahmen.
224650	228140	3490	Viele Angehörige erkundigen sich natürlich via Telefon,
228300	230500	2200	ob es ihren liebsten gut geht.
231880	237540	5660	Gab es konkrete Hinweise auf eine solche Anschlagserie?
242250	245140	2890	Es ist eigentlich das erste,
245350	249380	4030	was mir durch den Kopf gehen.
249500	253140	3640	Hier in Brüssel gab es bereits 2014
253290	259220.00000000003	5930	einen Anschlag auf das jüdische Museum.
261470.00000000003	264300	2830	Nach den Anschlägen von Paris rückte Brüssel ins Zentrum der
264420	267340	2920	Aufmerksamkeit.
267520	273420	5900	Die Anschläge von Paris wurden teilweise in Brüssel vorbereitet.
