start	end	duration	text
970	6950	5980	"aus dem ""Abstimmungsstudio""."
14210	17470	3260	Der Kanton Zürich braucht offenbar noch eine Weile mit dem Auszählen,
17640	20390	2750	das Resultat fällt noch in unserer Buchhaltung,
20630	23710	3080	auch wenn das am Ende Resultat der eidg. Abstimmungen nichts mehr
23830	27390	3560	ändert: Sie sind alle 3 gescheitert.
27550	29270	1720	Wir schauen, wie die Karten aussehen.
29380	31430	2050	Hier die Ecopop-Initiative -
31570	34990	3420	die graue Insel ist der fehlende Kanton Zürich.
35150	38390	3240	Ansonsten präsentiert sich die ganze Karte rot,
38570	43990	5420	alle Stände haben die Vorlage Bach abgeschickt.
44200	46590	2390	Auch die Abschaffung der Pauschalbesteuerung
46830	51030	4200	hat keine Chance an diesen Abstimmungswochenende.
51180	53990	2810	21 Stände sagen nein zur Pauschalbesteuerung,
54170	60110	5940	es gibt allerdings einen grünen Fleck:
62220	66950	4730	Als einziger Kanton sagt Schaffhausn Ja zur Pauschalbesteuerung.
67150	72830	5680	Alle Stände lehnen ausserdem die Gold-Initiative ab .
73030	76030	3000	Es wurde auch über zahlreiche kantonale und kommunale Vorlagen
76110	76510	400	gefunden,
76720	82630	5910	ein paar entscheidende möchten wir Ihnen eigen.
86800	89670	2870	Man konnte auch auf kantonale Ebene über die Abschaffung der
89840	91670	1830	Pauschalbesteuerung in Genf entscheiden.
91830	94830	3000	Das wurde allerdings abgelegt.
94940	100190	5250	Auch der Gegenvorschlag zur Pauschalbesteuerung wurde abgelegt.
100430	104750	4320	Neu zugezogene Ausländer haben im Basel-Stadt
104990.00000000001	110830	5840	Anspruch auf einen Gratis Deutschkurs.
111840	114870	3030	Der souverän hat den Gegenvorschlag zu einer SVP-Initiative klar
115000	119430	4430	angenommen.
119550	124910	5360	Das Parlament im Kanton Neuenburg kann künftig Regierungsräte abwählen.
125150	128030	2880	Das hat mit Frederic Heinard zu tun.
128110.00000000001	133990	5880	Die Zustimmung war rekordverdächtig.
134190	137550	3360	Die Universität in Luzern war die kleinste und jüngste Universität der
137630	138030	400	Schweiz.
138120	141470	3350	Die Revision des Universitätsgesetzes
141660	145870	4210	wurde von den Stimmberechtigten nur knapp gutgeheissen,
146030	149110	3080	aber die Universität kann um eine Wirtschaftsfakultät erweitert
149190	150350	1160	werden.
150530	153230	2700	Im Kanton St. Gallen wurde ein umfassendes Spitalprojekt
153300	155390	2090	Lahr und deutlich angenommen.
155550	161470	5920	Für insgesamt 930 Mio. Fr.
168440	174310	5870	werden die Spitäler St. Gallen, Altstätten, Grabs, Lind saniert.
177030	182910	5880	Zwischen 73 und 90 % betrug der Ja- Anteil.
185340	190230	4890	Die SP kann triumphieren bzw. ihren Sitz zurück erobern,
190380	194030	3650	wenn sie im St. Galler Regierungsrat verloren hat.
194110	199710	5600	Peter Jans wurde deutlich gewählt.
199910	203670.00000000003	3760	Barbara Frey von der FDP blieb deutlich unter dem absoluten Mehr,
203860	209750	5890	damit verliert die FDP einen ihrer Sitze in der St. Galler Regierung.
210900	216870	5970	This Bürge war chancenlos.
218220	224150	5930	Ein wichtiges Kommunalresultat in der Stadt Luzern:
227430	230829.99999999997	3400	Beim Brand der Brücke vor 21 Jahren viele Originalbilder aus dem 17. Jh.
230940	232270	1330	zerstört worden,
232430	234950	2520	jetzt wird verlangt, dass Kopien angebracht werden.
235180	241030	5850	Das ist eine ganze Menge von uns.
241930	244990	3060	"In der ""Tagesschau"" um 18:00 Uhr gibt es die nächsten Resultate,"
245220	247030	1810	jetzt geht es weiter mit Urs Leuthard.
247110	248550	1440	Ich möchte kurz zusammenfassen,
248700	250710	2010	vor wir in wenigen Sek. nach Bern schalten,
250840	253830	2990	zur Präsidentenrunde.
254010	257110	3100	Einfach, um zu zeigen, wie deutlich heute das Resultat ausfiel.
257190	260709.99999999997	3520	Ein 3-faches Nein:
260910.00000000003	266790	5880	bei der Ecopop-Initiative haben alle Stände Nein gesagt,
268270	271190	2920	fast dasselbe gilt für die inniger Liebe zur Abschaffung der
271300	272230	930	Pauschalbesteuerung,
272430	278350	5920	dort hat nur der Kanton Schaffhausen Ja gesagt.
281430	283030	1600	Bei der Gold-Initiative -
283200	285830	2630	wo mittlerweile auch der Kanton Zürich eingetragen ist -
286060	290150	4090	sieht das ganze Bild tiefrot aus, alle Steilwände haben nein gesagt.
290240	293310	3070	Für Geraldine Eicher in Bern gibt das sehr viel zu diskutieren,
293500	299310	5810	sie steht bereits mit den Fraktionschefs.
299540	303870	4330	- Herzlich willkommen zur Präsidentenrunde von SRF.
304030	307030	3000	In den letzten Wochen war es sehr spannend, es wurde sehr viel
307150	310310	3160	diskutiert.
310420	316390	5970	Jetzt ist es entschieden:
317680	320390	2710	Die Zuwanderung wird nicht noch zusätzlich eingeschränkt,
320570	322910	2340	die Nationalbank muss nicht zusätzlich Gold horten
323140	329070	5930	und die Pauschalbesteuerung soll nicht abgeschafft werden.
329950	335150	5200	Christophe Darbellay von der CVP, Christian Levrat von der SP,
335230	338710	3480	Toni Brunner von der SVP.
338909.99999999994	344710	5800	Philipp Müller wird ersetzt von seiner Parteikollegin.
345340.00000000006	348590.00000000006	3250	Wir haben in den letzten Wochen sehr viel erlebt, ein richtiges Seil
348730	350230	1500	ziehen.
350320	354510	4190	Die Parteien haben unterschiedlich stark gezogen:
354740	357070	2330	heute sagen dreiviertel Nein zu Ecopop.
357190	359590.00000000006	2400	Gabi Huber,
359740	364630	4890	ist die Wirtschaft jetzt aus dem Schneider?
364780	367910	3130	Das ist in erster Linie ein gutes Resultat für die ganze Schweiz.
368020	372770	4750	Wenn es anders rausgekommen wäre,
372870	376050	3180	wären wir nicht auf dem Feld eins zurückgeblieben, sondern auf dem
376250	377210	960	Feld -1.
377390	380810	3420	Die Wirtschaft ist die Schweiz, wir alle sind die Wirtschaft,
380970	386010	5040	deshalb ist dieses Ergebnis in erster Linie gut für das Land.
386110	388930	2820	Alle bürgerlichen Parteien haben am gleichen Strick gezogen.
389110	390090	980	Das hat sich gelohnt.
390300	395450	5150	Wir haben ein Resultat,
395659.99999999994	398930	3270	d.h., dass die Schweizerinnen und Schweizer keine Käseglocke über der
399040	403170	4130	Schweiz haben möchten,
403370	405970	2600	aber ein durchsichtiges Fliegensieb - oder wie sieht das
406090.00000000006	407030	940	aus?
407250	411630	4380	Im letzten Jahr sagten die Leute, sie wollten weniger Zuwanderung.
411710	413150	1440	Es war ein deutliches Zeichen.
413380	415270	1890	Die Ecopop-Initiative ist etwas anderes.
415310	416110	800	Sie war extrem.
416190	419550	3360	Etwas absurd.
419810	423310	3500	Man wollte die Arbeitsplätze nicht riskieren dafür.
423470	427190	3720	Wir mussten jetzt wochenlang gasgeben,
427260	430230	2970	alle bürgerlichen Parteien haben an einem Strick gezogen,
430270	433270	3000	das hat sich gut ausgewirkt.
433370	435830	2460	Es ist ein Zeichen der Weisheit,
435940	438270	2330	dass das Schweizer Volk das erkannt hat.
438340	444230	5890	Meine höchste Anerkennung hat das Volk.
444380	446630	2250	Man kann das auch anders sehen:
446830	452630	5800	Dass der Entscheid vom 9. Februar etwas bedauert wird vom Volk.
453110	454430	1320	Das würde ich nicht so sehen.
454600	457350	2750	Es war einfach masslos übertrieben mit dieser Initiative,
457460	463390	5930	die heute abgelehnt wurde.
465710	468550	2840	Es ist eine Sache der Auslegung des Art. 121 des 9. Februars.
468740	472710	3970	Es kann als Hinweis ausgelegt werden,
472850	478870	6020	dass falls es ein Konflikt geben sollte zwischen den Bilateralen
479110	481550	2440	und der Umsetzung der Masseneinwanderung Initiative,
481750	487390	5640	das man an der Bilateralen festhalten möchte.
487570	493310	5740	Aber im ganzen Abstimmungskampf haben wir es wieder erlebt,
493540	496470	2930	dass es grosse Diskrepanzen gibt zwischen der Raumplanung, der
496620	499230	2610	Umweltpolitik der Schweiz, es gibt laute Kritik daran.
