start	end	duration	text
1090	6750	5660	1:1-Untertitelung
6730	9430	2700	Guten Abend, meine Damen und Herren.
9420	11470	2050	"Hier ist die ""Tagesschau"", und das sind die Themen heute Donnerstag."
13880	17910	4030	Die EU und die Türkei ringen um eine Lösung in der Flüchtlingskrise.
21010	24510	3500	Brasiliens Präsidentin Rousseff kommt immer mehr unter Druck.
26790	32870	6080	Der Nationalrat macht die Unterneh- menssteuerreform referendumstauglich.
34800	40550	5750	Beat Feuz gewinnt im Super-G, Lara Gut holt eine weitere Kristallkugel.
42640	45510	2870	In der ganzen Schweiz viel Sonnenschein.
48300	51270	2970	Das Flüchtlingselend, es beherrscht Europa.
51240	52830	1590	Und so auch die hohe Politik.
52820	54270	1450	Zum x-ten Mal
54250	56230	1980	treffen sich die europäischen Staats- und Regierungschefs
56200	58110	1910	zu einem Gipfel in Brüssel.
58090	61430	3340	Wichtigster Punkt diesmal: eine Vereinbarung mit der Türkei.
61420	64390	2970	V.a. Kanzlerin Merkel macht sich dafür stark.
64360	66870	2510	Sie weiss aber, dass es hart wird:
68240	72710.00000000001	4470	Viel ist noch zu regeln und intensive Diskussionen stehen bevor.
72670	73950	1280	Danke schön.
73910	76150	2240	Konkret liegt seit dem letzten Gipfel vor zehn Tagen
76120	78590	2470	folgender Plan auf dem Tisch:
81200	83630	2430	Die türkisch-griechische Grenze soll besser gesichert werden.
83610	85630	2020	Die Türkei bietet an, dass sie alle Bootsflüchtlinge,
85590	87950	2360	die Griechenland erreichen, zurücknimmt.
87950	90190	2240	Im Gegenzug nehmen die EU-Staaten
90160	93789.99999999999	3630	für jeden zurückgenommen Syrer einen syrischen Flüchtling auf.
93770.00000000001	96390	2620	Dafür erhält die Türkei verschiedene Zugeständnisse,
96360	98910	2550	u.a. sollen türkische Staatsangehörige
98900	102630	3730	künftig ohne Visum in die EU reisen können.
103539.99999999999	105670	2130	Für den französischen Präsidenten Hollande ist klar,
105660	110789.99999999999	5130	es kann nur eine gemeinsame Lösung mit der Türkei geben.
110759.99999999999	115789.99999999999	5030	In der Türkei gibt es heute schon viele Flüchtlinge.
115789.99999999999	118550	2760	Und die Türkei ist wichtig,
118530	122310	3780	damit eine gewisse Anzahl von Flüchtlingen
122290	124590	2300	aus Griechenland wieder zurückkehren kann.
124560	126990	2430	Aber es braucht Garantien,
126970	129229.99999999999	2260	dass die Türkei das überhaupt organisieren kann.
129199.99999999999	133550	4350	Und wir müssen darüber wachen, dass das Asylrecht respektiert wird.
133520	137910	4390	"""Ja, aber ..."", sagt der ungarische Ministerpräsident Orban:"
137880	140790	2910	Ich gehe mit dem Ziel in Verhandlungen,
140760	143510	2750	dass Flüchtlinge, die aus der Türkei kommen,
143480	145710	2230	zwar in Europa aufgenommen werden, aber nicht zwangsweise.
145670.00000000003	150710	5040	Ungarn und andere Länder müssen die nötige Bewegungsfreiheit haben,
150670.00000000003	154470	3800	auch Nein zu sagen.
154450	156910	2460	Beim obligaten Familienfoto ist die Stimmung noch ausgelassen.
156890	162630	5740	Das dürfte sich bei den Verhandlungen nach dem Nachtessen wohl ändern.
