start	end	duration	text
4410	11150	6740	.
11140	13070	1930	1:1-Untertitelung
13050	15470	2420	"Der ""Club"", heute mit Thomy Scherrer."
16140	18710	2570	Guten Abend und herzlich willkommen.
18700	21630	2930	Der reichste Mann der Welt und Microsoft-Gründer Bill Gates
21590	24550	2960	hat mit diesem Gedanken letzte Woche für Furore gesorgt,
24540	26550	2010	aber auch Hoffnungen geweckt:
34990	38910	3920	Wie wahrscheinlich ist es, dass man Krebs bis in 30 Jahren heilen kann?
38890	42750	3860	Wo stehen die Spitzenmedizin und die Krebsforschung aktuell?
42710	44670	1960	Darüber wollen wir diskutieren.
44660	46270	1610	Wir wollen aber auch Fragen stellen wie:
46260	49590	3330	"""Haben Krankheiten einen tieferen Sinn in unserem Leben?"""
49550	52750	3200	"""Wie erstrebenswert ist es, dass man künftig alle Krankheiten,"
52720	56430	3710	"das Alter, sogar den Tod auszuhebeln?"""
56420	59990	3570	Eine Diskussion über medizinische Machbarkeitsfantasien.
59980	62830	2850	Ich freue mich sehr auf das Gespräch mit unseren Gästen.
62790	65470	2680	Eingeladen haben wir Rolf Lyssy, Filmemacher.
65430.00000000001	68030	2600	Letzten Donnerstag wurde er 80.
68000	70470	2470	Schon einige Freunde aus seinem engeren Umfeld
70460.00000000001	72190	1730	sind an Krebs gestorben.
72150	74350	2200	Und auch in seinem neuesten Filmprojekt
74320	76630	2310	geht es ums Sterben und den Tod.
76590	80230	3640	Es wäre aber nicht Rolf Lyssy, wenn das keine Komödie wäre.
80190	83550	3360	In der Runde mit dabei ist Viviane Hess,
83510	87430	3920	Leiterin der klinischen Forschung Onkologie
87390	90110	2720	des Universitätsspitals Basel.
90090	93590	3500	"""In den nächsten 30 Jahren werden Krebserkrankungen stark zunehmen"","
93550	95229.99999999999	1680	sagt sie.
95190	99710.00000000001	4520	Bill Gates' Vision zeigt ihr, wie wichtig Krebsforschung ist.
99670	102870	3200	Ruth Baumann-Hölzle,
102850	106630	3780	Medizinethikerin des Instituts Dialog Ethik.
106590	109509.99999999999	2920	"""Es wäre eine feine Sache, wenn wir den Krebs besiegen könnten"","
109470	110830	1360	sagt sie.
110820	112830	2010	Nur hegt sie grosse Zweifel daran, ob wir uns alle
112820	117070	4250	die teuren Medikamente und die Technologie leisten könnten.
117050	121070	4020	Thomas Cueni, Generalsekretär Interpharma.
121040	124750	3710	Das ist der Verband der forschenden pharmazeutischen Firmen.
124730	129630	4900	Gates' Vision sei eine typische amerikanische Moonshot-Vision.
129590	133150	3560	D.h., alles ist möglich, sogar auf den Mond zu fliegen.
133120	136710	3590	Aber ob diese Haltung auch im Kampf gegen den Krebs erfolgreich ist,
136670.00000000003	138510	1840	daran hat der Zweifel.
138470	142590	4120	Auch deshalb, weil es viel zu viele verschiedene Krebsarten gibt.
142579.99999999997	145390	2810	Einer der Entwickler des Supercomputers
145380	149030	3650	und Dozent an der ETH Zürich ist heute Abend auch bei uns.
148990	152710	3720	Er ist Spezialist für Computersystemarchitektur,
152700	156030	3330	Anton Gunzinger.
155990	158120	2130	Auch er ist wie Bill Gates ein Visionär und findet es grossartig,
158120	160920.00000000003	2800	dass Bill Gates so viel Geld für das Wohl der Menschheit ausgibt.
160910	162440	1530	Aber er vermutet,
162410	165120	2710	dass hinter dieser Vision eine Allmachtsfantasie steckt.
165079.99999999997	168680	3600	Das würde für ihn zu weit gehen.
168670.00000000003	172400	3730	Ganz herzlich willkommen, meine Damen und Herren.
172380	177960	5580	Es ist eine wahnsinnige Version, dass Krebs in 30 Jahren heilbar ist.
177930	180960	3030	Realistisch oder einfach nur ein verrückter amerikanischer Traum.
180950	184760	3810	Ich möchte Sie, Frau Hess, als Erstes ansprechen.
184730	187200	2470	Wie beurteilen Sie diese Vision von Bill Gates?
187190	189120	1930	Ich bin sehr froh darüber,
189120	191680	2560	dass er das so geradeheraus und knackig formuliert hat.
191680	193600	1920	Denn dann hören die Leute zu.
