start	end	duration	text
11610	13600	1990	MIT TELETEXT-UNTERTITELUNG
15920	18320	2400	Ein 15-jähriger Junge liegt im Spital.
18930	21120	2190	Er weiss nicht genau, was er hat.
21310	25360	4050	Aber aus den Reaktionen seiner Umgebung spürt er, dass es ernst ist.
25550	30720	5170	Seine Eltern, das Pflegepersonal - alle sind so ausweichend lieb zu ihm.
31860	33760	1900	Und auch von innen her spürt er, dass seine Kräfte schwinden.
36310	40240	3930	Er ahnt, dass er wohl nicht älter als 16 wird.
42530	44480	1950	Ein einsamer Kampf beginnt.
44680	47440	2760	Das Hadern mit seinem Schicksal treibt ihn um.
47620	48760	1140	Es treibt ihn durch die Gänge des Spitals.
50480	53520	3040	Er wandert umher auf der Suche nach innerer Ruhe.
53690	57160	3470	Er findet einen Raum, der still und friedlich scheint.
57260	59520	2260	Dort ist er alleine. Er setzt sich.
59700	63520	3820	Es ist die Spitalkapelle. Und an der Wand sieht er ein Bild:
63700	63760	60	eine Darstellung des leidenden Christus.
67010	68960.00000000001	1950	Kein schöner Anblick.
69700	71720	2020	Aber der Junge ist fasziniert.
71830	74520	2690	Irgendetwas an diesem Bild spricht ihn an.
74610	77720	3110	Er kommt immer wieder, freundet sich mit dem Bild an.
77900	78760	860	Er spricht mit dem leidenden Mann, vertraut sich ihm an.
81250	84520	3270	Und so baut er eine Beziehung auf.
85230	89280	4050	Er entdeckt die geheime Bruderschaft des Schmerzes und Mitleids.
91840	93840	2000	Vor vielen Jahren habe ich fast im gleichen Alter
95070	97640	2570	diese Geschichte in einem Jugendbuch gelesen.
97729.99999999999	99520.00000000001	1790	Seither begleitet sie mich.
99650	101640	1990	Sie lieferte mir einen Schlüssel
101729.99999999999	104759.99999999999	3030	zu einem schwierigen Kapitel der christlichen Tradition:
104890	106680	1790	der Passionsgeschichte.
106860	108880	2020	Dass Jesus Christus für mich gelitten haben soll,
109830	114720	4890	für mich gestorben sein soll - das sind schwer fassbare Gedanken.
114800	117800	3000	Aber diese Nähe im Leiden, dieses Verständnis,
118000	121800	3800	diese Solidarität im Schmerz sind ein Zugang.
121890	123800	1910	In dieses Leiden Christi
124040	127000	2960	können Menschen ihre eigenen Geschichten schreiben.
127080	129039.99999999999	1960	Sie können sich wiederfinden.
129240.00000000001	132680	3440	Und ausserdem ist die Passion auch ein Stachel im Fleisch
132820	135520	2700	unserer Leistungs- und Erfolgsgesellschaft.
135690	138720	3030	Unsere Gesellschaft, die immer nach oben strebt.
138880	141320	2440	Die Kurve zeigt immer nach oben.
141490	144120	2630	Und diese Wachstumskurve des Kapitalismus
144280	146680	2400	ist derart in unseren Köpfen verankert,
146880	150190	3310	dass sie uns bis in die persönliche Lebensplanung steuert.
150329.99999999997	153829.99999999997	3500	Immer soll es nach oben und vorwärts gehen - schneller, grösser, weiter.
155820	159390	3570	Aber so ist es eigentlich nicht. Und das wissen wir auch.
159540	162590	3050	Es gibt keinen Baum, der endlos in den Himmel wächst.
162730	166270	3540	Kein Karussell kann sich immer schneller und schneller drehen.
166470	168829.99999999997	2360	Wir wissen, dass das Leben auch andere Richtungen kennt.
169740	171350	1610	Und es ist auch wichtig,
171550	174910	3360	dass wir uns mit diesen anderen Richtungen beschäftigen,
175020	179350	4330	dass wir sie verstehen und Strategien haben, um sie zu bewältigen.
181130	183190	2060	In der Passionszeit
183250	183790	540	beschäftigen wir uns also mit der Leidensgeschichte Jesu.
186880	190430	3550	Die Versöhnung mit dem Schmerz der Endlichkeit
190530	192510	1980	ist dabei etwas Zentrales.
194310	197390	3080	Begreifen, was das Leben auch noch sein kann.
198970	200800	1830	Und vielleicht steckt darin
200990	204680	3690	auch ein Stück Erlösung von diesem ewigen Wachstumszwang.
204770	206680	1910	Vielleicht werden wir frei,
206829.99999999997	209880	3050	wenn unsere Kurve auch mal in eine andere Richtung geht.
210090	213000	2910	Der Junge in meiner Geschichte findet einen Weg.
213090	213840	750	In seiner schwierigen Situation,
215320	217720	2400	getragen von dieser Bruderschaft im Schmerz,
217810	219760	1950	kann er seinen Frieden finden.
220610	224400	3790	Aber natürlich weiss er, dass seine Kurve nicht nach oben zeigt.
224550	228880	4330	Er wächst vielleicht in eine ganz andere Richtung - nach innen.
230360	232280	1920	Bleiben Sie dran!
234500	237440	2940	SWISS TXT / UT-Redaktion Zürich Daniela Zacheo
