start	end	duration	text
2760	3030	270	.
11110	13590	2480	MIT TELETEXT-UNTERTITELUNG
15950	17510	1560	Liebe Zuschauerinnen und Zuschauer,
18470	23390	4920	seit Kurzem gibts einen Werbespot, in dem ein Dosenöffner angepriesen wird.
23540	28110	4570	Er kostet 32.50 Fr. und öffnet jede Dose schnell und ohne Kraftaufwand.
28200	30150	1950	Wem dieser Preis zu hoch ist,
30330	32509.999999999996	2180	der kann die weibliche Variante bestellen, eine Dosenöffnerin.
34550	37470	2920	Sie kann exakt das Gleiche, ist aber billiger,
37560	41870	4310	weil - so heisst es am Schluss lapidar - Frauen weniger wert sind.
41960	45350	3390	Als ich diesen Werbespot zum ersten Mal gesehen habe,
45520	47550	2030	"dachte ich: ""Das kann ja nicht wahr sein."""
48320	52110	3790	Und, ja klar, es ist ist nicht wahr, es ist kein Werbespot,
52290	55470	3180	sondern eine Kampagne der Zürcher Frauenzentrale,
55570	59550	3980	die damit auf die Lohnungleichheit zwischen Männern und Frauen
59660	61630	1970	aufmerksam macht.
61750	62510	760	Diese Ungleichheit ist hingegen wahr.
64400.00000000001	67590	3190	Frauen verdienen in der Schweiz in vielen Branchen
67800	70430	2630	für die gleiche Arbeit weniger als Männer.
70530	73310	2780	Frauen sind also, was Lohnzahlungen angeht,
73390	75830	2440	tatsächlich immer wieder weniger wert.
76039.99999999999	77630	1590	Dass Leistungen von Frauen weniger wert sind als die von Männern,
80280	82470	2190	konnte man in den letzten Wochen
82560	87150	4590	auch in der Berichterstattung rund um die Frauenfussball-WM feststellen.
87340	89230	1890	In zahlreichen Artikeln
89410	92630	3220	stand nicht die sportliche Leistung der Spitzensportlerinnen im Fokus,
94020.00000000001	96270.00000000001	2250	sondern ihre sexuelle Orientierung
96520.00000000001	100550	4030	oder freizügige Bilder, die sie irgendwann einmal gemacht haben.
100780	102630	1850	Zur Zeit als Jesus gelebt hat,
102820	105789.99999999999	2970	ist es den Frauen sehr viel schlechter gegangen
105940	107550	1610	als es uns Schweizerinnen heute geht.
108509.99999999999	111110	2600	Frauen galten als Besitz ihres Ehemannes.
111289.99999999999	113910	2620	Wenn ein Mann von seiner Frau genug hatte,
114070	117110	3040	konnte er sie einfach aus dem Ehestand entlassen
117360	121430	4070	und sie damit schutz- und erwerbslos ihrem Schicksal überlassen.
121550	122630	1080	Deshalb hat sich Jesus gegen die Ehescheidung ausgesprochen,
125510	127470	1960	als Schutz für die Frauen.
127650	130350	2700	Schutz brauchen die Frauen auch heute noch.
130470	132830	2360	Schutz vor Unterdrückung und Gewalt,
133010	137030	4020	wie sie Frauen auf der ganzen Welt tagtäglich erleiden müssen.
137160	137630	470	Schutz vor Ungerechtigkeit, wie wir das mit der Lohnungleichheit erleben,
142040	143950	1910	Schutz vor Sexismus,
144110	147990	3880	wie das aktuell rund um die Frauenfussball-WM geschehen ist.
148110	152590	4480	Schutz brauchen wir Frauen nicht, weil wir per se schutzbedürftig sind,
152940	155829.99999999997	2890	sondern weil Frauen aufgrund ihres Geschlechts
155930	158150	2220	immer wieder diskriminiert werden.
158370	161430	3060	Dagegen wehren sich Feministinnen und Feministen.
161590	164110	2520	Die Bezeichnung Feministin oder Feminist
164300	167630	3330	wird immer wieder abwertend, oder sogar als Schimpfwort gebraucht.
168680	172590	3910	Wer sich für Feminismus einsetzt, steht schnell im Verdacht,
172680	176950	4270	er oder sie sei gegen die Männer und wolle die Frauen bevorteilen.
177510	180470	2960	Dabei gehts beim Feminismus nur um eines:
180600	182470	1870	um Gleichberechtigung.
182920	185750	2830	Dass Männer und Frauen die gleichen Rechte haben.
185930	190230	4300	Es geht weder um Gleichmacherei, noch darum, Frauen zu bevorteilen.
190400	194510	4110	Und Jesus hat mit seinem Verbot der Ehescheidung deutlich gemacht,
194760	197590	2830	dass Gleichberechtigung vielfach mit strukturellen Fragen zu tun hat
199040	201070	2030	und rechtlichen Schutz braucht.
202010	206590	4580	"""Solange auch nur eine Frau nicht die gleichen Rechte hat wie ein Mann,"
206880	211670.00000000003	4790	"werde ich nicht schweigen"", hat eine afrikanische Frauenrechtlerin gesagt."
211900	212630	730	Dem schliesse ich mich an und wünsche Ihnen einen schönen Sonntag.
220000	222829.99999999997	2830	SWISS TXT / UT-Redaktion Zürich Claudia Burri
