start	end	duration	text
1560	6790	5230	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8130.000000000001	10350	2220	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
10490	12550	2060	Das macht an diesem Donnerstag Schlagzeilen:
14350	16590	2240	In der Ost-Ukraine
16740	19630	2890	soll Russland erstmals mit eigenen Truppen operieren.
20990	25950	4960	Die Weltgesundheitsorganisation rechnet mit über 20'000 Ebola-Fällen.
27720	31470	3750	Wegen des bröckelnden Bankgeheimnisses
31610	33430	1820	verlassen Auslandbanken die Schweiz.
35870	38990	3120	Viele Wolken, etwas Sonne und einzelne Regenschauer.
40720	43470	2750	Das nennt man dann wohl eine Eskalation.
43610	47550	3940	Kiew meldet den Aufmarsch russischer Truppen im Osten der Ukraine.
47660	49830	2170	Und die Separatisten geben erstmals zu,
50060	52590	2530	dass sie von russischen Kräften unterstützt werden.
52850	55350	2500	Zudem melden die pro-russischen Rebellen Erfolge
55590	57390	1800	im Kampf gegen die ukrainische Armee.
57540	60150	2610	So haben sie im Süden eine neue Front eröffnet
60220	63110	2890	und die Stadt Nowoasowsk übernommen.
63260	65150.00000000001	1890	Im Visier haben sie nach eigenen Aussagen
65290.00000000001	67670	2380	die strategisch wichtige Hafenstadt Mariupol.
67830	72270	4440	Präsident Petro Poroschenko hat eine Auslandreise abgesagt
72380	74150	1770	und eine Krisensitzung einberufen.
75590	78470	2880	Wegen der Eskalation in der Region Donezk habe er sich entschieden,
78660	82510	3850	seinen Türkei-Besuch abzusagen, sagt Poroschenko am Morgen in Kiew.
82720	85190	2470	Russische Truppen seien in die Ukraine vorgedrungen.
85280	91310	6030	Aus der Ost-Ukraine werden heftige Gefechte gemeldet.
91430	96229.99999999999	4800	In Donezk konnten die Separatisten
96320	98430	2110	die Regierungstruppen offenbar stellenweise zurückdrängen.
98610	100630	2020	Die Rebellen machen keinen Hehl mehr daraus,
100789.99999999999	102830	2040	dass sie russische Unterstützung haben.
104030	106190	2160	Rebellenführer Alexander Sachartschenko sagt,
106280	109590	3310	dass 3'000 bis 4'000 Russen auf Seiten der Separatisten kämpfen.
109670	113470	3800	Darunter seien auch ehemalige hohe Offiziere und Soldaten,
113650	115870	2220	die noch in der russischen Armee dienten.
115990.00000000001	120710	4720	Die NATO legt heute Satellitenbilder vor,
120790	123910	3120	die russische Truppen auf ukrainischem Boden zeigen sollen.
124080	126910	2830	Diese seien ausgerüstet mit hochmodernen Waffen.
127110	129630	2520	Die russische Unterstützung für die Separatisten
129729.99999999999	132470	2740	habe jüngst stark zugenommen.
132630	136190	3560	Die ukrainische Armee spricht von einer eigentlichen Offensive.
138240	141270	3030	Die Situation im Kampf gegen die Rebellen
141480	144790	3310	ist in den letzten 24 Std. schwieriger geworden.
144950	148230	3280	Der Gegenangriff russischer Ein- heiten und krimineller Gruppierungen
148440	151110	2670	in der Region Donezk ist weiter im Gang.
151290	153230	1940	Russische Militärfahrzeuge und Söldner
153410	157110	3700	wurden nun auch bei Nowoasowsk gesehen.
157230	159829.99999999997	2600	Diese Bilder sollen dies belegen.
159930	161829.99999999997	1900	Der russische Panzer ist laut ukrainischen Angaben
162050	164430	2380	nahe der Stadt Nowoasowsk gefilmt worden,
164520	166750	2230	die heute von den Rebellen eingenommen wurde.
166920.00000000003	170150	3230	Russland streitet jede Militärpräsenz in der Ukraine weiter ab.
172220	174350	2130	Zum ersten Mal geben die pro-russischen Milizen zu,
174579.99999999997	177030	2450	an der Seite von russischen Einheiten zu kämpfen.
177190	181110	3920	Daran zweifelte wohl kaum einer mehr, aber, Peter Gysing in Moskau:
181220	183670	2450	Woher kommt plötzlich diese ungewohnte Transparenz?
183770	192590	8820	Warum gerade jetzt? Wir untertiteln live:
192770	194630	1860	Es ist in den letzten paar Tagen und Std.
195390	197230	1840	immer deutlicher geworden,
201710	204390	2680	dass russische Militärs in der Ost Ukraine am Krieg beteiligt sind.
206050	208030	1980	Nach den Beschwichtigungen von Putin
